Historical Prices - BIOLINE RX - 01101518
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,304.8000,304.8000,-0.81,307.3000,307.3000,308.1000,304.5000,95617620,291443,153027,50044,43,,,95605963.00,
28/05/2017,307.3000,307.3000,-2.23,311.0000,314.3000,312.4000,305.0000,95617620,293833,126613,40969,43,,,95605963.00,
25/05/2017,314.3000,314.3000,0.42,318.5000,313.0000,318.5000,314.0000,95617302,300525,263637,83144,40,,,95605963.00,
24/05/2017,313.0000,313.0000,-3.19,323.3000,323.3000,318.7000,311.0000,95617302,299282,144219,45861,55,,,95605963.00,
23/05/2017,323.3000,323.3000,2.02,316.9000,316.9000,324.1000,319.8000,95616863,309129,187525,58242,64,,,95605963.00,
22/05/2017,316.9000,316.9000,1.31,311.2000,312.8000,325.8000,311.2000,95616863,303010,266981,83902,81,,,95605963.00,
21/05/2017,312.8000,312.8000,2.89,312.0000,304.0000,316.9000,311.0000,95616863,299090,195826,62522,73,,,95605963.00,
18/05/2017,304.0000,304.0000,-2.28,308.5000,311.1000,319.6000,300.3000,95616863,290675,569958,184478,157,,,95605963.00,
17/05/2017,311.1000,311.1000,-0.61,316.0000,313.0000,316.0000,307.0000,95616863,297464,375242,121117,88,,,95605963.00,
16/05/2017,313.0000,313.0000,-0.67,315.1000,315.1000,315.5000,310.8000,95616863,299281,304705,97285,62,,,95605963.00,
15/05/2017,315.1000,315.1000,0.61,313.2000,313.2000,318.0000,310.1000,95616863,301289,346106,110290,57,,,95605963.00,
14/05/2017,313.2000,313.2000,-0.79,315.0000,315.7000,315.0000,311.4000,95616863,299472,192114,61341,63,,,95605963.00,
11/05/2017,315.7000,315.7000,-1.25,318.4000,319.7000,318.8000,314.5000,95616513,301861,196938,62334,71,,,95605963.00,
10/05/2017,319.7000,319.7000,-0.81,326.0000,322.3000,326.1000,318.4000,95616513,305686,320293,99634,81,,,95605963.00,
09/05/2017,322.3000,322.3000,-0.22,323.0000,323.0000,323.4000,320.1000,95616513,308172,248526,77183,59,,,95605963.00,
08/05/2017,323.0000,323.0000,-1.46,325.1000,327.8000,328.0000,322.2000,95616513,308841,248902,77008,58,,,95605963.00,
07/05/2017,327.8000,327.8000,-2.03,334.2000,334.6000,334.2000,325.1000,95616513,313431,265983,80872,76,,,95605963.00,
04/05/2017,334.6000,334.6000,-0.92,330.0000,337.7000,341.0000,330.0000,95616513,319933,3477506,1037955,174,,,59231499.00,
03/05/2017,337.7000,337.7000,4.04,321.4000,324.6000,345.0000,315.2000,95616513,322897,3033202,906711,619,,,59231499.00,
30/04/2017,324.6000,324.6000,-0.22,328.0000,325.3000,329.2000,323.8000,95616513,310371,361315,110801,90,,,59231499.00,
27/04/2017,325.3000,325.3000,0.31,324.3000,324.3000,338.0000,321.2000,95616513,311041,406036,123966,134,,,59231499.00,
26/04/2017,324.3000,324.3000,-0.40,321.1000,325.6000,336.0000,321.1000,95616513,310084,197692,60419,68,,,59231499.00,
25/04/2017,325.6000,325.6000,1.65,320.3000,320.3000,338.5000,317.6000,95616513,311327,974006,294851,342,,,59231499.00,
24/04/2017,320.3000,320.3000,0.57,321.9000,318.5000,323.5000,318.3000,95616513,306260,176807,55139,61,,,59231499.00,
23/04/2017,318.5000,318.5000,0.95,317.0000,315.5000,321.4000,316.0000,95616513,304539,250317,78668,77,,,59231499.00,
20/04/2017,315.5000,315.5000,-1.99,317.1000,321.9000,321.0000,312.8000,95616513,301670,386948,122679,110,,,59231499.00,
19/04/2017,321.9000,321.9000,-1.01,325.0000,325.2000,325.0000,316.6000,95616513,307790,397542,124196,111,,,59231499.00,
18/04/2017,325.2000,325.2000,0.09,323.1000,324.9000,337.0000,321.6000,95605963,310911,619561,190492,162,,,59231499.00,
13/04/2017,324.9000,324.9000,-1.34,329.3000,329.3000,329.4000,324.0000,95605963,310624,254436,77925,72,,,59231499.00,
12/04/2017,329.3000,329.3000,0.30,328.3000,328.3000,339.0000,326.6000,95605963,314830,165659,49964,52,,,59231499.00,
09/04/2017,328.3000,328.3000,-1.85,334.5000,334.5000,334.5000,326.7000,95605963,313874,393582,119074,101,,,59231499.00,
06/04/2017,334.5000,334.5000,-0.62,339.4000,336.6000,345.0000,334.0000,95605963,319802,1067546,318339,93,,,58268200.00,
05/04/2017,336.6000,336.6000,0.39,331.0000,335.3000,340.0000,331.0000,95605963,321810,592972,176415,148,,,58268200.00,
04/04/2017,335.3000,335.3000,-5.47,354.7000,354.7000,355.6000,334.0000,61782434,207157,766653,224802,195,,,58268200.00,
