Historical Prices - BIOTIME - 01136365
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1177.0000,1177.0000,0.43,1172.0000,1172.0000,1181.0000,1165.0000,109873718,1293214,129977,11087,64,,,109873718.00,
28/05/2017,1172.0000,1172.0000,-0.51,1213.0000,1178.0000,1213.0000,1118.0000,109873718,1287720,241973,20706,99,,,109873718.00,
25/05/2017,1178.0000,1178.0000,-1.83,1179.0000,1200.0000,1203.0000,1157.0000,109873718,1294312,508035,43189,135,,,109873718.00,
24/05/2017,1200.0000,1200.0000,1.18,1186.0000,1186.0000,1208.0000,1153.0000,109873718,1318485,484910,40735,172,,,109873718.00,
23/05/2017,1186.0000,1186.0000,6.65,1180.0000,1112.0000,1268.0000,1179.0000,109873718,1303102,1827802,152195,387,,,109873718.00,
22/05/2017,1112.0000,1112.0000,3.83,1071.0000,1071.0000,1123.0000,1071.0000,109873718,1221796,321241,29240,106,,,109873718.00,
21/05/2017,1071.0000,1071.0000,-0.65,1079.0000,1078.0000,1119.0000,1061.0000,109873718,1176748,392464,36413,104,,,109873718.00,
18/05/2017,1078.0000,1078.0000,-1.82,1092.0000,1098.0000,1093.0000,1042.0000,109873718,1184439,397557,37139,105,,,109873718.00,
17/05/2017,1098.0000,1098.0000,-5.51,1177.0000,1162.0000,1177.0000,1091.0000,109873718,1206413,981482,88373,265,,,109873718.00,
16/05/2017,1162.0000,1162.0000,-0.34,1166.0000,1166.0000,1180.0000,1159.0000,109873718,1276733,272787,23443,97,,,109873718.00,
15/05/2017,1166.0000,1166.0000,1.39,1151.0000,1150.0000,1175.0000,1117.0000,109873718,1281128,482473,41914,106,,,109873718.00,
14/05/2017,1150.0000,1150.0000,0.79,1141.0000,1141.0000,1156.0000,1144.0000,109873718,1263548,242740,21111,65,,,109873718.00,
11/05/2017,1141.0000,1141.0000,1.42,1125.0000,1125.0000,1153.0000,1114.0000,109873718,1253659,244809,21569,86,,,109873718.00,
