Historical Prices - BLUE SQ REAL ES - 01098565
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,17990.0000,17990.0000,1.30,17760.0000,17760.0000,18030.0000,17760.0000,11574878,2082321,1900203,10571,181,,,11574878.00,
28/05/2017,17760.0000,17760.0000,-0.78,17820.0000,17900.0000,18170.0000,17700.0000,11574878,2055698,720374,4033,140,,,11574878.00,
25/05/2017,17900.0000,17900.0000,-2.51,18160.0000,18360.0000,18400.0000,17800.0000,11574878,2071903,955637,5264,161,,,11574878.00,
24/05/2017,18360.0000,18360.0000,-0.22,18400.0000,18400.0000,18500.0000,18320.0000,11574878,2125148,1792904,9734,178,,,11574878.00,
23/05/2017,18400.0000,18400.0000,1.10,18360.0000,18200.0000,18520.0000,18280.0000,11574878,2129778,4035805,21916,322,,,11574878.00,
22/05/2017,18200.0000,18200.0000,3.59,17570.0000,17570.0000,18360.0000,17440.0000,11574878,2106628,4177163,23127,359,,,11574878.00,
21/05/2017,17570.0000,17570.0000,1.68,17290.0000,17280.0000,17770.0000,17290.0000,11574878,2033706,823052,4681,134,,,11574878.00,
18/05/2017,17280.0000,17280.0000,-2.37,17500.0000,17700.0000,17560.0000,17280.0000,11574878,2000139,1695724,9752,225,,,11574878.00,
17/05/2017,17700.0000,17700.0000,-4.27,18510.0000,18490.0000,18510.0000,17660.0000,11574878,2048753,2683599,14779,382,,,11574878.00,
16/05/2017,18490.0000,18490.0000,-0.59,18700.0000,18600.0000,18870.0000,18350.0000,11574878,2140195,1111743,6001,202,,,11574878.00,
15/05/2017,18600.0000,18600.0000,0.87,18620.0000,18440.0000,18980.0000,18510.0000,11574878,2152927,3115991,16678,440,,,11574878.00,
14/05/2017,18440.0000,18440.0000,0.82,18550.0000,18290.0000,18590.0000,18310.0000,11574878,2134408,4550156,24684,365,,,11574878.00,
11/05/2017,18290.0000,18290.0000,1.39,18040.0000,18040.0000,18300.0000,17740.0000,11574878,2117045,1034379,5715,151,,,11574878.00,
10/05/2017,18040.0000,18040.0000,1.46,17780.0000,17780.0000,18090.0000,17770.0000,11574878,2088108,1168440,6498,168,,,11574878.00,
09/05/2017,17780.0000,17780.0000,1.72,17720.0000,17480.0000,17840.0000,17390.0000,11574878,2058013,961339,5465,163,,,11574878.00,
08/05/2017,17480.0000,17480.0000,-1.47,17740.0000,17740.0000,17740.0000,17370.0000,11574878,2023289,1698436,9636,151,,,11574878.00,
