Historical Prices - BONUS BIOGROUP - 00485011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,61.1000,61.1000,-4.38,64.8000,63.9000,64.8000,60.7000,793798194,485011,676688,1083649,170,,,793385018.00,
28/05/2017,63.9000,63.9000,0.00,64.0000,63.9000,65.1000,62.9000,793798194,507237,1000702,1554102,160,,,793385018.00,
25/05/2017,63.9000,63.9000,6.32,60.0000,60.1000,64.6000,60.0000,793798194,507237,1735775,2759043,259,,,793385018.00,
24/05/2017,60.1000,60.1000,-0.99,60.7000,60.7000,62.0000,60.0000,793798194,477073,127290,210772,53,,,793385018.00,
23/05/2017,60.7000,60.7000,0.66,60.3000,60.3000,60.9000,58.9000,793798194,481836,407426,680041,115,,,793385018.00,
22/05/2017,60.3000,60.3000,-0.33,60.5000,60.5000,61.4000,60.2000,793798194,478660,203026,336185,52,,,793385018.00,
21/05/2017,60.5000,60.5000,1.17,60.0000,59.8000,60.9000,59.9000,793798194,480248,193067,319659,57,,,793385018.00,
18/05/2017,59.8000,59.8000,-2.13,61.1000,61.1000,62.4000,59.5000,793798194,474691,369000,610709,89,,,793385018.00,
17/05/2017,61.1000,61.1000,0.99,60.2000,60.5000,62.7000,60.2000,793798194,485011,278306,452060,95,,,793385018.00,
16/05/2017,60.5000,60.5000,0.00,60.5000,60.5000,60.8000,60.1000,793798194,480248,126394,209199,36,,,793385018.00,
15/05/2017,60.5000,60.5000,0.17,60.4000,60.4000,60.7000,60.0000,793798194,480248,134074,221995,47,,,793385018.00,
14/05/2017,60.4000,60.4000,-1.15,61.3000,61.1000,61.3000,60.1000,793798194,479454,163427,269326,59,,,793385018.00,
11/05/2017,61.1000,61.1000,-0.65,61.5000,61.5000,61.3000,61.0000,793798194,485011,122326,200254,30,,,793385018.00,
10/05/2017,61.5000,61.5000,-1.60,62.5000,62.5000,62.5000,61.2000,793798194,488186,197018,320009,49,,,793385018.00,
