Historical Prices - BRACK CAPIT N V - 01121607
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,37040.0000,37040.0000,0.11,37000.0000,37000.0000,37150.0000,36370.0000,7221526,2674853,6961341,18848,473,,,7211359.00,
28/05/2017,37000.0000,37000.0000,-0.16,37000.0000,37060.0000,37140.0000,36610.0000,7221526,2671965,6627011,17970,604,,,7211359.00,
25/05/2017,37060.0000,37060.0000,-0.11,37210.0000,37100.0000,37280.0000,36570.0000,7221176,2676168,14901696,40135,388,,,7211359.00,
24/05/2017,37100.0000,37100.0000,0.30,37100.0000,36990.0000,37480.0000,36830.0000,7221176,2679056,42679144,115092,1142,,,7211359.00,
23/05/2017,36990.0000,36990.0000,5.44,35080.0000,35080.0000,37990.0000,35080.0000,7211359,2667482,41876898,113444,1547,,,7211359.00,
22/05/2017,35080.0000,35080.0000,2.27,34400.0000,34300.0000,35080.0000,34400.0000,7211359,2529745,3692158,10623,308,,,7211359.00,
21/05/2017,34300.0000,34300.0000,3.44,33180.0000,33160.0000,34450.0000,33180.0000,7211359,2473496,6023898,17595,283,,,7211359.00,
18/05/2017,33160.0000,33160.0000,-1.37,33510.0000,33620.0000,33610.0000,33100.0000,7211359,2391287,1990482,5979,157,,,7211359.00,
17/05/2017,33620.0000,33620.0000,-1.09,34160.0000,33990.0000,34210.0000,33550.0000,7211359,2424459,3892759,11490,251,,,7211359.00,
16/05/2017,33990.0000,33990.0000,0.32,33880.0000,33880.0000,34100.0000,33890.0000,7211359,2451141,1097275,3228,107,,,7211359.00,
15/05/2017,33880.0000,33880.0000,-0.67,34110.0000,34110.0000,34430.0000,33850.0000,7211359,2443208,2070445,6072,157,,,7211359.00,
14/05/2017,34110.0000,34110.0000,-0.18,34100.0000,34170.0000,34210.0000,34050.0000,7211359,2459795,12474330,36571,122,,,7211359.00,
11/05/2017,34170.0000,34170.0000,-0.29,34270.0000,34270.0000,34380.0000,34120.0000,7211359,2464121,1396290,4076,100,,,7211359.00,
10/05/2017,34270.0000,34270.0000,0.20,34200.0000,34200.0000,34410.0000,34110.0000,7211359,2471333,6389763,18676,129,,,7211359.00,
09/05/2017,34200.0000,34200.0000,-0.58,34400.0000,34400.0000,34300.0000,34000.0000,7211359,2466285,12750112,37289,140,,,7211359.00,
08/05/2017,34400.0000,34400.0000,0.58,34700.0000,34200.0000,34700.0000,34230.0000,7211359,2480708,3909688,11351,215,,,7211359.00,
07/05/2017,34200.0000,34200.0000,0.44,34110.0000,34050.0000,34300.0000,34070.0000,7211359,2466285,4500799,13153,199,,,7211359.00,
04/05/2017,34050.0000,34050.0000,-0.23,34130.0000,34130.0000,34100.0000,33960.0000,7211359,2455468,3735974,10974,158,,,7211359.00,
