Historical Prices - CAMTEK - 01095264
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2073.0000,2073.0000,-4.86,2174.0000,2179.0000,2220.0000,2001.0000,34818583,721789,1784032,82765,206,,,34794522.00,
28/05/2017,2179.0000,2179.0000,1.92,2150.0000,2138.0000,2195.0000,2115.0000,34818583,758697,952080,44093,147,,,34794522.00,
25/05/2017,2138.0000,2138.0000,7.76,2039.0000,1984.0000,2150.0000,2004.0000,34794522,743907,5119322,244319,709,,,34794522.00,
24/05/2017,1984.0000,1984.0000,-0.30,1990.0000,1990.0000,1999.0000,1870.0000,34794522,690323,717070,36558,148,,,34794522.00,
23/05/2017,1990.0000,1990.0000,6.25,1948.0000,1873.0000,1990.0000,1928.0000,34794522,692411,1779573,90646,314,,,34794522.00,
22/05/2017,1873.0000,1873.0000,4.29,1796.0000,1796.0000,1883.0000,1800.0000,34794522,651701,649977,35301,168,,,34794522.00,
21/05/2017,1796.0000,1796.0000,5.28,1735.0000,1706.0000,1822.0000,1735.0000,34794522,624910,478047,26533,85,,,34794522.00,
18/05/2017,1706.0000,1706.0000,-2.46,1747.0000,1749.0000,1747.0000,1675.0000,34794522,593595,638494,37569,94,,,34794522.00,
17/05/2017,1749.0000,1749.0000,-1.96,1785.0000,1784.0000,1800.0000,1725.0000,34794522,608556,743106,42021,124,,,34794522.00,
16/05/2017,1784.0000,1784.0000,2.29,1750.0000,1744.0000,1800.0000,1722.0000,34794522,620734,861376,48667,137,,,34794522.00,
15/05/2017,1744.0000,1744.0000,0.87,1729.0000,1729.0000,1760.0000,1708.0000,34794522,606816,241877,13936,62,,,34794522.00,
14/05/2017,1729.0000,1729.0000,4.66,1685.0000,1652.0000,1756.0000,1675.0000,34794522,601597,633534,37245,109,,,34794522.00,
11/05/2017,1652.0000,1652.0000,-1.14,1671.0000,1671.0000,1681.0000,1649.0000,34794522,574806,662272,39704,129,,,34794522.00,
10/05/2017,1671.0000,1671.0000,2.52,1630.0000,1630.0000,1680.0000,1568.0000,34794522,581416,931414,57914,160,,,34794522.00,
09/05/2017,1630.0000,1630.0000,14.15,1428.0000,1428.0000,1699.0000,1449.0000,34794522,567151,3461139,214000,731,,,34794522.00,
08/05/2017,1428.0000,1428.0000,1.42,1408.0000,1408.0000,1444.0000,1408.0000,34794522,496866,349974,24531,76,,,34794522.00,
07/05/2017,1408.0000,1408.0000,0.14,1407.0000,1406.0000,1421.0000,1406.0000,34794522,489907,135042,9585,27,,,34794522.00,
04/05/2017,1406.0000,1406.0000,0.21,1403.0000,1403.0000,1406.0000,1381.0000,34794522,489211,1112628,79251,57,,,34794522.00,
03/05/2017,1403.0000,1403.0000,0.86,1391.0000,1391.0000,1412.0000,1390.0000,34794522,488167,363382,25854,52,,,34794522.00,
30/04/2017,1391.0000,1391.0000,0.51,1425.0000,1384.0000,1425.0000,1383.0000,34794522,483992,234591,16860,56,,,34794522.00,
27/04/2017,1384.0000,1384.0000,1.17,1368.0000,1368.0000,1386.0000,1374.0000,34794522,481556,23319,1685,7,,,34794522.00,
26/04/2017,1368.0000,1368.0000,-0.22,1371.0000,1371.0000,1379.0000,1354.0000,34794522,475989,177315,12956,32,,,34794522.00,
