Historical Prices - CAN FITE BIO - 01094473
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,330.6000,330.6000,-1.84,336.8000,336.8000,337.5000,325.1000,33156728,109616,151448,45656,53,,,33156728.00,
28/05/2017,336.8000,336.8000,-0.06,337.0000,337.0000,340.0000,335.0000,33156728,111672,20971,6226,15,,,33156728.00,
25/05/2017,337.0000,337.0000,1.54,331.0000,331.9000,341.0000,328.7000,33156728,111738,535678,159621,114,,,33156728.00,
24/05/2017,331.9000,331.9000,-0.81,334.6000,334.6000,339.9000,330.4000,33156728,110047,196502,58785,53,,,33156728.00,
23/05/2017,334.6000,334.6000,-0.74,337.1000,337.1000,345.5000,330.0000,33156728,110942,158654,47006,63,,,33156728.00,
22/05/2017,337.1000,337.1000,0.66,334.9000,334.9000,357.0000,332.7000,33156728,111771,244856,71738,84,,,33156728.00,
21/05/2017,334.9000,334.9000,1.64,329.5000,329.5000,338.0000,329.0000,33156728,111042,77507,23213,32,,,33156728.00,
18/05/2017,329.5000,329.5000,-1.58,330.0000,334.8000,331.1000,328.2000,33156728,109251,133039,40349,51,,,33156728.00,
17/05/2017,334.8000,334.8000,-1.03,338.1000,338.3000,338.1000,331.0000,33156728,111009,142387,42697,47,,,33156728.00,
16/05/2017,338.3000,338.3000,1.74,333.0000,332.5000,354.2000,333.0000,33156728,112169,474882,138678,125,,,33156728.00,
15/05/2017,332.5000,332.5000,-1.57,337.8000,337.8000,349.8000,331.1000,33156728,110246,77468,23183,35,,,33156728.00,
14/05/2017,337.8000,337.8000,2.15,330.7000,330.7000,348.0000,330.7000,33156728,112003,91587,27162,46,,,33156728.00,
11/05/2017,330.7000,330.7000,-0.72,333.1000,333.1000,344.0000,325.1000,33156728,109649,302652,90615,129,,,33156728.00,
10/05/2017,333.1000,333.1000,-0.21,333.8000,333.8000,338.0000,330.9000,33156728,110445,133461,40005,30,,,33156728.00,
09/05/2017,333.8000,333.8000,0.30,332.8000,332.8000,339.9000,332.0000,33156728,110677,184485,55015,54,,,33156728.00,
08/05/2017,332.8000,332.8000,-0.03,332.9000,332.9000,334.4000,331.4000,33156728,110346,71588,21510,28,,,33156728.00,
07/05/2017,332.9000,332.9000,-0.54,334.0000,334.7000,341.0000,328.7000,33156728,110379,187657,56056,57,,,33156728.00,
04/05/2017,334.7000,334.7000,-1.73,340.6000,340.6000,341.0000,334.7000,33156728,110976,471395,140391,75,,,33156728.00,
03/05/2017,340.6000,340.6000,-1.96,342.0000,347.4000,355.0000,339.0000,33156728,112932,565330,163284,160,,,33156728.00,
30/04/2017,347.4000,347.4000,-0.46,345.0000,349.0000,349.8000,344.9000,33156728,115186,40248,11586,25,,,33156728.00,
27/04/2017,349.0000,349.0000,0.37,359.0000,347.7000,359.0000,345.5000,33156728,115717,271993,77653,82,,,33156728.00,
26/04/2017,347.7000,347.7000,-2.41,356.1000,356.3000,369.9000,342.3000,33156728,115286,472883,133531,176,,,33156728.00,
25/04/2017,356.3000,356.3000,4.98,339.4000,339.4000,417.0000,338.4000,33156728,118137,3123556,810562,890,,,33156728.00,
24/04/2017,339.4000,339.4000,2.32,331.7000,331.7000,349.0000,331.4000,33156728,112534,209572,61951,76,,,33156728.00,
23/04/2017,331.7000,331.7000,-3.27,345.0000,342.9000,345.0000,328.7000,33156728,109981,118899,35606,50,,,33156728.00,
20/04/2017,342.9000,342.9000,-0.75,340.1000,345.5000,344.9000,340.0000,33156728,113694,139308,40821,45,,,33156728.00,
19/04/2017,345.5000,345.5000,0.20,345.6000,344.8000,348.9000,340.1000,33156728,114557,144448,42028,48,,,33156728.00,
18/04/2017,344.8000,344.8000,0.47,343.2000,343.2000,349.0000,343.2000,33156728,114324,117918,34170,32,,,33156728.00,
13/04/2017,343.2000,343.2000,-2.17,350.0000,350.8000,350.1000,340.1000,33156728,113794,157586,45869,47,,,33156728.00,
12/04/2017,350.8000,350.8000,-1.52,356.2000,356.2000,360.8000,350.1000,33156728,116314,88521,25049,34,,,33156728.00,
09/04/2017,356.2000,356.2000,-0.17,345.1000,356.8000,358.0000,345.0000,33156728,118104,28360,7961,23,,,33156728.00,
06/04/2017,356.8000,356.8000,-0.28,357.8000,357.8000,360.8000,349.4000,33156728,118303,337018,94441,71,,,33156728.00,
05/04/2017,357.8000,357.8000,0.28,356.8000,356.8000,360.0000,353.0000,33156728,118635,148401,41485,41,,,33156728.00,
04/04/2017,356.8000,356.8000,-0.11,357.2000,357.2000,362.9000,353.0000,33156728,118303,136913,38208,49,,,33156728.00,
03/04/2017,357.2000,357.2000,-0.28,358.2000,358.2000,365.8000,354.9000,33156728,118436,166610,46407,61,,,33156728.00,
02/04/2017,358.2000,358.2000,-0.72,360.8000,360.8000,369.0000,353.2000,33156728,118767,141160,39275,40,,,33156728.00,
30/03/2017,360.8000,360.8000,1.66,368.8000,354.9000,368.8000,356.1000,33156728,119629,186436,51794,68,,,33156728.00,
29/03/2017,354.9000,354.9000,1.60,349.3000,349.3000,390.9000,350.0000,33156728,117673,1457963,395824,394,,,33156728.00,
28/03/2017,349.3000,349.3000,0.90,346.2000,346.2000,351.9000,340.1000,33156728,115816,218930,63399,79,,,33156728.00,
27/03/2017,346.2000,346.2000,0.41,343.0000,344.8000,365.5000,340.2000,33156728,114789,172524,50156,58,,,33156728.00,
26/03/2017,344.8000,344.8000,-0.46,346.4000,346.4000,348.9000,343.4000,33156728,114324,89887,26046,41,,,33156728.00,
23/03/2017,346.4000,346.4000,-1.20,350.6000,350.6000,352.9000,344.4000,33156728,114855,120608,34580,51,,,33156728.00,
22/03/2017,350.6000,350.6000,-2.50,355.1000,359.6000,362.8000,349.0000,33156728,116247,238583,67814,86,,,33156728.00,
21/03/2017,359.6000,359.6000,-1.13,354.1000,363.7000,363.7000,354.1000,33156728,119232,104754,29264,42,,,33156728.00,
20/03/2017,363.7000,363.7000,0.86,360.6000,360.6000,366.3000,361.0000,33156728,120591,64110,17623,26,,,33156728.00,
19/03/2017,360.6000,360.6000,-0.88,363.8000,363.8000,361.9000,358.0000,33156728,119563,122593,33983,50,,,33156728.00,
16/03/2017,363.8000,363.8000,-0.82,367.0000,366.8000,368.2000,360.0000,33156728,120624,329242,90063,81,,,33156728.00,
15/03/2017,366.8000,366.8000,-0.16,367.4000,367.4000,371.4000,366.1000,33156728,121619,108933,29632,35,,,33156728.00,
14/03/2017,367.4000,367.4000,0.03,367.3000,367.3000,368.9000,366.5000,33156728,121818,102540,27928,40,,,33156728.00,
13/03/2017,367.3000,367.3000,-1.26,372.0000,372.0000,374.6000,366.4000,33156728,121785,148105,40216,47,,,33156728.00,
09/03/2017,372.0000,372.0000,0.13,371.5000,371.5000,382.9000,370.0000,33156728,123343,133607,35906,43,,,33156728.00,
08/03/2017,371.5000,371.5000,-0.72,374.2000,374.2000,382.8000,367.0000,33156728,123177,103889,27798,38,,,33156728.00,
07/03/2017,374.2000,374.2000,-0.82,377.3000,377.3000,379.8000,371.9000,33156728,124072,129477,34451,45,,,33156728.00,
06/03/2017,377.3000,377.3000,-2.03,385.1000,385.1000,385.4000,375.1000,33156728,125100,212941,56122,50,,,33156728.00,
05/03/2017,385.1000,385.1000,-1.26,392.0000,390.0000,393.9000,381.9000,33156728,127687,654042,169216,154,,,33156728.00,
02/03/2017,390.0000,390.0000,6.30,366.9000,366.9000,390.0000,371.0000,33156728,129311,1148966,297454,152,,,28156728.00,
01/03/2017,366.9000,366.9000,-1.71,370.0000,373.3000,372.0000,363.0000,33156728,121652,498018,135587,125,,,28156728.00,
28/02/2017,373.3000,373.3000,2.27,374.9000,365.0000,397.0000,365.8000,33156728,123774,1921029,499988,534,,,28156728.00,
27/02/2017,365.0000,365.0000,-1.14,363.0000,369.2000,372.2000,362.3000,33156728,121022,132508,36072,50,,,28156728.00,
26/02/2017,369.2000,369.2000,0.14,369.0000,368.7000,373.2000,368.7000,33156728,122415,92286,24953,34,,,28156728.00,
23/02/2017,368.7000,368.7000,0.55,361.0000,366.7000,383.1000,361.0000,33156728,122249,307752,82501,103,,,28156728.00,
22/02/2017,366.7000,366.7000,-2.45,370.1000,375.9000,375.7000,365.2000,33156728,121586,246521,66876,80,,,28156728.00,
21/02/2017,375.9000,375.9000,-0.32,377.1000,377.1000,383.8000,374.2000,33156728,124636,117983,31341,44,,,28156728.00,
20/02/2017,377.1000,377.1000,-0.26,378.1000,378.1000,379.4000,374.0000,33156728,125034,193463,51437,49,,,28156728.00,
19/02/2017,378.1000,378.1000,1.10,381.0000,374.0000,384.8000,374.0000,33156728,125366,174700,46161,49,,,28156728.00,
16/02/2017,374.0000,374.0000,-2.17,380.0000,382.3000,384.1000,372.5000,33156728,124006,326610,86428,105,,,28156728.00,
15/02/2017,382.3000,382.3000,0.31,382.0000,381.1000,389.9000,377.4000,33156728,126758,547263,142864,124,,,28156728.00,
14/02/2017,381.1000,381.1000,-0.55,382.0000,383.2000,393.0000,379.0000,33156728,126360,308054,80500,99,,,28156728.00,
13/02/2017,383.2000,383.2000,0.50,380.4000,381.3000,386.7000,380.2000,33156728,127057,308293,80548,70,,,28156728.00,
12/02/2017,381.3000,381.3000,-4.68,386.0000,400.0000,392.9000,380.0000,33156728,126427,669049,174710,197,,,28156728.00,
09/02/2017,400.0000,400.0000,9.53,372.0000,365.2000,400.0000,359.6000,33156728,132627,7399152,1854817,217,,,25901336.00,
08/02/2017,365.2000,365.2000,-0.19,367.8000,365.9000,380.0000,363.0000,33156728,121088,916264,247755,236,,,25901336.00,
07/02/2017,365.9000,365.9000,0.38,364.5000,364.5000,367.8000,362.0000,33156728,121320,224099,61333,64,,,25901336.00,
06/02/2017,364.5000,364.5000,1.70,358.4000,358.4000,367.0000,358.4000,33156728,120856,268369,73626,56,,,25901336.00,
05/02/2017,358.4000,358.4000,-0.03,358.5000,358.5000,363.2000,354.8000,33156728,118834,176305,49029,35,,,25901336.00,
02/02/2017,358.5000,358.5000,0.53,356.6000,356.6000,363.9000,353.1000,33156728,118867,132057,36965,45,,,25901336.00,
01/02/2017,356.6000,356.6000,-0.64,348.0000,358.9000,359.0000,345.0000,33156728,118237,257866,73243,99,,,25901336.00,
31/01/2017,358.9000,358.9000,-4.27,366.0000,374.9000,369.0000,356.7000,33156728,119000,474536,131180,173,,,25901336.00,
30/01/2017,374.9000,374.9000,-1.58,381.7000,380.9000,391.7000,373.0000,33156728,124305,370047,97536,135,,,25901336.00,
29/01/2017,380.9000,380.9000,0.69,379.8000,378.3000,385.8000,379.8000,33156728,126294,184067,48304,52,,,25901336.00,
26/01/2017,378.3000,378.3000,1.04,393.0000,374.4000,393.0000,375.5000,33156728,125432,172539,45494,62,,,25901336.00,
25/01/2017,374.4000,374.4000,-4.00,398.0000,390.0000,399.0000,372.0000,33156728,124139,834498,216562,230,,,25901336.00,
24/01/2017,390.0000,390.0000,-2.18,395.0000,398.7000,408.0000,384.3000,33156728,129311,660627,168181,209,,,25901336.00,
23/01/2017,398.7000,398.7000,-1.21,403.6000,403.6000,416.8000,396.5000,28156728,112261,531738,131133,134,,,25901336.00,
22/01/2017,403.6000,403.6000,-2.49,411.0000,413.9000,411.0000,401.0000,28156728,113641,519225,128048,152,,,25901336.00,
19/01/2017,413.9000,413.9000,-11.71,445.0000,468.8000,448.0000,405.1000,28156728,116541,1908154,451052,611,,,25901336.00,
18/01/2017,468.8000,468.8000,3.67,452.2000,452.2000,492.8000,451.7000,28156728,131999,522895,111098,176,,,25901336.00,
17/01/2017,452.2000,452.2000,-0.51,454.5000,454.5000,460.0000,448.4000,28156728,127325,260753,57392,79,,,25901336.00,
16/01/2017,454.5000,454.5000,0.44,452.5000,452.5000,457.2000,451.0000,28156728,127972,138374,30486,40,,,25901336.00,
15/01/2017,452.5000,452.5000,-1.24,452.0000,458.2000,465.9000,445.0000,28156728,127409,107238,23651,37,,,25901336.00,
12/01/2017,458.2000,458.2000,-1.02,462.9000,462.9000,465.7000,451.2000,28156728,129014,251581,55007,69,,,25901336.00,
11/01/2017,462.9000,462.9000,-0.54,466.0000,465.4000,466.0000,459.2000,28156728,130337,93078,20087,30,,,25901336.00,
10/01/2017,465.4000,465.4000,-0.36,467.1000,467.1000,469.4000,461.6000,28156728,131041,168962,36251,43,,,25901336.00,
09/01/2017,467.1000,467.1000,0.78,462.0000,463.5000,474.8000,460.5000,28156728,131520,875732,187216,160,,,25901336.00,
08/01/2017,463.5000,463.5000,0.28,462.2000,462.2000,467.8000,462.0000,28156728,130506,116018,25009,49,,,25901336.00,
05/01/2017,462.2000,462.2000,0.15,459.0000,461.5000,465.0000,459.0000,28156728,130140,117460,25428,30,,,25901336.00,
04/01/2017,461.5000,461.5000,0.30,460.1000,460.1000,467.0000,459.9000,28156728,129943,315146,67912,82,,,25901336.00,
03/01/2017,460.1000,460.1000,-1.58,470.0000,467.5000,470.0000,459.5000,28156728,129549,196044,42365,48,,,25901336.00,
02/01/2017,467.5000,467.5000,2.14,457.7000,457.7000,469.4000,457.7000,28156728,131633,277139,59579,77,,,25901336.00,
01/01/2017,457.7000,457.7000,0.31,456.3000,456.3000,463.0000,455.0000,28156728,128873,134653,29305,41,,,25901336.00,
