Historical Prices - CASTRO - 00280016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,12780.0000,12780.0000,-3.18,13200.0000,13200.0000,13360.0000,12660.0000,5330545,681244,525300,4095,81,,,5330545.00,
28/05/2017,13200.0000,13200.0000,0.69,13110.0000,13110.0000,13300.0000,13180.0000,5330545,703632,154135,1165,26,,,5330545.00,
25/05/2017,13110.0000,13110.0000,-0.30,13150.0000,13150.0000,13390.0000,13040.0000,5330545,698834,334510,2541,33,,,5330545.00,
24/05/2017,13150.0000,13150.0000,0.23,13120.0000,13120.0000,13190.0000,13050.0000,5330545,700967,90747,691,24,,,5330545.00,
23/05/2017,13120.0000,13120.0000,1.39,12940.0000,12940.0000,13370.0000,13070.0000,5330545,699368,296767,2245,42,,,5330545.00,
22/05/2017,12940.0000,12940.0000,1.33,12770.0000,12770.0000,13150.0000,12900.0000,5330545,689773,82976,640,15,,,5330545.00,
21/05/2017,12770.0000,12770.0000,-0.31,12810.0000,12810.0000,12830.0000,12710.0000,5330545,680711,105522,827,23,,,5330545.00,
18/05/2017,12810.0000,12810.0000,-2.21,13090.0000,13100.0000,13090.0000,12600.0000,5330545,682843,843827,6597,87,,,5330545.00,
17/05/2017,13100.0000,13100.0000,-2.82,13480.0000,13480.0000,13410.0000,12950.0000,5330545,698301,370743,2789,41,,,5330545.00,
16/05/2017,13480.0000,13480.0000,0.15,13460.0000,13460.0000,13520.0000,13380.0000,5330545,718557,106746,792,19,,,5330545.00,
15/05/2017,13460.0000,13460.0000,-0.44,13520.0000,13520.0000,13600.0000,13320.0000,5330545,717491,274736,2041,43,,,5330545.00,
14/05/2017,13520.0000,13520.0000,0.22,13490.0000,13490.0000,13600.0000,13380.0000,5330545,720690,51774,383,10,,,5330545.00,
11/05/2017,13490.0000,13490.0000,-0.07,13500.0000,13500.0000,13500.0000,13320.0000,5330545,719091,72249,538,14,,,5330545.00,
10/05/2017,13500.0000,13500.0000,0.75,13400.0000,13400.0000,13660.0000,13410.0000,5330545,719624,159858,1180,32,,,5330545.00,
09/05/2017,13400.0000,13400.0000,0.90,13290.0000,13280.0000,13450.0000,13220.0000,5330545,714293,252100,1893,29,,,5330545.00,
08/05/2017,13280.0000,13280.0000,-0.82,13390.0000,13390.0000,13390.0000,13210.0000,5330545,707896,140583,1056,27,,,5330545.00,
07/05/2017,13390.0000,13390.0000,0.90,13340.0000,13270.0000,13500.0000,13270.0000,5330545,713760,262150,1957,36,,,5330545.00,
04/05/2017,13270.0000,13270.0000,0.68,13180.0000,13180.0000,13370.0000,12920.0000,5330545,707363,499563,3773,51,,,5330545.00,
03/05/2017,13180.0000,13180.0000,-1.05,13320.0000,13320.0000,13340.0000,13060.0000,5330545,702566,345820,2618,52,,,5330545.00,
30/04/2017,13320.0000,13320.0000,1.22,13160.0000,13160.0000,13400.0000,13100.0000,5330545,710029,121171,914,20,,,5330545.00,
27/04/2017,13160.0000,13160.0000,0.15,13140.0000,13140.0000,13330.0000,13100.0000,5330545,701500,219655,1666,22,,,5330545.00,
26/04/2017,13140.0000,13140.0000,1.15,12990.0000,12990.0000,13290.0000,13030.0000,5330545,700434,236184,1794,43,,,5330545.00,
25/04/2017,12990.0000,12990.0000,0.00,13050.0000,12990.0000,13100.0000,12690.0000,5330545,692438,151196,1170,31,,,5330545.00,
