Historical Prices - CLAL BIOTECH - 01104280
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,428.8000,428.8000,3.33,415.1000,415.0000,432.0000,415.1000,149692111,641880,4420786,1035208,632,,,142161931.00,
28/05/2017,415.0000,415.0000,7.04,399.9000,387.7000,415.0000,398.0000,149692111,621222,4958180,1215626,830,,,142161931.00,
25/05/2017,387.7000,387.7000,-0.54,393.0000,389.8000,397.9000,385.0000,149692111,580356,629408,160246,122,,,142161931.00,
24/05/2017,389.8000,389.8000,2.18,383.0000,381.5000,394.9000,381.5000,149692111,583500,1126076,289721,218,,,142161931.00,
23/05/2017,381.5000,381.5000,0.18,385.0000,380.8000,387.6000,379.0000,149692111,571075,313400,81786,95,,,142161931.00,
22/05/2017,380.8000,380.8000,4.10,363.0000,365.8000,381.0000,363.0000,149692111,570028,1517122,402841,500,,,142161931.00,
21/05/2017,365.8000,365.8000,2.98,360.0000,355.2000,369.8000,350.0000,149692111,547574,758879,211151,161,,,142161931.00,
18/05/2017,355.2000,355.2000,-2.44,356.0000,364.1000,358.9000,350.0000,149692111,531706,730828,206754,164,,,142161931.00,
17/05/2017,364.1000,364.1000,-3.47,377.2000,377.2000,379.8000,361.0000,149692111,545029,507132,136567,98,,,142161931.00,
16/05/2017,377.2000,377.2000,-0.26,378.2000,378.2000,387.2000,375.8000,149692111,564639,345672,91313,93,,,142161931.00,
15/05/2017,378.2000,378.2000,0.72,375.5000,375.5000,387.0000,372.1000,149692111,566136,889443,233382,164,,,142161931.00,
14/05/2017,375.5000,375.5000,0.03,375.0000,375.4000,380.0000,372.0000,149692111,562094,497286,132251,98,,,142161931.00,
11/05/2017,375.4000,375.4000,-2.59,386.0000,385.4000,388.8000,373.0000,149692111,561944,560848,147280,134,,,142161931.00,
10/05/2017,385.4000,385.4000,-0.67,389.5000,388.0000,394.7000,380.0000,149692111,576913,596131,153676,151,,,142161931.00,
09/05/2017,388.0000,388.0000,2.48,380.5000,378.6000,392.4000,378.5000,149692111,580805,1175159,303919,215,,,142161931.00,
08/05/2017,378.6000,378.6000,3.93,370.0000,364.3000,383.0000,362.5000,149692111,566734,1171154,312862,244,,,142161931.00,
07/05/2017,364.3000,364.3000,1.48,359.3000,359.0000,367.1000,358.1000,149692111,545328,582505,160423,135,,,142161931.00,
04/05/2017,359.0000,359.0000,-1.40,364.1000,364.1000,364.1000,353.0000,149692111,537395,4149188,1158399,278,,,136150970.00,
03/05/2017,364.1000,364.1000,-4.08,379.6000,379.6000,382.6000,355.0000,149692111,545029,1051244,285534,205,,,136150970.00,
30/04/2017,379.6000,379.6000,-0.08,380.0000,379.9000,385.0000,372.6000,149692111,568231,740932,196200,121,,,136150970.00,
27/04/2017,379.9000,379.9000,0.96,373.1000,376.3000,382.2000,370.3000,149692111,568680,628787,166600,159,,,136150970.00,
26/04/2017,376.3000,376.3000,-2.46,385.8000,385.8000,386.1000,375.0000,149692111,563291,557724,146752,121,,,136150970.00,
25/04/2017,385.8000,385.8000,0.23,385.2000,384.9000,388.5000,384.9000,142161931,548461,567183,146795,110,,,136150970.00,
24/04/2017,384.9000,384.9000,-0.13,387.0000,385.4000,390.5000,370.0000,142161931,547181,1504946,393427,256,,,136150970.00,
23/04/2017,385.4000,385.4000,-1.41,390.9000,390.9000,406.7000,377.8000,142161931,547892,1780748,451024,338,,,136150970.00,
20/04/2017,390.9000,390.9000,-0.84,393.0000,394.2000,400.0000,386.1000,142161931,555711,1212932,309079,195,,,136150970.00,
19/04/2017,394.2000,394.2000,-1.94,400.0000,402.0000,400.0000,386.0000,142161931,560402,1363066,346663,245,,,136150970.00,
18/04/2017,402.0000,402.0000,5.76,382.0000,380.1000,407.5000,382.0000,142161931,571491,3459258,876530,533,,,136150970.00,
13/04/2017,380.1000,380.1000,0.98,380.1000,376.4000,385.0000,376.5000,142161931,540358,3766247,988336,483,,,136150970.00,
12/04/2017,376.4000,376.4000,9.45,343.9000,343.9000,379.9000,339.9000,142161931,535098,3711771,1010909,668,,,136150970.00,
09/04/2017,343.9000,343.9000,3.58,332.0000,332.0000,352.0000,320.0000,142161931,488895,1913207,562693,272,,,136150970.00,
06/04/2017,332.0000,332.0000,-1.75,337.9000,337.9000,338.1000,326.1000,142161931,471978,442872,133525,72,,,136150970.00,
05/04/2017,337.9000,337.9000,0.51,339.0000,336.2000,339.0000,330.0000,142161931,480365,644861,192695,110,,,136150970.00,
04/04/2017,336.2000,336.2000,0.75,335.0000,333.7000,342.9000,333.0000,142161931,477948,665334,196377,139,,,136150970.00,
03/04/2017,333.7000,333.7000,-1.16,334.0000,337.6000,337.7000,324.0000,142161931,474394,493866,148344,123,,,136150970.00,
02/04/2017,337.6000,337.6000,6.97,315.6000,315.6000,340.0000,312.1000,142161931,479939,1280998,388699,192,,,136150970.00,
30/03/2017,315.6000,315.6000,3.54,304.8000,304.8000,319.0000,300.6000,142161931,448663,400074,129437,82,,,136150970.00,
29/03/2017,304.8000,304.8000,0.79,302.4000,302.4000,309.8000,301.0000,136150970,414988,208525,68521,65,,,136150970.00,
28/03/2017,302.4000,302.4000,0.33,300.2000,301.4000,309.5000,300.2000,136150970,411721,54824,18096,26,,,136150970.00,
27/03/2017,301.4000,301.4000,-1.18,304.2000,305.0000,304.8000,301.0000,136150970,410359,306598,101501,56,,,136150970.00,
26/03/2017,305.0000,305.0000,-0.81,307.5000,307.5000,310.6000,304.3000,136150970,415260,111430,36520,30,,,136150970.00,
23/03/2017,307.5000,307.5000,1.05,310.0000,304.3000,315.8000,306.5000,136150970,418664,174507,56258,60,,,136150970.00,
22/03/2017,304.3000,304.3000,-2.84,306.0000,313.2000,316.0000,303.8000,136150970,414307,315696,103165,92,,,136150970.00,
21/03/2017,313.2000,313.2000,0.77,310.8000,310.8000,317.8000,310.4000,136150970,426425,135958,43386,46,,,136150970.00,
20/03/2017,310.8000,310.8000,-1.24,314.7000,314.7000,323.9000,306.5000,136150970,423157,271359,85700,88,,,136150970.00,
19/03/2017,314.7000,314.7000,0.41,319.9000,313.4000,319.9000,314.0000,136150970,428467,106846,33734,33,,,136150970.00,
16/03/2017,313.4000,313.4000,0.42,312.1000,312.1000,319.9000,310.4000,136150970,426697,154124,48807,43,,,136150970.00,
15/03/2017,312.1000,312.1000,-1.23,316.0000,316.0000,318.4000,305.2000,136150970,424927,187141,59493,54,,,136150970.00,
14/03/2017,316.0000,316.0000,-0.13,317.3000,316.4000,319.1000,315.9000,136150970,430237,206831,65267,56,,,136150970.00,
13/03/2017,316.4000,316.4000,-1.06,319.8000,319.8000,323.8000,315.9000,136150970,430782,565723,177184,115,,,136150970.00,
09/03/2017,319.8000,319.8000,4.20,306.9000,306.9000,322.9000,308.6000,136150970,435411,606627,189967,145,,,136150970.00,
08/03/2017,306.9000,306.9000,2.54,311.4000,299.3000,311.4000,300.9000,136150970,417847,274859,90001,75,,,136150970.00,
07/03/2017,299.3000,299.3000,-1.12,304.2000,302.7000,306.0000,298.2000,136150970,407500,285283,94940,101,,,136150970.00,
06/03/2017,302.7000,302.7000,-3.35,319.5000,313.2000,331.0000,296.5000,136150970,412129,1891207,618802,341,,,136150970.00,
05/03/2017,313.2000,313.2000,1.36,320.0000,309.0000,320.0000,310.0000,136150970,426425,507924,160611,98,,,136150970.00,
02/03/2017,309.0000,309.0000,0.46,307.6000,307.6000,309.0000,301.0000,136150970,420707,531650,173105,50,,,136150970.00,
01/03/2017,307.6000,307.6000,-0.49,309.1000,309.1000,314.4000,306.2000,136150970,418800,321896,103565,65,,,136150970.00,
28/02/2017,309.1000,309.1000,2.42,301.8000,301.8000,314.0000,301.8000,136150970,420843,360449,116785,115,,,136150970.00,
27/02/2017,301.8000,301.8000,-2.01,308.0000,308.0000,312.8000,295.0000,136150970,410904,269284,88652,98,,,136150970.00,
26/02/2017,308.0000,308.0000,-0.13,308.4000,308.4000,312.2000,306.6000,136150970,419345,231582,74774,37,,,136150970.00,
23/02/2017,308.4000,308.4000,-0.74,310.7000,310.7000,314.0000,306.9000,136150970,419890,249386,80491,60,,,136150970.00,
22/02/2017,310.7000,310.7000,-3.12,320.7000,320.7000,319.9000,309.8000,136150970,423021,241617,77188,78,,,136150970.00,
21/02/2017,320.7000,320.7000,0.60,318.8000,318.8000,327.5000,313.9000,136150970,436636,487037,152209,94,,,136150970.00,
20/02/2017,318.8000,318.8000,-2.92,328.4000,328.4000,332.0000,316.2000,136150970,434049,305379,94656,109,,,136150970.00,
19/02/2017,328.4000,328.4000,1.58,319.0000,323.3000,331.7000,314.0000,136150970,447120,342433,104794,97,,,136150970.00,
16/02/2017,323.3000,323.3000,-0.15,319.0000,323.8000,333.5000,315.0000,136150970,440176,972255,296880,207,,,136150970.00,
15/02/2017,323.8000,323.8000,3.82,311.9000,311.9000,325.0000,309.4000,136150970,440857,743278,233674,156,,,136150970.00,
14/02/2017,311.9000,311.9000,0.39,310.7000,310.7000,319.1000,310.7000,136150970,424655,448792,143043,97,,,136150970.00,
13/02/2017,310.7000,310.7000,-0.35,311.8000,311.8000,318.3000,306.5000,136150970,423021,1024562,326161,168,,,136150970.00,
12/02/2017,311.8000,311.8000,-1.02,314.0000,315.0000,314.0000,295.0000,136150970,424519,1449016,473745,251,,,136150970.00,
09/02/2017,315.0000,315.0000,5.70,298.0000,298.0000,315.0000,278.9000,136150970,428876,4055808,1300128,235,,,134276381.00,
08/02/2017,298.0000,298.0000,2.02,294.0000,292.1000,298.7000,291.2000,136150970,405730,634888,214813,144,,,134276381.00,
07/02/2017,292.1000,292.1000,2.64,290.0000,284.6000,294.0000,288.4000,136150970,397697,976479,334923,184,,,134276381.00,
06/02/2017,284.6000,284.6000,2.97,276.4000,276.4000,287.0000,276.0000,136150970,387486,504133,177804,104,,,134276381.00,
05/02/2017,276.4000,276.4000,0.62,274.7000,274.7000,278.0000,272.0000,136150970,376321,613312,222518,82,,,134276381.00,
02/02/2017,274.7000,274.7000,-1.29,287.0000,278.3000,287.0000,270.3000,136150970,374007,509827,182388,121,,,134276381.00,
01/02/2017,278.3000,278.3000,1.79,278.0000,273.4000,290.0000,266.5000,136150970,378908,1461036,521260,259,,,134276381.00,
31/01/2017,273.4000,273.4000,-0.29,271.5000,274.2000,289.0000,264.0000,136150970,372237,1361172,492000,292,,,134276381.00,
30/01/2017,274.2000,274.2000,10.79,249.9000,247.5000,275.0000,246.0000,136150970,373326,1571698,591927,321,,,134276381.00,
29/01/2017,247.5000,247.5000,2.32,241.9000,241.9000,249.5000,241.4000,136150970,336974,214190,87223,66,,,134276381.00,
26/01/2017,241.9000,241.9000,-1.02,244.4000,244.4000,244.0000,238.2000,136150970,329349,183422,76034,55,,,134276381.00,
25/01/2017,244.4000,244.4000,0.91,248.7000,242.2000,248.7000,241.7000,136150970,332753,214889,87957,73,,,134276381.00,
24/01/2017,242.2000,242.2000,4.80,230.5000,231.1000,246.7000,230.5000,136150970,329758,582714,244477,177,,,134276381.00,
23/01/2017,231.1000,231.1000,-0.73,231.1000,232.8000,233.3000,230.7000,136150970,314645,369588,159476,84,,,134276381.00,
22/01/2017,232.8000,232.8000,-2.51,238.8000,238.8000,237.6000,232.0000,136150970,316959,398491,170256,100,,,134276381.00,
19/01/2017,238.8000,238.8000,-1.32,242.0000,242.0000,243.7000,238.0000,136150970,325129,126011,52507,53,,,134276381.00,
18/01/2017,242.0000,242.0000,-0.94,244.3000,244.3000,246.6000,241.0000,136150970,329485,191483,78969,68,,,134276381.00,
17/01/2017,244.3000,244.3000,0.70,242.6000,242.6000,244.9000,240.9000,136150970,332617,153647,63241,80,,,134276381.00,
16/01/2017,242.6000,242.6000,-1.10,245.3000,245.3000,246.6000,242.0000,136150970,330302,200358,82434,66,,,134276381.00,
15/01/2017,245.3000,245.3000,2.25,239.9000,239.9000,246.6000,241.4000,136150970,333978,121164,49722,37,,,134276381.00,
12/01/2017,239.9000,239.9000,0.59,238.5000,238.5000,242.5000,238.0000,136150970,326626,164356,68445,66,,,134276381.00,
11/01/2017,238.5000,238.5000,-1.41,240.1000,241.9000,240.1000,237.4000,136150970,324720,347936,146119,100,,,134276381.00,
10/01/2017,241.9000,241.9000,-2.30,245.1000,247.6000,247.6000,241.1000,136150970,329349,194295,79559,65,,,134276381.00,
09/01/2017,247.6000,247.6000,-0.20,248.1000,248.1000,248.1000,247.0000,136150970,337110,53341,21533,23,,,134276381.00,
08/01/2017,248.1000,248.1000,-1.08,248.0000,250.8000,254.9000,246.7000,136150970,337791,291687,117124,79,,,134276381.00,
05/01/2017,250.8000,250.8000,-0.91,253.1000,253.1000,257.8000,250.0000,136150970,341467,181858,72316,70,,,134276381.00,
04/01/2017,253.1000,253.1000,-1.06,256.0000,255.8000,257.6000,252.3000,136150970,344598,174499,68830,62,,,134276381.00,
03/01/2017,255.8000,255.8000,-0.47,259.0000,257.0000,262.5000,250.2000,136150970,348274,425603,164574,139,,,134276381.00,
02/01/2017,257.0000,257.0000,3.75,247.7000,247.7000,258.0000,247.7000,136150970,349908,370921,145647,113,,,134276381.00,
01/01/2017,247.7000,247.7000,2.99,240.5000,240.5000,251.0000,243.7000,136150970,337246,339755,137145,101,,,134276381.00,
29/12/2016,240.5000,240.5000,-0.33,239.0000,241.3000,245.0000,239.0000,136150970,327443,630487,262200,181,,,134276381.00,
28/12/2016,241.3000,241.3000,1.09,238.7000,238.7000,243.4000,236.8000,136150970,328532,522647,216978,150,,,134276381.00,
27/12/2016,238.7000,238.7000,2.62,230.0000,232.6000,243.7000,229.9000,136150970,324992,506329,213156,165,,,134276381.00,
26/12/2016,232.6000,232.6000,-1.06,235.1000,235.1000,245.6000,231.0000,136150970,316687,630817,269055,155,,,134276381.00,
25/12/2016,235.1000,235.1000,-1.96,236.3000,239.8000,236.3000,233.3000,136150970,320091,243536,103593,107,,,134276381.00,
22/12/2016,239.8000,239.8000,-1.52,242.0000,243.5000,243.7000,239.0000,136150970,326490,141205,58683,67,,,134276381.00,
21/12/2016,243.5000,243.5000,-1.42,246.2000,247.0000,246.7000,242.9000,136150970,331528,153849,62847,70,,,134276381.00,
20/12/2016,247.0000,247.0000,-1.00,249.5000,249.5000,251.8000,246.0000,136150970,336293,129546,52513,55,,,134276381.00,
19/12/2016,249.5000,249.5000,-1.66,253.8000,253.7000,254.8000,246.0000,136150970,339697,264037,105758,104,,,134276381.00,
18/12/2016,253.7000,253.7000,-1.17,256.2000,256.7000,257.2000,253.1000,136150970,345415,283403,111271,85,,,134276381.00,
15/12/2016,256.7000,256.7000,-2.25,262.6000,262.6000,262.6000,251.1000,136150970,349500,298025,116164,122,,,134276381.00,
14/12/2016,262.6000,262.6000,-1.76,265.0000,267.3000,269.3000,261.2000,136150970,357532,172421,65239,83,,,134276381.00,
13/12/2016,267.3000,267.3000,-0.15,267.7000,267.7000,269.1000,265.0000,136150970,363932,196440,73618,70,,,134276381.00,
12/12/2016,267.7000,267.7000,-1.69,268.6000,272.3000,274.1000,265.8000,136150970,364476,334490,124685,107,,,134276381.00,
11/12/2016,272.3000,272.3000,-0.11,270.2000,272.6000,273.0000,267.0000,136150970,370739,139291,51511,54,,,134276381.00,
08/12/2016,272.6000,272.6000,-0.04,272.7000,272.7000,275.0000,270.1000,136150970,371148,217331,79648,78,,,134276381.00,
07/12/2016,272.7000,272.7000,1.07,270.9000,269.8000,277.0000,270.9000,136150970,371284,153742,56269,56,,,134276381.00,
06/12/2016,269.8000,269.8000,1.20,267.0000,266.6000,274.9000,265.7000,136150970,367335,385195,142801,110,,,134276381.00,
05/12/2016,266.6000,266.6000,1.02,263.9000,263.9000,267.5000,264.0000,136150970,362978,105565,39616,27,,,134276381.00,
04/12/2016,263.9000,263.9000,-1.16,267.0000,267.0000,266.9000,263.7000,136150970,359302,124169,46889,45,,,134276381.00,
01/12/2016,267.0000,267.0000,-0.37,268.0000,268.0000,268.0000,266.9000,136150970,363523,87382,32710,34,,,134276381.00,
30/11/2016,268.0000,268.0000,-0.52,269.4000,269.4000,269.9000,267.0000,136150970,364885,88466,32972,32,,,134276381.00,
29/11/2016,269.4000,269.4000,-1.64,273.9000,273.9000,273.9000,268.0000,136150970,366791,203578,75373,51,,,134276381.00,
28/11/2016,273.9000,273.9000,-1.01,276.9000,276.7000,279.9000,272.5000,136150970,372918,175062,63857,51,,,134276381.00,
27/11/2016,276.7000,276.7000,0.22,276.1000,276.1000,277.7000,276.0000,136150970,376730,60981,22039,21,,,134276381.00,
