Historical Prices - CLAL INSURANCE - 00224014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6213.0000,6213.0000,-3.28,6443.0000,6424.0000,6487.0000,6213.0000,55426181,3443629,5287706,84120,496,,,55426181.00,
28/05/2017,6424.0000,6424.0000,0.39,6500.0000,6399.0000,6573.0000,6408.0000,55426181,3560578,5982905,91978,290,,,55426181.00,
25/05/2017,6399.0000,6399.0000,-0.40,6437.0000,6425.0000,6474.0000,6210.0000,55426181,3546721,4182745,65532,428,,,55426181.00,
24/05/2017,6425.0000,6425.0000,2.70,6256.0000,6256.0000,6439.0000,6265.0000,55426181,3561132,2903944,45392,361,,,55426181.00,
23/05/2017,6256.0000,6256.0000,2.73,6090.0000,6090.0000,6260.0000,6090.0000,55426181,3467462,2076796,33446,334,,,55426181.00,
22/05/2017,6090.0000,6090.0000,2.18,5964.0000,5960.0000,6115.0000,5964.0000,55426181,3375454,1931390,31806,270,,,55426181.00,
21/05/2017,5960.0000,5960.0000,1.00,5919.0000,5901.0000,6072.0000,5919.0000,55426181,3303400,1564589,26055,287,,,55426181.00,
18/05/2017,5901.0000,5901.0000,-2.22,6035.0000,6035.0000,6118.0000,5856.0000,55426181,3270699,4943677,83201,642,,,55426181.00,
17/05/2017,6035.0000,6035.0000,-3.44,6250.0000,6250.0000,6261.0000,6035.0000,55426181,3344970,4595699,74926,614,,,55426181.00,
16/05/2017,6250.0000,6250.0000,0.00,6250.0000,6250.0000,6288.0000,6206.0000,55426181,3464136,1827848,29317,262,,,55426181.00,
15/05/2017,6250.0000,6250.0000,-1.76,6381.0000,6362.0000,6395.0000,6184.0000,55426181,3464136,3695899,59084,465,,,55426181.00,
14/05/2017,6362.0000,6362.0000,0.11,6355.0000,6355.0000,6401.0000,6314.0000,55426181,3526214,1424285,22392,220,,,55426181.00,
11/05/2017,6355.0000,6355.0000,-0.36,6378.0000,6378.0000,6378.0000,6284.0000,55426181,3522334,2728032,43071,523,,,55426181.00,
10/05/2017,6378.0000,6378.0000,-0.31,6398.0000,6398.0000,6400.0000,6312.0000,55426181,3535082,7787488,122562,342,,,55426181.00,
09/05/2017,6398.0000,6398.0000,-0.03,6400.0000,6400.0000,6471.0000,6286.0000,55426181,3546167,5902422,92956,825,,,55426181.00,
08/05/2017,6400.0000,6400.0000,2.12,6270.0000,6267.0000,6431.0000,6270.0000,55426181,3547276,5723599,89437,692,,,55426181.00,
07/05/2017,6267.0000,6267.0000,3.81,6020.0000,6037.0000,6281.0000,6020.0000,55426181,3473559,3209045,51664,333,,,55426181.00,
04/05/2017,6037.0000,6037.0000,0.85,6016.0000,5986.0000,6129.0000,5969.0000,55426181,3346079,6588332,108992,501,,,55412244.00,
03/05/2017,5986.0000,5986.0000,3.76,5820.0000,5769.0000,6010.0000,5791.0000,55426181,3317811,3381395,56726,371,,,55412244.00,
30/04/2017,5769.0000,5769.0000,-1.89,5920.0000,5880.0000,5920.0000,5712.0000,55426181,3197536,1881964,32418,234,,,55412244.00,
27/04/2017,5880.0000,5880.0000,3.01,5840.0000,5708.0000,5880.0000,5770.0000,55426181,3259059,2959239,50695,316,,,55412244.00,
26/04/2017,5708.0000,5708.0000,1.71,5700.0000,5612.0000,5825.0000,5700.0000,55426181,3163726,4642913,80566,587,,,55412244.00,
25/04/2017,5612.0000,5612.0000,1.52,5528.0000,5528.0000,5627.0000,5528.0000,55426181,3110517,5293596,94805,531,,,55412244.00,
24/04/2017,5528.0000,5528.0000,2.11,5479.0000,5414.0000,5602.0000,5460.0000,55426181,3063959,3675422,66134,428,,,55412244.00,
23/04/2017,5414.0000,5414.0000,-0.95,5466.0000,5466.0000,5500.0000,5368.0000,55426181,3000773,1312526,24235,224,,,55412244.00,
