Historical Prices - COMPUGEN - 01085208
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1830.0000,1830.0000,1.27,1807.0000,1807.0000,1842.0000,1807.0000,51131534,935707,345887,18895,110,,,51131534.00,
28/05/2017,1807.0000,1807.0000,-4.69,1820.0000,1896.0000,1825.0000,1803.0000,51131534,923947,579483,31976,136,,,51131534.00,
25/05/2017,1896.0000,1896.0000,-0.73,1907.0000,1910.0000,1919.0000,1884.0000,51131534,969454,882558,46399,200,,,51131534.00,
24/05/2017,1910.0000,1910.0000,4.20,1895.0000,1833.0000,1917.0000,1886.0000,51131534,976612,1196066,62836,286,,,51131534.00,
23/05/2017,1833.0000,1833.0000,6.02,1780.0000,1729.0000,1846.0000,1780.0000,51131534,937241,1502357,82953,288,,,51131534.00,
22/05/2017,1729.0000,1729.0000,2.37,1719.0000,1689.0000,1746.0000,1665.0000,51131534,884064,1079139,62765,258,,,51131534.00,
21/05/2017,1689.0000,1689.0000,14.12,1665.0000,1480.0000,1729.0000,1656.0000,51131534,863612,1805211,107512,332,,,51131534.00,
18/05/2017,1480.0000,1480.0000,2.00,1451.0000,1451.0000,1495.0000,1465.0000,51131534,756747,897092,60657,209,,,51131534.00,
17/05/2017,1451.0000,1451.0000,-3.97,1512.0000,1511.0000,1512.0000,1444.0000,51131534,741919,812026,55271,217,,,51131534.00,
16/05/2017,1511.0000,1511.0000,-2.07,1545.0000,1543.0000,1545.0000,1490.0000,51131534,772597,871216,57679,208,,,51131534.00,
15/05/2017,1543.0000,1543.0000,0.92,1528.0000,1529.0000,1559.0000,1502.0000,51131534,788960,715570,46767,187,,,51131534.00,
14/05/2017,1529.0000,1529.0000,7.07,1428.0000,1428.0000,1535.0000,1428.0000,51131534,781801,679240,44664,159,,,51131534.00,
11/05/2017,1428.0000,1428.0000,0.14,1450.0000,1426.0000,1455.0000,1411.0000,51131534,730158,467829,32613,125,,,51131534.00,
10/05/2017,1426.0000,1426.0000,4.93,1398.0000,1359.0000,1450.0000,1398.0000,51131534,729136,801936,56125,208,,,51131534.00,
09/05/2017,1359.0000,1359.0000,2.41,1327.0000,1327.0000,1368.0000,1268.0000,51131534,694878,1229090,92979,273,,,51131534.00,
08/05/2017,1327.0000,1327.0000,-1.48,1348.0000,1347.0000,1348.0000,1323.0000,51131534,678515,311187,23330,113,,,51131534.00,
07/05/2017,1347.0000,1347.0000,-3.02,1336.0000,1389.0000,1351.0000,1327.0000,51131534,688742,319956,23798,110,,,51131534.00,
04/05/2017,1389.0000,1389.0000,-3.68,1430.0000,1442.0000,1439.0000,1381.0000,51131534,710217,742050,53146,165,,,51131534.00,
03/05/2017,1442.0000,1442.0000,-0.69,1453.0000,1452.0000,1459.0000,1438.0000,51131534,737317,410118,28379,112,,,51131534.00,
30/04/2017,1452.0000,1452.0000,-0.14,1480.0000,1454.0000,1480.0000,1440.0000,51131534,742430,120607,8299,56,,,51131534.00,
27/04/2017,1454.0000,1454.0000,1.39,1480.0000,1434.0000,1480.0000,1433.0000,51131534,743453,569528,38906,97,,,51131534.00,
26/04/2017,1434.0000,1434.0000,-1.31,1453.0000,1453.0000,1455.0000,1422.0000,51131534,733226,445048,31010,119,,,51131534.00,
25/04/2017,1453.0000,1453.0000,0.28,1449.0000,1449.0000,1477.0000,1440.0000,51131534,742941,369899,25415,109,,,51131534.00,
24/04/2017,1449.0000,1449.0000,-0.41,1455.0000,1455.0000,1476.0000,1440.0000,51131534,740896,212299,14629,96,,,51131534.00,
23/04/2017,1455.0000,1455.0000,-0.48,1462.0000,1462.0000,1464.0000,1445.0000,51131534,743964,274272,18868,68,,,51131534.00,
20/04/2017,1462.0000,1462.0000,-3.18,1470.0000,1510.0000,1480.0000,1458.0000,51131534,747543,740788,50533,154,,,51131534.00,
19/04/2017,1510.0000,1510.0000,-0.40,1515.0000,1516.0000,1525.0000,1490.0000,51131534,772086,147470,9783,71,,,51131534.00,
18/04/2017,1516.0000,1516.0000,0.86,1528.0000,1503.0000,1549.0000,1510.0000,51131534,775154,339546,22247,100,,,51131534.00,
13/04/2017,1503.0000,1503.0000,-0.40,1520.0000,1509.0000,1520.0000,1485.0000,51131534,768507,193560,12877,63,,,51131534.00,
12/04/2017,1509.0000,1509.0000,0.60,1501.0000,1500.0000,1524.0000,1498.0000,51131534,771575,185093,12272,50,,,51131534.00,
09/04/2017,1500.0000,1500.0000,-0.33,1524.0000,1505.0000,1524.0000,1482.0000,51131534,766973,178353,11874,59,,,51131534.00,
06/04/2017,1505.0000,1505.0000,-0.99,1519.0000,1520.0000,1519.0000,1485.0000,51131534,769530,669490,44565,142,,,50908454.00,
05/04/2017,1520.0000,1520.0000,2.01,1499.0000,1490.0000,1526.0000,1499.0000,51131534,777199,559348,36898,122,,,50908454.00,
04/04/2017,1490.0000,1490.0000,-2.80,1520.0000,1533.0000,1520.0000,1485.0000,51131534,761860,855308,57137,164,,,50908454.00,
03/04/2017,1533.0000,1533.0000,-0.97,1520.0000,1548.0000,1544.0000,1520.0000,51131534,783846,1010726,65841,260,,,50908454.00,
02/04/2017,1548.0000,1548.0000,0.58,1540.0000,1539.0000,1562.0000,1538.0000,51131534,791516,123087,7952,42,,,50908454.00,
30/03/2017,1539.0000,1539.0000,-1.35,1594.0000,1560.0000,1594.0000,1534.0000,51131534,786914,611751,39565,174,,,50908454.00,
29/03/2017,1560.0000,1560.0000,0.26,1556.0000,1556.0000,1573.0000,1544.0000,51131534,797652,610377,39127,154,,,50908454.00,
28/03/2017,1556.0000,1556.0000,1.50,1530.0000,1533.0000,1594.0000,1518.0000,51131534,795607,598554,38580,150,,,50908454.00,
27/03/2017,1533.0000,1533.0000,-0.71,1531.0000,1544.0000,1540.0000,1512.0000,51131534,783846,993468,65135,256,,,50908454.00,
26/03/2017,1544.0000,1544.0000,-0.39,1550.0000,1550.0000,1590.0000,1532.0000,51131534,789471,308883,19745,91,,,50908454.00,
23/03/2017,1550.0000,1550.0000,-0.26,1555.0000,1554.0000,1560.0000,1532.0000,51131534,792539,712248,46031,144,,,50908454.00,
22/03/2017,1554.0000,1554.0000,-1.83,1565.0000,1583.0000,1593.0000,1547.0000,51131534,794584,1150879,73401,317,,,50908454.00,
21/03/2017,1583.0000,1583.0000,0.57,1575.0000,1574.0000,1595.0000,1569.0000,51131534,809412,1106567,69933,247,,,50908454.00,
20/03/2017,1574.0000,1574.0000,0.38,1568.0000,1568.0000,1583.0000,1568.0000,51131534,804810,383101,24306,118,,,50908454.00,
19/03/2017,1568.0000,1568.0000,1.55,1575.0000,1544.0000,1575.0000,1560.0000,51131534,801742,388016,24769,99,,,50908454.00,
16/03/2017,1544.0000,1544.0000,-5.85,1640.0000,1640.0000,1642.0000,1544.0000,51131534,789471,13981483,901389,426,,,50908454.00,
15/03/2017,1640.0000,1640.0000,-1.74,1623.0000,1669.0000,1659.0000,1623.0000,51131534,838557,422539,25752,147,,,50908454.00,
14/03/2017,1669.0000,1669.0000,-3.19,1724.0000,1724.0000,1731.0000,1660.0000,51131534,853385,634411,37252,194,,,50908454.00,
13/03/2017,1724.0000,1724.0000,2.68,1700.0000,1679.0000,1735.0000,1700.0000,51131534,881508,389928,22673,126,,,50908454.00,
09/03/2017,1679.0000,1679.0000,3.77,1659.0000,1618.0000,1690.0000,1635.0000,51131534,858498,1657973,99982,314,,,50908454.00,
