Historical Prices - CYREN - 01083237
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,782.6000,782.6000,-0.47,786.3000,786.3000,790.0000,777.0000,39121098,306162,346074,44256,90,,,39121098.00,
28/05/2017,786.3000,786.3000,-3.78,802.0000,817.2000,802.1000,780.3000,39121098,307609,432731,54912,99,,,39121098.00,
25/05/2017,817.2000,817.2000,0.12,829.0000,816.2000,829.0000,814.3000,39121098,319698,464058,56470,88,,,39121098.00,
24/05/2017,816.2000,816.2000,2.86,793.5000,793.5000,821.0000,806.4000,39121098,319306,1357933,166539,407,,,39121098.00,
23/05/2017,793.5000,793.5000,0.38,790.5000,790.5000,807.0000,787.5000,39121098,310426,493817,61662,171,,,39121098.00,
22/05/2017,790.5000,790.5000,2.25,770.0000,773.1000,840.0000,770.0000,39121098,309252,934538,115964,292,,,39121098.00,
21/05/2017,773.1000,773.1000,0.99,765.5000,765.5000,798.9000,722.6000,39121098,302445,342981,44887,76,,,39121098.00,
18/05/2017,765.5000,765.5000,1.02,758.0000,757.8000,794.4000,727.2000,39121098,299472,591484,76598,121,,,39121098.00,
17/05/2017,757.8000,757.8000,-3.07,782.0000,781.8000,813.5000,737.2000,39121098,296460,588719,76213,149,,,39121098.00,
16/05/2017,781.8000,781.8000,-10.03,840.0000,869.0000,896.0000,757.0000,39121098,305849,3068406,366787,642,,,39121098.00,
15/05/2017,869.0000,869.0000,17.13,741.9000,741.9000,1000.0000,746.8000,39121098,339962,6350591,691153,1186,,,39121098.00,
14/05/2017,741.9000,741.9000,1.97,727.6000,727.6000,748.6000,727.9000,39121098,290239,73599,9908,30,,,39121098.00,
11/05/2017,727.6000,727.6000,0.12,726.7000,726.7000,729.2000,726.0000,39121098,284645,70591,9703,22,,,39121098.00,
10/05/2017,726.7000,726.7000,0.60,722.4000,722.4000,733.0000,721.9000,39121098,284293,131517,18077,30,,,39121098.00,
09/05/2017,722.4000,722.4000,2.56,704.4000,704.4000,729.3000,709.8000,39121098,282611,79035,11016,21,,,39121098.00,
08/05/2017,704.4000,704.4000,-0.06,710.0000,704.8000,710.2000,698.8000,39121098,275569,72173,10236,23,,,39121098.00,
07/05/2017,704.8000,704.8000,0.10,704.1000,704.1000,707.4000,703.0000,39121098,275726,18411,2612,8,,,39121098.00,
04/05/2017,704.1000,704.1000,-1.36,713.8000,713.8000,712.1000,700.1000,39121098,275452,523382,74272,33,,,39121098.00,
03/05/2017,713.8000,713.8000,-3.23,737.1000,737.6000,737.1000,709.1000,39121098,279246,58404,8134,17,,,39121098.00,
30/04/2017,737.6000,737.6000,0.24,735.8000,735.8000,749.6000,733.0000,39121098,288557,42684,5788,21,,,39121098.00,
27/04/2017,735.8000,735.8000,-0.57,740.0000,740.0000,745.0000,700.0000,39121098,287853,134072,18362,34,,,39121098.00,
26/04/2017,740.0000,740.0000,0.45,736.7000,736.7000,743.5000,737.5000,39121098,289496,29911,4042,12,,,39121098.00,
25/04/2017,736.7000,736.7000,3.45,712.1000,712.1000,747.0000,711.5000,39121098,288205,50935,6914,16,,,39121098.00,
24/04/2017,712.1000,712.1000,2.92,691.9000,691.9000,731.2000,692.4000,39121098,278581,110993,15681,29,,,39121098.00,
23/04/2017,691.9000,691.9000,-0.32,690.0000,694.1000,701.0000,688.0000,39121098,270679,82404,11911,30,,,39121098.00,
20/04/2017,694.1000,694.1000,-2.07,708.8000,708.8000,708.3000,692.8000,39121098,271540,104778,15095,18,,,39121098.00,
19/04/2017,708.8000,708.8000,-2.45,726.6000,726.6000,726.1000,678.3000,39121098,277290,193372,27690,43,,,39121098.00,
