Historical Prices - DANEL - 00314013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,18340.0000,18340.0000,0.94,18170.0000,18170.0000,18500.0000,18170.0000,4851116,889695,1002292,5463,165,,,4851116.00,
28/05/2017,18170.0000,18170.0000,0.72,18090.0000,18040.0000,18670.0000,17640.0000,4851116,881448,1383103,7631,217,,,4851116.00,
25/05/2017,18040.0000,18040.0000,2.68,17620.0000,17570.0000,18100.0000,17620.0000,4851116,875141,2265679,12783,240,,,4851116.00,
24/05/2017,17570.0000,17570.0000,6.48,16500.0000,16500.0000,17690.0000,16440.0000,4851116,852341,3470092,19935,312,,,4851116.00,
23/05/2017,16500.0000,16500.0000,0.24,16540.0000,16460.0000,16540.0000,16410.0000,4851116,800434,907710,5508,162,,,4851116.00,
22/05/2017,16460.0000,16460.0000,3.00,16770.0000,15980.0000,16770.0000,16050.0000,4851116,798494,514588,3138,98,,,4851116.00,
21/05/2017,15980.0000,15980.0000,-0.19,16060.0000,16010.0000,16420.0000,15910.0000,4851116,775208,826168,5116,121,,,4851116.00,
18/05/2017,16010.0000,16010.0000,-2.14,16210.0000,16360.0000,16290.0000,16000.0000,4851116,776664,1154933,7166,192,,,4851116.00,
17/05/2017,16360.0000,16360.0000,-3.37,16980.0000,16930.0000,17220.0000,16320.0000,4851116,793643,1887469,11381,223,,,4851116.00,
16/05/2017,16930.0000,16930.0000,1.14,16740.0000,16740.0000,16980.0000,16700.0000,4851116,821294,503275,2990,106,,,4851116.00,
15/05/2017,16740.0000,16740.0000,-1.99,17100.0000,17080.0000,17100.0000,16710.0000,4851116,812077,1280093,7594,187,,,4851116.00,
