Historical Prices - DELTA - 00627034
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,10780.0000,10780.0000,1.41,10560.0000,10630.0000,10900.0000,10560.0000,25359052,2733706,5156815,47982,202,,,25356097.00,
28/05/2017,10630.0000,10630.0000,-1.85,10900.0000,10830.0000,10980.0000,10610.0000,25359052,2695667,1173704,10820,185,,,25356097.00,
25/05/2017,10830.0000,10830.0000,0.56,10770.0000,10770.0000,10850.0000,10700.0000,25359052,2746385,1847617,17135,261,EX D,0.99630,25356097.00,
24/05/2017,10770.0030,10810.0000,-0.83,10980.0000,10900.0000,10980.0000,10790.0000,25359052,2741314,950116,8731,150,,,25356097.00,
23/05/2017,10859.6700,10900.0000,1.30,10760.0000,10760.0000,10930.0000,10710.0000,25359052,2764137,1135637,10472,148,,,25356097.00,
22/05/2017,10720.1880,10760.0000,1.32,10620.0000,10620.0000,10790.0000,10660.0000,25359052,2728634,1304914,12169,157,,,25356097.00,
21/05/2017,10580.7060,10620.0000,1.14,10780.0000,10500.0000,10780.0000,10600.0000,25359052,2693131,1102134,10284,146,,,25356097.00,
18/05/2017,10461.1500,10500.0000,-1.78,10660.0000,10690.0000,10730.0000,10490.0000,25359052,2662700,3339518,31531,283,,,25356097.00,
17/05/2017,10650.4470,10690.0000,0.85,10300.0000,10600.0000,10840.0000,10300.0000,25359052,2710883,10430104,97172,523,,,25356097.00,
16/05/2017,10560.7800,10600.0000,-0.47,10640.0000,10650.0000,10640.0000,10500.0000,25359052,2688060,2680323,25407,284,,,25356097.00,
15/05/2017,10610.5950,10650.0000,-2.29,10800.0000,10900.0000,10800.0000,10480.0000,25359052,2700739,5868248,55146,513,,,25356097.00,
14/05/2017,10859.6700,10900.0000,-1.71,11070.0000,11090.0000,11080.0000,10870.0000,25359052,2764137,2504390,22910,222,,,25356097.00,
11/05/2017,11048.9670,11090.0000,-1.86,11300.0000,11300.0000,11400.0000,11070.0000,25359052,2812319,2760730,24745,255,,,25356097.00,
10/05/2017,11258.1900,11300.0000,1.35,11150.0000,11150.0000,11440.0000,11110.0000,25359052,2865573,2628495,23220,241,,,25356097.00,
09/05/2017,11108.7450,11150.0000,0.72,11070.0000,11070.0000,11250.0000,11040.0000,25359052,2827534,2129319,19129,234,,,25356097.00,
08/05/2017,11029.0410,11070.0000,-0.45,11170.0000,11120.0000,11170.0000,10990.0000,25359052,2807247,3670992,33142,244,,,25356097.00,
07/05/2017,11078.8560,11120.0000,1.00,11000.0000,11010.0000,11150.0000,10950.0000,25359052,2819927,810959,7321,111,,,25356097.00,
04/05/2017,10969.2630,11010.0000,0.64,10940.0000,10940.0000,11060.0000,10870.0000,25357552,2791866,2125242,19336,227,,,25353222.00,
03/05/2017,10899.5220,10940.0000,-0.09,10950.0000,10950.0000,10970.0000,10820.0000,25357487,2774109,1931488,17713,237,,,25353222.00,
30/04/2017,10909.4850,10950.0000,-1.53,11100.0000,11120.0000,11140.0000,10900.0000,25357097,2776602,2227253,20241,174,,,25353222.00,
27/04/2017,11078.8560,11120.0000,-0.18,11190.0000,11140.0000,11190.0000,10930.0000,25357097,2819709,2505688,22555,276,,,25353222.00,
26/04/2017,11098.7820,11140.0000,1.92,10950.0000,10930.0000,11150.0000,10920.0000,25357097,2824781,3327342,30226,344,,,25353222.00,
25/04/2017,10889.5590,10930.0000,1.49,10770.0000,10770.0000,10940.0000,10650.0000,25357097,2771531,4038327,37189,391,,,25353222.00,
24/04/2017,10730.1510,10770.0000,0.84,10690.0000,10680.0000,10900.0000,10690.0000,25357097,2730959,3750922,34626,380,,,25353222.00,
23/04/2017,10640.4840,10680.0000,-1.48,10730.0000,10840.0000,10840.0000,10510.0000,25356097,2708031,2465913,23012,216,,,25353222.00,
20/04/2017,10799.8920,10840.0000,0.46,10790.0000,10790.0000,10900.0000,10650.0000,25356097,2748601,3302048,30645,268,,,25353222.00,
19/04/2017,10750.0770,10790.0000,4.05,10480.0000,10370.0000,10800.0000,10410.0000,25356097,2735923,4422732,41378,342,,,25353222.00,
18/04/2017,10331.6310,10370.0000,2.07,10160.0000,10160.0000,10520.0000,9901.0000,25356097,2629427,2535156,24835,311,,,25353222.00,
13/04/2017,10122.4080,10160.0000,-1.26,10220.0000,10290.0000,10300.0000,10140.0000,25353597,2575925,1127175,11018,145,,,25353222.00,
12/04/2017,10251.9270,10290.0000,-1.06,10400.0000,10400.0000,10430.0000,10230.0000,25353597,2608885,818304,7938,156,,,25353222.00,
09/04/2017,10361.5200,10400.0000,-0.76,10480.0000,10480.0000,10480.0000,10340.0000,25353597,2636774,987147,9484,121,,,25353222.00,
06/04/2017,10441.2240,10480.0000,-0.10,10540.0000,10490.0000,10560.0000,10310.0000,25353597,2657057,1778558,17010,218,,,25344220.00,
05/04/2017,10451.1870,10490.0000,2.14,10430.0000,10270.0000,10500.0000,10290.0000,25353597,2659592,1665821,16024,189,,,25344220.00,
04/04/2017,10232.0010,10270.0000,-0.39,10220.0000,10310.0000,10430.0000,10220.0000,25353597,2603814,2487205,24074,299,,,25344220.00,
03/04/2017,10271.8530,10310.0000,2.79,10090.0000,10030.0000,10350.0000,10040.0000,25353597,2613956,3677892,35892,465,,,25344220.00,
02/04/2017,9992.8890,10030.0000,1.52,9880.0000,9880.0000,10090.0000,9880.0000,25353597,2542966,1018228,10173,153,,,25344220.00,
30/03/2017,9843.4440,9880.0000,-0.36,9980.0000,9916.0000,9980.0000,9867.0000,25353597,2504935,1892835,19102,240,,,25344220.00,
29/03/2017,9879.3108,9916.0000,2.76,9767.0000,9650.0000,9950.0000,9650.0000,25353597,2514063,2246096,22959,338,,,25344220.00,
28/03/2017,9614.2950,9650.0000,-0.06,9614.0000,9656.0000,9750.0000,9613.0000,25353597,2446622,2240462,23223,267,,,25344220.00,
27/03/2017,9620.2728,9656.0000,-1.48,9763.0000,9801.0000,9830.0000,9645.0000,25353222,2448107,1762445,18162,240,,,25344220.00,
26/03/2017,9764.7363,9801.0000,-0.42,9755.0000,9842.0000,9883.0000,9755.0000,25353222,2484869,1538600,15711,181,,,25344220.00,
23/03/2017,9805.5846,9842.0000,0.92,9710.0000,9752.0000,9894.0000,9654.0000,25353222,2495264,2500448,25651,309,,,25344220.00,
22/03/2017,9715.9176,9752.0000,-0.89,9798.0000,9840.0000,9810.0000,9706.0000,25353222,2472446,2161249,22178,290,,,25344220.00,
21/03/2017,9803.5920,9840.0000,-0.35,9850.0000,9875.0000,9984.0000,9816.0000,25353222,2494757,1204829,12166,182,,,25344220.00,
20/03/2017,9838.4625,9875.0000,-0.68,9900.0000,9943.0000,9915.0000,9860.0000,25353222,2503631,1543281,15620,170,,,25344220.00,
19/03/2017,9906.2109,9943.0000,-0.67,9910.0000,10010.0000,10080.0000,9850.0000,25353222,2520871,1909964,19126,201,,,25344220.00,
16/03/2017,9972.9630,10010.0000,1.36,9876.0000,9876.0000,10010.0000,9841.0000,25353222,2537858,2960991,29913,336,,,25344220.00,
