Historical Prices - DEXIA ISRAEL - 00711010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,112800.0000,112800.0000,3.58,106600.0000,108900.0000,113500.0000,106600.0000,882900,995911,5009810,4504,189,,,752831.00,
28/05/2017,108900.0000,108900.0000,1.49,107700.0000,107300.0000,111900.0000,105900.0000,882900,961478,4229777,3902,190,,,752831.00,
25/05/2017,107300.0000,107300.0000,-0.46,107800.0000,107800.0000,108200.0000,106900.0000,882900,947352,131439,122,47,,,752831.00,
24/05/2017,107800.0000,107800.0000,-0.46,108300.0000,108300.0000,108900.0000,106700.0000,882900,951766,84182,78,34,,,752831.00,
23/05/2017,108300.0000,108300.0000,3.44,104700.0000,104700.0000,109200.0000,106000.0000,882900,956181,122593,114,36,,,752831.00,
22/05/2017,104700.0000,104700.0000,0.10,104600.0000,104600.0000,105900.0000,104000.0000,882900,924396,158344,151,45,,,752831.00,
21/05/2017,104600.0000,104600.0000,1.36,103200.0000,103200.0000,106000.0000,102800.0000,882900,923513,472941,454,66,,,752831.00,
18/05/2017,103200.0000,103200.0000,-0.77,104000.0000,104000.0000,104400.0000,102400.0000,882900,911153,267349,258,51,,,752831.00,
17/05/2017,104000.0000,104000.0000,-3.17,107400.0000,107400.0000,108000.0000,103200.0000,882900,918216,958618,921,121,,,752831.00,
16/05/2017,107400.0000,107400.0000,-0.46,107900.0000,107900.0000,108300.0000,106800.0000,882900,948235,307231,286,59,,,752831.00,
15/05/2017,107900.0000,107900.0000,-0.92,108900.0000,108900.0000,109000.0000,107300.0000,832839,898633,794241,734,68,,,752831.00,
14/05/2017,108900.0000,108900.0000,-0.73,109700.0000,109700.0000,110400.0000,107800.0000,832839,906962,237104,217,35,,,752831.00,
11/05/2017,109700.0000,109700.0000,0.37,109300.0000,109300.0000,110300.0000,108900.0000,832839,913624,76761,70,23,,,752831.00,
10/05/2017,109300.0000,109300.0000,-0.55,109900.0000,109900.0000,109900.0000,108600.0000,832839,910293,176289,161,36,,,752831.00,
09/05/2017,109900.0000,109900.0000,-0.45,110400.0000,110400.0000,111000.0000,108000.0000,832839,915290,906038,827,105,,,752831.00,
08/05/2017,110400.0000,110400.0000,-0.45,110900.0000,110900.0000,111700.0000,110000.0000,832839,919454,424934,383,46,,,752831.00,
07/05/2017,110900.0000,110900.0000,0.27,110600.0000,110600.0000,111400.0000,110700.0000,832839,923618,231151,208,32,,,752831.00,
04/05/2017,110600.0000,110600.0000,-0.45,111100.0000,111100.0000,111200.0000,109800.0000,832839,921120,186819,169,39,,,752831.00,
03/05/2017,111100.0000,111100.0000,0.09,111000.0000,111000.0000,111600.0000,110800.0000,832839,925284,669714,603,49,,,752831.00,
30/04/2017,111000.0000,111000.0000,0.45,110500.0000,110500.0000,111100.0000,109700.0000,832839,924451,232084,210,28,,,752831.00,
27/04/2017,110500.0000,110500.0000,-0.45,113900.0000,111000.0000,113900.0000,109800.0000,832839,920287,605714,543,67,,,752831.00,
26/04/2017,111000.0000,111000.0000,0.00,111000.0000,111000.0000,111600.0000,110000.0000,832839,924451,357370,322,37,,,752831.00,
25/04/2017,111000.0000,111000.0000,0.45,110500.0000,110500.0000,111700.0000,110600.0000,752831,835642,561884,506,56,,,752831.00,
24/04/2017,110500.0000,110500.0000,-0.81,111400.0000,111400.0000,112400.0000,109400.0000,752831,831878,2218023,1993,154,,,752831.00,
23/04/2017,111400.0000,111400.0000,-1.42,113100.0000,113000.0000,113600.0000,111200.0000,752831,838654,2498184,2218,146,,,752831.00,
20/04/2017,113000.0000,113000.0000,3.57,110300.0000,109100.0000,116500.0000,109000.0000,752831,850699,4761405,4228,281,,,752831.00,
19/04/2017,109100.0000,109100.0000,8.88,106500.0000,100200.0000,109800.0000,106500.0000,752831,821339,9773560,8969,270,,,752831.00,
18/04/2017,100200.0000,100200.0000,-1.28,101500.0000,101500.0000,102900.0000,99500.0000,752831,754337,64153,64,22,,,752831.00,
13/04/2017,101500.0000,101500.0000,-1.36,102900.0000,102900.0000,102700.0000,101100.0000,752831,764123,93415,92,24,,,752831.00,
12/04/2017,102900.0000,102900.0000,0.59,102300.0000,102300.0000,103500.0000,101300.0000,752831,774663,173530,169,21,,,752831.00,
09/04/2017,102300.0000,102300.0000,0.10,102200.0000,102200.0000,102800.0000,101500.0000,752831,770146,214232,209,21,,,752831.00,
06/04/2017,102200.0000,102200.0000,1.19,101000.0000,101000.0000,102500.0000,100200.0000,752831,769393,261064,256,53,,,752831.00,
05/04/2017,101000.0000,101000.0000,1.44,99570.0000,99570.0000,101900.0000,99400.0000,752831,760359,66612,66,18,,,752831.00,
04/04/2017,99570.0000,99570.0000,0.28,99290.0000,99290.0000,99790.0000,99290.0000,752831,749594,51774,52,22,,,752831.00,
03/04/2017,99290.0000,99290.0000,0.64,98660.0000,98660.0000,99570.0000,98500.0000,752831,747486,174095,176,64,,,752831.00,
02/04/2017,98660.0000,98660.0000,0.41,98250.0000,98260.0000,98930.0000,98250.0000,752831,742743,185463,188,100,,,752831.00,
30/03/2017,98260.0000,98260.0000,0.77,97510.0000,97510.0000,98690.0000,97200.0000,752831,739732,176080,180,52,,,752831.00,
29/03/2017,97510.0000,97510.0000,-1.05,98540.0000,98540.0000,98210.0000,97500.0000,752831,734086,379736,389,77,,,752831.00,
