Historical Prices - DIMRI - 01090315
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6447.0000,6447.0000,-1.98,6577.0000,6577.0000,6597.0000,6338.0000,17935205,1156283,520164,8017,104,,,17935205.00,
28/05/2017,6577.0000,6577.0000,-1.10,6630.0000,6650.0000,6631.0000,6447.0000,17935205,1179598,3796031,57595,114,,,17935205.00,
25/05/2017,6650.0000,6650.0000,-0.03,6599.0000,6652.0000,6800.0000,6550.0000,17935205,1192691,259521,3895,66,,,17935205.00,
24/05/2017,6652.0000,6652.0000,0.47,6621.0000,6621.0000,6675.0000,6493.0000,17935205,1193050,266520,4027,73,,,17935205.00,
23/05/2017,6621.0000,6621.0000,0.61,6601.0000,6581.0000,6630.0000,6591.0000,17935205,1187490,263273,3976,64,,,17935205.00,
22/05/2017,6581.0000,6581.0000,3.26,6373.0000,6373.0000,6692.0000,6354.0000,17935205,1180316,343372,5248,92,,,17935205.00,
21/05/2017,6373.0000,6373.0000,0.24,6354.0000,6358.0000,6434.0000,6330.0000,17935205,1143011,177191,2779,69,,,17935205.00,
18/05/2017,6358.0000,6358.0000,-2.35,6511.0000,6511.0000,6492.0000,6347.0000,17935205,1140320,295866,4642,71,,,17935205.00,
17/05/2017,6511.0000,6511.0000,-3.10,6738.0000,6719.0000,6738.0000,6505.0000,17935205,1167761,695039,10594,137,,,17935205.00,
16/05/2017,6719.0000,6719.0000,-0.18,6731.0000,6731.0000,6820.0000,6696.0000,17935205,1205066,376864,5587,62,,,17935205.00,
15/05/2017,6731.0000,6731.0000,-0.77,6783.0000,6783.0000,6783.0000,6605.0000,17935205,1207219,458543,6823,94,,,17935205.00,
14/05/2017,6783.0000,6783.0000,0.00,6783.0000,6783.0000,6823.0000,6764.0000,17935205,1216545,324181,4779,70,,,17935205.00,
11/05/2017,6783.0000,6783.0000,0.71,6735.0000,6735.0000,6804.0000,6719.0000,17935205,1216545,345298,5104,76,,,17935205.00,
10/05/2017,6735.0000,6735.0000,2.70,6558.0000,6558.0000,6790.0000,6565.0000,17935205,1207936,394296,5916,58,,,17935205.00,
