Historical Prices - DIRECT INSURANC - 01083682
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3848.0000,3848.0000,-0.08,3851.0000,3851.0000,3856.0000,3813.0000,49391182,1900573,831272,21662,134,,,49391182.00,
28/05/2017,3851.0000,3851.0000,0.34,3880.0000,3838.0000,3880.0000,3808.0000,49391182,1902054,610139,15839,122,,,49391182.00,
25/05/2017,3838.0000,3838.0000,-0.85,3867.0000,3871.0000,3890.0000,3813.0000,49391182,1895634,727064,18914,150,,,49391182.00,
24/05/2017,3871.0000,3871.0000,-1.20,3906.0000,3918.0000,3906.0000,3813.0000,49391182,1911933,2054976,53419,241,,,49391182.00,
23/05/2017,3918.0000,3918.0000,2.22,3822.0000,3833.0000,3942.0000,3807.0000,49391182,1935147,2289378,59092,235,,,49391182.00,
22/05/2017,3833.0000,3833.0000,1.56,3774.0000,3774.0000,3850.0000,3785.0000,49391182,1893164,925376,24227,135,,,49391182.00,
21/05/2017,3774.0000,3774.0000,0.83,3746.0000,3743.0000,3789.0000,3732.0000,49391182,1864023,1274418,33842,213,,,49391182.00,
18/05/2017,3743.0000,3743.0000,-1.71,3797.0000,3808.0000,3808.0000,3715.0000,49391182,1848712,2446363,65055,262,,,49391182.00,
17/05/2017,3808.0000,3808.0000,1.87,3727.0000,3738.0000,3846.0000,3667.0000,49391182,1880816,4185646,110361,443,,,49391182.00,
16/05/2017,3738.0000,3738.0000,0.00,3730.0000,3738.0000,3768.0000,3705.0000,49391182,1846242,1702042,45713,253,,,49391182.00,
15/05/2017,3738.0000,3738.0000,-1.35,3750.0000,3789.0000,3786.0000,3716.0000,49391182,1846242,3817057,102045,325,,,49391182.00,
14/05/2017,3789.0000,3789.0000,1.17,3745.0000,3745.0000,3820.0000,3749.0000,49391182,1871432,1328659,35074,144,,,49391182.00,
11/05/2017,3745.0000,3745.0000,0.70,3729.0000,3719.0000,3783.0000,3688.0000,49391182,1849700,4048059,107709,270,,,49391182.00,
10/05/2017,3719.0000,3719.0000,0.79,3690.0000,3690.0000,3814.0000,3681.0000,49391182,1836858,1284377,34468,169,,,49391182.00,
09/05/2017,3690.0000,3690.0000,-0.27,3700.0000,3700.0000,3719.0000,3633.0000,49391182,1822535,1455599,39510,200,,,49391182.00,
08/05/2017,3700.0000,3700.0000,5.11,3640.0000,3520.0000,3753.0000,3590.0000,49391182,1827474,17274603,470835,878,,,49391182.00,
07/05/2017,3520.0000,3520.0000,1.44,3470.0000,3470.0000,3520.0000,3470.0000,49391182,1738570,877879,25019,146,,,49391182.00,
04/05/2017,3470.0000,3470.0000,0.09,3467.0000,3467.0000,3515.0000,3451.0000,49391182,1713874,925399,26670,147,,,49391182.00,
03/05/2017,3467.0000,3467.0000,0.58,3470.0000,3447.0000,3518.0000,3458.0000,49391182,1712392,1548348,44500,229,,,49391182.00,
30/04/2017,3447.0000,3447.0000,-0.14,3452.0000,3452.0000,3501.0000,3425.0000,49391182,1702514,383054,11141,73,,,49391182.00,
