Historical Prices - DISCOUNT INV - 00639013
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1549.0000,1549.0000,-2.02,1580.0000,1581.0000,1590.0000,1536.0000,150589456,2332631,3704110,237187,442,,,150566982.00,
28/05/2017,1581.0000,1581.0000,-1.50,1600.0000,1605.0000,1600.0000,1574.0000,150589456,2380819,1772903,112108,241,,,150566982.00,
25/05/2017,1605.0000,1605.0000,0.31,1600.0000,1600.0000,1610.0000,1584.0000,150589456,2416961,1236863,77632,210,,,150566982.00,
24/05/2017,1600.0000,1600.0000,-1.11,1619.0000,1618.0000,1625.0000,1569.0000,150588896,2409422,10126569,629423,585,,,150566982.00,
23/05/2017,1618.0000,1618.0000,0.12,1619.0000,1616.0000,1624.0000,1614.0000,150586266,2436486,2914704,179985,291,,,150566982.00,
22/05/2017,1616.0000,1616.0000,2.34,1595.0000,1579.0000,1617.0000,1584.0000,150582840,2433419,3176945,197907,350,,,150566982.00,
21/05/2017,1579.0000,1579.0000,3.07,1552.0000,1532.0000,1583.0000,1552.0000,150580930,2377673,999384,63367,210,,,150566982.00,
18/05/2017,1532.0000,1532.0000,-1.92,1560.0000,1562.0000,1560.0000,1505.0000,150580930,2306900,4117782,270606,547,,,150566982.00,
17/05/2017,1562.0000,1562.0000,-2.07,1600.0000,1595.0000,1601.0000,1545.0000,150580400,2352066,4512125,288985,556,,,150566982.00,
16/05/2017,1595.0000,1595.0000,-1.18,1623.0000,1614.0000,1628.0000,1581.0000,150577202,2401706,2835243,176981,367,,,150566982.00,
15/05/2017,1614.0000,1614.0000,-0.49,1630.0000,1622.0000,1635.0000,1590.0000,150577202,2430316,2855471,176449,314,,,150566982.00,
14/05/2017,1622.0000,1622.0000,2.01,1590.0000,1590.0000,1629.0000,1571.0000,150575731,2442338,3027466,188262,298,,,150566982.00,
11/05/2017,1590.0000,1590.0000,-0.75,1610.0000,1602.0000,1630.0000,1583.0000,150574006,2394127,4316711,268593,450,,,150566982.00,
10/05/2017,1602.0000,1602.0000,2.76,1563.0000,1559.0000,1606.0000,1537.0000,150572606,2412173,6987113,439301,595,,,150566982.00,
09/05/2017,1559.0000,1559.0000,4.63,1490.0000,1490.0000,1564.0000,1485.0000,150570352,2347392,5321096,347300,623,,,150566982.00,
08/05/2017,1490.0000,1490.0000,1.43,1473.0000,1469.0000,1492.0000,1469.0000,150567609,2243457,3267308,220497,318,,,150566982.00,
07/05/2017,1469.0000,1469.0000,0.00,1468.0000,1469.0000,1489.0000,1460.0000,150566982,2211829,2522510,171342,279,,,150566982.00,
04/05/2017,1469.0000,1469.0000,-0.20,1476.0000,1472.0000,1485.0000,1468.0000,150566982,2211829,10450311,709960,424,,,119634573.00,
03/05/2017,1472.0000,1472.0000,0.96,1458.0000,1458.0000,1480.0000,1458.0000,150566982,2216346,3473576,236258,389,,,119634573.00,
30/04/2017,1458.0000,1458.0000,-0.14,1470.0000,1460.0000,1470.0000,1453.0000,150566982,2195267,1627294,111563,158,,,119634573.00,
27/04/2017,1460.0000,1460.0000,0.69,1465.0000,1450.0000,1472.0000,1449.0000,150566982,2198278,3113714,213201,393,,,119634573.00,
26/04/2017,1450.0000,1450.0000,-1.02,1465.0000,1465.0000,1465.0000,1434.0000,150566982,2183221,5086126,352440,788,,,119634573.00,
25/04/2017,1465.0000,1465.0000,-0.07,1469.0000,1466.0000,1484.0000,1453.0000,150566982,2205806,4936562,335091,476,,,119634573.00,
24/04/2017,1466.0000,1466.0000,2.23,1449.0000,1434.0000,1470.0000,1444.0000,150566982,2207312,5754496,394375,716,,,119634573.00,
23/04/2017,1434.0000,1434.0000,-0.83,1446.0000,1446.0000,1454.0000,1408.0000,150566982,2159131,1953956,136526,261,,,119634573.00,
20/04/2017,1446.0000,1446.0000,0.42,1449.0000,1440.0000,1461.0000,1436.0000,150566982,2177199,5930494,409124,492,,,119634573.00,
