Historical Prices - DISCOUNT - 00691212
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,920.4000,920.4000,0.45,917.0000,916.3000,926.8000,908.4000,1164016993,10713612,17529994,1905865,764,,,1164016993.00,
28/05/2017,916.3000,916.3000,1.47,906.5000,903.0000,917.0000,901.6000,1164016993,10665888,50169983,5529471,704,,,1164016993.00,
25/05/2017,903.0000,903.0000,1.69,883.6000,888.0000,904.2000,883.0000,1164016993,10511073,58477537,6587451,1052,,,1164016993.00,
24/05/2017,888.0000,888.0000,-1.36,897.5000,900.2000,901.0000,881.3000,1164016993,10336471,25580787,2881575,1439,,,1164016993.00,
23/05/2017,900.2000,900.2000,-1.29,912.0000,912.0000,915.8000,894.3000,1164016993,10478481,15874581,1752288,915,,,1164016993.00,
22/05/2017,912.0000,912.0000,0.45,905.0000,907.9000,919.2000,905.0000,1164016993,10615835,21658043,2372961,1328,,,1164016993.00,
21/05/2017,907.9000,907.9000,1.33,904.0000,896.0000,910.2000,900.9000,1164016993,10568110,9458995,1043597,652,,,1164016993.00,
18/05/2017,896.0000,896.0000,1.27,884.8000,884.8000,896.0000,879.0000,1164016993,10429592,35473643,3993693,1837,,,1164016993.00,
17/05/2017,884.8000,884.8000,0.06,879.0000,884.3000,894.0000,878.9000,1164016993,10299222,16179560,1821974,1000,,,1164016993.00,
16/05/2017,884.3000,884.3000,0.58,881.8000,879.2000,884.3000,872.4000,1164016993,10293402,22502356,2564971,1558,,,1164016993.00,
15/05/2017,879.2000,879.2000,-1.32,902.5000,891.0000,907.0000,877.1000,1164016993,10234037,37315595,4190164,2071,,,1164016993.00,
14/05/2017,891.0000,891.0000,0.56,890.0000,886.0000,896.0000,888.0000,1164016993,10371391,6920365,775398,537,,,1164016993.00,
11/05/2017,886.0000,886.0000,-1.56,900.0000,900.0000,905.4000,885.3000,1164016993,10313191,23682485,2657627,1827,,,1164016993.00,
10/05/2017,900.0000,900.0000,-1.76,910.7000,916.1000,913.1000,892.3000,1164016993,10476153,24770519,2759112,1543,,,1164016993.00,
09/05/2017,916.1000,916.1000,0.34,915.0000,913.0000,920.0000,911.5000,1164016993,10663560,38602926,4207905,1533,,,1164016993.00,
08/05/2017,913.0000,913.0000,1.50,901.2000,899.5000,913.0000,897.4000,1164016993,10627475,23682304,2606765,1372,,,1164016993.00,
07/05/2017,899.5000,899.5000,1.47,889.9000,886.5000,901.9000,886.4000,1164016993,10470333,13273906,1483235,710,,,1164016993.00,
