Historical Prices - DOR ALON - 01093202
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,6178.0000,6178.0000,0.78,6205.0000,6130.0000,6205.0000,6144.0000,15877822,980932,608988,9865,105,,,15877822.00,
28/05/2017,6130.0000,6130.0000,-1.34,6289.0000,6213.0000,6289.0000,6068.0000,15877822,973310,360193,5853,65,,,15877822.00,
25/05/2017,6213.0000,6213.0000,0.84,6134.0000,6161.0000,6253.0000,6122.0000,15877822,986489,1072358,17272,123,,,15877822.00,
24/05/2017,6161.0000,6161.0000,-1.00,6223.0000,6223.0000,6266.0000,6140.0000,15877822,978233,445950,7192,76,,,15877822.00,
23/05/2017,6223.0000,6223.0000,0.35,6201.0000,6201.0000,6287.0000,6158.0000,15877822,988077,708944,11392,111,,,15877822.00,
22/05/2017,6201.0000,6201.0000,2.48,6135.0000,6051.0000,6307.0000,6030.0000,15877822,984584,173900,2814,58,,,15877822.00,
21/05/2017,6051.0000,6051.0000,-1.06,6116.0000,6116.0000,6180.0000,6000.0000,15877822,960767,557408,9131,98,,,15877822.00,
18/05/2017,6116.0000,6116.0000,-0.62,6180.0000,6154.0000,6180.0000,6004.0000,15877822,971088,311313,5106,92,,,15877822.00,
17/05/2017,6154.0000,6154.0000,-0.10,6160.0000,6160.0000,6170.0000,6060.0000,15877822,977121,1037632,16871,112,,,15877822.00,
16/05/2017,6160.0000,6160.0000,-0.61,6194.0000,6198.0000,6194.0000,6109.0000,15877822,978074,492210,7997,167,,,15877822.00,
15/05/2017,6198.0000,6198.0000,-0.72,6425.0000,6243.0000,6425.0000,6175.0000,15877822,984107,1105357,17641,197,,,15877822.00,
14/05/2017,6243.0000,6243.0000,-0.38,6267.0000,6267.0000,6273.0000,6174.0000,15877822,991252,354277,5686,65,,,15877822.00,
11/05/2017,6267.0000,6267.0000,0.27,6250.0000,6250.0000,6275.0000,6230.0000,15877822,995063,229521,3662,66,,,15877822.00,
10/05/2017,6250.0000,6250.0000,0.18,6146.0000,6239.0000,6299.0000,6146.0000,15877822,992364,366124,5860,130,,,15877822.00,
09/05/2017,6239.0000,6239.0000,0.76,6270.0000,6192.0000,6270.0000,6195.0000,15877822,990617,1291955,20654,135,,,15877822.00,
08/05/2017,6192.0000,6192.0000,-0.26,6208.0000,6208.0000,6208.0000,6089.0000,15877822,983155,3472436,56196,202,,,15877822.00,
