Historical Prices - EL AL - 01087824
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,324.0000,324.0000,-1.55,329.0000,329.1000,332.0000,322.0000,495719135,1606130,9238537,2826435,853,,,495719135.00,
28/05/2017,329.1000,329.1000,4.38,314.5000,315.3000,330.7000,314.5000,495719135,1631412,15558674,4778758,1014,,,495719135.00,
25/05/2017,315.3000,315.3000,-1.00,319.9000,318.5000,320.2000,310.8000,495719135,1563002,6591731,2092528,722,,,495719135.00,
24/05/2017,318.5000,318.5000,3.11,306.0000,308.9000,320.1000,306.0000,495719135,1578865,17081683,5421046,1190,,,495719135.00,
23/05/2017,308.9000,308.9000,1.71,304.5000,303.7000,310.0000,302.2000,495719135,1531276,8079422,2629876,655,,,495719135.00,
22/05/2017,303.7000,303.7000,1.40,299.0000,299.5000,304.0000,299.0000,495719135,1505499,3322717,1102887,518,,,495719135.00,
21/05/2017,299.5000,299.5000,-1.45,303.9000,303.9000,309.6000,299.0000,495719135,1484679,3587343,1183138,487,,,495719135.00,
18/05/2017,303.9000,303.9000,1.30,297.7000,300.0000,305.0000,296.0000,495719135,1506490,5855109,1951253,608,,,495719135.00,
17/05/2017,300.0000,300.0000,-2.98,309.9000,309.2000,311.0000,295.5000,495719135,1487157,7723224,2552277,1016,,,495719135.00,
16/05/2017,309.2000,309.2000,1.01,305.0000,306.1000,309.2000,300.0000,495719135,1532764,16111448,5322425,1096,,,495719135.00,
15/05/2017,306.1000,306.1000,-3.19,316.5000,316.2000,318.0000,305.5000,495719135,1517396,4933465,1593813,591,,,495719135.00,
14/05/2017,316.2000,316.2000,-0.63,318.5000,318.2000,319.9000,312.4000,495719135,1567464,2725582,861401,382,,,495719135.00,
11/05/2017,318.2000,318.2000,1.02,315.0000,315.0000,318.5000,312.3000,495719135,1577378,4960733,1567082,864,,,495719135.00,
10/05/2017,315.0000,315.0000,0.22,310.5000,314.3000,316.8000,306.0000,495719135,1561515,9074337,2896364,903,,,495719135.00,
09/05/2017,314.3000,314.3000,1.45,310.0000,309.8000,320.0000,305.3000,495719135,1558045,9609315,3081173,1123,EX D,0.97698,495719135.00,
08/05/2017,309.8004,317.1000,1.57,312.2000,312.2000,318.8000,309.1000,495719135,1571925,9523523,3017402,882,,,495719135.00,
07/05/2017,305.0132,312.2000,1.36,310.2000,308.0000,313.7000,310.1000,495719135,1547635,6736987,2159413,689,,,495719135.00,
04/05/2017,300.9098,308.0000,1.35,304.5000,303.9000,309.1000,296.8000,495719135,1526815,17070554,5573398,1602,,,495719135.00,
03/05/2017,296.9042,303.9000,5.70,291.0000,287.5000,303.9000,291.0000,495719135,1506490,21798598,7288342,1723,,,495719135.00,
30/04/2017,280.8818,287.5000,1.63,286.0000,282.9000,288.0000,284.0000,495719135,1425193,3627779,1268132,373,,,495719135.00,
27/04/2017,276.3876,282.9000,-0.56,285.9000,284.5000,288.8000,278.2000,495719135,1402389,5830470,2047319,656,,,495719135.00,
26/04/2017,277.9508,284.5000,1.57,276.0000,280.1000,285.0000,276.0000,495719135,1410321,4976079,1768916,854,,,495719135.00,
25/04/2017,273.6521,280.1000,-0.46,281.7000,281.4000,285.1000,274.9000,495719135,1388509,4651681,1661951,557,,,495719135.00,
24/04/2017,274.9222,281.4000,1.15,279.9000,278.2000,285.0000,279.0000,495719135,1394954,8224775,2910721,894,,,495719135.00,
23/04/2017,271.7958,278.2000,1.72,273.5000,273.5000,279.6000,273.5000,495719135,1379091,3764869,1359729,726,,,495719135.00,
20/04/2017,267.2040,273.5000,2.01,269.0000,268.1000,273.7000,269.0000,495719135,1355792,3944711,1448677,424,,,495719135.00,
19/04/2017,261.9283,268.1000,-0.74,270.3000,270.1000,273.0000,267.2000,495719135,1329023,2750675,1019235,417,,,495719135.00,
18/04/2017,263.8823,270.1000,0.60,268.5000,268.5000,274.0000,267.0000,495719135,1338937,3181347,1172916,726,,,495719135.00,
13/04/2017,262.3191,268.5000,0.56,266.1000,267.0000,270.3000,266.1000,495719135,1331006,1933648,719463,316,,,495719135.00,
12/04/2017,260.8537,267.0000,-2.23,273.1000,273.1000,273.9000,267.0000,495719135,1323570,3006950,1117639,494,,,495719135.00,
09/04/2017,266.8132,273.1000,-0.69,275.0000,275.0000,276.7000,268.0000,495719135,1353809,3213387,1179836,390,,,495719135.00,
06/04/2017,268.6695,275.0000,2.12,270.0000,269.3000,276.1000,268.6000,495719135,1363228,3862251,1412805,544,,,495719135.00,
05/04/2017,263.1007,269.3000,0.86,267.2000,267.0000,270.5000,266.0000,495719135,1334972,3445206,1281822,495,,,495719135.00,
04/04/2017,260.8537,267.0000,0.00,267.0000,267.0000,270.5000,266.9000,495719135,1323570,3377996,1258923,448,,,495719135.00,
03/04/2017,260.8537,267.0000,0.00,270.5000,267.0000,270.5000,266.5000,495719135,1323570,3056146,1139214,428,,,495719135.00,
02/04/2017,260.8537,267.0000,0.00,270.0000,267.0000,272.3000,267.0000,495719135,1323570,1452923,538962,203,,,495719135.00,
30/03/2017,260.8537,267.0000,-2.02,272.7000,272.5000,273.0000,265.2000,495719135,1323570,2764105,1028400,430,,,495719135.00,
29/03/2017,266.2271,272.5000,-0.69,270.9000,274.4000,274.5000,270.9000,495719135,1350835,2319629,849970,289,,,495719135.00,
28/03/2017,268.0833,274.4000,-0.22,275.0000,275.0000,277.9000,268.0000,495719135,1360253,4296450,1576942,584,,,495719135.00,
27/03/2017,268.6695,275.0000,-2.10,277.0000,280.9000,279.0000,268.4000,495719135,1363228,8221589,3004818,1112,,,495719135.00,
26/03/2017,274.4337,280.9000,0.32,280.0000,280.0000,286.5000,277.7000,495719135,1392475,7295567,2591742,817,,,495719135.00,
23/03/2017,273.5544,280.0000,3.70,268.7000,270.0000,288.0000,268.0000,495719135,1388014,34529757,12319180,2739,,,495719135.00,
22/03/2017,263.7846,270.0000,7.57,255.0000,251.0000,270.0000,254.2000,495719135,1338442,17281539,6531743,1546,,,495719135.00,
21/03/2017,245.2220,251.0000,-1.65,254.0000,255.2000,255.2000,251.0000,495719135,1244255,2525594,996554,374,,,495719135.00,
20/03/2017,249.3253,255.2000,0.04,255.1000,255.1000,256.3000,254.2000,495719135,1265075,2913333,1141983,405,,,495719135.00,
19/03/2017,249.2276,255.1000,-1.09,254.0000,257.9000,257.7000,251.0000,495719135,1264580,3057671,1202230,567,,,495719135.00,
16/03/2017,251.9631,257.9000,-1.04,260.8000,260.6000,260.8000,254.1000,495719135,1278460,7754624,3027688,1044,,,495719135.00,
15/03/2017,254.6010,260.6000,-2.40,267.0000,267.0000,269.0000,257.4000,495719135,1291844,3261667,1240598,496,,,495719135.00,
14/03/2017,260.8537,267.0000,0.23,267.0000,266.4000,269.7000,266.0000,495719135,1323570,2638150,985193,465,,,495719135.00,
13/03/2017,260.2675,266.4000,-0.97,271.0000,269.0000,272.9000,266.0000,495719135,1320596,3647782,1348655,495,,,495719135.00,
09/03/2017,262.8076,269.0000,2.87,264.0000,261.5000,270.5000,264.0000,495719135,1333484,4521199,1686445,591,,,495719135.00,
08/03/2017,255.4803,261.5000,-1.21,264.7000,264.7000,267.4000,261.3000,495719135,1296306,3445720,1311585,622,,,495719135.00,
07/03/2017,258.6066,264.7000,-1.93,271.0000,269.9000,273.0000,264.1000,495719135,1312169,3302990,1229532,499,,,495719135.00,
06/03/2017,263.6869,269.9000,1.01,270.0000,267.2000,274.0000,268.0000,495719135,1337946,6956685,2570908,735,,,495719135.00,
05/03/2017,261.0491,267.2000,3.17,259.7000,259.0000,267.9000,259.0000,495719135,1324562,3740271,1415647,476,,,495719135.00,
02/03/2017,253.0378,259.0000,0.97,256.5000,256.5000,261.0000,255.0000,495719135,1283913,6918590,2680756,564,,,495719135.00,
01/03/2017,250.5954,256.5000,-1.12,258.4000,259.4000,265.3000,255.8000,495719135,1271520,10612827,4074095,1207,,,495719135.00,
28/02/2017,253.4286,259.4000,-4.74,270.7000,272.3000,271.0000,257.5000,495719135,1285895,19485036,7422491,1947,,,495719135.00,
27/02/2017,266.0317,272.3000,-4.12,284.2000,284.0000,285.0000,272.0000,495719135,1349843,9806313,3558669,1043,,,495719135.00,
26/02/2017,277.4623,284.0000,-3.50,290.9000,294.3000,290.9000,284.0000,495719135,1407842,10636524,3723359,1083,,,495719135.00,
23/02/2017,287.5252,294.3000,1.76,289.8000,289.2000,294.8000,284.9000,495719135,1458901,7561075,2607417,703,,,495719135.00,
22/02/2017,282.5426,289.2000,1.37,288.0000,285.3000,289.9000,286.2000,495719135,1433620,9436050,3269465,866,,,495719135.00,
21/02/2017,278.7324,285.3000,-0.24,286.0000,286.0000,289.6000,283.3000,495719135,1414287,4992919,1741913,563,,,495719135.00,
20/02/2017,279.4163,286.0000,-1.14,290.0000,289.3000,290.3000,281.0000,495719135,1417757,11746458,4121531,1096,,,495719135.00,
19/02/2017,282.6403,289.3000,3.95,284.0000,278.3000,289.3000,284.0000,495719135,1434115,21672640,7539258,1956,,,495719135.00,
16/02/2017,271.8935,278.3000,5.02,274.9000,265.0000,278.6000,273.6000,495719135,1379586,24600450,8910699,2053,,,495719135.00,
15/02/2017,258.8997,265.0000,4.21,251.0000,254.3000,265.0000,250.5000,495719135,1313656,13778472,5302114,1446,,,495719135.00,
14/02/2017,248.4460,254.3000,3.50,243.6000,245.7000,254.9000,241.0000,495719135,1260614,10594614,4233184,1413,,,495719135.00,
13/02/2017,240.0440,245.7000,-1.60,247.0000,249.7000,249.0000,244.2000,495719135,1217982,4104847,1663947,547,,,495719135.00,
12/02/2017,243.9519,249.7000,0.52,250.0000,248.4000,251.3000,247.0000,495719135,1237811,4096996,1639915,478,,,495719135.00,
09/02/2017,242.6818,248.4000,0.28,251.3000,247.7000,251.3000,244.1000,495719135,1231366,13430334,5419639,675,,,495719135.00,
08/02/2017,241.9979,247.7000,3.47,240.0000,239.4000,250.0000,238.0000,495719135,1227896,7624830,3118538,955,,,495719135.00,
07/02/2017,233.8890,239.4000,0.42,234.1000,238.4000,240.5000,233.0000,495719135,1186752,4753436,2007764,592,,,495719135.00,
06/02/2017,232.9120,238.4000,2.23,230.0000,233.2000,241.0000,228.5000,495719135,1181794,13661778,5799470,1154,,,495719135.00,
05/02/2017,227.8317,233.2000,-1.44,233.0000,236.6000,234.1000,229.1000,495719135,1156017,6745380,2913994,860,,,495719135.00,
02/02/2017,231.1535,236.6000,-1.62,240.3000,240.5000,241.9000,236.0000,495719135,1172871,3662875,1539978,573,,,495719135.00,
01/02/2017,234.9637,240.5000,-2.28,243.0000,246.1000,245.5000,240.0000,495719135,1192205,4608154,1901552,818,,,495719135.00,
31/01/2017,240.4348,246.1000,1.40,242.8000,242.7000,247.1000,242.5000,495719135,1219965,1883829,766127,370,,,495719135.00,
30/01/2017,237.1130,242.7000,-1.22,245.5000,245.7000,247.0000,242.5000,495719135,1203110,2058131,842174,365,,,495719135.00,
29/01/2017,240.0440,245.7000,0.08,246.0000,245.5000,247.6000,244.0000,495719135,1217982,1422681,579181,239,,,495719135.00,
26/01/2017,239.8486,245.5000,-0.77,246.8000,247.4000,249.9000,243.0000,495719135,1216990,2529143,1030942,380,,,495719135.00,
25/01/2017,241.7049,247.4000,-0.24,249.9000,248.0000,252.0000,245.2000,495719135,1226409,5309853,2125366,747,,,495719135.00,
24/01/2017,242.2910,248.0000,3.98,241.8000,238.5000,248.0000,237.0000,495719135,1229383,6118277,2510590,763,,,495719135.00,
23/01/2017,233.0097,238.5000,0.42,238.0000,237.5000,241.7000,235.2000,495719135,1182290,3322873,1398818,691,,,495719135.00,
22/01/2017,232.0328,237.5000,-0.75,239.3000,239.3000,239.3000,234.7000,495719135,1177333,1726532,727972,246,,,495719135.00,
19/01/2017,233.7913,239.3000,-1.81,243.9000,243.7000,245.0000,239.0000,495719135,1186256,3309204,1372654,504,,,495719135.00,
18/01/2017,238.0900,243.7000,0.70,243.4000,242.0000,245.2000,240.2000,495719135,1208068,5190723,2132252,785,,,495719135.00,
17/01/2017,236.4292,242.0000,3.64,233.5000,233.5000,242.0000,229.3000,495719135,1199640,10415269,4443056,1216,,,495719135.00,
16/01/2017,228.1248,233.5000,-2.83,240.8000,240.3000,245.8000,233.0000,495719135,1157504,11901250,5005552,1368,,,495719135.00,
15/01/2017,234.7683,240.3000,-4.00,250.2000,250.3000,250.6000,240.3000,495719135,1191213,8490812,3475459,940,,,495719135.00,
12/01/2017,244.5381,250.3000,-1.30,253.0000,253.6000,253.6000,250.0000,495719135,1240785,3779928,1503135,500,,,495719135.00,
11/01/2017,247.7621,253.6000,-1.40,256.0000,257.2000,257.0000,252.0000,495719135,1257144,6306190,2482188,760,,,495719135.00,
10/01/2017,251.2793,257.2000,-1.08,262.1000,260.0000,262.3000,256.7000,495719135,1274990,4928125,1899356,677,,,495719135.00,
09/01/2017,254.0148,260.0000,-0.73,262.1000,261.9000,265.7000,258.0000,495719135,1288870,5598140,2134555,782,,,495719135.00,
08/01/2017,255.8711,261.9000,3.11,254.0000,254.0000,262.9000,253.0000,495719135,1298288,4916632,1900530,532,,,495719135.00,
05/01/2017,248.1529,254.0000,-2.46,261.0000,260.4000,262.6000,253.0000,495719135,1259127,8018844,3129691,944,,,495719135.00,
04/01/2017,254.4056,260.4000,-0.69,264.8000,262.2000,266.0000,260.2000,495719135,1290853,6757442,2571624,1099,,,495719135.00,
03/01/2017,256.1642,262.2000,-0.46,263.4000,263.4000,270.6000,261.0000,495719135,1299776,6209994,2347867,821,,,495719135.00,
02/01/2017,257.3365,263.4000,2.77,256.3000,256.3000,263.4000,256.4000,495719135,1305724,6437220,2471187,594,,,495719135.00,
01/01/2017,250.4000,256.3000,0.39,254.0000,255.3000,260.6000,253.0000,495719135,1270528,3915849,1521252,432,,,495719135.00,
29/12/2016,249.4230,255.3000,-3.33,266.0000,264.1000,266.5000,253.5000,495719135,1265571,11893643,4627892,1055,,,495719135.00,
28/12/2016,258.0204,264.1000,-1.46,266.9000,268.0000,267.4000,263.1000,495719135,1309194,8894032,3362184,889,,,495719135.00,
27/12/2016,261.8306,268.0000,0.30,267.8000,267.2000,269.3000,263.0000,495719135,1328527,6276648,2350429,661,,,495719135.00,
26/12/2016,261.0491,267.2000,-1.33,270.0000,270.8000,270.0000,265.0000,495719135,1324562,7493158,2808973,701,,,495719135.00,
25/12/2016,264.5662,270.8000,-1.35,274.5000,274.5000,276.0000,269.0000,495719135,1342407,3496026,1290605,381,,,495719135.00,
22/12/2016,268.1810,274.5000,-1.65,278.1000,279.1000,279.0000,272.1000,495719135,1360749,5684391,2068676,696,,,495719135.00,
21/12/2016,272.6751,279.1000,-1.34,283.0000,282.9000,283.4000,278.2000,495719135,1383552,2989800,1066650,537,,,495719135.00,
20/12/2016,276.3876,282.9000,1.36,277.0000,279.1000,282.9000,277.0000,495719135,1402389,4249297,1519207,579,,,495719135.00,
19/12/2016,272.6751,279.1000,1.12,277.4000,276.0000,280.0000,270.9000,495719135,1383552,5855763,2126815,817,,,495719135.00,
18/12/2016,269.6465,276.0000,-1.11,279.3000,279.1000,280.3000,275.0000,495719135,1368185,2562049,926142,316,,,495719135.00,
15/12/2016,272.6751,279.1000,1.79,274.8000,274.2000,281.3000,274.8000,495719135,1383552,9273906,3327080,864,,,495719135.00,
14/12/2016,267.8879,274.2000,-1.01,280.0000,277.0000,280.0000,267.0000,495719135,1359262,21308244,7866072,2288,,,495719135.00,
13/12/2016,270.6235,277.0000,4.14,269.0000,266.0000,279.8000,267.6000,495719135,1373142,42676648,15439898,3156,,,495719135.00,
12/12/2016,259.8767,266.0000,-4.93,275.0000,279.8000,275.5000,266.0000,495719135,1318613,31529656,11713844,2379,,,495719135.00,
11/12/2016,273.3590,279.8000,-1.62,284.0000,284.4000,289.0000,279.8000,495719135,1387022,7766686,2756674,722,,,495719135.00,
08/12/2016,277.8531,284.4000,-1.11,290.0000,287.6000,293.0000,279.4000,495719135,1409825,23891246,8403922,2572,,,495719135.00,
07/12/2016,280.9794,287.6000,-2.51,294.6000,295.0000,295.2000,287.0000,495719135,1425688,25732812,8871414,2203,,,495719135.00,
06/12/2016,288.2091,295.0000,-2.32,303.6000,302.0000,304.9000,295.0000,495719135,1462371,16535021,5533627,1590,,,495719135.00,
05/12/2016,295.0480,302.0000,-2.58,316.0000,310.0000,316.0000,299.6000,495719135,1497072,27015391,8786940,2535,,,495719135.00,
04/12/2016,302.8638,310.0000,0.58,307.0000,308.2000,313.0000,304.4000,495719135,1536729,6774983,2187302,572,,,495719135.00,
01/12/2016,301.1052,308.2000,-1.22,309.6000,312.0000,310.0000,303.4000,495719135,1527806,13719511,4482615,1281,,,495719135.00,
30/11/2016,304.8178,312.0000,-2.01,319.9000,318.4000,321.0000,310.0000,495719135,1546644,33599065,10660590,2006,,,495719135.00,
29/11/2016,311.0704,318.4000,3.38,311.0000,308.0000,319.3000,308.0000,495719135,1578370,31772493,10073134,2880,,,495719135.00,
28/11/2016,300.9098,308.0000,3.63,314.7000,297.2000,314.7000,299.0000,495719135,1526815,116091928,37979657,7008,,,495719135.00,
27/11/2016,290.3585,297.2000,0.99,296.4000,294.3000,299.5000,293.0000,495719135,1473277,6589845,2221275,779,,,495719135.00,
24/11/2016,287.5252,294.3000,0.10,295.0000,294.0000,298.0000,286.7000,495719135,1458901,41721827,14351155,2901,,,495719135.00,
23/11/2016,287.2321,294.0000,-2.00,300.2000,300.0000,309.5000,285.6000,495719135,1457414,66637268,22285110,5105,,,495719135.00,
22/11/2016,293.0940,300.0000,-12.79,347.9000,344.0000,354.5000,300.0000,495719135,1487157,118164805,36855665,6694,,,495719135.00,
21/11/2016,336.0811,344.0000,2.38,331.0000,336.0000,344.7000,331.0000,495719135,1705274,39346233,11590231,3236,,,495719135.00,
20/11/2016,328.2653,336.0000,-4.14,343.0000,350.5000,344.0000,336.0000,495719135,1665616,16859549,4980555,994,,,495719135.00,
17/11/2016,342.4315,350.5000,-0.14,349.0000,351.0000,353.2000,344.5000,495719135,1737496,16042919,4582117,1394,,,495719135.00,
16/11/2016,342.9200,351.0000,-1.85,357.2000,357.6000,357.2000,347.5000,495719135,1739974,19064822,5433847,1958,,,495719135.00,
15/11/2016,349.3680,357.6000,2.17,346.0000,350.0000,359.9000,339.0000,495719135,1772692,20731487,5918682,1570,,,495719135.00,
14/11/2016,341.9430,350.0000,-1.66,352.0000,355.9000,355.8000,345.0000,495719135,1735017,14864854,4233630,1438,,,495719135.00,
13/11/2016,347.7072,355.9000,-3.26,365.0000,367.9000,365.0000,352.2000,495719135,1764264,15579186,4373040,1035,,,495719135.00,
10/11/2016,359.4309,367.9000,-0.03,370.0000,368.0000,373.4000,361.2000,495719135,1823751,10855846,2956190,702,,,495719135.00,
09/11/2016,359.5286,368.0000,1.15,355.1000,363.8000,368.7000,354.0000,495719135,1824246,9410522,2599435,644,,,495719135.00,
08/11/2016,355.4253,363.8000,-1.52,369.4000,369.4000,370.9000,361.0000,495719135,1803426,12265387,3359766,1254,,,495719135.00,
07/11/2016,360.8964,369.4000,1.07,369.0000,365.5000,370.7000,365.6000,495719135,1831186,11292740,3063196,942,,,495719135.00,
06/11/2016,357.0862,365.5000,-1.11,366.2000,369.6000,368.0000,365.2000,495719135,1811853,4068783,1110082,321,,,495719135.00,
03/11/2016,361.0918,369.6000,0.71,365.2000,367.0000,370.6000,365.0000,495719135,1832178,7619725,2069085,867,,,495719135.00,
02/11/2016,358.5517,367.0000,0.27,366.0000,366.0000,369.0000,357.3000,495719135,1819289,13126776,3606857,1636,,,495719135.00,
01/11/2016,357.5747,366.0000,-1.88,374.6000,373.0000,375.2000,366.0000,495719135,1814332,12203393,3284192,733,,,495719135.00,
31/10/2016,364.4135,373.0000,1.33,366.0000,368.1000,373.0000,361.0000,495719135,1849032,17637939,4771625,890,,,495719135.00,
30/10/2016,359.6263,368.1000,-1.18,372.5000,372.5000,374.1000,360.2000,495719135,1824742,6273538,1707901,796,,,495719135.00,
27/10/2016,363.9251,372.5000,-0.72,374.5000,375.2000,374.7000,370.0000,495719135,1846554,11541919,3092587,1304,,,495719135.00,
26/10/2016,366.5629,375.2000,-1.00,379.3000,379.0000,380.0000,371.0000,495719135,1859938,12195139,3260221,1250,,,495719135.00,
25/10/2016,370.2754,379.0000,1.34,377.4000,374.0000,381.0000,376.0000,495719135,1878776,18158309,4797682,1433,,,495719135.00,
20/10/2016,365.3905,374.0000,1.91,367.0000,367.0000,377.8000,364.4000,495719135,1853990,14854755,3982205,1306,,,495719135.00,
19/10/2016,358.5517,367.0000,-0.27,366.0000,368.0000,368.5000,362.5000,495719135,1819289,7179213,1963199,899,,,495719135.00,
18/10/2016,359.5286,368.0000,3.55,355.4000,355.4000,368.0000,355.4000,495719135,1824246,12453659,3446692,1255,,,495719135.00,
