Historical Prices - ELBIT IMAGING - 01081116
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1121.0000,1121.0000,-1.41,1137.0000,1137.0000,1137.0000,1110.0000,9190808,103029,85369,7604,23,,,9190808.00,
28/05/2017,1137.0000,1137.0000,0.98,1103.0000,1126.0000,1149.0000,1103.0000,9190808,104499,7210,634,9,,,9190808.00,
25/05/2017,1126.0000,1126.0000,-0.18,1130.0000,1128.0000,1130.0000,1117.0000,9190808,103489,60953,5411,23,,,9190808.00,
24/05/2017,1128.0000,1128.0000,1.44,1112.0000,1112.0000,1130.0000,1116.0000,9190808,103672,23227,2060,11,,,9190808.00,
23/05/2017,1112.0000,1112.0000,-1.85,1133.0000,1133.0000,1133.0000,1100.0000,9190808,102202,93507,8397,20,,,9190808.00,
22/05/2017,1133.0000,1133.0000,0.27,1130.0000,1130.0000,1133.0000,1100.0000,9190808,104132,41987,3706,9,,,9190808.00,
21/05/2017,1130.0000,1130.0000,0.09,1129.0000,1129.0000,1133.0000,1101.0000,9190808,103856,83784,7431,16,,,9190808.00,
18/05/2017,1129.0000,1129.0000,-2.50,1158.0000,1158.0000,1160.0000,1100.0000,9190808,103764,56562,4980,28,,,9190808.00,
17/05/2017,1158.0000,1158.0000,-1.03,1170.0000,1170.0000,1165.0000,1143.0000,9190808,106430,33900,2927,15,,,9190808.00,
16/05/2017,1170.0000,1170.0000,-3.23,1183.0000,1209.0000,1185.0000,1150.0000,9190808,107532,193467,16539,61,,,9190808.00,
15/05/2017,1209.0000,1209.0000,-0.90,1209.0000,1220.0000,1211.0000,1190.0000,9190808,111117,122026,10131,41,,,9190808.00,
14/05/2017,1220.0000,1220.0000,-0.57,1185.0000,1227.0000,1227.0000,1185.0000,9190808,112128,87330,7190,25,,,9190808.00,
11/05/2017,1227.0000,1227.0000,1.74,1206.0000,1206.0000,1229.0000,1206.0000,9190808,112771,77066,6332,22,,,9190808.00,
10/05/2017,1206.0000,1206.0000,-0.58,1182.0000,1213.0000,1224.0000,1182.0000,9190808,110841,78724,6549,19,,,9190808.00,
09/05/2017,1213.0000,1213.0000,0.33,1209.0000,1209.0000,1234.0000,1193.0000,9190808,111485,236529,19557,47,,,9190808.00,
08/05/2017,1209.0000,1209.0000,0.42,1204.0000,1204.0000,1211.0000,1202.0000,9190808,111117,98154,8123,24,,,9190808.00,
07/05/2017,1204.0000,1204.0000,-1.87,1225.0000,1227.0000,1233.0000,1166.0000,9190808,110657,59928,4949,28,,,9190808.00,
04/05/2017,1227.0000,1227.0000,0.25,1230.0000,1224.0000,1230.0000,1223.0000,9190808,112771,110871,9037,22,,,9190808.00,
03/05/2017,1224.0000,1224.0000,1.41,1207.0000,1207.0000,1224.0000,1207.0000,9190808,112495,50393,4120,18,,,9190808.00,
30/04/2017,1207.0000,1207.0000,-1.07,1220.0000,1220.0000,1220.0000,1201.0000,9190808,110933,42485,3520,12,,,9190808.00,
27/04/2017,1220.0000,1220.0000,-2.01,1245.0000,1245.0000,1248.0000,1203.0000,9190808,112128,227974,18740,52,,,9190808.00,
26/04/2017,1245.0000,1245.0000,0.00,1245.0000,1245.0000,1249.0000,1240.0000,9190808,114426,26547,2133,13,,,9190808.00,
25/04/2017,1245.0000,1245.0000,2.05,1206.0000,1220.0000,1250.0000,1206.0000,9190808,114426,75158,6048,27,,,9190808.00,
24/04/2017,1220.0000,1220.0000,-0.73,1225.0000,1229.0000,1235.0000,1218.0000,9190808,112128,53924,4407,19,,,9190808.00,
23/04/2017,1229.0000,1229.0000,-0.08,1196.0000,1230.0000,1259.0000,1196.0000,9190808,112955,52760,4272,23,,,9190808.00,
20/04/2017,1230.0000,1230.0000,-0.16,1220.0000,1232.0000,1231.0000,1220.0000,9190808,113047,119503,9715,22,,,9190808.00,
19/04/2017,1232.0000,1232.0000,-0.32,1236.0000,1236.0000,1235.0000,1230.0000,9190808,113231,39170,3179,10,,,9190808.00,
18/04/2017,1236.0000,1236.0000,0.08,1225.0000,1235.0000,1244.0000,1225.0000,9190808,113598,60177,4870,17,,,9190808.00,
13/04/2017,1235.0000,1235.0000,-1.83,1220.0000,1258.0000,1263.0000,1220.0000,9190808,113506,49860,4022,15,,,9190808.00,
12/04/2017,1258.0000,1258.0000,2.03,1259.0000,1233.0000,1282.0000,1235.0000,9190808,115620,103019,8218,29,,,9190808.00,
09/04/2017,1233.0000,1233.0000,0.33,1220.0000,1229.0000,1243.0000,1220.0000,9190808,113323,63138,5128,18,,,9190808.00,
06/04/2017,1229.0000,1229.0000,-1.84,1252.0000,1252.0000,1252.0000,1226.0000,9190808,112955,228199,18533,36,,,9190808.00,
05/04/2017,1252.0000,1252.0000,-0.24,1220.0000,1255.0000,1280.0000,1220.0000,9190808,115069,48292,3846,22,,,9190808.00,
04/04/2017,1255.0000,1255.0000,3.55,1200.0000,1212.0000,1330.0000,1200.0000,9190808,115345,668180,52378,155,,,9190808.00,
03/04/2017,1212.0000,1212.0000,0.50,1206.0000,1206.0000,1212.0000,1206.0000,9190808,111393,20403,1684,7,,,9190808.00,
02/04/2017,1206.0000,1206.0000,0.58,1199.0000,1199.0000,1218.0000,1205.0000,9190808,110841,33719,2796,10,,,9190808.00,
30/03/2017,1199.0000,1199.0000,0.76,1175.0000,1190.0000,1200.0000,1175.0000,9190808,110198,131567,11019,27,,,9190808.00,
29/03/2017,1190.0000,1190.0000,0.68,1182.0000,1182.0000,1200.0000,1182.0000,9190808,109371,47313,3967,16,,,9190808.00,
28/03/2017,1182.0000,1182.0000,-0.08,1175.0000,1183.0000,1188.0000,1175.0000,9190808,108635,14036,1187,11,,,9190808.00,
27/03/2017,1183.0000,1183.0000,-0.42,1182.0000,1188.0000,1188.0000,1175.0000,9190808,108727,81866,6924,24,,,9190808.00,
26/03/2017,1188.0000,1188.0000,-2.38,1201.0000,1217.0000,1205.0000,1185.0000,9190808,109187,138972,11648,35,,,9190808.00,
23/03/2017,1217.0000,1217.0000,-0.41,1222.0000,1222.0000,1239.0000,1212.0000,9190808,111852,37815,3097,13,,,9190808.00,
22/03/2017,1222.0000,1222.0000,0.00,1222.0000,1222.0000,1230.0000,1212.0000,9190808,112312,71764,5871,20,,,9190808.00,
21/03/2017,1222.0000,1222.0000,-0.49,1228.0000,1228.0000,1230.0000,1215.0000,9190808,112312,89983,7359,23,,,9190808.00,
20/03/2017,1228.0000,1228.0000,-1.44,1246.0000,1246.0000,1271.0000,1200.0000,9190808,112863,144187,11752,48,,,9190808.00,
19/03/2017,1246.0000,1246.0000,-1.35,1263.0000,1263.0000,1270.0000,1224.0000,9190808,114517,41685,3345,10,,,9190808.00,
16/03/2017,1263.0000,1263.0000,-0.94,1275.0000,1275.0000,1280.0000,1212.0000,9190808,116080,134913,10643,35,,,9190808.00,
15/03/2017,1275.0000,1275.0000,-0.62,1279.0000,1283.0000,1284.0000,1250.0000,9190808,117183,91405,7174,25,,,9190808.00,
14/03/2017,1283.0000,1283.0000,0.31,1279.0000,1279.0000,1300.0000,1275.0000,9190808,117918,76692,5970,22,,,9190808.00,
13/03/2017,1279.0000,1279.0000,-0.39,1284.0000,1284.0000,1311.0000,1275.0000,9190808,117550,164565,12777,47,,,9190808.00,
09/03/2017,1284.0000,1284.0000,3.80,1237.0000,1237.0000,1328.0000,1237.0000,9190808,118010,561169,43095,127,,,9190808.00,
08/03/2017,1237.0000,1237.0000,1.98,1205.0000,1213.0000,1250.0000,1205.0000,9190808,113690,43419,3512,18,,,9190808.00,
07/03/2017,1213.0000,1213.0000,-0.49,1205.0000,1219.0000,1220.0000,1205.0000,9190808,111485,75889,6265,22,,,9190808.00,
06/03/2017,1219.0000,1219.0000,-3.41,1260.0000,1262.0000,1260.0000,1207.0000,9190808,112036,75907,6179,29,,,9190808.00,
05/03/2017,1262.0000,1262.0000,4.73,1206.0000,1205.0000,1290.0000,1206.0000,9190808,115988,436764,34811,75,,,9190808.00,
02/03/2017,1205.0000,1205.0000,-2.51,1200.0000,1236.0000,1225.0000,1200.0000,9190808,110749,191026,15822,31,,,9190808.00,
01/03/2017,1236.0000,1236.0000,0.49,1230.0000,1230.0000,1238.0000,1225.0000,9190808,113598,358359,29038,68,,,9190808.00,
28/02/2017,1230.0000,1230.0000,0.57,1206.0000,1223.0000,1232.0000,1206.0000,9190808,113047,74828,6102,23,,,9190808.00,
27/02/2017,1223.0000,1223.0000,1.07,1205.0000,1210.0000,1230.0000,1205.0000,9190808,112404,80351,6572,31,,,9190808.00,
26/02/2017,1210.0000,1210.0000,1.00,1198.0000,1198.0000,1225.0000,1198.0000,9190808,111209,48080,3974,23,,,9190808.00,
