Historical Prices - ELBIT SYSTEMS - 01081124
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,43050.0000,43050.0000,-1.28,43650.0000,43610.0000,43770.0000,43040.0000,42748511,18403234,20220031,46641,937,,,42748304.00,
28/05/2017,43610.0000,43610.0000,1.80,43500.0000,42840.0000,43620.0000,43330.0000,42748511,18642626,13839054,31795,792,EX D,0.99628,42748304.00,
25/05/2017,42840.0400,43000.0000,0.75,42680.0000,42680.0000,43000.0000,42480.0000,42748511,18381860,55250201,129292,1392,,,42748304.00,
24/05/2017,42521.2304,42680.0000,-0.79,43050.0000,43020.0000,43050.0000,42530.0000,42748511,18245064,17420097,40798,1039,,,42748304.00,
23/05/2017,42859.9656,43020.0000,0.51,42900.0000,42800.0000,43180.0000,42600.0000,42748511,18390409,11865109,27575,777,,,42748304.00,
22/05/2017,42640.7840,42800.0000,-1.29,43360.0000,43360.0000,43500.0000,42570.0000,42748511,18296363,23638399,55194,1122,,,42748304.00,
21/05/2017,43198.7008,43360.0000,0.93,43000.0000,42960.0000,43470.0000,42850.0000,42748511,18535754,12056838,27925,802,,,42748304.00,
18/05/2017,42800.1888,42960.0000,-0.16,42900.0000,43030.0000,43030.0000,42270.0000,42748511,18364760,36575663,85476,1417,,,42748304.00,
17/05/2017,42869.9284,43030.0000,-0.16,43200.0000,43100.0000,43400.0000,42700.0000,42748304,18394595,25740932,59930,1291,,,42748304.00,
16/05/2017,42939.6680,43100.0000,0.00,43070.0000,43100.0000,43100.0000,42300.0000,42748304,18424519,30035544,70386,1730,,,42748304.00,
15/05/2017,42939.6680,43100.0000,0.47,42900.0000,42900.0000,43180.0000,42900.0000,42748304,18424519,17616773,40936,1372,,,42748304.00,
14/05/2017,42740.4120,42900.0000,-0.42,43080.0000,43080.0000,43170.0000,42800.0000,42748304,18339022,6884561,16033,528,,,42748304.00,
11/05/2017,42919.7424,43080.0000,-0.92,43210.0000,43480.0000,43330.0000,42730.0000,42748304,18415969,19176497,44619,1312,,,42748304.00,
10/05/2017,43318.2544,43480.0000,0.76,43250.0000,43150.0000,43480.0000,43190.0000,42748304,18586963,21764209,50255,1182,,,42748304.00,
09/05/2017,42989.4820,43150.0000,0.68,42900.0000,42860.0000,43230.0000,42900.0000,42748304,18445893,16576760,38412,1023,,,42748304.00,
08/05/2017,42700.5608,42860.0000,1.56,42330.0000,42200.0000,42960.0000,42330.0000,42748304,18321923,20504760,47925,1438,,,42748304.00,
07/05/2017,42043.0160,42200.0000,-0.52,42420.0000,42420.0000,42480.0000,42050.0000,42748304,18039784,7790329,18419,588,,,42748304.00,
04/05/2017,42262.1976,42420.0000,0.40,42400.0000,42250.0000,42890.0000,42210.0000,42748304,18133831,41093985,96722,1396,,,42747884.00,
03/05/2017,42092.8300,42250.0000,-1.03,42680.0000,42690.0000,42680.0000,42030.0000,42748304,18061158,22742260,53850,1341,,,42747884.00,
30/04/2017,42531.1932,42690.0000,-1.07,42990.0000,43150.0000,42990.0000,42500.0000,42748304,18249251,9194684,21493,457,,,42747884.00,
27/04/2017,42989.4820,43150.0000,-0.85,43390.0000,43520.0000,43430.0000,43060.0000,42748304,18445893,36437325,84153,1242,,,42747884.00,
26/04/2017,43358.1056,43520.0000,0.28,43300.0000,43400.0000,43540.0000,43160.0000,42748304,18604062,17127614,39481,1135,,,42747884.00,
25/04/2017,43238.5520,43400.0000,-0.05,43420.0000,43420.0000,43450.0000,43120.0000,42748304,18552764,17048232,39368,988,,,42747884.00,
24/04/2017,43258.4776,43420.0000,2.53,42740.0000,42350.0000,43420.0000,42710.0000,42748304,18561314,20229294,47029,1065,,,42747884.00,
23/04/2017,42192.4580,42350.0000,-0.59,42600.0000,42600.0000,42670.0000,42120.0000,42748304,18103907,8495958,20023,507,,,42747884.00,
20/04/2017,42441.5280,42600.0000,0.19,42500.0000,42520.0000,42840.0000,42330.0000,42748304,18210778,18933495,44413,1060,,,42747884.00,
19/04/2017,42361.8256,42520.0000,1.89,41730.0000,41730.0000,42830.0000,41650.0000,42748304,18176579,20352221,48147,993,,,42747884.00,
18/04/2017,41574.7644,41730.0000,-0.05,41700.0000,41750.0000,41750.0000,41190.0000,42748304,17838867,19401495,46736,1224,,,42747884.00,
13/04/2017,41594.6900,41750.0000,-1.30,42110.0000,42300.0000,42240.0000,41310.0000,42747884,17847242,15001197,35847,715,,,42747884.00,
12/04/2017,42142.6440,42300.0000,-0.66,42790.0000,42580.0000,43120.0000,42300.0000,42747884,18082355,12703652,29719,793,,,42747884.00,
09/04/2017,42421.6024,42580.0000,-0.05,42410.0000,42600.0000,42660.0000,42300.0000,42747884,18202049,11740369,27629,805,,,42747884.00,
06/04/2017,42441.5280,42600.0000,1.65,41650.0000,41910.0000,42780.0000,41480.0000,42747884,18210599,53237492,125758,1691,,,42747884.00,
05/04/2017,41754.0948,41910.0000,1.28,41670.0000,41380.0000,41910.0000,41200.0000,42747884,17915638,27159030,65320,1421,,,42747884.00,
04/04/2017,41226.0664,41380.0000,-0.05,41700.0000,41400.0000,41700.0000,40820.0000,42747884,17689074,28675294,69522,1627,,,42747884.00,
03/04/2017,41245.9920,41400.0000,-0.93,41900.0000,41790.0000,41900.0000,41360.0000,42747884,17697624,21939422,52784,1556,,,42747884.00,
02/04/2017,41634.5412,41790.0000,1.19,41300.0000,41300.0000,41790.0000,41230.0000,42747884,17864341,12995193,31359,821,EX D,0.99614,42747884.00,
30/03/2017,41146.3285,41460.0000,0.14,41400.0000,41400.0000,41460.0000,40510.0000,42747884,17723273,69347702,168831,1741,,,42747884.00,
29/03/2017,41086.7825,41400.0000,1.87,41100.0000,40640.0000,41670.0000,41000.0000,42747884,17697624,43305807,104873,2123,,,42747884.00,
28/03/2017,40332.5324,40640.0000,1.20,40150.0000,40160.0000,40640.0000,39500.0000,42747884,17372740,45754001,114509,2370,,,42747884.00,
27/03/2017,39856.1639,40160.0000,-1.74,40710.0000,40870.0000,40710.0000,40030.0000,42747884,17167550,36822702,91513,2053,,,42747884.00,
26/03/2017,40560.7923,40870.0000,-1.90,41560.0000,41660.0000,41590.0000,40830.0000,42747884,17471060,20125370,49044,1387,,,42747884.00,
23/03/2017,41344.8154,41660.0000,-1.75,42310.0000,42400.0000,42340.0000,41570.0000,42747884,17808768,32304882,77112,1758,,,42747884.00,
22/03/2017,42079.2168,42400.0000,-1.62,42960.0000,43100.0000,43150.0000,42370.0000,42747884,18125103,26272390,61515,1429,,,42747884.00,
21/03/2017,42773.9209,43100.0000,-1.53,43700.0000,43770.0000,43780.0000,43010.0000,42747884,18424338,16970296,39123,1072,,,42747884.00,
20/03/2017,43438.8519,43770.0000,0.18,43840.0000,43690.0000,44020.0000,43590.0000,42747884,18710749,16249315,37084,822,,,42747884.00,
19/03/2017,43359.4572,43690.0000,0.90,43500.0000,43300.0000,43830.0000,43430.0000,42747884,18676551,18115186,41510,874,,,42747884.00,
16/03/2017,42972.4078,43300.0000,0.23,43640.0000,43200.0000,43640.0000,43160.0000,42747884,18509834,32926635,75838,1452,,,42747884.00,
15/03/2017,42873.1643,43200.0000,-1.17,43740.0000,43710.0000,43990.0000,43070.0000,42747884,18467086,28274180,65248,1340,,,42747884.00,
14/03/2017,43379.3058,43710.0000,-0.70,44030.0000,44020.0000,44340.0000,43710.0000,42747884,18685100,25057970,57199,1233,,,42747884.00,
13/03/2017,43686.9605,44020.0000,0.50,43970.0000,43800.0000,44280.0000,43820.0000,42747884,18817619,24427002,55402,1152,,,42747884.00,
09/03/2017,43468.6249,43800.0000,0.32,43780.0000,43660.0000,44380.0000,43560.0000,42747884,18723573,32880644,74971,1344,,,42747884.00,
08/03/2017,43329.6841,43660.0000,-0.50,43880.0000,43880.0000,44100.0000,43660.0000,42747884,18663726,13360915,30487,931,,,42747884.00,
07/03/2017,43548.0197,43880.0000,1.57,43500.0000,43200.0000,43880.0000,43270.0000,42747884,18757772,22393223,51192,1182,,,42747884.00,
06/03/2017,42873.1643,43200.0000,-1.44,43750.0000,43830.0000,43790.0000,43190.0000,42747884,18467086,29765501,68616,1418,,,42747884.00,
05/03/2017,43498.3980,43830.0000,0.99,43750.0000,43400.0000,43880.0000,43560.0000,42747884,18736398,8826422,20194,515,,,42747884.00,
02/03/2017,43071.6512,43400.0000,0.18,43600.0000,43320.0000,43660.0000,43330.0000,42747884,18552582,70542375,162260,1480,,,42745816.00,
01/03/2017,42992.2564,43320.0000,0.63,43050.0000,43050.0000,43490.0000,42940.0000,42747884,18518383,26876110,62029,1414,,,42745816.00,
28/02/2017,42724.2992,43050.0000,-0.35,43400.0000,43200.0000,43590.0000,42900.0000,42747884,18402964,38393619,89009,1179,,,42745816.00,
