Historical Prices - ELCO - 00694034
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7965.0000,7965.0000,0.64,7938.0000,7914.0000,7994.0000,7844.0000,27610944,2199212,1211139,15259,189,,,27602023.00,
28/05/2017,7914.0000,7914.0000,-0.10,7946.0000,7922.0000,7946.0000,7800.0000,27610944,2185130,784481,9946,156,,,27602023.00,
25/05/2017,7922.0000,7922.0000,0.89,7852.0000,7852.0000,7968.0000,7766.0000,27610944,2187339,922326,11688,155,,,27602023.00,
24/05/2017,7852.0000,7852.0000,0.41,7843.0000,7820.0000,7920.0000,7700.0000,27610944,2168011,1477620,18879,193,,,27602023.00,
23/05/2017,7820.0000,7820.0000,-0.42,7853.0000,7853.0000,7890.0000,7757.0000,27610944,2159176,2435146,31155,343,,,27602023.00,
22/05/2017,7853.0000,7853.0000,3.86,7675.0000,7561.0000,7853.0000,7670.0000,27610944,2168287,2185191,28060,267,,,27602023.00,
21/05/2017,7561.0000,7561.0000,2.48,7490.0000,7378.0000,7600.0000,7444.0000,27610944,2087663,2268540,30152,243,,,27602023.00,
18/05/2017,7378.0000,7378.0000,-3.54,7560.0000,7649.0000,7561.0000,7322.0000,27610944,2037135,2573591,34781,337,,,27602023.00,
17/05/2017,7649.0000,7649.0000,-3.89,7984.0000,7959.0000,7999.0000,7600.0000,27610944,2111961,2415955,31202,317,,,27602023.00,
16/05/2017,7959.0000,7959.0000,1.07,7900.0000,7875.0000,7959.0000,7824.0000,27610944,2197555,2181575,27753,356,,,27602023.00,
15/05/2017,7875.0000,7875.0000,-0.44,7955.0000,7910.0000,7955.0000,7705.0000,27610944,2174362,1620260,20682,259,,,27602023.00,
14/05/2017,7910.0000,7910.0000,-0.11,7919.0000,7919.0000,8034.0000,7846.0000,27610944,2184026,2241363,28294,238,,,27602023.00,
11/05/2017,7919.0000,7919.0000,1.68,7750.0000,7788.0000,7970.0000,7750.0000,27610944,2186511,4159294,52745,248,,,27602023.00,
10/05/2017,7788.0000,7788.0000,-2.10,7950.0000,7955.0000,7950.0000,7683.0000,27610944,2150340,11315108,146093,401,,,27602023.00,
