Historical Prices - FIBI HOLDINGS - 00763011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,7961.0000,7961.0000,0.80,7898.0000,7898.0000,7992.0000,7885.0000,35452640,2822385,648052,8162,137,,,35452640.00,
28/05/2017,7898.0000,7898.0000,0.62,7873.0000,7849.0000,7987.0000,7849.0000,35452640,2800050,871646,11025,136,,,35452640.00,
25/05/2017,7849.0000,7849.0000,1.45,7701.0000,7737.0000,7852.0000,7670.0000,35452640,2782678,1212885,15557,164,,,35452640.00,
24/05/2017,7737.0000,7737.0000,0.90,7668.0000,7668.0000,7737.0000,7534.0000,35452640,2742971,1832651,24003,182,,,35452640.00,
23/05/2017,7668.0000,7668.0000,1.00,7614.0000,7592.0000,7820.0000,7579.0000,35452640,2718508,1813852,23574,229,,,35452640.00,
22/05/2017,7592.0000,7592.0000,1.08,7534.0000,7511.0000,7595.0000,7502.0000,35452640,2691564,715485,9450,147,,,35452640.00,
21/05/2017,7511.0000,7511.0000,2.05,7360.0000,7360.0000,7554.0000,7365.0000,35452640,2662848,782485,10460,124,,,35452640.00,
18/05/2017,7360.0000,7360.0000,-2.39,7540.0000,7540.0000,7540.0000,7360.0000,35452640,2609314,2008845,27149,216,,,35452640.00,
17/05/2017,7540.0000,7540.0000,-1.15,7628.0000,7628.0000,7628.0000,7456.0000,35452640,2673129,1824297,24279,299,,,35452640.00,
16/05/2017,7628.0000,7628.0000,0.12,7627.0000,7619.0000,7628.0000,7582.0000,35452640,2704327,966930,12686,194,,,35452640.00,
15/05/2017,7619.0000,7619.0000,0.33,7628.0000,7594.0000,7628.0000,7531.0000,35452640,2701137,701942,9263,122,,,35452640.00,
14/05/2017,7594.0000,7594.0000,-0.08,7600.0000,7600.0000,7623.0000,7553.0000,35452640,2692273,610990,8057,103,,,35452640.00,
11/05/2017,7600.0000,7600.0000,0.81,7539.0000,7539.0000,7609.0000,7501.0000,35452640,2694401,699614,9253,121,,,35452640.00,
10/05/2017,7539.0000,7539.0000,-0.28,7499.0000,7560.0000,7565.0000,7468.0000,35452640,2672775,1055627,14040,159,,,35452640.00,
09/05/2017,7560.0000,7560.0000,-0.53,7600.0000,7600.0000,7600.0000,7501.0000,35452640,2680220,2366055,31350,264,,,35452640.00,
08/05/2017,7600.0000,7600.0000,-0.82,7663.0000,7663.0000,7670.0000,7536.0000,35452640,2694401,1569085,20640,242,,,35452640.00,
07/05/2017,7663.0000,7663.0000,1.22,7548.0000,7571.0000,7709.0000,7533.0000,35452640,2716736,1189077,15578,204,,,35452640.00,
04/05/2017,7571.0000,7571.0000,-0.86,7637.0000,7637.0000,7689.0000,7554.0000,35452640,2684119,1788438,23534,231,,,35452640.00,
03/05/2017,7637.0000,7637.0000,0.79,7600.0000,7577.0000,7660.0000,7534.0000,35452640,2707518,970613,12771,191,,,35452640.00,
30/04/2017,7577.0000,7577.0000,-0.81,7662.0000,7639.0000,7662.0000,7531.0000,35452640,2686247,643172,8459,103,,,35452640.00,
27/04/2017,7639.0000,7639.0000,-0.01,7640.0000,7640.0000,7660.0000,7544.0000,35452640,2708227,1442168,18905,185,,,35452640.00,
26/04/2017,7640.0000,7640.0000,-0.13,7650.0000,7650.0000,7744.0000,7580.0000,35452640,2708582,783530,10258,130,,,35452640.00,
