Historical Prices - FMS - 00315010
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,15320.0000,15320.0000,2.47,15000.0000,14950.0000,15780.0000,14730.0000,9194936,1408664,2397109,15850,380,,,9194936.00,
28/05/2017,14950.0000,14950.0000,3.39,14450.0000,14460.0000,14950.0000,14440.0000,9194936,1374643,3645428,24850,429,,,9194936.00,
25/05/2017,14460.0000,14460.0000,7.51,13450.0000,13450.0000,14560.0000,13410.0000,9194936,1329588,3729185,26804,483,,,9194936.00,
24/05/2017,13450.0000,13450.0000,1.28,13280.0000,13280.0000,13680.0000,13240.0000,9194936,1236719,2206652,16423,303,,,9194936.00,
23/05/2017,13280.0000,13280.0000,4.73,12700.0000,12680.0000,13350.0000,12680.0000,9194936,1221088,1899093,14490,293,,,9194936.00,
22/05/2017,12680.0000,12680.0000,2.26,12440.0000,12400.0000,12930.0000,12420.0000,9194936,1165918,1653550,13009,205,,,9194936.00,
21/05/2017,12400.0000,12400.0000,3.33,12100.0000,12000.0000,12690.0000,12100.0000,9194936,1140172,1845816,14888,254,,,9194936.00,
18/05/2017,12000.0000,12000.0000,-3.38,12400.0000,12420.0000,12420.0000,11930.0000,9194936,1103392,1282224,10554,204,,,9194936.00,
17/05/2017,12420.0000,12420.0000,-3.50,12870.0000,12870.0000,12870.0000,12410.0000,9194936,1142011,1197015,9544,217,,,9194936.00,
16/05/2017,12870.0000,12870.0000,0.55,12750.0000,12800.0000,12900.0000,12570.0000,9194936,1183388,1188877,9350,194,,,9194936.00,
15/05/2017,12800.0000,12800.0000,-0.93,12960.0000,12920.0000,12960.0000,12680.0000,9194936,1176952,664095,5191,116,,,9194936.00,
14/05/2017,12920.0000,12920.0000,0.08,12970.0000,12910.0000,12970.0000,12840.0000,9194936,1187986,692846,5368,90,,,9194936.00,
11/05/2017,12910.0000,12910.0000,0.16,12800.0000,12890.0000,12970.0000,12660.0000,9194936,1187066,806658,6275,126,,,9194936.00,
10/05/2017,12890.0000,12890.0000,0.00,12890.0000,12890.0000,12900.0000,12730.0000,9194936,1185227,1002836,7813,146,,,9194936.00,
09/05/2017,12890.0000,12890.0000,0.39,12900.0000,12840.0000,12900.0000,12620.0000,9194936,1185227,1598265,12489,221,,,9194936.00,
08/05/2017,12840.0000,12840.0000,-0.08,12850.0000,12850.0000,12850.0000,12810.0000,9194936,1180630,674954,5260,122,,,9194936.00,
07/05/2017,12850.0000,12850.0000,0.08,12730.0000,12840.0000,12940.0000,12730.0000,9194936,1181549,751712,5857,90,,,9194936.00,
04/05/2017,12840.0000,12840.0000,-0.16,12860.0000,12860.0000,12930.0000,12810.0000,9194936,1180630,948340,7373,171,,,9194936.00,
03/05/2017,12860.0000,12860.0000,1.50,12700.0000,12670.0000,12960.0000,12670.0000,9194936,1182469,1004246,7807,129,,,9194936.00,
