Historical Prices - FORESIGHT - 00199018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,687.0000,687.0000,-3.48,710.0000,711.8000,710.0000,677.0000,93935127,645334,6095438,878968,742,,,81705799.00,
28/05/2017,711.8000,711.8000,-5.30,749.0000,751.6000,749.0000,710.0000,93935127,668630,5998475,826047,790,,,81705799.00,
25/05/2017,751.6000,751.6000,0.48,748.0000,748.0000,785.4000,735.0000,93935127,706016,15547790,2035543,1674,,,81705799.00,
24/05/2017,748.0000,748.0000,7.01,710.0000,699.0000,749.8000,680.0000,93175926,696956,28532346,3930461,2422,,,81705799.00,
23/05/2017,699.0000,699.0000,-1.55,699.0000,710.0000,712.9000,676.0000,93175926,651300,10773213,1561379,1413,,,81705799.00,
22/05/2017,710.0000,710.0000,0.71,714.9000,705.0000,760.0000,670.0000,93175926,661549,26417647,3656915,2798,,,81705799.00,
21/05/2017,705.0000,705.0000,13.71,695.0000,620.0000,730.0000,665.0000,93175926,656890,28461649,4070985,3054,,,81705799.00,
18/05/2017,620.0000,620.0000,8.77,550.0000,570.0000,649.8000,525.1000,91593646,567881,29496019,4910215,3658,,,81705799.00,
17/05/2017,570.0000,570.0000,-23.22,738.0000,742.4000,742.0000,570.0000,91593646,522084,33854337,5291889,4291,,,81705799.00,
16/05/2017,742.4000,742.4000,-12.86,875.0000,852.0000,885.0000,718.0000,91593646,679991,48401127,6056567,4924,,,81705799.00,
15/05/2017,852.0000,852.0000,20.00,731.0000,710.0000,855.1000,711.0000,91593646,780378,38495646,4923615,3569,,,81705799.00,
14/05/2017,710.0000,710.0000,13.96,658.0000,623.0000,747.3000,658.0000,91593646,650315,39637609,5578965,3905,,,81705799.00,
11/05/2017,623.0000,623.0000,17.55,536.0000,530.0000,625.0000,536.0000,90989361,566864,19238184,3341931,2137,,,81705799.00,
10/05/2017,530.0000,530.0000,10.67,484.0000,478.9000,531.6000,480.0000,90989361,482244,11136023,2181003,1341,,,81705799.00,
09/05/2017,478.9000,478.9000,8.20,445.0000,442.6000,479.0000,439.0000,90989361,435748,5001201,1085203,664,,,81705799.00,
08/05/2017,442.6000,442.6000,3.68,426.9000,426.9000,447.0000,426.0000,90989361,402719,4952421,1135527,606,,,81705799.00,
07/05/2017,426.9000,426.9000,-4.92,449.0000,449.0000,453.0000,422.0000,90889362,388007,3969966,920574,517,,,81705799.00,
04/05/2017,449.0000,449.0000,-3.54,474.3000,465.5000,477.7000,444.6000,90889362,408093,7951265,1736412,879,,,73062687.00,
03/05/2017,465.5000,465.5000,5.15,459.0000,442.7000,484.0000,449.9000,90689362,422159,10030989,2121793,1352,,,73062687.00,
30/04/2017,442.7000,442.7000,2.29,435.0000,432.8000,450.0000,432.8000,90370076,400068,6782504,1535267,674,,,73062687.00,
27/04/2017,432.8000,432.8000,0.65,432.9000,430.0000,433.0000,402.0000,87441509,378447,9552865,2242477,1210,,,73062687.00,
26/04/2017,430.0000,430.0000,14.97,382.0000,374.0000,430.0000,382.0000,87441509,375998,18662589,4522417,2236,,,73062687.00,
25/04/2017,374.0000,374.0000,13.82,327.3000,328.6000,374.0000,320.0000,87441509,327031,5147509,1462385,802,,,73062687.00,
24/04/2017,328.6000,328.6000,3.63,323.6000,317.1000,331.0000,321.4000,87441509,287333,1267055,386986,247,,,73062687.00,
23/04/2017,317.1000,317.1000,-4.80,333.1000,333.1000,336.3000,306.0000,81705799,259089,2017452,638651,369,,,73062687.00,
20/04/2017,333.1000,333.1000,-5.80,353.0000,353.6000,353.0000,330.5000,81705799,272162,1742042,518637,262,,,73062687.00,
19/04/2017,353.6000,353.6000,0.00,353.6000,353.6000,359.5000,350.0000,81705799,288912,734464,207241,137,,,73062687.00,
18/04/2017,353.6000,353.6000,2.26,353.0000,345.8000,362.0000,352.9000,81705799,288912,1465426,412308,245,,,73062687.00,
13/04/2017,345.8000,345.8000,-8.23,375.0000,376.8000,375.4000,342.0000,81705799,282539,1962868,554391,339,,,73062687.00,
12/04/2017,376.8000,376.8000,-1.77,385.0000,383.6000,386.1000,375.3000,81705799,307867,950796,249232,134,,,73062687.00,
09/04/2017,383.6000,383.6000,0.42,385.0000,382.0000,394.0000,375.0000,81705799,313423,3047296,790501,394,,,73062687.00,
06/04/2017,382.0000,382.0000,0.92,374.0000,378.5000,382.0000,364.0000,81705799,312116,2458660,653483,295,,,73062687.00,
05/04/2017,378.5000,378.5000,5.08,362.5000,360.2000,381.0000,355.0000,81705799,309256,4152245,1115281,518,,,73062687.00,
04/04/2017,360.2000,360.2000,2.86,353.0000,350.2000,361.9000,350.0000,81705799,294304,2989621,836112,433,,,73062687.00,
03/04/2017,350.2000,350.2000,3.95,340.0000,336.9000,352.1000,340.0000,81705799,286134,3280995,944400,421,,,73062687.00,
02/04/2017,336.9000,336.9000,-1.66,344.5000,342.6000,344.5000,335.4000,81705799,275267,1737376,511218,223,,,73062687.00,
30/03/2017,342.6000,342.6000,0.50,340.0000,340.9000,346.0000,334.3000,81705799,279924,2156108,633085,275,,,73062687.00,
29/03/2017,340.9000,340.9000,0.03,346.0000,340.8000,346.0000,327.5000,73205543,249558,1961258,577634,322,,,73062687.00,
28/03/2017,340.8000,340.8000,8.78,300.0000,313.3000,342.0000,295.0000,73205543,249484,5141867,1609481,748,,,73062687.00,
27/03/2017,313.3000,313.3000,-5.63,323.8000,332.0000,323.8000,301.0000,73205543,229353,3436798,1108988,545,,,73062687.00,
26/03/2017,332.0000,332.0000,-3.49,344.0000,344.0000,346.8000,321.0000,73062687,242568,2250366,679173,357,,,73062687.00,
23/03/2017,344.0000,344.0000,1.45,345.7000,339.1000,354.5000,340.0000,73062687,251336,2566590,737218,407,,,73062687.00,
22/03/2017,339.1000,339.1000,-5.28,345.0000,358.0000,357.4000,333.0000,73062687,247756,5009267,1459026,732,,,73062687.00,
