Historical Prices - FORMULA - 00256016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,14980.0000,14980.0000,0.54,14900.0000,14900.0000,15140.0000,14650.0000,14728782,2206372,6811421,45588,224,,,14728782.00,
28/05/2017,14900.0000,14900.0000,-0.93,15400.0000,15040.0000,15400.0000,14820.0000,14728782,2194589,535837,3573,128,,,14728782.00,
25/05/2017,15040.0000,15040.0000,1.42,14790.0000,14830.0000,15230.0000,14770.0000,14728782,2215209,1468992,9872,162,,,14728782.00,
24/05/2017,14830.0000,14830.0000,-1.20,15020.0000,15010.0000,15210.0000,14750.0000,14728782,2184278,801394,5371,135,,,14728782.00,
23/05/2017,15010.0000,15010.0000,-0.46,15130.0000,15080.0000,15320.0000,14960.0000,14728782,2210790,1295953,8560,219,,,14728782.00,
22/05/2017,15080.0000,15080.0000,1.96,14790.0000,14790.0000,15250.0000,14820.0000,14728782,2221100,1192956,7923,202,,,14728782.00,
21/05/2017,14790.0000,14790.0000,0.41,14730.0000,14730.0000,15050.0000,14700.0000,14728782,2178387,774182,5211,139,,,14728782.00,
18/05/2017,14730.0000,14730.0000,-2.71,15110.0000,15140.0000,15110.0000,14620.0000,14728782,2169550,1639791,11080,242,,,14728782.00,
17/05/2017,15140.0000,15140.0000,-4.84,15890.0000,15910.0000,15890.0000,15110.0000,14728782,2229938,2370866,15358,323,,,14728782.00,
16/05/2017,15910.0000,15910.0000,2.58,15510.0000,15510.0000,15970.0000,15370.0000,14728782,2343349,2219451,14160,247,,,14728782.00,
15/05/2017,15510.0000,15510.0000,0.91,15420.0000,15370.0000,15570.0000,15050.0000,14728782,2284434,1940488,12658,267,,,14728782.00,
14/05/2017,15370.0000,15370.0000,-0.45,15400.0000,15440.0000,15460.0000,15260.0000,14728782,2263814,885969,5772,122,,,14728782.00,
11/05/2017,15440.0000,15440.0000,3.14,14900.0000,14970.0000,15680.0000,14900.0000,14728782,2274124,1569613,10250,217,,,14728782.00,
