Historical Prices - FOX - 01087022
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,8057.0000,8057.0000,0.80,7993.0000,7993.0000,8081.0000,7935.0000,13476211,1085778,843638,10528,175,,,13476211.00,
28/05/2017,7993.0000,7993.0000,-1.13,8100.0000,8084.0000,8199.0000,7959.0000,13476211,1077154,835978,10294,135,,,13476211.00,
25/05/2017,8084.0000,8084.0000,1.20,7988.0000,7988.0000,8180.0000,7988.0000,13476211,1089417,2122775,26154,373,,,13476211.00,
24/05/2017,7988.0000,7988.0000,0.00,7994.0000,7988.0000,8140.0000,7942.0000,13476211,1076480,1699269,21200,270,,,13476211.00,
23/05/2017,7988.0000,7988.0000,1.10,7910.0000,7901.0000,8150.0000,7910.0000,13476211,1076480,2355176,29291,386,,,13476211.00,
22/05/2017,7901.0000,7901.0000,3.03,7850.0000,7669.0000,7910.0000,7701.0000,13476211,1064755,1288431,16477,212,,,13476211.00,
21/05/2017,7669.0000,7669.0000,1.58,7555.0000,7550.0000,7767.0000,7555.0000,13476211,1033491,1120359,14610,216,,,13476211.00,
18/05/2017,7550.0000,7550.0000,-4.82,7700.0000,7932.0000,7790.0000,7256.0000,13476211,1017454,5512029,73119,738,,,13476211.00,
17/05/2017,7932.0000,7932.0000,-1.90,8086.0000,8086.0000,8086.0000,7900.0000,13476211,1068933,2259313,28294,356,,,13476211.00,
16/05/2017,8086.0000,8086.0000,0.92,8006.0000,8012.0000,8125.0000,7975.0000,13476211,1089686,1867373,23196,366,,,13476211.00,
15/05/2017,8012.0000,8012.0000,-1.05,8097.0000,8097.0000,8097.0000,7883.0000,13476211,1079714,2519123,31555,408,,,13476211.00,
14/05/2017,8097.0000,8097.0000,-0.38,8122.0000,8128.0000,8216.0000,8047.0000,13476211,1091169,596277,7343,125,,,13476211.00,
11/05/2017,8128.0000,8128.0000,-0.05,8132.0000,8132.0000,8209.0000,7656.0000,13476211,1095346,1418007,17498,250,,,13476211.00,
10/05/2017,8132.0000,8132.0000,-2.99,8383.0000,8383.0000,8462.0000,8123.0000,13476211,1095885,2254792,27337,279,,,13476211.00,
09/05/2017,8383.0000,8383.0000,0.14,8371.0000,8371.0000,8480.0000,8274.0000,13476211,1129711,1598433,19058,227,,,13476211.00,
08/05/2017,8371.0000,8371.0000,-0.64,8420.0000,8425.0000,8421.0000,8243.0000,13476211,1128094,2082498,24947,300,,,13476211.00,
07/05/2017,8425.0000,8425.0000,1.42,8340.0000,8307.0000,8497.0000,8328.0000,13476211,1135371,1855989,21992,245,,,13476211.00,
04/05/2017,8307.0000,8307.0000,0.10,8299.0000,8299.0000,8360.0000,8289.0000,13476211,1119469,1455331,17505,218,,,13476211.00,
03/05/2017,8299.0000,8299.0000,0.25,8300.0000,8278.0000,8356.0000,8236.0000,13476211,1118391,1612987,19428,221,,,13476211.00,
30/04/2017,8278.0000,8278.0000,0.45,8205.0000,8241.0000,8320.0000,8205.0000,13476211,1115561,761097,9196,120,,,13476211.00,
27/04/2017,8241.0000,8241.0000,0.86,8278.0000,8171.0000,8369.0000,8211.0000,13476211,1110575,2487600,30086,274,,,13476211.00,
26/04/2017,8171.0000,8171.0000,1.92,8017.0000,8017.0000,8210.0000,7955.0000,13476211,1101141,2566212,31743,350,,,13476211.00,
25/04/2017,8017.0000,8017.0000,-0.50,8057.0000,8057.0000,8108.0000,7771.0000,13476211,1080388,2188468,27388,253,,,13476211.00,
24/04/2017,8057.0000,8057.0000,0.47,8019.0000,8019.0000,8119.0000,8041.0000,13476211,1085778,2322798,28718,351,,,13476211.00,
23/04/2017,8019.0000,8019.0000,1.60,8269.0000,7893.0000,8300.0000,7962.0000,13476211,1080657,5101019,63022,601,,,13476211.00,
20/04/2017,7893.0000,7893.0000,3.73,7614.0000,7609.0000,7915.0000,7614.0000,13476211,1063677,2046649,26238,241,,,13476211.00,
19/04/2017,7609.0000,7609.0000,2.71,7408.0000,7408.0000,7690.0000,7422.0000,13476211,1025405,1330637,17454,173,,,13476211.00,
18/04/2017,7408.0000,7408.0000,1.79,7250.0000,7278.0000,7513.0000,7250.0000,13476211,998318,725616,9792,146,,,13476211.00,
13/04/2017,7278.0000,7278.0000,-0.89,7360.0000,7343.0000,7360.0000,7251.0000,13476211,980799,272559,3720,83,,,13476211.00,
12/04/2017,7343.0000,7343.0000,-0.01,7363.0000,7344.0000,7363.0000,7275.0000,13476211,989558,315373,4295,63,,,13476211.00,
09/04/2017,7344.0000,7344.0000,0.56,7339.0000,7303.0000,7543.0000,7293.0000,13476211,989693,761050,10312,132,EX D,0.96793,13476211.00,
06/04/2017,7303.0319,7545.0000,-3.29,7850.0000,7802.0000,7850.0000,7366.0000,13476211,1016780,2860720,37247,293,,,13476211.00,
05/04/2017,7551.7899,7802.0000,5.75,7500.0000,7378.0000,7900.0000,7500.0000,13476211,1051414,2984128,38648,347,,,13476211.00,
04/04/2017,7141.3875,7378.0000,2.54,7055.0000,7195.0000,7395.0000,7055.0000,13476211,994275,1086121,14853,190,,,13476211.00,
03/04/2017,6964.2564,7195.0000,-0.18,7313.0000,7208.0000,7436.0000,7055.0000,13476211,969613,2573153,35677,308,,,13476211.00,
02/04/2017,6976.8394,7208.0000,-1.04,7223.0000,7284.0000,7385.0000,7159.0000,13476211,971365,1444515,19933,162,,,13476211.00,
30/03/2017,7050.4021,7284.0000,-3.16,7551.0000,7522.0000,7551.0000,7217.0000,13476211,981607,1543128,20964,235,,,13476211.00,
29/03/2017,7280.7695,7522.0000,0.35,7551.0000,7496.0000,7551.0000,7506.0000,13476211,1013681,1418823,18837,186,,,13476211.00,
28/03/2017,7255.6033,7496.0000,1.16,7616.0000,7410.0000,7713.0000,7477.0000,13476211,1010177,1935450,25525,232,,,13476211.00,
27/03/2017,7172.3613,7410.0000,-2.91,7632.0000,7632.0000,7633.0000,7397.0000,13476211,998587,1898461,25482,273,,,13476211.00,
26/03/2017,7387.2418,7632.0000,1.79,7510.0000,7498.0000,7722.0000,7510.0000,13476211,1028504,1057609,13892,165,,,13476211.00,
23/03/2017,7257.5391,7498.0000,0.58,7400.0000,7455.0000,7510.0000,7400.0000,13476211,1010446,728452,9725,129,,,13476211.00,
22/03/2017,7215.9182,7455.0000,-1.14,7450.0000,7541.0000,7526.0000,7398.0000,13476211,1004652,1598598,21428,260,,,13476211.00,
21/03/2017,7299.1601,7541.0000,3.09,7369.0000,7315.0000,7871.0000,7369.0000,13476211,1016241,4736340,62606,495,,,13476211.00,
20/03/2017,7080.4080,7315.0000,3.73,7100.0000,7052.0000,7340.0000,7100.0000,13476211,985785,3128855,43246,374,,,13476211.00,
19/03/2017,6825.8424,7052.0000,0.77,6998.0000,6998.0000,7302.0000,6744.0000,13476211,950342,2776033,39268,298,,,13476211.00,
16/03/2017,6773.5741,6998.0000,-0.50,7033.0000,7033.0000,7033.0000,6963.0000,13476211,943065,1213191,17335,172,,,13476211.00,
15/03/2017,6807.4517,7033.0000,1.15,6995.0000,6953.0000,7100.0000,6849.0000,13476211,947782,1731078,24817,254,,,13476211.00,
14/03/2017,6730.0173,6953.0000,3.99,6686.0000,6686.0000,6997.0000,6593.0000,13476211,937001,2987042,43587,359,,,13476211.00,
13/03/2017,6471.5800,6686.0000,5.11,6362.0000,6361.0000,6700.0000,6362.0000,13476211,901019,1565131,23732,177,,,13476211.00,
09/03/2017,6157.0027,6361.0000,-0.58,6398.0000,6398.0000,6398.0000,6330.0000,13476211,857222,491604,7716,102,,,13476211.00,
08/03/2017,6192.8161,6398.0000,-2.01,6497.0000,6529.0000,6542.0000,6362.0000,13476211,862208,1123991,17441,195,,,13476211.00,
07/03/2017,6319.6150,6529.0000,-1.12,6603.0000,6603.0000,6810.0000,6497.0000,13476211,879862,527108,7952,130,,,13476211.00,
06/03/2017,6391.2418,6603.0000,-1.20,6683.0000,6683.0000,6869.0000,6558.0000,13476211,889834,1493748,22282,241,,,13476211.00,
05/03/2017,6468.6762,6683.0000,-1.24,6767.0000,6767.0000,6799.0000,6660.0000,13476211,900615,871683,12973,140,,,13476211.00,
02/03/2017,6549.9823,6767.0000,4.24,6427.0000,6492.0000,6767.0000,6427.0000,13476211,911935,1406320,21010,155,,,13476211.00,
01/03/2017,6283.8016,6492.0000,0.82,6439.0000,6439.0000,6550.0000,6436.0000,13476211,874876,1127330,17340,144,,,13476211.00,
28/02/2017,6232.5013,6439.0000,1.45,6341.0000,6347.0000,6478.0000,6271.0000,13476211,867733,1150969,17924,203,,,13476211.00,
27/02/2017,6143.4517,6347.0000,-0.66,6406.0000,6389.0000,6434.0000,6341.0000,13476211,855335,824970,12905,131,,,13476211.00,
26/02/2017,6184.1048,6389.0000,0.63,6349.0000,6349.0000,6411.0000,6320.0000,13476211,860995,401961,6295,57,,,13476211.00,
23/02/2017,6145.3876,6349.0000,-0.47,6348.0000,6379.0000,6364.0000,6265.0000,13476211,855605,906230,14318,84,,,13476211.00,
22/02/2017,6174.4255,6379.0000,-0.45,6400.0000,6408.0000,6420.0000,6321.0000,13476211,859648,560365,8783,133,,,13476211.00,
21/02/2017,6202.4954,6408.0000,1.60,6280.0000,6307.0000,6412.0000,6280.0000,13476211,863556,486510,7640,128,,,13476211.00,
20/02/2017,6104.7345,6307.0000,-0.06,6311.0000,6311.0000,6382.0000,6280.0000,13476211,849945,446363,7079,95,,,13476211.00,
19/02/2017,6108.6062,6311.0000,0.33,6265.0000,6290.0000,6346.0000,6237.0000,13476211,850484,304009,4845,66,,,13476211.00,
