Historical Prices - FRUTAROM - 01081082
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,23020.0000,23020.0000,-1.96,23730.0000,23480.0000,23730.0000,23020.0000,59420054,13678496,25756120,110879,973,,,59324900.00,
28/05/2017,23480.0000,23480.0000,-2.45,23850.0000,24070.0000,24070.0000,23430.0000,59417899,13951323,13906836,58707,793,,,59324900.00,
25/05/2017,24070.0000,24070.0000,1.30,23800.0000,23760.0000,24080.0000,23510.0000,59417648,14301828,56218796,236178,1547,,,59324900.00,
24/05/2017,23760.0000,23760.0000,4.99,22700.0000,22630.0000,24150.0000,22690.0000,59325531,14095746,107236000,452261,3391,,,59324900.00,
23/05/2017,22630.0000,22630.0000,0.80,22450.0000,22450.0000,22700.0000,22430.0000,59325531,13425368,7921221,35034,585,,,59324900.00,
22/05/2017,22450.0000,22450.0000,2.18,22000.0000,21970.0000,22690.0000,21920.0000,59325531,13318582,16809621,74981,1045,,,59324900.00,
21/05/2017,21970.0000,21970.0000,-1.04,22340.0000,22200.0000,22410.0000,21810.0000,59325531,13033819,12767727,57799,859,,,59324900.00,
18/05/2017,22200.0000,22200.0000,1.60,22100.0000,21850.0000,22200.0000,21600.0000,59325531,13170268,36292600,164941,1409,,,59324900.00,
17/05/2017,21850.0000,21850.0000,-1.00,21970.0000,22070.0000,22220.0000,21820.0000,59325531,12962629,10760215,48970,846,,,59324900.00,
16/05/2017,22070.0000,22070.0000,2.37,21560.0000,21560.0000,22250.0000,21550.0000,59325531,13093145,20681126,93925,1293,,,59324900.00,
15/05/2017,21560.0000,21560.0000,1.89,21160.0000,21160.0000,21570.0000,21100.0000,59325531,12790584,10861846,50650,839,,,59324900.00,
14/05/2017,21160.0000,21160.0000,-0.75,21320.0000,21320.0000,21620.0000,21000.0000,59325531,12553282,8012752,37666,582,,,59324900.00,
11/05/2017,21320.0000,21320.0000,-2.78,21820.0000,21930.0000,21870.0000,21320.0000,59325531,12648203,16792030,77811,1169,,,59324900.00,
10/05/2017,21930.0000,21930.0000,-0.32,21910.0000,22000.0000,22030.0000,21690.0000,59325531,13010089,12701766,58229,824,,,59324900.00,
09/05/2017,22000.0000,22000.0000,0.00,22000.0000,22000.0000,22160.0000,21920.0000,59325531,13051617,13031439,59161,708,,,59324900.00,
08/05/2017,22000.0000,22000.0000,-1.12,22150.0000,22250.0000,22240.0000,21970.0000,59325531,13051617,13776016,62330,825,,,59324900.00,
07/05/2017,22250.0000,22250.0000,0.82,22000.0000,22070.0000,22330.0000,21970.0000,59325531,13199931,11689275,52644,644,,,59324900.00,
04/05/2017,22070.0000,22070.0000,1.42,21700.0000,21760.0000,22240.0000,21680.0000,59325531,13093145,42043483,191237,1290,,,59108540.00,
03/05/2017,21760.0000,21760.0000,2.69,21190.0000,21190.0000,21790.0000,21190.0000,59325531,12909236,15979033,74325,1016,,,59108540.00,
30/04/2017,21190.0000,21190.0000,-0.47,21300.0000,21290.0000,21350.0000,21130.0000,59325531,12571080,7038714,33066,300,,,59108540.00,
27/04/2017,21290.0000,21290.0000,0.19,21270.0000,21250.0000,21290.0000,21010.0000,59325531,12630406,25226328,118987,949,,,59108540.00,
26/04/2017,21250.0000,21250.0000,-1.25,21440.0000,21520.0000,21450.0000,21050.0000,59325531,12606675,12156326,57138,886,,,59108540.00,
25/04/2017,21520.0000,21520.0000,-0.65,21730.0000,21660.0000,21730.0000,21460.0000,59325531,12766854,8890897,41288,523,,,59108540.00,
24/04/2017,21660.0000,21660.0000,1.07,21670.0000,21430.0000,21770.0000,21530.0000,59325531,12849910,17090002,78902,1099,,,59108540.00,
23/04/2017,21430.0000,21430.0000,0.00,21400.0000,21430.0000,21590.0000,21330.0000,59325531,12713461,7649213,35675,435,,,59108540.00,
20/04/2017,21430.0000,21430.0000,-0.33,21360.0000,21500.0000,21700.0000,21200.0000,59325531,12713461,17124840,79861,545,,,59108540.00,
19/04/2017,21500.0000,21500.0000,1.42,21390.0000,21200.0000,21720.0000,21010.0000,59325531,12754989,21085801,98218,875,EX D,0.99812,59108540.00,
18/04/2017,21200.0688,21240.0000,-2.43,21970.0000,21770.0000,22000.0000,21090.0000,59324900,12600609,33070309,153403,1842,,,59108540.00,
13/04/2017,21729.0724,21770.0000,0.09,21930.0000,21750.0000,22110.0000,21540.0000,59304006,12910482,40070768,183063,1552,,,59108540.00,
12/04/2017,21709.1100,21750.0000,2.11,21250.0000,21300.0000,21750.0000,21240.0000,59301847,12898152,31291126,145726,1407,,,59108540.00,
09/04/2017,21259.9560,21300.0000,3.15,20800.0000,20650.0000,21350.0000,20800.0000,59288536,12628458,26041724,123353,1365,,,59108540.00,
06/04/2017,20611.1780,20650.0000,-1.29,20870.0000,20920.0000,20990.0000,20500.0000,59284986,12242350,36138028,174288,1193,,,59108540.00,
05/04/2017,20880.6704,20920.0000,1.11,20790.0000,20690.0000,20920.0000,20650.0000,59284986,12402419,14089574,67662,797,,,59108540.00,
04/04/2017,20651.1028,20690.0000,0.53,20630.0000,20580.0000,20750.0000,20510.0000,59260897,12261080,18243423,88325,818,,,59108540.00,
03/04/2017,20541.3096,20580.0000,1.63,20250.0000,20250.0000,20800.0000,20180.0000,59260897,12195893,18586426,90239,1021,,,59108540.00,
02/04/2017,20211.9300,20250.0000,0.00,20250.0000,20250.0000,20250.0000,20050.0000,59253847,11998904,12836697,63609,563,,,59108540.00,
30/03/2017,20211.9300,20250.0000,-0.44,20230.0000,20340.0000,20350.0000,20160.0000,59253847,11998904,30506813,150753,688,,,59108540.00,
29/03/2017,20301.7608,20340.0000,-1.69,20560.0000,20690.0000,20600.0000,20300.0000,59256172,12052705,32480143,159096,1104,,,59108540.00,
28/03/2017,20651.1028,20690.0000,0.00,20630.0000,20690.0000,20900.0000,20580.0000,59258092,12260499,13140455,63388,939,,,59108540.00,
27/03/2017,20651.1028,20690.0000,-0.53,20550.0000,20800.0000,20720.0000,20420.0000,59261035,12261108,17421538,84668,994,,,59108540.00,
26/03/2017,20760.8960,20800.0000,-0.62,20900.0000,20930.0000,21070.0000,20600.0000,59106855,12294226,53091872,256235,1119,,,59108540.00,
23/03/2017,20890.6516,20930.0000,3.67,20050.0000,20190.0000,21160.0000,20050.0000,59108540,12371417,33599051,162834,1674,,,59108540.00,
22/03/2017,20152.0428,20190.0000,0.80,19920.0000,20030.0000,20190.0000,19860.0000,59108540,11934014,19005205,95081,1116,,,59108540.00,
21/03/2017,19992.3436,20030.0000,-1.91,20420.0000,20420.0000,20500.0000,20030.0000,59108540,11839441,14151863,69662,1079,,,59108540.00,
20/03/2017,20381.6104,20420.0000,-0.49,20370.0000,20520.0000,20540.0000,20370.0000,59108540,12069964,23704847,116021,643,,,59108540.00,
19/03/2017,20481.4224,20520.0000,0.00,20520.0000,20520.0000,20600.0000,20370.0000,59108540,12129072,8485842,41367,728,,,59108540.00,
16/03/2017,20481.4224,20520.0000,-1.82,21000.0000,20900.0000,21210.0000,20520.0000,59108540,12129072,26444258,127228,1408,,,59108540.00,
15/03/2017,20860.7080,20900.0000,0.87,20720.0000,20720.0000,20900.0000,20620.0000,59108540,12353685,8900623,42740,496,,,59108540.00,
14/03/2017,20681.0464,20720.0000,0.39,20640.0000,20640.0000,20790.0000,20500.0000,59108540,12247289,10001928,48437,815,,,59108540.00,
13/03/2017,20601.1968,20640.0000,1.43,20350.0000,20350.0000,20770.0000,20350.0000,59108540,12200003,13770561,66760,822,,,59108540.00,
09/03/2017,20311.7420,20350.0000,-0.73,20480.0000,20500.0000,20490.0000,20310.0000,59108540,12028588,16711241,81915,909,,,59108540.00,
08/03/2017,20461.4600,20500.0000,-0.53,20510.0000,20610.0000,20690.0000,20500.0000,59108540,12117251,9190644,44672,510,,,59108540.00,
07/03/2017,20571.2532,20610.0000,0.05,20680.0000,20600.0000,20690.0000,20510.0000,59108540,12182270,8978057,43552,816,,,59108540.00,
06/03/2017,20561.2720,20600.0000,-0.48,20700.0000,20700.0000,20700.0000,20510.0000,59108540,12176359,14153493,68762,770,,,59108540.00,
05/03/2017,20661.0840,20700.0000,0.39,20620.0000,20620.0000,20730.0000,20560.0000,59108540,12235468,6819027,32984,365,,,59108540.00,
02/03/2017,20581.2344,20620.0000,-0.43,20670.0000,20710.0000,20910.0000,20510.0000,59108540,12188181,48017499,232691,1108,,,59098751.00,
01/03/2017,20671.0652,20710.0000,0.24,20700.0000,20660.0000,20980.0000,20680.0000,59108540,12241379,24117770,115515,1343,,,59098751.00,
