Historical Prices - GOLF - 01096148
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,655.1000,655.1000,0.60,651.2000,651.2000,667.0000,654.0000,40299990,264005,136000,20640,38,,,40299990.00,
28/05/2017,651.2000,651.2000,0.96,645.0000,645.0000,660.0000,637.0000,40299990,262434,123441,19109,45,,,40299990.00,
25/05/2017,645.0000,645.0000,-1.92,657.6000,657.6000,664.0000,641.0000,40299990,259935,293442,45343,80,,,40299990.00,
24/05/2017,657.6000,657.6000,-1.66,668.7000,668.7000,670.0000,630.0000,40299990,265013,282699,43012,76,,,40299990.00,
23/05/2017,668.7000,668.7000,-7.43,722.4000,722.4000,716.3000,665.1000,40299990,269486,1089933,160384,162,,,40299990.00,
22/05/2017,722.4000,722.4000,-0.80,728.2000,728.2000,734.0000,716.0000,40299990,291127,59794,8261,14,,,40299990.00,
21/05/2017,728.2000,728.2000,1.28,736.9000,719.0000,737.0000,726.0000,40299990,293465,66031,9033,14,,,40299990.00,
18/05/2017,719.0000,719.0000,-0.51,722.7000,722.7000,722.5000,697.2000,40299990,289757,14977,2083,7,,,40299990.00,
17/05/2017,722.7000,722.7000,1.29,713.5000,713.5000,723.9000,694.8000,40299990,291248,61248,8561,13,,,40299990.00,
16/05/2017,713.5000,713.5000,-1.03,720.9000,720.9000,720.9000,713.0000,40299990,287540,141103,19686,27,,,40299990.00,
15/05/2017,720.9000,720.9000,0.10,720.2000,720.2000,721.0000,720.6000,40299990,290523,43621,6051,10,,,40299990.00,
14/05/2017,720.2000,720.2000,-0.73,725.5000,725.5000,726.5000,706.0000,40299990,290241,103855,14409,17,,,40299990.00,
11/05/2017,725.5000,725.5000,-0.27,727.5000,727.5000,727.6000,724.8000,40299990,292376,63596,8756,10,,,40299990.00,
10/05/2017,727.5000,727.5000,-0.14,728.5000,728.5000,730.3000,726.0000,40299990,293182,73477,10083,18,,,40299990.00,
09/05/2017,728.5000,728.5000,2.02,714.1000,714.1000,733.4000,715.0000,40299990,293585,89075,12233,20,,,40299990.00,
08/05/2017,714.1000,714.1000,-0.85,720.2000,720.2000,721.0000,711.8000,40299990,287782,87589,12254,22,,,40299990.00,
07/05/2017,720.2000,720.2000,0.73,715.0000,715.0000,722.0000,711.0000,40299990,290241,85618,11895,15,,,40299990.00,
04/05/2017,715.0000,715.0000,0.79,704.0000,709.4000,715.0000,698.5000,40299990,288145,180597,25345,31,,,40299990.00,
03/05/2017,709.4000,709.4000,0.62,705.0000,705.0000,710.0000,701.5000,40299990,285888,130513,18417,15,,,40299990.00,
30/04/2017,705.0000,705.0000,-1.07,712.6000,712.6000,710.0000,686.0000,40299990,284115,128011,18269,25,,,40299990.00,
27/04/2017,712.6000,712.6000,1.05,705.2000,705.2000,714.1000,706.8000,40299990,287178,108244,15189,27,,,40299990.00,
26/04/2017,705.2000,705.2000,-0.72,710.3000,710.3000,713.8000,676.0000,40299990,284196,184536,26319,37,,,40299990.00,
25/04/2017,710.3000,710.3000,-0.14,711.3000,711.3000,713.1000,701.0000,40299990,286251,54894,7728,13,,,40299990.00,
24/04/2017,711.3000,711.3000,-0.20,712.7000,712.7000,712.0000,700.7000,40299990,286654,56456,7956,17,,,40299990.00,
23/04/2017,712.7000,712.7000,0.15,711.6000,711.6000,714.7000,706.5000,40299990,287218,37133,5210,8,,,40299990.00,
20/04/2017,711.6000,711.6000,0.76,706.2000,706.2000,716.7000,700.0000,40299990,286775,239358,33757,46,,,40299990.00,
19/04/2017,706.2000,706.2000,1.26,706.8000,697.4000,708.0000,703.0000,40299990,284599,64179,9095,13,,,40299990.00,
18/04/2017,697.4000,697.4000,-0.56,701.3000,701.3000,707.0000,697.0000,40299990,281052,250691,35780,34,,,40299990.00,
13/04/2017,701.3000,701.3000,-0.21,702.8000,702.8000,705.0000,684.7000,40299990,282624,25311,3609,6,,,40299990.00,
12/04/2017,702.8000,702.8000,1.52,692.3000,692.3000,709.0000,699.6000,40299990,283228,255500,36268,55,,,40299990.00,
09/04/2017,692.3000,692.3000,0.20,690.9000,690.9000,702.0000,685.5000,40299990,278997,76958,11118,18,,,40299990.00,
06/04/2017,690.9000,690.9000,-1.03,698.1000,698.1000,708.0000,663.4000,40299990,278433,423838,61881,64,,,40299990.00,
05/04/2017,698.1000,698.1000,1.91,685.0000,685.0000,706.9000,680.0000,40299990,281334,294683,42347,50,,,40299990.00,
04/04/2017,685.0000,685.0000,0.38,682.4000,682.4000,694.2000,683.1000,40299990,276055,357772,52074,62,,,40299990.00,
03/04/2017,682.4000,682.4000,2.00,669.0000,669.0000,689.1000,661.0000,40299990,275007,527397,77571,84,,,40299990.00,
02/04/2017,669.0000,669.0000,2.65,651.7000,651.7000,678.4000,651.7000,40299990,269607,971770,144884,44,,,40299990.00,
30/03/2017,651.7000,651.7000,3.07,632.3000,632.3000,657.0000,637.9000,40299990,262635,96682,14835,22,,,40299990.00,
29/03/2017,632.3000,632.3000,0.75,644.9000,627.6000,655.0000,626.9000,40299990,254817,556247,86396,87,,,40299990.00,
28/03/2017,627.6000,627.6000,0.51,624.4000,624.4000,634.9000,619.8000,40299990,252923,167932,26750,33,,,40299990.00,
27/03/2017,624.4000,624.4000,-1.00,630.7000,630.7000,636.4000,610.0000,40299990,251633,45278,7251,18,,,40299990.00,
26/03/2017,630.7000,630.7000,0.37,628.4000,628.4000,635.6000,624.4000,40299990,254172,75826,12023,12,,,40299990.00,
23/03/2017,628.4000,628.4000,0.00,628.4000,628.4000,0.0000,0.0000,40299990,253245,0,0,0,,,40299990.00,
22/03/2017,628.4000,628.4000,0.08,627.9000,627.9000,631.3000,608.8000,40299990,253245,204509,32992,46,,,40299990.00,
21/03/2017,627.9000,627.9000,2.77,611.0000,611.0000,636.8000,618.0000,40299990,253044,528375,84136,38,,,40299990.00,
20/03/2017,611.0000,611.0000,-0.70,610.0000,615.3000,624.4000,600.5000,40299990,246233,446730,73395,90,,,40299990.00,
19/03/2017,615.3000,615.3000,-2.33,630.0000,630.0000,629.7000,611.0000,40299990,247966,274460,44492,42,,,40299990.00,
16/03/2017,630.0000,630.0000,-1.59,640.2000,640.2000,649.8000,620.0000,40299990,253890,352644,55821,71,,,40299990.00,
15/03/2017,640.2000,640.2000,-1.07,647.1000,647.1000,652.9000,630.0000,40299990,258001,457276,71550,62,,,40299990.00,
14/03/2017,647.1000,647.1000,5.17,615.3000,615.3000,650.0000,602.3000,40299990,260781,2074500,328715,274,,,40299990.00,
13/03/2017,615.3000,615.3000,12.12,570.8000,548.8000,621.0000,570.8000,40299990,247966,4839978,814600,417,,,40299990.00,
09/03/2017,548.8000,548.8000,-0.07,549.2000,549.2000,555.0000,544.9000,40299990,221166,36365,6626,12,,,40299990.00,
08/03/2017,549.2000,549.2000,-0.87,554.0000,554.0000,558.0000,546.1000,40299990,221328,376069,68274,56,,,40299990.00,
07/03/2017,554.0000,554.0000,-0.11,554.6000,554.6000,558.5000,547.2000,40299990,223262,129006,23322,29,,,40299990.00,
06/03/2017,554.6000,554.6000,-0.05,554.9000,554.9000,558.3000,545.7000,40299990,223504,32851,5923,13,,,40299990.00,
05/03/2017,554.9000,554.9000,-0.29,556.5000,556.5000,560.0000,553.3000,40299990,223625,75488,13578,21,,,40299990.00,
02/03/2017,556.5000,556.5000,0.18,555.5000,555.5000,564.0000,554.3000,40299990,224269,85246,15319,13,,,40299990.00,
01/03/2017,555.5000,555.5000,0.33,553.7000,553.7000,574.0000,543.8000,40299990,223866,205581,37000,45,,,40299990.00,
