Historical Prices - HADERA PAPER - 00632018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,23160.0000,23160.0000,-1.19,23380.0000,23440.0000,23380.0000,23040.0000,6385031,1478773,788659,3398,130,,,6385031.00,
28/05/2017,23440.0000,23440.0000,0.60,24000.0000,23300.0000,24000.0000,23280.0000,6385031,1496651,1100637,4680,162,,,6385031.00,
25/05/2017,23300.0000,23300.0000,0.26,23600.0000,23240.0000,23600.0000,22660.0000,6385031,1487712,2057039,8858,288,,,6385031.00,
24/05/2017,23240.0000,23240.0000,1.62,22890.0000,22870.0000,23700.0000,22890.0000,6385031,1483881,3957263,16966,448,,,6385031.00,
23/05/2017,22870.0000,22870.0000,2.79,22360.0000,22250.0000,22900.0000,22340.0000,6385031,1460257,2855179,12582,301,,,6385031.00,
22/05/2017,22250.0000,22250.0000,4.46,21300.0000,21300.0000,22400.0000,21300.0000,6385031,1420669,2155303,9819,227,,,6385031.00,
21/05/2017,21300.0000,21300.0000,2.50,21480.0000,20780.0000,22000.0000,20790.0000,6385031,1360012,2498409,11689,191,,,6385031.00,
18/05/2017,20780.0000,20780.0000,0.34,20550.0000,20710.0000,21000.0000,20100.0000,6385031,1326809,3160728,15469,250,,,6385031.00,
17/05/2017,20710.0000,20710.0000,-3.58,21400.0000,21480.0000,21400.0000,20630.0000,6385031,1322340,4871784,23403,303,,,6385031.00,
16/05/2017,21480.0000,21480.0000,6.07,20300.0000,20250.0000,21590.0000,20300.0000,6385031,1371505,4502542,21283,434,,,6385031.00,
15/05/2017,20250.0000,20250.0000,11.45,18440.0000,18170.0000,20600.0000,18440.0000,6385031,1292969,6022848,30667,572,,,6385031.00,
14/05/2017,18170.0000,18170.0000,4.37,17410.0000,17410.0000,18210.0000,17410.0000,6385031,1160160,1902525,10590,229,,,6385031.00,
11/05/2017,17410.0000,17410.0000,1.93,17100.0000,17080.0000,17480.0000,16890.0000,6385031,1111634,1077806,6257,144,,,6385031.00,
10/05/2017,17080.0000,17080.0000,-0.47,17160.0000,17160.0000,17230.0000,16810.0000,6385031,1090563,531524,3116,72,,,6385031.00,
09/05/2017,17160.0000,17160.0000,0.23,17120.0000,17120.0000,17200.0000,16910.0000,6385031,1095671,449826,2630,106,,,6385031.00,
08/05/2017,17120.0000,17120.0000,2.39,16720.0000,16720.0000,17200.0000,16750.0000,6385031,1093117,1243203,7322,175,,,6385031.00,
07/05/2017,16720.0000,16720.0000,1.58,16460.0000,16460.0000,16750.0000,16360.0000,6385031,1067577,426605,2569,85,,,6385031.00,
04/05/2017,16460.0000,16460.0000,0.18,16430.0000,16430.0000,16890.0000,16280.0000,6385031,1050976,2016625,12169,186,,,6385031.00,
03/05/2017,16430.0000,16430.0000,-1.68,16710.0000,16710.0000,16710.0000,16350.0000,6385031,1049061,1844649,11166,165,,,6385031.00,
30/04/2017,16710.0000,16710.0000,0.24,17180.0000,16670.0000,17180.0000,16610.0000,6385031,1066939,354940,2121,63,,,6385031.00,
27/04/2017,16670.0000,16670.0000,-1.24,17150.0000,16880.0000,17150.0000,16520.0000,6385031,1064385,2444252,14620,112,,,6385031.00,
26/04/2017,16880.0000,16880.0000,-1.17,17080.0000,17080.0000,16990.0000,16830.0000,6385031,1077793,1526679,9044,96,,,6385031.00,
25/04/2017,17080.0000,17080.0000,1.67,16790.0000,16800.0000,17170.0000,16790.0000,6385031,1090563,1402171,8250,181,,,6385031.00,
24/04/2017,16800.0000,16800.0000,2.63,16370.0000,16370.0000,16990.0000,16370.0000,6385031,1072685,601617,3598,136,,,6385031.00,
