Historical Prices - HAREL - 00585018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2085.0000,2085.0000,-1.14,2109.0000,2109.0000,2116.0000,2085.0000,214234358,4466786,3160363,150500,328,,,214228986.00,
28/05/2017,2109.0000,2109.0000,0.96,2118.0000,2089.0000,2119.0000,2104.0000,214228986,4518089,4040943,191462,243,,,214228986.00,
25/05/2017,2089.0000,2089.0000,-0.38,2110.0000,2097.0000,2119.0000,2067.0000,214228986,4475244,10374663,493945,503,,,214228986.00,
24/05/2017,2097.0000,2097.0000,2.74,2032.0000,2041.0000,2125.0000,2032.0000,214228986,4492382,8680318,413974,687,,,214228986.00,
23/05/2017,2041.0000,2041.0000,2.41,1999.0000,1993.0000,2055.0000,1981.0000,214228986,4372414,4077733,201843,468,,,214228986.00,
22/05/2017,1993.0000,1993.0000,0.45,1984.0000,1984.0000,1999.0000,1964.0000,214228986,4269584,4279085,215459,394,,,214228986.00,
21/05/2017,1984.0000,1984.0000,1.17,1980.0000,1961.0000,1995.0000,1975.0000,214228986,4250303,2265102,114285,249,,,214228986.00,
18/05/2017,1961.0000,1961.0000,-0.56,1964.0000,1972.0000,1970.0000,1926.0000,214228986,4201030,9309656,478340,697,,,214228986.00,
17/05/2017,1972.0000,1972.0000,-1.05,1987.0000,1993.0000,2000.0000,1964.0000,214228986,4224596,2155378,108962,272,,,214228986.00,
16/05/2017,1993.0000,1993.0000,0.40,1993.0000,1985.0000,1995.0000,1971.0000,214228986,4269584,2826266,142576,365,,,214228986.00,
15/05/2017,1985.0000,1985.0000,-0.60,1997.0000,1997.0000,2000.0000,1949.0000,214228986,4252445,5416996,274980,532,,,214228986.00,
14/05/2017,1997.0000,1997.0000,0.45,1985.0000,1988.0000,1999.0000,1980.0000,214228986,4278153,2698428,135803,258,,,214228986.00,
11/05/2017,1988.0000,1988.0000,-1.73,2018.0000,2023.0000,2018.0000,1985.0000,214228986,4258872,5927848,296461,612,,,214228986.00,
10/05/2017,2023.0000,2023.0000,-1.17,2020.0000,2047.0000,2032.0000,2008.0000,214228986,4333852,9543519,471596,417,,,214228986.00,
09/05/2017,2047.0000,2047.0000,1.09,2029.0000,2025.0000,2054.0000,2025.0000,214228986,4385267,5488215,269214,446,,,214228986.00,
08/05/2017,2025.0000,2025.0000,1.66,1992.0000,1992.0000,2031.0000,1979.0000,214228986,4338137,6366146,317577,499,,,214228986.00,
07/05/2017,1992.0000,1992.0000,2.63,1941.0000,1941.0000,1992.0000,1935.0000,214228986,4267441,3552971,179715,353,,,214228986.00,
04/05/2017,1941.0000,1941.0000,-1.07,1970.0000,1962.0000,1971.0000,1932.0000,214228986,4158185,7892245,404877,468,,,214228986.00,
