Historical Prices - ICL - 00281014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1500.0000,1500.0000,-0.92,1514.0000,1514.0000,1519.0000,1500.0000,1276389907,19145849,15003442,995902,923,,,1276389907.00,
28/05/2017,1514.0000,1514.0000,-0.79,1526.0000,1526.0000,1534.0000,1514.0000,1276389907,19324543,7780857,511018,580,,,1276389907.00,
25/05/2017,1526.0000,1526.0000,-1.93,1551.0000,1556.0000,1559.0000,1526.0000,1276389907,19477710,32911334,2129442,993,,,1276389907.00,
24/05/2017,1556.0000,1556.0000,0.06,1550.0000,1555.0000,1568.0000,1549.0000,1276389907,19860627,12142543,778046,1080,,,1276389907.00,
23/05/2017,1555.0000,1555.0000,0.00,1554.0000,1555.0000,1564.0000,1541.0000,1276389907,19847863,10220000,658989,743,,,1276389907.00,
22/05/2017,1555.0000,1555.0000,-0.26,1558.0000,1559.0000,1564.0000,1542.0000,1276389907,19847863,16939665,1090303,1337,,,1276389907.00,
21/05/2017,1559.0000,1559.0000,1.90,1553.0000,1530.0000,1570.0000,1548.0000,1276389907,19898919,17542897,1126658,1066,,,1276389907.00,
18/05/2017,1530.0000,1530.0000,0.99,1510.0000,1515.0000,1530.0000,1492.0000,1276389907,19528766,29958333,1980815,1679,,,1276389907.00,
17/05/2017,1515.0000,1515.0000,0.00,1522.0000,1515.0000,1523.0000,1509.0000,1276389907,19337307,10443373,689098,834,,,1276389907.00,
16/05/2017,1515.0000,1515.0000,-0.26,1525.0000,1519.0000,1534.0000,1511.0000,1276389907,19337307,16500705,1084376,1169,,,1276389907.00,
15/05/2017,1519.0000,1519.0000,-1.04,1537.0000,1535.0000,1547.0000,1512.0000,1276389907,19388363,21046397,1379570,1461,,,1276389907.00,
14/05/2017,1535.0000,1535.0000,1.52,1515.0000,1512.0000,1537.0000,1515.0000,1276389907,19592585,11515665,752762,733,,,1276389907.00,
11/05/2017,1512.0000,1512.0000,-0.53,1515.0000,1520.0000,1523.0000,1503.0000,1276389907,19299015,25150669,1661139,1445,,,1276389907.00,
10/05/2017,1520.0000,1520.0000,-1.04,1523.0000,1536.0000,1552.0000,1507.0000,1276389907,19401127,23570157,1544759,1577,,,1276389907.00,
09/05/2017,1536.0000,1536.0000,-0.45,1540.0000,1543.0000,1543.0000,1527.0000,1276389907,19605349,13695552,892505,1075,,,1276389907.00,
08/05/2017,1543.0000,1543.0000,2.19,1511.0000,1510.0000,1548.0000,1496.0000,1276389907,19694696,21325540,1399423,1539,,,1276389907.00,
07/05/2017,1510.0000,1510.0000,0.47,1504.0000,1503.0000,1523.0000,1504.0000,1276389907,19273488,12022631,793532,714,,,1276389907.00,
04/05/2017,1503.0000,1503.0000,-1.51,1524.0000,1526.0000,1525.0000,1502.0000,1276389907,19184140,26852035,1778680,1221,,,1276389907.00,
03/05/2017,1526.0000,1526.0000,-1.23,1546.0000,1545.0000,1550.0000,1520.0000,1276389907,19477710,14647205,957858,1160,,,1276389907.00,
30/04/2017,1545.0000,1545.0000,-1.28,1550.0000,1565.0000,1550.0000,1539.0000,1276389907,19720224,8744100,565801,546,,,1276389907.00,
27/04/2017,1565.0000,1565.0000,3.03,1511.0000,1519.0000,1585.0000,1501.0000,1276389907,19975502,50666842,3279526,3019,,,1276389907.00,
26/04/2017,1519.0000,1519.0000,-0.33,1526.0000,1524.0000,1528.0000,1502.0000,1276389907,19388363,14127482,934602,1197,,,1276389907.00,
25/04/2017,1524.0000,1524.0000,2.42,1489.0000,1488.0000,1526.0000,1483.0000,1276389907,19452182,17367660,1151875,1475,,,1276389907.00,
24/04/2017,1488.0000,1488.0000,0.88,1490.0000,1475.0000,1493.0000,1477.0000,1276389907,18992682,21509085,1447270,1611,,,1276389907.00,
23/04/2017,1475.0000,1475.0000,-2.45,1497.0000,1512.0000,1497.0000,1475.0000,1276389907,18826751,12578033,848222,940,,,1276389907.00,
20/04/2017,1512.0000,1512.0000,-1.11,1516.0000,1529.0000,1527.0000,1501.0000,1276389907,19299015,58237164,3845702,1762,,,1276389907.00,
19/04/2017,1529.0000,1529.0000,0.26,1534.0000,1525.0000,1538.0000,1516.0000,1276389907,19516002,13898137,910940,1140,,,1276389907.00,
18/04/2017,1525.0000,1525.0000,-1.74,1559.0000,1552.0000,1560.0000,1523.0000,1276389907,19464946,15720712,1022182,1235,,,1276389907.00,
13/04/2017,1552.0000,1552.0000,-2.08,1576.0000,1585.0000,1576.0000,1540.0000,1276389907,19809571,13822244,886152,852,,,1276389907.00,
12/04/2017,1585.0000,1585.0000,2.26,1551.0000,1550.0000,1597.0000,1551.0000,1276389907,20230780,15242072,964942,1128,,,1276389907.00,
09/04/2017,1550.0000,1550.0000,-2.15,1575.0000,1584.0000,1583.0000,1549.0000,1276389907,19784044,8728382,557860,740,,,1276389907.00,
06/04/2017,1584.0000,1584.0000,1.54,1559.0000,1560.0000,1592.0000,1551.0000,1276389907,20218016,39048042,2477666,1535,,,1276389907.00,
05/04/2017,1560.0000,1560.0000,2.43,1513.0000,1523.0000,1565.0000,1513.0000,1276389907,19911683,21000378,1358884,1495,,,1276389907.00,
04/04/2017,1523.0000,1523.0000,0.26,1515.0000,1519.0000,1532.0000,1505.0000,1276389907,19439418,16752449,1101809,1603,,,1276389907.00,
03/04/2017,1519.0000,1519.0000,-1.87,1556.0000,1548.0000,1556.0000,1519.0000,1276389907,19388363,15221461,992122,1233,,,1276389907.00,
