Historical Prices - ILEX MEDICAL - 01080753
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4459.0000,4459.0000,-1.85,4543.0000,4543.0000,4560.0000,4400.0000,10035000,447461,151779,3390,20,,,10035000.00,
28/05/2017,4543.0000,4543.0000,1.86,4460.0000,4460.0000,4560.0000,4498.0000,10035000,455890,250704,5521,30,,,10035000.00,
25/05/2017,4460.0000,4460.0000,3.84,4295.0000,4295.0000,4600.0000,4295.0000,10035000,447561,885506,19881,73,,,10035000.00,
24/05/2017,4295.0000,4295.0000,-0.21,4304.0000,4304.0000,4300.0000,4256.0000,10035000,431003,24183,563,9,,,10035000.00,
23/05/2017,4304.0000,4304.0000,1.37,4246.0000,4246.0000,4324.0000,4281.0000,10035000,431906,35296,820,10,,,10035000.00,
22/05/2017,4246.0000,4246.0000,3.54,4101.0000,4101.0000,4350.0000,4188.0000,10035000,426086,99811,2357,18,,,10035000.00,
21/05/2017,4101.0000,4101.0000,0.42,4190.0000,4084.0000,4190.0000,4045.0000,10035000,411535,16075,392,11,,,10035000.00,
18/05/2017,4084.0000,4084.0000,-1.40,4355.0000,4142.0000,4355.0000,4051.0000,10035000,409829,73971,1808,21,,,10035000.00,
17/05/2017,4142.0000,4142.0000,-1.55,4207.0000,4207.0000,4235.0000,4130.0000,10035000,415650,1984230,47893,32,,,10035000.00,
16/05/2017,4207.0000,4207.0000,0.43,4300.0000,4189.0000,4300.0000,4137.0000,10035000,422172,280729,6679,21,,,10035000.00,
15/05/2017,4189.0000,4189.0000,0.60,4400.0000,4164.0000,4400.0000,4139.0000,10035000,420366,60249,1432,21,,,10035000.00,
14/05/2017,4164.0000,4164.0000,-2.35,4264.0000,4264.0000,4264.0000,4102.0000,10035000,417857,54836,1314,13,,,10035000.00,
11/05/2017,4264.0000,4264.0000,-1.50,4329.0000,4329.0000,4426.0000,4038.0000,10035000,427892,188040,4345,30,,,10035000.00,
10/05/2017,4329.0000,4329.0000,1.31,4273.0000,4273.0000,4353.0000,4304.0000,10035000,434415,54846,1267,19,,,10035000.00,
09/05/2017,4273.0000,4273.0000,0.78,4240.0000,4240.0000,4315.0000,4259.0000,10035000,428796,85169,1993,11,,,10035000.00,
08/05/2017,4240.0000,4240.0000,-0.07,4429.0000,4243.0000,4429.0000,4200.0000,10035000,425484,24716,583,10,,,10035000.00,
07/05/2017,4243.0000,4243.0000,0.26,4432.0000,4232.0000,4432.0000,4184.0000,10035000,425785,46464,1093,12,,,10035000.00,
04/05/2017,4232.0000,4232.0000,1.03,4190.0000,4189.0000,4449.0000,4033.0000,10035000,424681,246525,5811,35,,,10035000.00,
03/05/2017,4189.0000,4189.0000,-0.95,4226.0000,4229.0000,4302.0000,4112.0000,10035000,420366,102406,2451,21,,,10035000.00,
30/04/2017,4229.0000,4229.0000,1.32,4174.0000,4174.0000,4600.0000,4186.0000,10035000,424380,178481,4198,76,,,10035000.00,
27/04/2017,4174.0000,4174.0000,2.76,4150.0000,4062.0000,4332.0000,4069.0000,10035000,418861,366626,8785,75,,,10035000.00,
26/04/2017,4062.0000,4062.0000,3.04,4149.0000,3942.0000,4149.0000,3804.0000,10035000,407622,169393,4229,53,,,10035000.00,
25/04/2017,3942.0000,3942.0000,3.41,3874.0000,3812.0000,4150.0000,3701.0000,10035000,395580,160651,4073,73,,,10035000.00,
24/04/2017,3812.0000,3812.0000,0.74,3770.0000,3784.0000,4155.0000,3770.0000,10035000,382534,84016,2154,40,,,10035000.00,
23/04/2017,3784.0000,3784.0000,1.56,3726.0000,3726.0000,4199.0000,3650.0000,10035000,379724,138506,3613,69,,,10035000.00,
20/04/2017,3726.0000,3726.0000,-2.79,3850.0000,3833.0000,4100.0000,3641.0000,10035000,373904,129185,3426,39,,,10035000.00,
19/04/2017,3833.0000,3833.0000,-4.20,3950.0000,4001.0000,4150.0000,3804.0000,10035000,384642,68797,1778,25,,,10035000.00,
18/04/2017,4001.0000,4001.0000,-0.45,4200.0000,4019.0000,4200.0000,3950.0000,10035000,401500,56463,1398,20,,,10035000.00,
13/04/2017,4019.0000,4019.0000,-0.69,4047.0000,4047.0000,4276.0000,3951.0000,10035000,403307,44323,1098,23,,,10035000.00,
12/04/2017,4047.0000,4047.0000,0.40,4031.0000,4031.0000,4050.0000,4028.0000,10035000,406116,49022,1212,18,,,10035000.00,
09/04/2017,4031.0000,4031.0000,-1.20,4080.0000,4080.0000,4328.0000,3935.0000,10035000,404511,82861,2039,26,,,10035000.00,
06/04/2017,4080.0000,4080.0000,0.00,4121.0000,4080.0000,4121.0000,3963.0000,10035000,409428,173189,4252,22,,,10035000.00,
05/04/2017,4080.0000,4080.0000,1.47,4050.0000,4021.0000,4248.0000,3968.0000,10035000,409428,20321,498,8,,,10035000.00,
04/04/2017,4021.0000,4021.0000,1.72,4250.0000,3953.0000,4250.0000,3928.0000,10035000,403507,10293,256,9,,,10035000.00,
03/04/2017,3953.0000,3953.0000,-3.51,4097.0000,4097.0000,4140.0000,3905.0000,10035000,396684,72416,1824,16,,,10035000.00,
02/04/2017,4097.0000,4097.0000,1.29,4288.0000,4045.0000,4288.0000,3934.0000,10035000,411134,26178,639,12,,,10035000.00,
30/03/2017,4045.0000,4045.0000,0.45,4027.0000,4027.0000,4219.0000,3950.0000,10035000,405916,184360,4580,30,,,10035000.00,
29/03/2017,4027.0000,4027.0000,0.90,3991.0000,3991.0000,4064.0000,3950.0000,10035000,404109,25974,645,10,,,10035000.00,
28/03/2017,3991.0000,3991.0000,2.49,3894.0000,3894.0000,4150.0000,3922.0000,10035000,400497,35838,896,5,,,10035000.00,
27/03/2017,3894.0000,3894.0000,-0.79,3925.0000,3925.0000,3946.0000,3813.0000,10035000,390763,84311,2160,17,,,10035000.00,
26/03/2017,3925.0000,3925.0000,-0.46,3943.0000,3943.0000,4013.0000,3917.0000,10035000,393874,129481,3298,28,,,10035000.00,
23/03/2017,3943.0000,3943.0000,0.00,4049.0000,3943.0000,4049.0000,3918.0000,10035000,395680,58432,1478,26,,,10035000.00,
22/03/2017,3943.0000,3943.0000,-2.13,4040.0000,4029.0000,4250.0000,3906.0000,10035000,395680,166267,4151,43,,,10035000.00,
21/03/2017,4029.0000,4029.0000,-0.91,4066.0000,4066.0000,4110.0000,3951.0000,10035000,404310,20992,521,13,,,10035000.00,
20/03/2017,4066.0000,4066.0000,0.99,4026.0000,4026.0000,4082.0000,4028.0000,10035000,408023,1198927,29493,23,,,10035000.00,
19/03/2017,4026.0000,4026.0000,0.32,4013.0000,4013.0000,4087.0000,3900.0000,10035000,404009,16226,403,10,,,10035000.00,
16/03/2017,4013.0000,4013.0000,1.26,3963.0000,3963.0000,4121.0000,3934.0000,10035000,402705,184236,4608,30,,,10035000.00,
15/03/2017,3963.0000,3963.0000,-2.39,4060.0000,4060.0000,4127.0000,3937.0000,10035000,397687,150135,3780,22,,,10035000.00,
14/03/2017,4060.0000,4060.0000,-1.55,4124.0000,4124.0000,4160.0000,3950.0000,10035000,407421,300062,7421,41,,,10035000.00,
13/03/2017,4124.0000,4124.0000,0.22,4115.0000,4115.0000,4300.0000,4073.0000,10035000,413843,161011,3863,39,,,10035000.00,
09/03/2017,4115.0000,4115.0000,3.13,3990.0000,3990.0000,4187.0000,4015.0000,10035000,412940,429253,10543,61,,,10035000.00,
08/03/2017,3990.0000,3990.0000,0.40,3974.0000,3974.0000,4052.0000,3983.0000,10035000,400397,20030,502,7,,,10035000.00,
07/03/2017,3974.0000,3974.0000,-2.17,4062.0000,4062.0000,4166.0000,3969.0000,10035000,398791,225449,5526,45,,,10035000.00,
06/03/2017,4062.0000,4062.0000,3.20,3936.0000,3936.0000,4150.0000,3851.0000,10035000,407622,84612,2102,27,,,10035000.00,
05/03/2017,3936.0000,3936.0000,-0.86,4148.0000,3970.0000,4148.0000,3890.0000,10035000,394978,136963,3481,37,,,10035000.00,
