Historical Prices - INDUS BUILDING - 00226019
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,506.5000,506.5000,-0.86,510.9000,510.9000,520.2000,505.0000,389841318,1974546,381699,74943,98,,,389841318.00,
28/05/2017,510.9000,510.9000,-2.61,530.0000,524.6000,530.0000,506.3000,389841318,1991699,160684,31298,63,,,389841318.00,
25/05/2017,524.6000,524.6000,-0.08,507.0000,525.0000,529.0000,507.0000,389841318,2045108,542682,103457,106,,,389841318.00,
24/05/2017,525.0000,525.0000,0.04,524.8000,524.8000,526.1000,520.6000,389841318,2046667,772358,147154,75,,,389841318.00,
23/05/2017,524.8000,524.8000,1.08,519.2000,519.2000,525.2000,518.8000,389841318,2045887,338791,64672,123,,,389841318.00,
22/05/2017,519.2000,519.2000,2.63,505.9000,505.9000,524.8000,506.3000,389841318,2024056,242766,46960,63,,,389841318.00,
21/05/2017,505.9000,505.9000,1.10,500.8000,500.4000,511.3000,500.8000,389841318,1972207,154216,30413,76,,,389841318.00,
18/05/2017,500.4000,500.4000,-1.75,509.3000,509.3000,508.8000,497.8000,389841318,1950766,418877,83596,93,,,389841318.00,
17/05/2017,509.3000,509.3000,-1.62,518.1000,517.7000,535.0000,501.1000,389841318,1985462,3124749,600977,226,,,389841318.00,
16/05/2017,517.7000,517.7000,-0.90,522.4000,522.4000,522.4000,515.9000,389841318,2018209,302460,58293,89,,,389841318.00,
15/05/2017,522.4000,522.4000,-0.72,526.6000,526.2000,529.3000,514.6000,389841318,2036531,355506,68048,100,,,389841318.00,
14/05/2017,526.2000,526.2000,-0.83,530.3000,530.6000,530.7000,521.3000,389841318,2051345,84798,16102,52,,,389841318.00,
11/05/2017,530.6000,530.6000,-0.41,532.8000,532.8000,533.0000,528.0000,389841318,2068498,439189,82662,67,,,389841318.00,
10/05/2017,532.8000,532.8000,0.36,530.9000,530.9000,538.0000,521.1000,389841318,2077075,478549,90231,103,,,389841318.00,
09/05/2017,530.9000,530.9000,1.82,521.4000,521.4000,538.0000,521.4000,389841318,2069668,1799593,339447,203,,,389841318.00,
08/05/2017,521.4000,521.4000,0.02,521.3000,521.3000,522.0000,506.0000,389841318,2032633,2155113,415775,145,,,389841318.00,
07/05/2017,521.3000,521.3000,0.81,520.0000,517.1000,521.3000,516.5000,389841318,2032243,513168,98648,99,,,389841318.00,
04/05/2017,517.1000,517.1000,2.58,499.1000,504.1000,520.0000,499.1000,389841318,2015869,1063314,207572,144,,,389841318.00,
03/05/2017,504.1000,504.1000,1.90,495.0000,494.7000,507.4000,492.7000,389841318,1965190,216359,43300,72,,,389841318.00,
30/04/2017,494.7000,494.7000,-0.68,498.1000,498.1000,496.3000,491.0000,389841318,1928545,195488,39607,66,,,389841318.00,
