Historical Prices - ISRAEL CORP - 00576017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,66070.0000,66070.0000,0.20,65940.0000,65940.0000,66400.0000,65700.0000,7698467,5086377,5981609,9058,482,,,7698467.00,
28/05/2017,65940.0000,65940.0000,-0.06,65980.0000,65980.0000,66080.0000,65670.0000,7698467,5076369,5409400,8221,306,,,7698467.00,
25/05/2017,65980.0000,65980.0000,-1.15,66750.0000,66750.0000,66750.0000,65000.0000,7698467,5079449,10939985,16461,546,,,7698467.00,
24/05/2017,66750.0000,66750.0000,0.39,66100.0000,66490.0000,66900.0000,66060.0000,7698467,5138727,4512987,6781,465,,,7698467.00,
23/05/2017,66490.0000,66490.0000,0.51,66150.0000,66150.0000,66550.0000,65700.0000,7698467,5118711,4499075,6793,388,,,7698467.00,
22/05/2017,66150.0000,66150.0000,-0.81,66210.0000,66690.0000,66860.0000,65460.0000,7698467,5092536,7902490,11950,603,,,7698467.00,
21/05/2017,66690.0000,66690.0000,1.83,66290.0000,65490.0000,66940.0000,65750.0000,7698467,5134108,10276026,15493,625,,,7698467.00,
18/05/2017,65490.0000,65490.0000,1.08,64000.0000,64790.0000,65490.0000,63450.0000,7698467,5041726,12577843,19642,886,,,7698467.00,
17/05/2017,64790.0000,64790.0000,-1.56,66000.0000,65820.0000,66000.0000,64510.0000,7698467,4987837,6043006,9287,619,,,7698467.00,
16/05/2017,65820.0000,65820.0000,-0.48,66140.0000,66140.0000,66500.0000,65510.0000,7698467,5067131,9592630,14498,677,,,7698467.00,
15/05/2017,66140.0000,66140.0000,-0.99,67100.0000,66800.0000,67100.0000,65430.0000,7698467,5091766,8273134,12538,702,,,7698467.00,
14/05/2017,66800.0000,66800.0000,2.20,65100.0000,65360.0000,66870.0000,65090.0000,7698467,5142576,5211844,7878,401,,,7698467.00,
11/05/2017,65360.0000,65360.0000,1.18,64040.0000,64600.0000,65360.0000,64000.0000,7698467,5031718,16132046,25072,808,,,7698467.00,
10/05/2017,64600.0000,64600.0000,-1.42,64900.0000,65530.0000,66850.0000,63890.0000,7698467,4973210,12430218,19207,863,,,7698467.00,
09/05/2017,65530.0000,65530.0000,0.32,65500.0000,65320.0000,65780.0000,65000.0000,7698467,5044805,7800811,11934,576,,,7698467.00,
08/05/2017,65320.0000,65320.0000,1.48,64000.0000,64370.0000,65450.0000,63600.0000,7698467,5028639,6534174,10105,555,,,7698467.00,
07/05/2017,64370.0000,64370.0000,1.05,64000.0000,63700.0000,64470.0000,63970.0000,7698467,4955503,3523165,5484,271,,,7698467.00,
04/05/2017,63700.0000,63700.0000,-1.33,64560.0000,64560.0000,64560.0000,63400.0000,7698467,4903923,11964097,18725,665,,,7698467.00,
03/05/2017,64560.0000,64560.0000,-0.98,65100.0000,65200.0000,65100.0000,64100.0000,7698467,4970130,6745868,10472,545,,,7698467.00,
30/04/2017,65200.0000,65200.0000,0.02,64300.0000,65190.0000,65200.0000,64100.0000,7698467,5019400,4209913,6534,304,,,7698467.00,
27/04/2017,65190.0000,65190.0000,2.36,63690.0000,63690.0000,66690.0000,62630.0000,7698467,5018631,24561168,38141,1510,,,7698467.00,
26/04/2017,63690.0000,63690.0000,-1.07,64060.0000,64380.0000,64330.0000,63160.0000,7698467,4903154,5303086,8349,525,,,7698467.00,
25/04/2017,64380.0000,64380.0000,2.00,63220.0000,63120.0000,64380.0000,62560.0000,7698467,4956273,7390461,11627,685,,,7698467.00,
24/04/2017,63120.0000,63120.0000,0.30,63790.0000,62930.0000,63790.0000,62640.0000,7698467,4859272,8087762,12827,628,,,7698467.00,
23/04/2017,62930.0000,62930.0000,-1.92,64000.0000,64160.0000,64000.0000,62800.0000,7698467,4844645,4367496,6933,294,,,7698467.00,
20/04/2017,64160.0000,64160.0000,-1.67,64800.0000,65250.0000,64960.0000,64030.0000,7698467,4939336,14316943,22160,777,,,7698467.00,
19/04/2017,65250.0000,65250.0000,-0.24,65410.0000,65410.0000,66000.0000,64930.0000,7698467,5023250,6186616,9494,493,,,7698467.00,
18/04/2017,65410.0000,65410.0000,-2.15,66850.0000,66850.0000,67360.0000,65340.0000,7698467,5035567,8345605,12663,714,,,7698467.00,
13/04/2017,66850.0000,66850.0000,-2.35,67720.0000,68460.0000,67920.0000,66150.0000,7698467,5146425,5274173,7882,501,,,7698467.00,
12/04/2017,68460.0000,68460.0000,2.79,66020.0000,66600.0000,68460.0000,66020.0000,7698467,5270371,5754716,8522,554,,,7698467.00,
09/04/2017,66600.0000,66600.0000,-2.12,66680.0000,68040.0000,67620.0000,66100.0000,7698467,5127179,5036085,7559,400,,,7698467.00,
06/04/2017,68040.0000,68040.0000,1.57,65650.0000,66990.0000,68040.0000,65650.0000,7698467,5238037,26687290,39881,1010,,,7698467.00,
05/04/2017,66990.0000,66990.0000,2.43,65400.0000,65400.0000,67090.0000,65200.0000,7698467,5157203,6080544,9179,605,,,7698467.00,
04/04/2017,65400.0000,65400.0000,-1.10,65810.0000,66130.0000,66800.0000,65270.0000,7698467,5034797,7920214,12066,678,,,7698467.00,
03/04/2017,66130.0000,66130.0000,-2.29,67900.0000,67680.0000,67900.0000,65930.0000,7698467,5090996,6331468,9475,468,,,7698467.00,
02/04/2017,67680.0000,67680.0000,-0.22,67490.0000,67830.0000,68250.0000,67490.0000,7698467,5210322,6398910,9439,355,,,7698467.00,
30/03/2017,67830.0000,67830.0000,-0.25,67750.0000,68000.0000,68380.0000,67310.0000,7698467,5221870,13896136,20506,434,,,7698467.00,
29/03/2017,68000.0000,68000.0000,-0.66,68200.0000,68450.0000,68200.0000,66900.0000,7698467,5234958,8302962,12303,690,,,7698467.00,
28/03/2017,68450.0000,68450.0000,-1.07,69190.0000,69190.0000,69330.0000,67820.0000,7698467,5269601,17236485,25287,788,,,7698467.00,
27/03/2017,69190.0000,69190.0000,-0.32,68370.0000,69410.0000,69640.0000,68310.0000,7698467,5326569,10077591,14608,697,,,7698467.00,
26/03/2017,69410.0000,69410.0000,-0.89,70450.0000,70030.0000,70450.0000,68000.0000,7698467,5343506,2343276,3373,227,,,7698467.00,
23/03/2017,70030.0000,70030.0000,-0.10,70000.0000,70100.0000,70600.0000,69100.0000,7698467,5391236,8796511,12589,706,,,7698467.00,
22/03/2017,70100.0000,70100.0000,-0.57,69600.0000,70500.0000,70590.0000,69420.0000,7698467,5396625,8833536,12611,753,,,7698467.00,
21/03/2017,70500.0000,70500.0000,-0.70,71000.0000,71000.0000,71700.0000,70500.0000,7698467,5427419,12465256,17494,731,,,7698467.00,
20/03/2017,71000.0000,71000.0000,1.98,69620.0000,69620.0000,71000.0000,69400.0000,7698467,5465912,4345299,6160,372,,,7698467.00,
19/03/2017,69620.0000,69620.0000,-0.44,69930.0000,69930.0000,69930.0000,69000.0000,7698467,5359673,3599896,5171,330,,,7698467.00,
16/03/2017,69930.0000,69930.0000,1.35,69700.0000,69000.0000,70340.0000,68750.0000,7698467,5383538,15398237,22112,1032,,,7698467.00,
15/03/2017,69000.0000,69000.0000,-1.10,69390.0000,69770.0000,70120.0000,68580.0000,7698467,5311942,7988808,11519,604,,,7698467.00,
14/03/2017,69770.0000,69770.0000,-0.06,70400.0000,69810.0000,70520.0000,69470.0000,7698467,5371220,8293629,11849,706,,,7698467.00,
13/03/2017,69810.0000,69810.0000,-2.77,69880.0000,71800.0000,70510.0000,69600.0000,7698467,5374300,10207656,14582,729,,,7698467.00,
09/03/2017,71800.0000,71800.0000,7.31,67200.0000,66910.0000,72400.0000,66400.0000,7698467,5527499,24805634,35872,1395,,,7698467.00,
08/03/2017,66910.0000,66910.0000,-1.66,68040.0000,68040.0000,68040.0000,66910.0000,7698467,5151044,7521100,11158,653,,,7698467.00,
07/03/2017,68040.0000,68040.0000,-0.45,68750.0000,68350.0000,69180.0000,67890.0000,7698467,5238037,6402152,9357,529,,,7698467.00,
