Historical Prices - ISRAMCO       L - 00232017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,73.8000,73.8000,1.79,72.7000,72.5000,73.8000,72.5000,12952285015,9558786,22544290,30734757,416,,,12952285015.00,
28/05/2017,72.5000,72.5000,-0.82,73.1000,73.1000,73.1000,72.5000,12952285015,9390407,6379657,8762358,350,,,12952285015.00,
25/05/2017,73.1000,73.1000,0.27,72.5000,72.9000,73.5000,72.5000,12952285015,9468120,34781806,47756685,659,,,12952285015.00,
24/05/2017,72.9000,72.9000,0.00,72.7000,72.9000,73.2000,72.6000,12952285015,9442216,9428574,12928575,616,,,12952285015.00,
23/05/2017,72.9000,72.9000,0.97,72.3000,72.2000,72.9000,72.2000,12952285015,9442216,7205700,9906933,423,,,12952285015.00,
22/05/2017,72.2000,72.2000,0.00,72.5000,72.2000,72.9000,72.0000,12952285015,9351550,11319165,15623643,535,,,12952285015.00,
21/05/2017,72.2000,72.2000,0.70,72.2000,71.7000,72.4000,71.9000,12952285015,9351550,9470770,13111260,503,,,12952285015.00,
18/05/2017,71.7000,71.7000,-0.83,72.2000,72.3000,72.3000,70.9000,12952285015,9286788,18989728,26478045,939,,,12952285015.00,
17/05/2017,72.3000,72.3000,-0.96,73.0000,73.0000,73.6000,71.8000,12952285015,9364502,12115184,16621998,615,,,12952285015.00,
16/05/2017,73.0000,73.0000,0.27,73.3000,72.8000,74.0000,72.8000,12952285015,9455168,20260975,27605838,863,,,12952285015.00,
15/05/2017,72.8000,72.8000,0.28,72.9000,72.6000,73.4000,72.4000,12952285015,9429263,20737039,28434863,875,,,12952285015.00,
14/05/2017,72.6000,72.6000,1.11,72.0000,71.8000,72.9000,72.0000,12952285015,9403359,16291526,22444147,698,,,12952285015.00,
11/05/2017,71.8000,71.8000,0.70,71.3000,71.3000,72.3000,71.0000,12952285015,9299741,32128676,44888071,950,,,12952285015.00,
10/05/2017,71.3000,71.3000,1.71,70.4000,70.1000,71.4000,69.8000,12952285015,9234979,20411309,28879373,752,,,12952285015.00,
09/05/2017,70.1000,70.1000,-0.57,70.8000,70.5000,70.8000,70.1000,12952285015,9079552,18671541,26539235,745,,,12952285015.00,
08/05/2017,70.5000,70.5000,0.28,70.2000,70.3000,71.1000,69.9000,12952285015,9131361,17754606,25208147,584,,,12952285015.00,
07/05/2017,70.3000,70.3000,2.18,69.3000,68.8000,70.5000,69.2000,12952285015,9105456,23952401,34248671,705,,,12952285015.00,
04/05/2017,68.8000,68.8000,-0.29,69.3000,69.0000,69.4000,68.7000,12952285015,8911172,22357850,32404061,678,,,12952285015.00,
03/05/2017,69.0000,69.0000,0.00,69.0000,69.0000,69.5000,68.5000,12952285015,8937077,13794714,20021054,663,,,12952285015.00,
30/04/2017,69.0000,69.0000,0.88,68.2000,68.4000,69.0000,67.9000,12952285015,8937077,12697840,18526294,523,,,12952285015.00,
27/04/2017,68.4000,68.4000,3.32,67.0000,66.2000,68.9000,66.8000,12952285015,8859363,39155657,57989609,1192,,,12952285015.00,
26/04/2017,66.2000,66.2000,-0.60,66.7000,66.6000,66.7000,66.1000,12952285015,8574413,8414248,12691988,490,,,12952285015.00,
25/04/2017,66.6000,66.6000,0.00,66.6000,66.6000,66.8000,65.3000,12952285015,8626222,36693385,55316005,1021,,,12952285015.00,
24/04/2017,66.6000,66.6000,0.76,66.4000,66.1000,66.8000,66.3000,12952285015,8626222,20638989,31043042,584,,,12952285015.00,
23/04/2017,66.1000,66.1000,0.76,65.8000,65.6000,66.3000,65.6000,12952285015,8561460,27554069,41863998,435,,,12952285015.00,
20/04/2017,65.6000,65.6000,-0.30,65.7000,65.8000,65.8000,65.5000,12952285015,8496699,9268241,14113278,407,,,12952285015.00,
19/04/2017,65.8000,65.8000,-0.30,65.8000,66.0000,66.1000,65.8000,12952285015,8522604,13460157,20412547,377,,,12952285015.00,
18/04/2017,66.0000,66.0000,0.00,66.0000,66.0000,66.6000,65.7000,12952285015,8548508,18725529,28347567,639,,,12952285015.00,
13/04/2017,66.0000,66.0000,-0.60,66.6000,66.4000,66.9000,65.6000,12952285015,8548508,12307662,18595353,536,,,12952285015.00,
12/04/2017,66.4000,66.4000,0.00,66.4000,66.4000,66.7000,65.9000,12952285015,8600317,9635726,14554699,462,,,12952285015.00,
09/04/2017,66.4000,66.4000,-1.92,67.4000,67.7000,67.7000,66.0000,12952285015,8600317,23899055,35815165,863,,,12952285015.00,
06/04/2017,67.7000,67.7000,0.89,67.9000,67.1000,68.5000,67.2000,12952285015,8768697,89094293,131570528,1590,,,12952285015.00,
05/04/2017,67.1000,67.1000,6.17,63.1000,63.2000,67.7000,63.1000,12952285015,8690983,96287136,144591712,1819,,,12952285015.00,
04/04/2017,63.2000,63.2000,-0.16,63.6000,63.3000,63.6000,63.2000,12952285015,8185844,4754263,7506258,344,,,12952285015.00,
03/04/2017,63.3000,63.3000,0.00,63.2000,63.3000,63.4000,63.1000,12952285015,8198796,4761682,7522901,205,,,12952285015.00,
02/04/2017,63.3000,63.3000,-0.16,63.4000,63.4000,63.6000,63.2000,12952285015,8198796,5311714,8382363,227,,,12952285015.00,
30/03/2017,63.4000,63.4000,0.00,63.1000,63.4000,63.4000,63.1000,12952285015,8211749,23929572,37876773,434,,,12952285015.00,
29/03/2017,63.4000,63.4000,-0.63,64.1000,63.8000,64.1000,63.2000,12952285015,8211749,5922907,9310463,354,,,12952285015.00,
28/03/2017,63.8000,63.8000,-0.16,63.8000,63.9000,64.0000,63.7000,12952285015,8263558,7223965,11318715,427,,,12952285015.00,
27/03/2017,63.9000,63.9000,0.00,63.7000,63.9000,64.1000,63.5000,12952285015,8276510,7642268,11965014,450,,,12952285015.00,
26/03/2017,63.9000,63.9000,0.00,64.3000,63.9000,64.5000,63.8000,12952285015,8276510,4177151,6520354,305,,,12952285015.00,
23/03/2017,63.9000,63.9000,-0.16,64.0000,64.0000,64.2000,63.7000,12952285015,8276510,16230205,25367483,573,,,12952285015.00,
22/03/2017,64.0000,64.0000,1.11,63.3000,63.3000,64.0000,63.1000,12952285015,8289462,7072414,11130847,464,,,12952285015.00,
21/03/2017,63.3000,63.3000,0.00,63.3000,63.3000,64.0000,63.3000,12952285015,8198796,28378665,44651430,578,,,12952285015.00,
20/03/2017,63.3000,63.3000,-0.31,63.7000,63.5000,63.7000,63.1000,12952285015,8198796,13566011,21429260,370,,,12952285015.00,
19/03/2017,63.5000,63.5000,0.00,63.5000,63.5000,63.6000,63.2000,12952285015,8224701,5106250,8052745,293,,,12952285015.00,
16/03/2017,63.5000,63.5000,-0.47,63.9000,63.8000,64.0000,62.9000,12952285015,8224701,11416468,17973772,631,,,12952285015.00,
15/03/2017,63.8000,63.8000,0.16,63.8000,63.7000,63.9000,63.5000,12952285015,8263558,5322873,8355416,210,,,12952285015.00,
14/03/2017,63.7000,63.7000,-0.16,63.9000,63.8000,64.0000,63.7000,12952285015,8250606,13581486,21262642,404,,,12952285015.00,
13/03/2017,63.8000,63.8000,0.16,63.7000,63.7000,64.0000,63.5000,12952285015,8263558,4931948,7740660,266,,,12952285015.00,
09/03/2017,63.7000,63.7000,-0.78,64.0000,64.2000,64.0000,63.6000,12952285015,8250606,18853176,29565429,585,,,12952285015.00,
08/03/2017,64.2000,64.2000,-0.93,64.8000,64.8000,64.8000,64.2000,12952285015,8315367,4922643,7638963,327,,,12952285015.00,
07/03/2017,64.8000,64.8000,0.00,64.9000,64.8000,65.0000,64.5000,12952285015,8393081,4184217,6467929,359,,,12952285015.00,
06/03/2017,64.8000,64.8000,0.78,64.2000,64.3000,65.0000,63.7000,12952285015,8393081,13408045,20813844,518,,,12952285015.00,
05/03/2017,64.3000,64.3000,0.31,64.1000,64.1000,64.5000,64.0000,12952285015,8328319,7519041,11697468,275,,,12952285015.00,
02/03/2017,64.1000,64.1000,0.00,64.5000,64.1000,64.5000,63.6000,12952285015,8302415,55013033,85738407,630,,,12952285015.00,
01/03/2017,64.1000,64.1000,1.42,63.8000,63.2000,64.2000,63.3000,12952285015,8302415,9875255,15494022,625,,,12952285015.00,
28/02/2017,63.2000,63.2000,0.80,62.9000,62.7000,63.4000,62.7000,12952285015,8185844,14708293,23311227,629,,,12952285015.00,
27/02/2017,62.7000,62.7000,0.00,62.5000,62.7000,63.0000,62.2000,12952285015,8121083,6701563,10711521,434,,,12952285015.00,
26/02/2017,62.7000,62.7000,0.16,62.6000,62.6000,62.7000,62.3000,12952285015,8121083,5276948,8445515,302,,,12952285015.00,
23/02/2017,62.6000,62.6000,-0.95,63.2000,63.2000,63.4000,62.5000,12952285015,8108130,33070470,52514506,708,,,12952285015.00,
22/02/2017,63.2000,63.2000,-0.32,63.4000,63.4000,63.4000,63.1000,12952285015,8185844,8691903,13741948,520,,,12952285015.00,
21/02/2017,63.4000,63.4000,0.00,63.4000,63.4000,63.7000,63.2000,12952285015,8211749,6237716,9825912,286,,,12952285015.00,
20/02/2017,63.4000,63.4000,0.16,63.3000,63.3000,63.5000,63.0000,12952285015,8211749,5876086,9284757,298,,,12952285015.00,
19/02/2017,63.3000,63.3000,0.00,63.3000,63.3000,63.4000,63.1000,12952285015,8198796,3450134,5456240,225,,,12952285015.00,
16/02/2017,63.3000,63.3000,-0.31,63.5000,63.5000,63.7000,63.0000,12952285015,8198796,33119099,52414264,652,,,12952285015.00,
