Historical Prices - KAMADA - 01094119
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2531.0000,2531.0000,1.08,2504.0000,2504.0000,2539.0000,2501.0000,36418766,921759,909899,36100,176,,,36418766.00,
28/05/2017,2504.0000,2504.0000,-0.71,2526.0000,2522.0000,2549.0000,2501.0000,36418766,911926,514624,20462,150,,,36418766.00,
25/05/2017,2522.0000,2522.0000,1.49,2492.0000,2485.0000,2531.0000,2478.0000,36418766,918481,874948,34866,229,,,36418766.00,
24/05/2017,2485.0000,2485.0000,-1.31,2526.0000,2518.0000,2555.0000,2478.0000,36418766,905006,2081113,82457,310,,,36418766.00,
23/05/2017,2518.0000,2518.0000,2.65,2500.0000,2453.0000,2525.0000,2493.0000,36418766,917025,1370972,54591,282,,,36418766.00,
22/05/2017,2453.0000,2453.0000,-0.33,2460.0000,2461.0000,2465.0000,2433.0000,36418766,893352,1300909,53087,267,,,36418766.00,
21/05/2017,2461.0000,2461.0000,-0.16,2463.0000,2465.0000,2492.0000,2455.0000,36418766,896266,2414357,97931,273,,,36418766.00,
18/05/2017,2465.0000,2465.0000,-1.87,2502.0000,2512.0000,2506.0000,2425.0000,36418766,897723,2233807,90681,283,,,36418766.00,
17/05/2017,2512.0000,2512.0000,-2.60,2576.0000,2579.0000,2604.0000,2501.0000,36418766,914839,2111721,83515,369,,,36418766.00,
16/05/2017,2579.0000,2579.0000,-1.79,2610.0000,2626.0000,2639.0000,2552.0000,36418766,939240,1466748,56516,285,,,36418766.00,
15/05/2017,2626.0000,2626.0000,-0.49,2639.0000,2639.0000,2650.0000,2612.0000,36418766,956357,1285467,48855,242,,,36418766.00,
14/05/2017,2639.0000,2639.0000,0.65,2622.0000,2622.0000,2673.0000,2618.0000,36418766,961091,1152136,43600,195,,,36418766.00,
11/05/2017,2622.0000,2622.0000,0.15,2610.0000,2618.0000,2631.0000,2586.0000,36418766,954900,812763,31074,166,,,36418766.00,
