Historical Prices - KENON - 01134139
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,4798.0000,4798.0000,0.82,4666.0000,4759.0000,4875.0000,4666.0000,53742956,2578587,6248053,128941,527,,,53742956.00,
28/05/2017,4759.0000,4759.0000,1.58,4685.0000,4685.0000,4798.0000,4600.0000,53742956,2557627,1426070,30153,194,,,53742956.00,
25/05/2017,4685.0000,4685.0000,0.09,4699.0000,4681.0000,4719.0000,4642.0000,53742956,2517857,1115957,23777,307,,,53742956.00,
24/05/2017,4681.0000,4681.0000,3.15,4511.0000,4538.0000,4700.0000,4511.0000,53742956,2515708,2294176,49466,441,,,53742956.00,
23/05/2017,4538.0000,4538.0000,2.28,4437.0000,4437.0000,4558.0000,4404.0000,53742956,2438855,1545938,34275,224,,,53742956.00,
22/05/2017,4437.0000,4437.0000,4.62,4290.0000,4241.0000,4465.0000,4290.0000,53742956,2384575,873631,19891,230,,,53742956.00,
21/05/2017,4241.0000,4241.0000,-2.62,4352.0000,4355.0000,4453.0000,4221.0000,53742956,2279239,323759,7505,109,,,53742956.00,
18/05/2017,4355.0000,4355.0000,-2.92,4501.0000,4486.0000,4501.0000,4350.0000,53742956,2340506,730571,16678,156,,,53742956.00,
17/05/2017,4486.0000,4486.0000,0.38,4421.0000,4469.0000,4499.0000,4421.0000,53742956,2410909,944726,21156,171,,,53742956.00,
16/05/2017,4469.0000,4469.0000,0.45,4410.0000,4449.0000,4489.0000,4410.0000,53742956,2401773,1902157,42798,176,,,53742956.00,
15/05/2017,4449.0000,4449.0000,0.14,4443.0000,4443.0000,4459.0000,4427.0000,53742956,2391024,431235,9715,98,,,53742956.00,
14/05/2017,4443.0000,4443.0000,-1.92,4482.0000,4530.0000,4525.0000,4425.0000,53742956,2387800,293049,6550,82,,,53742956.00,
11/05/2017,4530.0000,4530.0000,1.21,4476.0000,4476.0000,4545.0000,4476.0000,53742956,2434556,502039,11073,104,,,53742956.00,
10/05/2017,4476.0000,4476.0000,0.09,4550.0000,4472.0000,4550.0000,4470.0000,53742956,2405535,1642556,36701,168,,,53742956.00,
09/05/2017,4472.0000,4472.0000,-2.38,4503.0000,4581.0000,4563.0000,4442.0000,53742956,2403385,898266,20048,193,,,53742956.00,
08/05/2017,4581.0000,4581.0000,2.58,4460.0000,4466.0000,4602.0000,4460.0000,53742956,2461965,1855749,40724,202,,,53742956.00,
07/05/2017,4466.0000,4466.0000,-2.13,4530.0000,4563.0000,4587.0000,4450.0000,53742956,2400160,882622,19713,124,,,53742956.00,
04/05/2017,4563.0000,4563.0000,0.35,4451.0000,4547.0000,4599.0000,4451.0000,53742956,2452291,1417607,31059,180,,,53742956.00,
03/05/2017,4547.0000,4547.0000,1.34,4487.0000,4487.0000,4609.0000,4443.0000,53742956,2443692,1331736,29517,177,,,53742956.00,
