Historical Prices - KERUR - 00621011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,10420.0000,10420.0000,0.58,10360.0000,10360.0000,10450.0000,10230.0000,12577534,1310579,1586696,15323,248,,,12577534.00,
28/05/2017,10360.0000,10360.0000,-3.63,10750.0000,10750.0000,10800.0000,10260.0000,12577534,1303033,2232213,21479,303,,,12577534.00,
25/05/2017,10750.0000,10750.0000,-6.52,11500.0000,11500.0000,11540.0000,10520.0000,12577534,1352085,5713039,53248,541,,,12577534.00,
24/05/2017,11500.0000,11500.0000,-1.54,11720.0000,11680.0000,11720.0000,11480.0000,12577534,1446416,1271105,10965,145,,,12577534.00,
23/05/2017,11680.0000,11680.0000,-0.34,11760.0000,11720.0000,11850.0000,11570.0000,12577534,1469056,1991256,17030,240,,,12577534.00,
22/05/2017,11720.0000,11720.0000,3.17,11390.0000,11360.0000,11740.0000,11390.0000,12577534,1474087,1291061,11131,175,,,12577534.00,
21/05/2017,11360.0000,11360.0000,3.56,10960.0000,10970.0000,11400.0000,10960.0000,12577534,1428808,1591984,14180,174,,,12577534.00,
18/05/2017,10970.0000,10970.0000,-2.75,11200.0000,11280.0000,11200.0000,10950.0000,12577534,1379755,1471804,13357,190,,,12577534.00,
17/05/2017,11280.0000,11280.0000,-4.08,11790.0000,11760.0000,11790.0000,11200.0000,12577534,1418746,2221951,19469,265,,,12577534.00,
16/05/2017,11760.0000,11760.0000,-0.08,11770.0000,11770.0000,11790.0000,11550.0000,12577534,1479118,946199,8097,170,,,12577534.00,
15/05/2017,11770.0000,11770.0000,-1.92,12000.0000,12000.0000,12000.0000,11670.0000,12577534,1480376,1991271,16900,209,,,12577534.00,
14/05/2017,12000.0000,12000.0000,0.50,11940.0000,11940.0000,12020.0000,11830.0000,12577534,1509304,530472,4440,83,,,12577534.00,
11/05/2017,11940.0000,11940.0000,-0.17,11770.0000,11960.0000,11950.0000,11750.0000,12577534,1501758,912725,7675,116,,,12577534.00,
10/05/2017,11960.0000,11960.0000,-1.48,12140.0000,12140.0000,12100.0000,11780.0000,12577534,1504273,2405377,20154,214,,,12577534.00,
09/05/2017,12140.0000,12140.0000,0.50,12080.0000,12080.0000,12190.0000,11970.0000,12577534,1526913,1728747,14291,220,,,12577534.00,
08/05/2017,12080.0000,12080.0000,-1.15,12220.0000,12220.0000,12230.0000,11820.0000,12577534,1519366,2775139,23119,355,,,12577534.00,
07/05/2017,12220.0000,12220.0000,1.41,12050.0000,12050.0000,12260.0000,11920.0000,12577534,1536975,1116529,9205,134,,,12577534.00,
04/05/2017,12050.0000,12050.0000,0.67,12000.0000,11970.0000,12050.0000,11880.0000,12577534,1515593,2171613,18104,170,,,12577534.00,
03/05/2017,11970.0000,11970.0000,-0.25,12040.0000,12000.0000,12070.0000,11910.0000,12577534,1505531,1035294,8649,131,,,12577534.00,
30/04/2017,12000.0000,12000.0000,0.17,11990.0000,11980.0000,12140.0000,11940.0000,12577534,1509304,818582,6813,91,,,12577534.00,
27/04/2017,11980.0000,11980.0000,1.18,11970.0000,11840.0000,11980.0000,11820.0000,12577534,1506789,1277269,10707,154,,,12577534.00,
26/04/2017,11840.0000,11840.0000,0.51,11840.0000,11780.0000,11960.0000,11760.0000,12577534,1489180,598830,5048,113,,,12577534.00,
25/04/2017,11780.0000,11780.0000,0.51,11720.0000,11720.0000,11800.0000,11660.0000,12577534,1481634,1050508,8957,127,,,12577534.00,
24/04/2017,11720.0000,11720.0000,0.00,11970.0000,11720.0000,11970.0000,11610.0000,12577534,1474087,1425295,12129,161,,,12577534.00,
23/04/2017,11720.0000,11720.0000,-0.34,11720.0000,11760.0000,11760.0000,11660.0000,12577534,1474087,725830,6202,79,,,12577534.00,
20/04/2017,11760.0000,11760.0000,-0.34,12000.0000,11800.0000,12000.0000,11720.0000,12577534,1479118,1019105,8629,129,,,12577534.00,
19/04/2017,11800.0000,11800.0000,-1.17,12150.0000,11940.0000,12150.0000,11650.0000,12577534,1484149,2564623,21730,179,,,12577534.00,
18/04/2017,11940.0000,11940.0000,-0.42,12000.0000,11990.0000,12020.0000,11810.0000,12577534,1501758,1374772,11518,151,,,12577534.00,
13/04/2017,11990.0000,11990.0000,1.10,11860.0000,11860.0000,11990.0000,11820.0000,12577534,1508046,1861781,15583,133,,,12577534.00,
12/04/2017,11860.0000,11860.0000,-1.41,11990.0000,12030.0000,11990.0000,11770.0000,12577534,1491696,1173009,9893,317,,,12577534.00,
09/04/2017,12030.0000,12030.0000,0.84,11950.0000,11930.0000,12050.0000,11900.0000,12577534,1513077,773399,6444,88,,,12577534.00,
06/04/2017,11930.0000,11930.0000,-0.83,11990.0000,12030.0000,12000.0000,11850.0000,12577534,1500500,1757534,14727,189,,,12577534.00,
05/04/2017,12030.0000,12030.0000,0.25,12000.0000,12000.0000,12100.0000,11930.0000,12577534,1513077,1920164,15967,191,,,12577534.00,
