Historical Prices - KITOV PHARMA - 00765016
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,33.7000,33.7000,1.20,33.3000,33.3000,34.0000,32.8000,164529696,55447,125005,373037,47,,,164529696.00,
28/05/2017,33.3000,33.3000,-4.58,34.0000,34.9000,34.1000,33.0000,164529696,54788,329390,978399,63,,,164529696.00,
25/05/2017,34.9000,34.9000,5.12,33.2000,33.2000,36.9000,33.2000,164529696,57421,718158,2044353,208,,,164529696.00,
24/05/2017,33.2000,33.2000,5.06,31.8000,31.6000,33.5000,31.8000,164529696,54624,92669,283674,45,,,164529696.00,
23/05/2017,31.6000,31.6000,0.32,31.5000,31.5000,31.7000,31.4000,164529696,51991,42177,133579,23,,,164529696.00,
22/05/2017,31.5000,31.5000,-0.32,31.6000,31.6000,31.7000,31.3000,164529696,51827,65180,207395,22,,,164529696.00,
21/05/2017,31.6000,31.6000,-1.25,32.0000,32.0000,32.2000,31.2000,164529696,51991,199574,632409,50,,,164529696.00,
18/05/2017,32.0000,32.0000,-2.74,32.0000,32.9000,32.4000,31.9000,164529696,52650,165834,517905,58,,,164529696.00,
17/05/2017,32.9000,32.9000,-1.20,33.3000,33.3000,33.3000,32.5000,164529696,54130,127464,387711,52,,,164529696.00,
16/05/2017,33.3000,33.3000,-2.06,34.0000,34.0000,33.7000,33.2000,164529696,54788,93286,279771,41,,,164529696.00,
15/05/2017,34.0000,34.0000,0.00,34.0000,34.0000,34.3000,33.5000,164529696,55940,78245,231061,43,,,164529696.00,
14/05/2017,34.0000,34.0000,-0.58,33.6000,34.2000,34.4000,33.6000,164529696,55940,52828,155769,28,,,164529696.00,
11/05/2017,34.2000,34.2000,0.59,34.4000,34.0000,34.6000,33.5000,164529696,56269,151058,443941,53,,,164529696.00,
10/05/2017,34.0000,34.0000,-2.86,35.0000,35.0000,34.4000,33.9000,164529696,55940,81555,239663,26,,,164529696.00,
09/05/2017,35.0000,35.0000,0.86,35.3000,34.7000,35.5000,34.2000,164529696,57585,101694,290083,45,,,164529696.00,
08/05/2017,34.7000,34.7000,4.83,33.0000,33.1000,35.9000,33.0000,164529696,57092,144157,424180,55,,,164529696.00,
07/05/2017,33.1000,33.1000,-3.78,33.5000,34.4000,33.5000,32.4000,164529696,54459,248060,749562,81,,,164529696.00,
04/05/2017,34.4000,34.4000,-2.82,35.0000,35.4000,35.0000,34.1000,164529696,56598,173408,502444,58,,,164529696.00,
03/05/2017,35.4000,35.4000,0.00,35.4000,35.4000,36.5000,35.2000,164529696,58244,161322,452048,51,,,164529696.00,
