Historical Prices - KLIL - 00797035
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,44460.0000,44460.0000,-0.09,44630.0000,44500.0000,44680.0000,44200.0000,2413719,1073139,1622242,3644,173,,,2422899.00,
28/05/2017,44500.0000,44500.0000,-1.31,45090.0000,45090.0000,45760.0000,44500.0000,2415249,1074786,2342429,5196,174,,,2422899.00,
25/05/2017,45090.0000,45090.0000,0.20,44770.0000,45000.0000,45110.0000,44600.0000,2416779,1089726,2220871,4934,233,,,2422899.00,
24/05/2017,45000.0000,45000.0000,-0.60,45270.0000,45270.0000,45270.0000,44700.0000,2418309,1088239,2580349,5730,247,,,2422899.00,
23/05/2017,45270.0000,45270.0000,1.73,44950.0000,44500.0000,45500.0000,44720.0000,2419839,1095461,2655172,5874,269,,,2422899.00,
22/05/2017,44500.0000,44500.0000,1.25,43970.0000,43950.0000,44500.0000,43950.0000,2422899,1078190,4080780,9218,321,,,2422899.00,
21/05/2017,43950.0000,43950.0000,1.67,43360.0000,43230.0000,43950.0000,43330.0000,2422899,1064864,2583286,5905,233,,,2422899.00,
18/05/2017,43230.0000,43230.0000,0.02,42920.0000,43220.0000,43350.0000,42750.0000,2422899,1047419,2784685,6463,381,,,2422899.00,
17/05/2017,43220.0000,43220.0000,5.93,43500.0000,40800.0000,43900.0000,42950.0000,2422899,1047177,9210814,21205,787,,,2422899.00,
16/05/2017,40800.0000,40800.0000,-0.83,41020.0000,41140.0000,41240.0000,40710.0000,2422899,988543,1448152,3538,227,,,2422899.00,
15/05/2017,41140.0000,41140.0000,-2.02,41990.0000,41990.0000,41990.0000,40590.0000,2422899,996781,1794712,4357,284,,,2422899.00,
14/05/2017,41990.0000,41990.0000,1.18,41950.0000,41500.0000,42000.0000,41620.0000,2422899,1017375,1113887,2659,163,,,2422899.00,
11/05/2017,41500.0000,41500.0000,2.75,40510.0000,40390.0000,41620.0000,40510.0000,2422899,1005503,2811141,6826,394,,,2422899.00,
10/05/2017,40390.0000,40390.0000,1.05,39970.0000,39970.0000,40550.0000,39760.0000,2422899,978609,1645705,4088,274,,,2422899.00,
09/05/2017,39970.0000,39970.0000,1.96,39120.0000,39200.0000,39970.0000,38680.0000,2422899,968433,2206812,5622,305,,,2422899.00,
08/05/2017,39200.0000,39200.0000,-0.08,39230.0000,39230.0000,39690.0000,38000.0000,2422899,949776,2591092,6701,414,,,2422899.00,
07/05/2017,39230.0000,39230.0000,-0.76,39530.0000,39530.0000,39650.0000,38800.0000,2422899,950503,1285243,3283,211,,,2422899.00,
