Historical Prices - KNAFAIM - 00543017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3898.0000,3898.0000,-5.57,4128.0000,4128.0000,4199.0000,3885.0000,16058025,625942,2040938,50843,232,,,16058025.00,
28/05/2017,4128.0000,4128.0000,0.88,4189.0000,4092.0000,4271.0000,4105.0000,16058025,662875,1470319,35333,159,,,16058025.00,
25/05/2017,4092.0000,4092.0000,-1.40,4150.0000,4150.0000,4150.0000,4080.0000,16058025,657094,1332400,32461,147,,,16058025.00,
24/05/2017,4150.0000,4150.0000,1.29,4100.0000,4097.0000,4155.0000,4075.0000,16058025,666408,1891795,45752,226,,,16058025.00,
23/05/2017,4097.0000,4097.0000,2.81,4075.0000,3985.0000,4218.0000,4065.0000,16058025,657897,3484906,85090,397,,,16058025.00,
22/05/2017,3985.0000,3985.0000,1.92,3910.0000,3910.0000,4035.0000,3883.0000,16058025,639912,302768,7618,66,,,16058025.00,
21/05/2017,3910.0000,3910.0000,-0.84,3950.0000,3943.0000,4030.0000,3854.0000,16058025,627869,655875,16510,98,,,16058025.00,
18/05/2017,3943.0000,3943.0000,2.60,3720.0000,3843.0000,4016.0000,3720.0000,16058025,633168,1475440,38960,190,,,16058025.00,
17/05/2017,3843.0000,3843.0000,-1.96,4011.0000,3920.0000,4011.0000,3800.0000,16058025,617110,357948,9209,98,,,16058025.00,
16/05/2017,3920.0000,3920.0000,1.24,3813.0000,3872.0000,3948.0000,3787.0000,16058025,629475,1260209,32797,217,,,16058025.00,
15/05/2017,3872.0000,3872.0000,-2.35,4019.0000,3965.0000,4019.0000,3858.0000,16058025,621767,838838,21346,146,,,16058025.00,
14/05/2017,3965.0000,3965.0000,-1.34,4034.0000,4019.0000,4034.0000,3942.0000,16058025,636701,595713,14896,81,,,16058025.00,
11/05/2017,4019.0000,4019.0000,-0.99,4059.0000,4059.0000,4060.0000,4000.0000,16058025,645372,1233628,30606,178,,,16058025.00,
10/05/2017,4059.0000,4059.0000,-0.71,4052.0000,4088.0000,4090.0000,4018.0000,16058025,651795,1357754,33443,148,,,16058025.00,
09/05/2017,4088.0000,4088.0000,-0.61,4113.0000,4113.0000,4169.0000,4066.0000,16058025,656452,2606284,63349,250,,,16058025.00,
08/05/2017,4113.0000,4113.0000,2.14,4053.0000,4027.0000,4129.0000,3990.0000,16058025,660467,1692976,41661,194,,,16058025.00,
07/05/2017,4027.0000,4027.0000,2.03,3999.0000,3947.0000,4052.0000,3990.0000,16058025,646657,494433,12288,97,,,16058025.00,
