Historical Prices - LEUMI - 00604611
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1732.0000,1732.0000,-0.29,1730.0000,1737.0000,1740.0000,1723.0000,1523515529,26387289,102093803,5889639,1421,,,1523488391.00,
28/05/2017,1737.0000,1737.0000,2.18,1696.0000,1700.0000,1737.0000,1696.0000,1523515529,26463465,57764081,3350876,1259,,,1523488391.00,
25/05/2017,1700.0000,1700.0000,2.72,1665.0000,1655.0000,1712.0000,1659.0000,1523515529,25899764,161761124,9633151,2202,,,1523488391.00,
24/05/2017,1655.0000,1655.0000,-0.90,1671.0000,1670.0000,1682.0000,1638.0000,1523515529,25214182,55818852,3376411,2094,,,1523488391.00,
23/05/2017,1670.0000,1670.0000,-0.83,1685.0000,1684.0000,1692.0000,1670.0000,1523515529,25442709,27625145,1646773,1186,,,1523488391.00,
22/05/2017,1684.0000,1684.0000,-0.94,1700.0000,1700.0000,1700.0000,1680.0000,1523515529,25656002,44148357,2617380,1678,,,1523488391.00,
21/05/2017,1700.0000,1700.0000,1.74,1688.0000,1671.0000,1703.0000,1683.0000,1523515529,25899764,32203958,1902557,1104,,,1523488391.00,
18/05/2017,1671.0000,1671.0000,0.00,1672.0000,1671.0000,1682.0000,1643.0000,1523515529,25457944,83979323,5054517,2661,,,1523488391.00,
17/05/2017,1671.0000,1671.0000,-1.76,1695.0000,1701.0000,1696.0000,1667.0000,1523515529,25457944,33018180,1959437,1337,,,1523488391.00,
16/05/2017,1701.0000,1701.0000,-0.82,1715.0000,1715.0000,1717.0000,1701.0000,1523515529,25914999,37216148,2177603,1343,,,1523488391.00,
15/05/2017,1715.0000,1715.0000,1.18,1699.0000,1695.0000,1719.0000,1688.0000,1523515529,26128291,54669443,3208476,1661,,,1523488391.00,
14/05/2017,1695.0000,1695.0000,0.53,1689.0000,1686.0000,1697.0000,1686.0000,1523515529,25823588,13772234,814294,549,,,1523488391.00,
11/05/2017,1686.0000,1686.0000,-0.47,1687.0000,1694.0000,1701.0000,1675.0000,1523515529,25686472,61977274,3670675,1939,,,1523488391.00,
10/05/2017,1694.0000,1694.0000,-0.94,1701.0000,1710.0000,1714.0000,1671.0000,1523515529,25808353,77278415,4590546,1940,,,1523488391.00,
09/05/2017,1710.0000,1710.0000,0.06,1716.0000,1709.0000,1720.0000,1693.0000,1523515529,26052116,48400319,2837636,1562,,,1523488391.00,
08/05/2017,1709.0000,1709.0000,-1.61,1740.0000,1737.0000,1746.0000,1704.0000,1523515529,26036880,69388503,4021039,2026,,,1523488391.00,
07/05/2017,1737.0000,1737.0000,1.64,1719.0000,1709.0000,1742.0000,1712.0000,1523515529,26463465,38417866,2223247,968,,,1523488391.00,
04/05/2017,1709.0000,1709.0000,0.23,1706.0000,1705.0000,1724.0000,1702.0000,1523515529,26036880,83386691,4871859,1606,,,1522965121.00,
03/05/2017,1705.0000,1705.0000,1.97,1675.0000,1672.0000,1705.0000,1667.0000,1523515529,25975940,56412738,3353153,1965,,,1522965121.00,
30/04/2017,1672.0000,1672.0000,-1.36,1690.0000,1695.0000,1700.0000,1671.0000,1523515529,25473180,22835055,1356568,805,,,1522965121.00,
27/04/2017,1695.0000,1695.0000,-1.34,1709.0000,1718.0000,1712.0000,1694.0000,1523515529,25823588,84032714,4927025,1668,,,1522965121.00,
26/04/2017,1718.0000,1718.0000,-0.41,1720.0000,1725.0000,1728.0000,1702.0000,1523515529,26173997,55299985,3221401,2194,,,1522965121.00,
25/04/2017,1725.0000,1725.0000,0.88,1710.0000,1710.0000,1725.0000,1702.0000,1523515529,26280643,44358202,2589005,1824,,,1522965121.00,
24/04/2017,1710.0000,1710.0000,2.58,1690.0000,1667.0000,1714.0000,1686.0000,1523515529,26052116,124553934,7327609,3305,,,1522965121.00,
