Historical Prices - LEVINSTEIN ENG - 00573014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,13180.0000,13180.0000,-2.23,13480.0000,13480.0000,13390.0000,13080.0000,3650192,481095,413738,3140,28,,,3650192.00,
28/05/2017,13480.0000,13480.0000,-0.30,13520.0000,13520.0000,13720.0000,13070.0000,3650192,492046,150647,1121,41,,,3650192.00,
25/05/2017,13520.0000,13520.0000,-2.38,13850.0000,13850.0000,14110.0000,13410.0000,3650192,493506,264982,1927,46,,,3650192.00,
24/05/2017,13850.0000,13850.0000,0.22,13820.0000,13820.0000,14150.0000,13750.0000,3650192,505552,156156,1126,31,,,3650192.00,
23/05/2017,13820.0000,13820.0000,-0.50,13890.0000,13890.0000,13920.0000,13560.0000,3650192,504457,96462,696,26,,,3650192.00,
22/05/2017,13890.0000,13890.0000,1.31,13640.0000,13710.0000,13970.0000,13610.0000,3650192,507012,80969,583,27,,,3650192.00,
21/05/2017,13710.0000,13710.0000,-0.65,13800.0000,13800.0000,13860.0000,13290.0000,3650192,500441,71772,523,24,,,3650192.00,
18/05/2017,13800.0000,13800.0000,-0.43,13860.0000,13860.0000,14000.0000,13690.0000,3650192,503727,163711,1180,37,,,3650192.00,
17/05/2017,13860.0000,13860.0000,-1.77,14110.0000,14110.0000,14010.0000,13640.0000,3650192,505917,179526,1294,35,,,3650192.00,
16/05/2017,14110.0000,14110.0000,0.50,14040.0000,14040.0000,14240.0000,14050.0000,3650192,515042,97764,693,25,,,3650192.00,
15/05/2017,14040.0000,14040.0000,0.36,13990.0000,13990.0000,14200.0000,13710.0000,3650192,512487,203867,1446,35,,,3650192.00,
14/05/2017,13990.0000,13990.0000,1.67,13760.0000,13760.0000,14000.0000,13500.0000,3650192,510662,223379,1599,24,,,3650192.00,
11/05/2017,13760.0000,13760.0000,-0.22,13650.0000,13790.0000,13900.0000,13590.0000,3650192,502266,98384,713,28,,,3650192.00,
10/05/2017,13790.0000,13790.0000,1.03,13660.0000,13650.0000,13900.0000,13510.0000,3650192,503361,211870,1537,33,,,3650192.00,
09/05/2017,13650.0000,13650.0000,3.17,13230.0000,13230.0000,13700.0000,13370.0000,3650192,498251,210035,1541,48,,,3650192.00,
08/05/2017,13230.0000,13230.0000,3.44,13000.0000,12790.0000,13360.0000,12940.0000,3650192,482920,695913,5314,70,,,3650192.00,
07/05/2017,12790.0000,12790.0000,5.97,12080.0000,12070.0000,12950.0000,12080.0000,3650192,466860,422094,3350,80,,,3650192.00,
04/05/2017,12070.0000,12070.0000,1.94,11840.0000,11840.0000,12570.0000,11720.0000,3650192,440578,614980,5083,48,,,3650192.00,
03/05/2017,11840.0000,11840.0000,-0.50,11900.0000,11900.0000,12170.0000,11700.0000,3650192,432183,192640,1625,36,,,3650192.00,
30/04/2017,11900.0000,11900.0000,1.36,11740.0000,11740.0000,12100.0000,11740.0000,3650192,434373,37487,315,16,,,3650192.00,
27/04/2017,11740.0000,11740.0000,0.26,11710.0000,11710.0000,11950.0000,11710.0000,3650192,428533,34200,291,12,,,3650192.00,
26/04/2017,11710.0000,11710.0000,0.00,11710.0000,11710.0000,11950.0000,11650.0000,3650192,427437,392946,3349,45,,,3650192.00,
25/04/2017,11710.0000,11710.0000,1.21,11570.0000,11570.0000,11940.0000,11230.0000,3650192,427437,260356,2251,44,,,3650192.00,
24/04/2017,11570.0000,11570.0000,2.39,11300.0000,11300.0000,11670.0000,11370.0000,3650192,422327,99500,863,34,,,3650192.00,
23/04/2017,11300.0000,11300.0000,0.27,11270.0000,11270.0000,11430.0000,11160.0000,3650192,412472,26219,232,7,,,3650192.00,
20/04/2017,11270.0000,11270.0000,-0.79,11360.0000,11360.0000,11470.0000,11170.0000,3650192,411377,130807,1161,25,,,3650192.00,
19/04/2017,11360.0000,11360.0000,-0.70,11440.0000,11440.0000,11580.0000,11230.0000,3650192,414662,140270,1241,35,,,3650192.00,
18/04/2017,11440.0000,11440.0000,-1.21,11580.0000,11580.0000,11790.0000,11300.0000,3650192,417582,86749,754,28,,,3650192.00,
13/04/2017,11580.0000,11580.0000,-2.28,11850.0000,11850.0000,11830.0000,11410.0000,3650192,422692,41465,358,15,,,3650192.00,
12/04/2017,11850.0000,11850.0000,0.00,11850.0000,11850.0000,11920.0000,11680.0000,3650192,432548,102080,861,15,,,3650192.00,
09/04/2017,11850.0000,11850.0000,-0.42,12100.0000,11900.0000,12100.0000,11740.0000,3650192,432548,62752,529,18,EX D,0.98347,3650192.00,
06/04/2017,11899.9870,12100.0000,1.68,11900.0000,11900.0000,12100.0000,11800.0000,3650192,441673,362222,3026,37,,,3650192.00,
05/04/2017,11703.2930,11900.0000,1.19,11890.0000,11760.0000,11990.0000,11730.0000,3650192,434373,284160,2404,26,,,3650192.00,
04/04/2017,11565.6072,11760.0000,-0.93,11870.0000,11870.0000,11890.0000,11700.0000,3650192,429263,56851,483,19,,,3650192.00,
03/04/2017,11673.7889,11870.0000,1.28,11720.0000,11720.0000,11900.0000,11680.0000,3650192,433278,138066,1162,14,,,3650192.00,
02/04/2017,11526.2684,11720.0000,2.45,11440.0000,11440.0000,11890.0000,11590.0000,3650192,427803,91756,783,22,,,3650192.00,
30/03/2017,11250.8968,11440.0000,1.24,11300.0000,11300.0000,11660.0000,11110.0000,3650192,417582,139213,1219,43,,,3650192.00,
29/03/2017,11113.2110,11300.0000,0.09,11290.0000,11290.0000,11560.0000,11230.0000,3650192,412472,49832,441,13,,,3650192.00,
28/03/2017,11103.3763,11290.0000,1.16,11160.0000,11160.0000,11510.0000,11160.0000,3650192,412107,79864,704,30,,,3650192.00,
27/03/2017,10975.5252,11160.0000,-0.53,11060.0000,11220.0000,11440.0000,10910.0000,3650192,407361,190928,1718,43,,,3650192.00,
26/03/2017,11034.5334,11220.0000,-0.71,11140.0000,11300.0000,11490.0000,10900.0000,3650192,409552,243964,2190,75,,,3650192.00,
23/03/2017,11113.2110,11300.0000,0.80,11210.0000,11210.0000,11470.0000,11210.0000,3650192,412472,151348,1340,20,,,3650192.00,
22/03/2017,11024.6987,11210.0000,-2.35,11480.0000,11480.0000,11480.0000,11150.0000,3650192,409187,146311,1302,38,,,3650192.00,
21/03/2017,11290.2356,11480.0000,1.32,11330.0000,11330.0000,11620.0000,11460.0000,3650192,419042,41893,365,16,,,3650192.00,
20/03/2017,11142.7151,11330.0000,0.27,11300.0000,11300.0000,11380.0000,11240.0000,3650192,413567,5777,51,4,,,3650192.00,
19/03/2017,11113.2110,11300.0000,-1.48,11470.0000,11470.0000,11640.0000,11240.0000,3650192,412472,117507,1037,21,,,3650192.00,
16/03/2017,11280.4009,11470.0000,0.53,11410.0000,11410.0000,11670.0000,11330.0000,3650192,418677,49158,429,18,,,3650192.00,
15/03/2017,11221.3927,11410.0000,0.71,11330.0000,11330.0000,11590.0000,11330.0000,3650192,416487,73795,647,22,,,3650192.00,
14/03/2017,11142.7151,11330.0000,-0.44,11380.0000,11380.0000,11640.0000,11250.0000,3650192,413567,70358,620,20,,,3650192.00,
13/03/2017,11191.8886,11380.0000,-1.90,11600.0000,11600.0000,11620.0000,11370.0000,3650192,415392,108766,953,24,,,3650192.00,
09/03/2017,11408.2520,11600.0000,0.52,11540.0000,11540.0000,11790.0000,11520.0000,3650192,423422,59055,509,21,,,3650192.00,
08/03/2017,11349.2438,11540.0000,1.14,11410.0000,11410.0000,11710.0000,11520.0000,3650192,421232,98396,849,29,,,3650192.00,
