Historical Prices - LIVEPERSON - 01123017
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3333.0000,3333.0000,-0.92,3364.0000,3364.0000,3374.0000,3321.0000,55578985,1852448,1121268,33432,118,,,55578985.00,
28/05/2017,3364.0000,3364.0000,-3.61,3490.0000,3490.0000,3459.0000,3244.0000,55578985,1869677,381188,11350,92,,,55578985.00,
25/05/2017,3490.0000,3490.0000,-1.11,3531.0000,3529.0000,3540.0000,3455.0000,55578985,1939707,870460,24910,106,,,55578985.00,
24/05/2017,3529.0000,3529.0000,0.17,3523.0000,3523.0000,3560.0000,3473.0000,55578985,1961382,346249,9825,73,,,55578985.00,
23/05/2017,3523.0000,3523.0000,1.38,3475.0000,3475.0000,3538.0000,3475.0000,55578985,1958048,733263,20917,111,,,55578985.00,
22/05/2017,3475.0000,3475.0000,1.76,3417.0000,3415.0000,3506.0000,3413.0000,55578985,1931370,1158955,33524,182,,,55578985.00,
21/05/2017,3415.0000,3415.0000,1.94,3460.0000,3350.0000,3516.0000,3408.0000,55578985,1898022,1138145,33009,171,,,55578985.00,
18/05/2017,3350.0000,3350.0000,-4.45,3510.0000,3506.0000,3510.0000,3207.0000,55578985,1861896,1587952,47605,226,,,55578985.00,
17/05/2017,3506.0000,3506.0000,-4.99,3600.0000,3690.0000,3601.0000,3419.0000,55578985,1948599,1826799,52404,327,,,55578985.00,
16/05/2017,3690.0000,3690.0000,1.43,3659.0000,3638.0000,3741.0000,3635.0000,55578985,2050865,1912523,51880,248,,,55578985.00,
15/05/2017,3638.0000,3638.0000,0.94,3607.0000,3604.0000,3638.0000,3360.0000,55578985,2021963,2869469,82073,382,,,55578985.00,
14/05/2017,3604.0000,3604.0000,6.06,3571.0000,3398.0000,3650.0000,3560.0000,55578985,2003067,1487368,41129,232,,,55578985.00,
11/05/2017,3398.0000,3398.0000,16.69,2877.0000,2912.0000,3448.0000,2855.0000,55578985,1888574,3011385,94069,564,,,55578985.00,
10/05/2017,2912.0000,2912.0000,2.28,2847.0000,2847.0000,2948.0000,2805.0000,55578985,1618460,950112,32696,182,,,55578985.00,
09/05/2017,2847.0000,2847.0000,2.93,2799.0000,2766.0000,2848.0000,2764.0000,55578985,1582334,1860824,66418,257,,,55578985.00,
08/05/2017,2766.0000,2766.0000,-0.22,2772.0000,2772.0000,2792.0000,2747.0000,55578985,1537315,426478,15390,106,,,55578985.00,
07/05/2017,2772.0000,2772.0000,5.16,2699.0000,2636.0000,2790.0000,2699.0000,55578985,1540649,708114,25719,120,,,55578985.00,
04/05/2017,2636.0000,2636.0000,0.00,2638.0000,2636.0000,2669.0000,2609.0000,55578985,1465062,1211100,45984,175,,,55578985.00,
03/05/2017,2636.0000,2636.0000,2.29,2542.0000,2577.0000,2662.0000,2542.0000,55578985,1465062,692984,26260,159,,,55578985.00,
30/04/2017,2577.0000,2577.0000,-0.46,2589.0000,2589.0000,2601.0000,2551.0000,55578985,1432270,389736,15117,70,,,55578985.00,
27/04/2017,2589.0000,2589.0000,-1.22,2621.0000,2621.0000,2621.0000,2567.0000,55578985,1438940,1062828,40833,143,,,55578985.00,
26/04/2017,2621.0000,2621.0000,-0.11,2626.0000,2624.0000,2665.0000,2604.0000,55578985,1456725,273059,10406,84,,,55578985.00,
25/04/2017,2624.0000,2624.0000,2.78,2553.0000,2553.0000,2641.0000,2544.0000,55578985,1458393,1252660,48688,192,,,55578985.00,
24/04/2017,2553.0000,2553.0000,0.20,2548.0000,2548.0000,2581.0000,2469.0000,55578985,1418931,1402498,55502,210,,,55578985.00,
23/04/2017,2548.0000,2548.0000,-2.79,2621.0000,2621.0000,2580.0000,2534.0000,55578985,1416153,330225,12947,75,,,55578985.00,
20/04/2017,2621.0000,2621.0000,0.31,2613.0000,2613.0000,2653.0000,2580.0000,55578985,1456725,894487,34234,144,,,55578985.00,
19/04/2017,2613.0000,2613.0000,3.94,2540.0000,2514.0000,2632.0000,2540.0000,55578985,1452279,691952,26650,137,,,55578985.00,
18/04/2017,2514.0000,2514.0000,1.13,2486.0000,2486.0000,2520.0000,2462.0000,55578985,1397256,357203,14302,91,,,55578985.00,
13/04/2017,2486.0000,2486.0000,-2.70,2536.0000,2555.0000,2536.0000,2457.0000,55578985,1381694,257300,10307,63,,,55578985.00,
12/04/2017,2555.0000,2555.0000,3.15,2510.0000,2477.0000,2560.0000,2510.0000,55578985,1420043,415856,16348,76,,,55578985.00,
09/04/2017,2477.0000,2477.0000,2.52,2413.0000,2416.0000,2497.0000,2413.0000,55578985,1376691,66851,2699,33,,,55578985.00,
06/04/2017,2416.0000,2416.0000,-4.92,2494.0000,2541.0000,2494.0000,2404.0000,55578985,1342788,709034,29280,155,,,56069985.00,
05/04/2017,2541.0000,2541.0000,1.64,2580.0000,2500.0000,2580.0000,2482.0000,55578985,1412262,500409,19853,102,,,56069985.00,
04/04/2017,2500.0000,2500.0000,1.96,2452.0000,2452.0000,2536.0000,2432.0000,55578985,1389475,453022,18313,97,,,56069985.00,
03/04/2017,2452.0000,2452.0000,-0.33,2460.0000,2460.0000,2479.0000,2413.0000,55578985,1362797,1025224,42004,204,,,56069985.00,
02/04/2017,2460.0000,2460.0000,-2.19,2515.0000,2515.0000,2501.0000,2413.0000,55578985,1367243,138424,5627,28,,,56069985.00,
30/03/2017,2515.0000,2515.0000,0.12,2545.0000,2512.0000,2545.0000,2467.0000,55578985,1397811,1185095,47487,177,,,56069985.00,
29/03/2017,2512.0000,2512.0000,4.23,2412.0000,2410.0000,2525.0000,2412.0000,55578985,1396144,971850,38846,150,,,56069985.00,
28/03/2017,2410.0000,2410.0000,1.35,2378.0000,2378.0000,2456.0000,2384.0000,55578985,1339454,789632,32889,130,,,56069985.00,
27/03/2017,2378.0000,2378.0000,-3.84,2464.0000,2473.0000,2464.0000,2364.0000,55578985,1321668,903740,37759,182,,,56069985.00,
26/03/2017,2473.0000,2473.0000,3.99,2378.0000,2378.0000,2561.0000,2460.0000,55578985,1374468,600111,23970,124,,,56069985.00,
23/03/2017,2378.0000,2378.0000,-1.33,2410.0000,2410.0000,2402.0000,2348.0000,55578985,1321668,550724,23209,138,,,56069985.00,
22/03/2017,2410.0000,2410.0000,-1.27,2426.0000,2441.0000,2467.0000,2403.0000,55578985,1339454,670414,27476,163,,,56069985.00,
21/03/2017,2441.0000,2441.0000,-2.71,2540.0000,2509.0000,2540.0000,2430.0000,55578985,1356683,360239,14599,111,,,56069985.00,
20/03/2017,2509.0000,2509.0000,-1.22,2585.0000,2540.0000,2585.0000,2491.0000,55578985,1394477,501912,19945,127,,,56069985.00,
19/03/2017,2540.0000,2540.0000,1.20,2578.0000,2510.0000,2580.0000,2533.0000,55578985,1411706,410430,16129,94,,,56069985.00,
16/03/2017,2510.0000,2510.0000,2.45,2450.0000,2450.0000,2526.0000,2450.0000,55578985,1395033,185638,7473,72,,,56069985.00,
15/03/2017,2450.0000,2450.0000,-0.93,2473.0000,2473.0000,2473.0000,2426.0000,55578985,1361685,588568,24116,130,,,56069985.00,
14/03/2017,2473.0000,2473.0000,-0.44,2484.0000,2484.0000,2507.0000,2457.0000,56069985,1386611,185471,7473,65,,,56069985.00,
13/03/2017,2484.0000,2484.0000,0.89,2462.0000,2462.0000,2498.0000,2462.0000,56069985,1392778,103227,4160,43,,,56069985.00,
09/03/2017,2462.0000,2462.0000,-1.16,2491.0000,2491.0000,2493.0000,2450.0000,56069985,1380443,160486,6515,65,,,56069985.00,
08/03/2017,2491.0000,2491.0000,-0.36,2474.0000,2500.0000,2527.0000,2466.0000,56069985,1396703,143343,5763,61,,,56069985.00,
07/03/2017,2500.0000,2500.0000,0.12,2497.0000,2497.0000,2507.0000,2496.0000,56069985,1401750,145022,5802,56,,,56069985.00,
06/03/2017,2497.0000,2497.0000,-2.42,2561.0000,2559.0000,2565.0000,2450.0000,56069985,1400068,784507,31121,135,,,56069985.00,
05/03/2017,2559.0000,2559.0000,-7.01,2570.0000,2752.0000,2586.0000,2553.0000,56069985,1434831,873560,33953,190,,,56069985.00,
02/03/2017,2752.0000,2752.0000,2.00,2705.0000,2698.0000,2790.0000,2705.0000,56069985,1543046,10907435,396120,327,,,56069985.00,
01/03/2017,2698.0000,2698.0000,4.17,2555.0000,2590.0000,2720.0000,2555.0000,56069985,1512768,2146109,81113,335,,,56069985.00,
28/02/2017,2590.0000,2590.0000,0.43,2579.0000,2579.0000,2640.0000,2574.0000,56069985,1452213,1139658,43586,185,,,56069985.00,
27/02/2017,2579.0000,2579.0000,-1.75,2625.0000,2625.0000,2638.0000,2549.0000,56069985,1446045,643148,24990,126,,,56069985.00,
26/02/2017,2625.0000,2625.0000,1.74,2580.0000,2580.0000,2640.0000,2580.0000,56069985,1471837,197937,7570,52,,,56069985.00,
23/02/2017,2580.0000,2580.0000,-1.53,2618.0000,2620.0000,2620.0000,2568.0000,56069985,1446606,569623,21870,96,,,56069985.00,
22/02/2017,2620.0000,2620.0000,-0.91,2644.0000,2644.0000,2686.0000,2581.0000,56069985,1469034,797713,30296,152,,,56069985.00,
21/02/2017,2644.0000,2644.0000,0.23,2618.0000,2638.0000,2668.0000,2618.0000,56069985,1482490,417299,15758,97,,,56069985.00,
20/02/2017,2638.0000,2638.0000,1.27,2598.0000,2605.0000,2666.0000,2594.0000,56069985,1479126,265999,10185,89,,,56069985.00,
19/02/2017,2605.0000,2605.0000,-0.69,2616.0000,2623.0000,2617.0000,2597.0000,56069985,1460623,104596,4013,49,,,56069985.00,
16/02/2017,2623.0000,2623.0000,-0.08,2625.0000,2625.0000,2631.0000,2562.0000,56069985,1470716,538737,20745,137,,,56069985.00,
15/02/2017,2625.0000,2625.0000,-2.05,2678.0000,2680.0000,2678.0000,2578.0000,56069985,1471837,1425356,54645,204,,,56069985.00,
14/02/2017,2680.0000,2680.0000,-0.67,2617.0000,2698.0000,2760.0000,2617.0000,56069985,1502676,945938,35043,189,,,56069985.00,
13/02/2017,2698.0000,2698.0000,1.93,2647.0000,2647.0000,2736.0000,2647.0000,56069985,1512768,652586,24285,157,,,56069985.00,
12/02/2017,2647.0000,2647.0000,5.88,2636.0000,2500.0000,2663.0000,2618.0000,56069985,1484173,2472192,94001,320,,,56069985.00,
09/02/2017,2500.0000,2500.0000,2.25,2445.0000,2445.0000,2500.0000,1927.0000,56069985,1401750,15768444,695880,1374,,,58514818.00,
08/02/2017,2445.0000,2445.0000,-2.12,2618.0000,2498.0000,2618.0000,2445.0000,56069985,1370911,4685263,184963,711,,,58514818.00,
07/02/2017,2498.0000,2498.0000,-0.40,2510.0000,2508.0000,2585.0000,2485.0000,56069985,1400628,2049058,81519,305,,,58514818.00,
06/02/2017,2508.0000,2508.0000,-2.15,2563.0000,2563.0000,2585.0000,2504.0000,56069985,1406235,1777559,69978,233,,,58514818.00,
05/02/2017,2563.0000,2563.0000,-0.81,2618.0000,2584.0000,2618.0000,2550.0000,56069985,1437074,912044,35455,166,,,58514818.00,
02/02/2017,2584.0000,2584.0000,-4.51,2706.0000,2706.0000,2663.0000,2549.0000,56069985,1448848,2168997,84491,358,,,58514818.00,
01/02/2017,2706.0000,2706.0000,2.11,2707.0000,2650.0000,2751.0000,2682.0000,56069985,1517254,1227651,45178,198,,,58514818.00,
