Historical Prices - LUDAN - 01081439
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,843.3000,843.3000,-3.07,866.0000,870.0000,866.0000,834.8000,11524676,97188,74182,8772,27,,,11524676.00,
28/05/2017,870.0000,870.0000,-0.57,875.0000,875.0000,900.0000,870.0000,11524676,100265,162433,18561,26,,,11524676.00,
25/05/2017,875.0000,875.0000,0.07,874.4000,874.4000,875.0000,863.0000,11524676,100841,207571,23729,22,,,11524676.00,
24/05/2017,874.4000,874.4000,0.24,872.3000,872.3000,874.4000,874.4000,11524676,100772,2501,286,1,,,11524676.00,
23/05/2017,872.3000,872.3000,1.21,861.9000,861.9000,875.0000,855.2000,11524676,100530,122724,14078,21,,,11524676.00,
22/05/2017,861.9000,861.9000,0.77,855.3000,855.3000,867.3000,856.2000,11524676,99331,126415,14669,12,,,11524676.00,
21/05/2017,855.3000,855.3000,1.51,842.6000,842.6000,860.1000,844.0000,11524676,98571,99215,11594,22,,,11524676.00,
18/05/2017,842.6000,842.6000,-1.91,859.0000,859.0000,862.5000,836.3000,11524676,97107,74350,8786,15,,,11524676.00,
17/05/2017,859.0000,859.0000,0.22,857.1000,857.1000,865.0000,854.8000,11524676,98997,174068,20254,34,,,11524676.00,
16/05/2017,857.1000,857.1000,2.10,839.5000,839.5000,862.3000,841.0000,11524676,98778,130697,15336,35,,,11524676.00,
15/05/2017,839.5000,839.5000,0.54,835.0000,835.0000,847.6000,835.0000,11524676,96750,95193,11347,14,,,11524676.00,
14/05/2017,835.0000,835.0000,0.91,827.7000,827.5000,838.3000,827.7000,11524676,96231,219819,26380,51,,,11524676.00,
11/05/2017,827.5000,827.5000,-0.05,827.9000,827.9000,828.0000,822.0000,11524676,95367,55459,6701,10,,,11524676.00,
10/05/2017,827.9000,827.9000,0.12,826.9000,826.9000,828.0000,827.9000,11524676,95413,52482,6339,9,,,11524676.00,
09/05/2017,826.9000,826.9000,-0.10,827.7000,827.7000,828.0000,820.1000,11524676,95298,155538,18842,33,,,11524676.00,
08/05/2017,827.7000,827.7000,-1.48,840.1000,840.1000,848.0000,826.0000,11524676,95390,280091,33601,42,,,11524676.00,
07/05/2017,840.1000,840.1000,-1.26,850.8000,850.8000,850.8000,832.8000,11524676,96819,33885,4029,17,,,11524676.00,
04/05/2017,850.8000,850.8000,0.94,842.9000,842.9000,852.0000,845.5000,11524676,98052,193527,22750,30,,,11524676.00,
03/05/2017,842.9000,842.9000,1.62,829.5000,829.5000,848.0000,837.0000,11524676,97141,106659,12687,31,,,11524676.00,
30/04/2017,829.5000,829.5000,1.55,816.8000,816.8000,834.1000,827.9000,11524676,95597,45190,5451,16,,,11524676.00,
27/04/2017,816.8000,816.8000,0.90,809.5000,809.5000,819.0000,809.9000,11524676,94134,24544,3005,13,,,11524676.00,
26/04/2017,809.5000,809.5000,1.89,794.5000,794.5000,810.2000,805.6000,11524676,93292,71898,8895,22,,,11524676.00,
25/04/2017,794.5000,794.5000,1.64,785.0000,781.7000,798.3000,785.0000,11524676,91564,39716,4999,14,,,11524676.00,
24/04/2017,781.7000,781.7000,0.76,775.8000,775.8000,800.1000,781.3000,11524676,90088,281810,35803,66,,,11524676.00,
