Historical Prices - MAGIC - 01082312
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,2913.0000,2913.0000,0.07,2911.0000,2911.0000,2932.0000,2892.0000,44132185,1285571,1109300,38060,178,,,44132185.00,
28/05/2017,2911.0000,2911.0000,-2.02,2937.0000,2971.0000,2937.0000,2902.0000,44132185,1284688,903866,31071,166,,,44132185.00,
25/05/2017,2971.0000,2971.0000,-1.85,3006.0000,3027.0000,3006.0000,2961.0000,44132185,1311167,1558694,52400,187,,,44132185.00,
24/05/2017,3027.0000,3027.0000,-0.30,3006.0000,3036.0000,3079.0000,3006.0000,44132185,1335881,827617,27157,162,,,44132185.00,
23/05/2017,3036.0000,3036.0000,-0.13,3025.0000,3040.0000,3063.0000,3011.0000,44132185,1339853,1210661,39837,214,,,44132185.00,
22/05/2017,3040.0000,3040.0000,1.57,3000.0000,2993.0000,3060.0000,3000.0000,44132185,1341618,1657058,54637,277,,,44132185.00,
21/05/2017,2993.0000,2993.0000,2.36,2934.0000,2924.0000,3016.0000,2934.0000,44132185,1320876,588334,19598,128,,,44132185.00,
18/05/2017,2924.0000,2924.0000,-1.71,2995.0000,2975.0000,3005.0000,2898.0000,44132185,1290425,1042831,35446,211,,,44132185.00,
17/05/2017,2975.0000,2975.0000,-2.14,3016.0000,3040.0000,3073.0000,2900.0000,44132185,1312933,4232346,141087,758,,,44132185.00,
16/05/2017,3040.0000,3040.0000,5.48,2882.0000,2882.0000,3100.0000,2889.0000,44132185,1341618,3595555,118067,610,,,44132185.00,
15/05/2017,2882.0000,2882.0000,-0.55,2900.0000,2898.0000,2915.0000,2815.0000,44132185,1271890,1277490,44374,155,,,44132185.00,
14/05/2017,2898.0000,2898.0000,-0.75,2869.0000,2920.0000,2919.0000,2869.0000,44132185,1278951,449143,15552,111,,,44132185.00,
11/05/2017,2920.0000,2920.0000,1.18,2886.0000,2886.0000,2937.0000,2886.0000,44132185,1288660,657863,22631,125,,,44132185.00,
10/05/2017,2886.0000,2886.0000,0.98,2858.0000,2858.0000,2916.0000,2868.0000,44132185,1273655,585129,20192,102,,,44132185.00,
09/05/2017,2858.0000,2858.0000,1.38,2819.0000,2819.0000,2880.0000,2803.0000,44132185,1261298,1101399,38523,167,,,44132185.00,
08/05/2017,2819.0000,2819.0000,0.57,2838.0000,2803.0000,2850.0000,2800.0000,44132185,1244086,1982185,69940,142,,,44132185.00,
07/05/2017,2803.0000,2803.0000,2.67,2740.0000,2730.0000,2805.0000,2740.0000,44132185,1237025,1266836,45411,165,,,44132185.00,
04/05/2017,2730.0000,2730.0000,-1.48,2750.0000,2771.0000,2773.0000,2723.0000,44132185,1204809,4077509,147808,204,,,44132185.00,
03/05/2017,2771.0000,2771.0000,-0.79,2793.0000,2793.0000,2793.0000,2751.0000,44132185,1222903,834898,30156,146,,,44132185.00,
30/04/2017,2793.0000,2793.0000,-1.65,2805.0000,2840.0000,2825.0000,2780.0000,44132185,1232612,534808,19033,101,,,44132185.00,
27/04/2017,2840.0000,2840.0000,-0.14,2844.0000,2844.0000,2855.0000,2808.0000,44132185,1253354,721464,25422,121,,,44132185.00,
26/04/2017,2844.0000,2844.0000,-0.49,2865.0000,2858.0000,2871.0000,2825.0000,44132185,1255119,477531,16708,81,,,44132185.00,
25/04/2017,2858.0000,2858.0000,-0.07,2860.0000,2860.0000,2876.0000,2840.0000,44132185,1261298,426061,14877,82,,,44132185.00,
24/04/2017,2860.0000,2860.0000,0.53,2845.0000,2845.0000,2904.0000,2853.0000,44132185,1262180,564010,19667,112,,,44132185.00,
23/04/2017,2845.0000,2845.0000,1.07,2853.0000,2815.0000,2865.0000,2830.0000,44132185,1255561,225678,7914,76,,,44132185.00,
20/04/2017,2815.0000,2815.0000,1.11,2786.0000,2784.0000,2840.0000,2786.0000,44132185,1242321,732304,26012,104,,,44132185.00,
19/04/2017,2784.0000,2784.0000,0.00,2784.0000,2784.0000,2817.0000,2766.0000,44132185,1228640,310539,11142,71,,,44132185.00,
18/04/2017,2784.0000,2784.0000,-1.24,2790.0000,2819.0000,2790.0000,2759.0000,44132185,1228640,903527,32572,155,,,44132185.00,
13/04/2017,2819.0000,2819.0000,-3.09,2911.0000,2909.0000,2911.0000,2799.0000,44132185,1244086,521240,18391,115,,,44132185.00,
12/04/2017,2909.0000,2909.0000,-1.95,2967.0000,2967.0000,2967.0000,2872.0000,44132185,1283805,444979,15338,95,,,44132185.00,
09/04/2017,2967.0000,2967.0000,2.31,2960.0000,2900.0000,2971.0000,2960.0000,44132185,1309402,1119285,37729,142,,,44132185.00,
06/04/2017,2900.0000,2900.0000,2.18,2838.0000,2838.0000,2900.0000,2840.0000,44132185,1279833,922059,31995,130,,,44132185.00,
05/04/2017,2838.0000,2838.0000,0.75,2846.0000,2817.0000,2856.0000,2807.0000,44132185,1252471,354880,12531,78,,,44132185.00,
04/04/2017,2817.0000,2817.0000,1.00,2789.0000,2789.0000,2827.0000,2775.0000,44132185,1243204,255293,9109,74,,,44132185.00,
03/04/2017,2789.0000,2789.0000,-1.55,2833.0000,2833.0000,2808.0000,2749.0000,44132185,1230847,782119,28190,125,,,44132185.00,
02/04/2017,2833.0000,2833.0000,0.32,2824.0000,2824.0000,2870.0000,2802.0000,44132185,1250265,98282,3465,34,,,44132185.00,
30/03/2017,2824.0000,2824.0000,-0.53,2839.0000,2839.0000,2845.0000,2810.0000,44132185,1246293,458230,16246,96,,,44132185.00,
29/03/2017,2839.0000,2839.0000,0.14,2809.0000,2835.0000,2870.0000,2809.0000,44132185,1252913,506148,17833,127,,,44132185.00,
28/03/2017,2835.0000,2835.0000,-0.56,2851.0000,2851.0000,2891.0000,2824.0000,44132185,1251147,394341,13873,96,,,44132185.00,
27/03/2017,2851.0000,2851.0000,-1.79,2903.0000,2903.0000,2903.0000,2842.0000,44132185,1258209,628353,22027,140,,,44132185.00,
26/03/2017,2903.0000,2903.0000,2.00,2846.0000,2846.0000,2931.0000,2883.0000,44132185,1281157,376461,12920,95,,,44132185.00,
23/03/2017,2846.0000,2846.0000,-0.07,2848.0000,2848.0000,2887.0000,2841.0000,44132185,1256002,440854,15403,113,,,44132185.00,
22/03/2017,2848.0000,2848.0000,-1.28,2842.0000,2885.0000,2885.0000,2840.0000,44132185,1256885,660560,23104,152,,,44132185.00,
21/03/2017,2885.0000,2885.0000,0.00,2899.0000,2885.0000,2910.0000,2867.0000,44132185,1273214,635672,21869,87,,,44132185.00,
20/03/2017,2885.0000,2885.0000,2.05,2827.0000,2827.0000,2899.0000,2841.0000,44132185,1273214,679644,23596,114,EX D,0.98915,44132185.00,
19/03/2017,2826.9907,2858.0000,-0.49,2910.0000,2872.0000,2910.0000,2845.0000,44132185,1261298,279369,9768,78,,,44132185.00,
16/03/2017,2840.8388,2872.0000,0.17,2867.0000,2867.0000,2898.0000,2859.0000,44132185,1267476,213619,7427,80,,,44132185.00,
15/03/2017,2835.8931,2867.0000,0.17,2862.0000,2862.0000,2893.0000,2855.0000,44132185,1265270,1167831,40770,260,,,44132185.00,
14/03/2017,2830.9473,2862.0000,0.25,2855.0000,2855.0000,2926.0000,2855.0000,44132185,1263063,1504955,51747,157,,,44132185.00,
13/03/2017,2824.0233,2855.0000,-0.42,2867.0000,2867.0000,2867.0000,2845.0000,44132185,1259974,228189,7996,60,,,44132185.00,
09/03/2017,2835.8931,2867.0000,-0.83,2891.0000,2891.0000,2893.0000,2850.0000,44132185,1265270,225223,7849,59,,,44132185.00,
08/03/2017,2859.6327,2891.0000,0.91,2898.0000,2865.0000,2901.0000,2882.0000,44132185,1275861,223637,7728,68,,,44132185.00,
07/03/2017,2833.9148,2865.0000,1.13,2833.0000,2833.0000,2898.0000,2848.0000,44132185,1264387,1270145,44170,144,,,44132185.00,
06/03/2017,2802.2620,2833.0000,-1.60,2879.0000,2879.0000,2913.0000,2809.0000,44132185,1250265,661553,23204,147,,,44132185.00,
05/03/2017,2847.7629,2879.0000,-1.34,2928.0000,2918.0000,2928.0000,2870.0000,44132185,1270566,483257,16749,91,,,44132185.00,
02/03/2017,2886.3397,2918.0000,2.39,2850.0000,2850.0000,2918.0000,2811.0000,44132185,1287777,2593615,89499,158,,,44132185.00,
01/03/2017,2819.0775,2850.0000,0.56,2808.0000,2834.0000,2871.0000,2808.0000,44132185,1257767,226789,7960,77,,,44132185.00,
28/02/2017,2803.2511,2834.0000,0.82,2810.0000,2811.0000,2845.0000,2810.0000,44132185,1250706,996146,35118,161,,,44132185.00,
