Historical Prices - MALAM TEAM - 00156018
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,38150.0000,38150.0000,-0.93,38510.0000,38510.0000,38880.0000,37800.0000,2171523,828436,279044,733,69,,,2171523.00,
28/05/2017,38510.0000,38510.0000,-2.13,39800.0000,39350.0000,39860.0000,38220.0000,2171523,836254,273477,698,57,,,2171523.00,
25/05/2017,39350.0000,39350.0000,0.33,39220.0000,39220.0000,39780.0000,39220.0000,2171523,854494,195941,497,70,,,2171523.00,
24/05/2017,39220.0000,39220.0000,1.92,38600.0000,38480.0000,39960.0000,38100.0000,2171523,851671,675001,1728,113,,,2171523.00,
23/05/2017,38480.0000,38480.0000,-1.43,39040.0000,39040.0000,39070.0000,37820.0000,2171523,835602,562756,1463,88,,,2171523.00,
22/05/2017,39040.0000,39040.0000,-0.56,39260.0000,39260.0000,39260.0000,38700.0000,2171523,847763,709038,1817,138,,,2171523.00,
21/05/2017,39260.0000,39260.0000,-0.73,39770.0000,39550.0000,39770.0000,38600.0000,2171523,852540,315773,802,81,,,2171523.00,
18/05/2017,39550.0000,39550.0000,-3.56,41010.0000,41010.0000,40500.0000,39430.0000,2171523,858837,280106,705,76,,,2171523.00,
17/05/2017,41010.0000,41010.0000,-1.98,41840.0000,41840.0000,41840.0000,40500.0000,2171523,890542,2711448,6525,101,,,2171523.00,
16/05/2017,41840.0000,41840.0000,-0.14,41900.0000,41900.0000,41930.0000,41330.0000,2171523,908565,489510,1169,58,,,2171523.00,
15/05/2017,41900.0000,41900.0000,-0.48,42100.0000,42100.0000,42310.0000,41070.0000,2171523,909868,502279,1200,67,,,2171523.00,
14/05/2017,42100.0000,42100.0000,-0.07,42130.0000,42130.0000,42170.0000,41620.0000,2171523,914211,553572,1315,42,,,2171523.00,
11/05/2017,42130.0000,42130.0000,0.19,42050.0000,42050.0000,42600.0000,41030.0000,2171523,914863,872506,2078,82,,,2171523.00,
10/05/2017,42050.0000,42050.0000,-0.02,42060.0000,42060.0000,42200.0000,41810.0000,2171523,913125,1116097,2655,52,,,2171523.00,
09/05/2017,42060.0000,42060.0000,0.00,42060.0000,42060.0000,42580.0000,40630.0000,2171523,913343,665264,1584,97,,,2171523.00,
08/05/2017,42060.0000,42060.0000,0.43,41880.0000,41880.0000,42710.0000,40400.0000,2171523,913343,1463579,3525,63,,,2171523.00,
07/05/2017,41880.0000,41880.0000,-0.14,41940.0000,41940.0000,42220.0000,41700.0000,2171523,909434,525922,1257,42,,,2171523.00,
04/05/2017,41940.0000,41940.0000,0.05,41920.0000,41920.0000,42540.0000,41540.0000,2171523,910737,3043626,7259,79,,,2171523.00,
03/05/2017,41920.0000,41920.0000,0.38,41000.0000,41760.0000,41950.0000,41000.0000,2171523,910302,1007085,2411,77,,,2171523.00,
30/04/2017,41760.0000,41760.0000,-1.97,42600.0000,42600.0000,42600.0000,41600.0000,2171523,906828,645200,1542,63,,,2171523.00,
27/04/2017,42600.0000,42600.0000,-0.09,42640.0000,42640.0000,42660.0000,42170.0000,2171523,925069,2739640,6433,127,,,2171523.00,
26/04/2017,42640.0000,42640.0000,3.70,41900.0000,41120.0000,42980.0000,41890.0000,2171523,925937,380816,894,82,,,2171523.00,
25/04/2017,41120.0000,41120.0000,3.86,39590.0000,39590.0000,41460.0000,39310.0000,2171523,892930,1030254,2558,85,,,2171523.00,
24/04/2017,39590.0000,39590.0000,2.62,39490.0000,38580.0000,39830.0000,38910.0000,2171523,859706,737031,1869,103,,,2171523.00,
23/04/2017,38580.0000,38580.0000,-0.87,38920.0000,38920.0000,39670.0000,37670.0000,2171523,837774,285885,744,71,,,2171523.00,
20/04/2017,38920.0000,38920.0000,-0.99,39310.0000,39310.0000,39280.0000,38440.0000,2171523,845157,976358,2512,78,,,2171523.00,
19/04/2017,39310.0000,39310.0000,-0.20,39390.0000,39390.0000,39520.0000,39120.0000,2171523,853626,274225,697,41,,,2171523.00,
18/04/2017,39390.0000,39390.0000,-1.30,40710.0000,39910.0000,40710.0000,39100.0000,2171523,855363,1443591,3618,100,,,2171523.00,
13/04/2017,39910.0000,39910.0000,-0.92,39870.0000,40280.0000,40010.0000,39540.0000,2171523,866655,247111,619,36,,,2171523.00,
12/04/2017,40280.0000,40280.0000,-0.10,39540.0000,40320.0000,40600.0000,39540.0000,2171523,874689,101893,253,25,,,2171523.00,
09/04/2017,40320.0000,40320.0000,-0.49,40610.0000,40520.0000,40610.0000,39310.0000,2171523,875558,196719,491,36,,,2171523.00,
06/04/2017,40520.0000,40520.0000,-0.90,40890.0000,40890.0000,40890.0000,40010.0000,2171523,879901,627613,1552,69,,,2165085.00,
05/04/2017,40890.0000,40890.0000,1.09,40450.0000,40450.0000,41700.0000,39410.0000,2171523,887936,567188,1403,73,,,2165085.00,
04/04/2017,40450.0000,40450.0000,2.22,39570.0000,39570.0000,40820.0000,39800.0000,2171523,878381,418261,1040,56,,,2165085.00,
03/04/2017,39570.0000,39570.0000,-0.33,39700.0000,39700.0000,40120.0000,39370.0000,2171523,859272,672453,1696,85,,,2165085.00,
02/04/2017,39700.0000,39700.0000,0.94,39330.0000,39330.0000,40010.0000,39480.0000,2171523,862095,56768,143,17,,,2165085.00,
30/03/2017,39330.0000,39330.0000,-0.98,40000.0000,39720.0000,40000.0000,38620.0000,2171523,854060,218754,557,63,,,2165085.00,
29/03/2017,39720.0000,39720.0000,-0.50,39920.0000,39920.0000,40000.0000,39310.0000,2171523,862529,219285,552,64,,,2165085.00,
28/03/2017,39920.0000,39920.0000,0.50,39720.0000,39720.0000,42360.0000,38200.0000,2171523,866872,402158,1013,79,,,2165085.00,
27/03/2017,39720.0000,39720.0000,-1.12,40170.0000,40170.0000,40510.0000,39200.0000,2171523,862529,381239,963,105,EX D,0.95257,2165085.00,
26/03/2017,40169.8769,42170.0000,0.09,42130.0000,42130.0000,43000.0000,41750.0000,2171523,915731,365218,864,72,,,2165085.00,
23/03/2017,40131.7741,42130.0000,0.21,41670.0000,42040.0000,42650.0000,41470.0000,2171523,914863,139771,333,42,,,2165085.00,
22/03/2017,40046.0428,42040.0000,-1.15,42100.0000,42530.0000,42600.0000,41700.0000,2171523,912908,430973,1025,74,,,2165085.00,
21/03/2017,40512.8021,42530.0000,-0.47,42730.0000,42730.0000,43030.0000,42400.0000,2171523,923549,528183,1239,51,,,2165085.00,
20/03/2017,40703.3161,42730.0000,-0.95,43140.0000,43140.0000,43140.0000,42620.0000,2171523,927892,712686,1667,90,,,2165085.00,
19/03/2017,41093.8698,43140.0000,-0.67,43430.0000,43430.0000,43700.0000,42770.0000,2171523,936795,564180,1306,78,,,2165085.00,
