Historical Prices - MANNKIND - 01136639
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,533.7000,533.7000,1.85,530.0000,524.0000,548.0000,525.0000,96134307,513069,831312,154696,210,,,96134307.00,
28/05/2017,524.0000,524.0000,6.74,528.0000,490.9000,530.0000,520.1000,96134307,503744,1535955,292528,245,,,96134307.00,
25/05/2017,490.9000,490.9000,7.37,456.8000,457.2000,508.3000,451.3000,96134307,471923,1883126,389957,391,,,96134307.00,
24/05/2017,457.2000,457.2000,-1.10,462.0000,462.3000,462.0000,450.0000,96134307,439526,861575,188749,169,,,96134307.00,
23/05/2017,462.3000,462.3000,8.78,480.0000,425.0000,488.7000,457.7000,96134307,444429,3377892,709941,652,,,96134307.00,
22/05/2017,425.0000,425.0000,8.20,395.0000,392.8000,428.0000,390.1000,96134307,408571,1012266,245715,260,,,96134307.00,
21/05/2017,392.8000,392.8000,-3.28,405.8000,406.1000,405.8000,391.4000,96134307,377616,414267,105019,137,,,96134307.00,
18/05/2017,406.1000,406.1000,-3.84,390.0000,422.3000,415.8000,381.0000,96134307,390401,1900071,483189,377,,,96134307.00,
17/05/2017,422.3000,422.3000,14.35,431.2000,369.3000,432.1000,397.1000,96134307,405975,3725370,884270,693,,,96134307.00,
16/05/2017,369.3000,369.3000,-6.08,392.9000,393.2000,392.9000,366.6000,96134307,355024,1108471,298161,322,,,96134307.00,
15/05/2017,393.2000,393.2000,-0.23,399.9000,394.1000,402.0000,366.2000,96134307,378000,1470050,380434,434,,,96134307.00,
14/05/2017,394.1000,394.1000,-9.84,405.0000,437.1000,405.0000,375.0000,96134307,378865,1389124,356287,362,,,96134307.00,
11/05/2017,437.1000,437.1000,1.75,480.0000,429.6000,517.7000,428.2000,96134307,420203,8372499,1743918,1655,,,96134307.00,
10/05/2017,429.6000,429.6000,8.46,417.0000,396.1000,490.0000,411.8000,96134307,412993,4958979,1075998,1056,,,96134307.00,
09/05/2017,396.1000,396.1000,31.20,360.0000,301.9000,415.0000,356.1000,96134307,380788,3044216,816045,742,,,96134307.00,
08/05/2017,301.9000,301.9000,7.32,279.9000,281.3000,318.0000,279.9000,96134307,290229,744902,253106,288,,,96134307.00,
07/05/2017,281.3000,281.3000,6.88,274.0000,263.2000,284.7000,274.0000,96134307,270426,378973,134821,171,,,96134307.00,
04/05/2017,263.2000,263.2000,-9.89,261.0000,292.1000,294.0000,259.0000,96134307,253026,1773803,649216,523,,,96134307.00,
03/05/2017,292.1000,292.1000,-5.80,310.1000,310.1000,310.1000,291.0000,96134307,280808,732227,247578,277,,,96134307.00,
30/04/2017,310.1000,310.1000,4.13,297.8000,297.8000,314.8000,298.0000,96134307,298112,172091,55318,69,,,96134307.00,
27/04/2017,297.8000,297.8000,-6.91,310.0000,319.9000,313.9000,292.0000,96134307,286288,744674,242957,304,,,96134307.00,
26/04/2017,319.9000,319.9000,-6.13,338.0000,340.8000,350.0000,316.7000,96134307,307534,621120,189164,254,,,96134307.00,
25/04/2017,340.8000,340.8000,5.84,329.0000,322.0000,348.0000,325.5000,96134307,327626,484542,143482,221,,,96134307.00,
24/04/2017,322.0000,322.0000,-6.04,343.0000,342.7000,347.0000,318.0000,96134307,309552,744837,223536,303,,,96134307.00,
23/04/2017,342.7000,342.7000,-15.59,343.7000,406.0000,345.8000,340.0000,96134307,329452,736458,214817,254,,,96134307.00,
20/04/2017,406.0000,406.0000,-6.99,418.0000,436.5000,423.4000,400.0000,96134307,390305,537462,130384,184,,,96134307.00,
19/04/2017,436.5000,436.5000,-4.57,457.1000,457.4000,457.7000,430.0000,96134307,419626,235957,53239,93,,,96134307.00,
18/04/2017,457.4000,457.4000,-4.29,482.5000,477.9000,482.5000,455.0000,96134307,439718,263790,56703,102,,,96134307.00,
13/04/2017,477.9000,477.9000,-4.15,498.6000,498.6000,498.6000,476.1000,96134307,459426,228960,47756,89,,,96134307.00,
12/04/2017,498.6000,498.6000,3.66,481.3000,481.0000,500.0000,481.3000,96134307,479326,140418,28164,56,,,96134307.00,
