Historical Prices - MATRIX - 00445015
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3873.0000,3873.0000,-1.00,3920.0000,3912.0000,3944.0000,3823.0000,61205145,2370475,6994473,180530,573,,,61191141.00,
28/05/2017,3912.0000,3912.0000,-0.33,3925.0000,3925.0000,3928.0000,3870.0000,61205145,2394345,6027080,154686,532,,,61191141.00,
25/05/2017,3925.0000,3925.0000,0.72,3920.0000,3897.0000,3975.0000,3879.0000,61205145,2402302,5231037,133106,503,,,61191141.00,
24/05/2017,3897.0000,3897.0000,1.72,3831.0000,3831.0000,3898.0000,3825.0000,61191141,2384619,7219767,186335,587,,,61191141.00,
23/05/2017,3831.0000,3831.0000,3.35,3710.0000,3707.0000,3838.0000,3690.0000,61191141,2344233,7913736,209227,751,,,61191141.00,
22/05/2017,3707.0000,3707.0000,2.74,3661.0000,3608.0000,3744.0000,3629.0000,61191141,2268356,8594102,234018,769,,,61191141.00,
21/05/2017,3608.0000,3608.0000,3.38,3510.0000,3490.0000,3622.0000,3510.0000,61191141,2207776,3094691,86047,372,,,61191141.00,
18/05/2017,3490.0000,3490.0000,-1.44,3505.0000,3541.0000,3540.0000,3457.0000,61191141,2135571,3820368,109605,521,,,61191141.00,
17/05/2017,3541.0000,3541.0000,-4.09,3689.0000,3692.0000,3735.0000,3510.0000,61191141,2166778,7006043,192259,726,,,61191141.00,
16/05/2017,3692.0000,3692.0000,1.15,3650.0000,3650.0000,3748.0000,3647.0000,61191141,2259177,6071065,163736,615,,,61191141.00,
15/05/2017,3650.0000,3650.0000,-0.98,3697.0000,3686.0000,3778.0000,3650.0000,61191141,2233477,8415625,225870,747,,,61191141.00,
14/05/2017,3686.0000,3686.0000,2.39,3650.0000,3600.0000,3720.0000,3636.0000,61191141,2255505,6511780,176200,542,,,61191141.00,
11/05/2017,3600.0000,3600.0000,3.00,3500.0000,3495.0000,3610.0000,3500.0000,61191141,2202881,9450529,266515,599,,,61191141.00,
10/05/2017,3495.0000,3495.0000,-2.78,3573.0000,3595.0000,3586.0000,3467.0000,61191141,2138630,9062781,256978,797,,,61191141.00,
09/05/2017,3595.0000,3595.0000,3.60,3480.0000,3470.0000,3600.0000,3480.0000,61191141,2199822,7888443,222338,737,,,61191141.00,
08/05/2017,3470.0000,3470.0000,0.99,3429.0000,3436.0000,3478.0000,3429.0000,61191141,2123333,6844799,197862,500,,,61191141.00,
07/05/2017,3436.0000,3436.0000,1.78,3376.0000,3376.0000,3452.0000,3376.0000,61191141,2102528,2073828,60408,279,,,61191141.00,
04/05/2017,3376.0000,3376.0000,0.18,3360.0000,3370.0000,3409.0000,3359.0000,61191141,2065813,3120735,92137,388,,,60735455.00,
03/05/2017,3370.0000,3370.0000,-0.68,3385.0000,3393.0000,3428.0000,3368.0000,61191141,2062141,4350998,127864,510,,,60735455.00,
30/04/2017,3393.0000,3393.0000,-0.64,3415.0000,3415.0000,3430.0000,3380.0000,61191141,2076215,2404211,70461,276,,,60735455.00,
27/04/2017,3415.0000,3415.0000,0.80,3445.0000,3388.0000,3445.0000,3373.0000,61191141,2089677,5269056,154379,570,,,60735455.00,
26/04/2017,3388.0000,3388.0000,2.26,3313.0000,3313.0000,3395.0000,3313.0000,61191141,2073156,4004687,119269,626,,,60735455.00,
25/04/2017,3313.0000,3313.0000,1.13,3290.0000,3276.0000,3325.0000,3290.0000,61191141,2027263,4648180,140317,531,,,60735455.00,
24/04/2017,3276.0000,3276.0000,2.28,3213.0000,3203.0000,3290.0000,3213.0000,61191141,2004622,3588353,109814,410,,,60735455.00,
23/04/2017,3203.0000,3203.0000,-0.06,3205.0000,3205.0000,3239.0000,3150.0000,61191141,1959952,2607613,81650,330,,,60735455.00,
