Historical Prices - MAYTRONICS - 01091065
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1510.0000,1510.0000,0.73,1499.0000,1499.0000,1540.0000,1490.0000,107663835,1625724,1165299,77290,210,,,107663834.00,
28/05/2017,1499.0000,1499.0000,-2.73,1550.0000,1541.0000,1559.0000,1436.0000,107663835,1613881,1587011,105622,241,,,107663834.00,
25/05/2017,1541.0000,1541.0000,-2.84,1584.0000,1586.0000,1589.0000,1524.0000,107663835,1659100,2030864,131216,299,,,107663834.00,
24/05/2017,1586.0000,1586.0000,-0.19,1584.0000,1589.0000,1598.0000,1563.0000,107663835,1707548,1316408,83218,201,,,107663834.00,
23/05/2017,1589.0000,1589.0000,1.47,1565.0000,1566.0000,1599.0000,1565.0000,107663835,1710778,1200618,75782,192,,,107663834.00,
22/05/2017,1566.0000,1566.0000,4.12,1499.0000,1504.0000,1572.0000,1499.0000,107663835,1686016,923656,59831,171,,,107663834.00,
21/05/2017,1504.0000,1504.0000,1.14,1486.0000,1487.0000,1525.0000,1485.0000,107663835,1619264,599917,39879,126,,,107663834.00,
18/05/2017,1487.0000,1487.0000,-1.26,1506.0000,1506.0000,1504.0000,1484.0000,107663835,1600961,705767,47363,134,,,107663834.00,
17/05/2017,1506.0000,1506.0000,-2.21,1535.0000,1540.0000,1570.0000,1491.0000,107663835,1621417,1212079,79941,202,,,107663834.00,
16/05/2017,1540.0000,1540.0000,2.53,1500.0000,1502.0000,1548.0000,1500.0000,107663835,1658023,674600,44048,140,,,107663834.00,
15/05/2017,1502.0000,1502.0000,-2.47,1545.0000,1540.0000,1556.0000,1502.0000,107663835,1617111,2037964,134065,298,,,107663834.00,
14/05/2017,1540.0000,1540.0000,0.65,1535.0000,1530.0000,1560.0000,1512.0000,107663835,1658023,799850,52117,130,,,107663834.00,
11/05/2017,1530.0000,1530.0000,-1.42,1552.0000,1552.0000,1578.0000,1517.0000,107663835,1647257,2218951,145026,227,,,107663834.00,
10/05/2017,1552.0000,1552.0000,-2.21,1588.0000,1587.0000,1595.0000,1552.0000,107663835,1670943,1531750,97186,221,,,107663834.00,
09/05/2017,1587.0000,1587.0000,0.00,1582.0000,1587.0000,1593.0000,1578.0000,107663835,1708625,1610918,101516,205,,,107663834.00,
08/05/2017,1587.0000,1587.0000,-0.19,1595.0000,1590.0000,1595.0000,1541.0000,107663835,1708625,2479366,157798,377,,,107663834.00,
07/05/2017,1590.0000,1590.0000,1.79,1561.0000,1562.0000,1592.0000,1557.0000,107663835,1711855,762126,48222,122,,,107663834.00,
04/05/2017,1562.0000,1562.0000,-0.06,1563.0000,1563.0000,1572.0000,1520.0000,107663835,1681709,2138092,137562,244,,,107663834.00,
03/05/2017,1563.0000,1563.0000,1.96,1538.0000,1533.0000,1570.0000,1536.0000,107663835,1682786,832882,53627,128,,,107663834.00,
30/04/2017,1533.0000,1533.0000,0.33,1523.0000,1528.0000,1545.0000,1500.0000,107663835,1650487,791438,51765,117,,,107663834.00,
27/04/2017,1528.0000,1528.0000,0.33,1530.0000,1523.0000,1540.0000,1490.0000,107663835,1645103,1933154,126940,214,,,107663834.00,
26/04/2017,1523.0000,1523.0000,3.89,1490.0000,1466.0000,1525.0000,1489.0000,107663835,1639720,1615639,106620,222,,,107663834.00,
25/04/2017,1466.0000,1466.0000,3.09,1426.0000,1422.0000,1472.0000,1418.0000,107663835,1578352,4103258,283814,227,,,107663834.00,
24/04/2017,1422.0000,1422.0000,-1.18,1439.0000,1439.0000,1467.0000,1405.0000,107663835,1530980,2897783,203364,264,,,107663834.00,
23/04/2017,1439.0000,1439.0000,-2.90,1482.0000,1482.0000,1482.0000,1436.0000,107663835,1549283,1198758,82582,159,,,107663834.00,
20/04/2017,1482.0000,1482.0000,-3.89,1543.0000,1542.0000,1554.0000,1480.0000,107663835,1595578,2171850,143692,243,,,107663834.00,
19/04/2017,1542.0000,1542.0000,0.00,1542.0000,1542.0000,1595.0000,1542.0000,107663835,1660176,1812895,116373,150,,,107663834.00,
18/04/2017,1542.0000,1542.0000,1.05,1526.0000,1526.0000,1566.0000,1521.0000,107663835,1660176,872273,56512,128,EX B,0.95375,107663834.00,
13/04/2017,1526.0000,1600.0000,-1.42,1624.0000,1623.0000,1636.0000,1590.0000,102664093,1642625,1127892,69935,146,,,102664093.00,
12/04/2017,1547.9363,1623.0000,-0.86,1630.0000,1637.0000,1651.0000,1602.0000,102664093,1666238,793223,48694,160,,,102664093.00,
09/04/2017,1561.2888,1637.0000,1.05,1633.0000,1620.0000,1638.0000,1629.0000,102664093,1680611,1203502,73584,118,EX D,0.99265,102664093.00,
06/04/2017,1545.0796,1632.0000,0.87,1613.0000,1618.0000,1645.0000,1601.0000,102664093,1675478,2282529,139990,198,,,102664093.00,
