Historical Prices - MEITAV DS - 01081843
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,1518.0000,1518.0000,0.00,1518.0000,1518.0000,1520.0000,1504.0000,67871955,1030296,363929,24022,109,,,67815646.00,
28/05/2017,1518.0000,1518.0000,0.07,1517.0000,1517.0000,1520.0000,1508.0000,67871955,1030296,388288,25611,105,,,67815646.00,
25/05/2017,1517.0000,1517.0000,-0.72,1520.0000,1528.0000,1520.0000,1507.0000,67860899,1029450,530292,34967,112,,,67815646.00,
24/05/2017,1528.0000,1528.0000,-0.59,1536.0000,1537.0000,1558.0000,1523.0000,67856795,1036852,800375,52288,173,,,67815646.00,
23/05/2017,1537.0000,1537.0000,0.00,1555.0000,1537.0000,1590.0000,1526.0000,67856795,1042959,1187209,76645,223,,,67815646.00,
22/05/2017,1537.0000,1537.0000,0.26,1540.0000,1533.0000,1549.0000,1515.0000,67856795,1042959,672467,43886,114,,,67815646.00,
21/05/2017,1533.0000,1533.0000,3.16,1490.0000,1486.0000,1541.0000,1490.0000,67856795,1040245,510745,33568,132,,,67815646.00,
18/05/2017,1486.0000,1486.0000,-2.94,1536.0000,1531.0000,1545.0000,1475.0000,67856795,1008352,1208973,81129,205,,,67815646.00,
17/05/2017,1531.0000,1531.0000,-3.35,1584.0000,1584.0000,1584.0000,1517.0000,67856795,1038888,953423,61805,219,,,67815646.00,
16/05/2017,1584.0000,1584.0000,2.19,1550.0000,1550.0000,1595.0000,1550.0000,67856795,1074852,545025,34578,112,,,67815646.00,
15/05/2017,1550.0000,1550.0000,-1.08,1567.0000,1567.0000,1591.0000,1529.0000,67856795,1051780,587000,37747,135,,,67815646.00,
14/05/2017,1567.0000,1567.0000,0.77,1564.0000,1555.0000,1577.0000,1547.0000,67856703,1063315,464633,29738,102,,,67815646.00,
11/05/2017,1555.0000,1555.0000,-0.83,1568.0000,1568.0000,1573.0000,1546.0000,67856579,1055170,959651,61624,168,,,67815646.00,
10/05/2017,1568.0000,1568.0000,-1.07,1585.0000,1585.0000,1590.0000,1550.0000,67856579,1063991,1563893,99567,267,,,67815646.00,
09/05/2017,1585.0000,1585.0000,2.66,1560.0000,1544.0000,1585.0000,1539.0000,67856579,1075527,1354600,86552,265,,,67815646.00,
08/05/2017,1544.0000,1544.0000,0.06,1550.0000,1543.0000,1559.0000,1519.0000,67856579,1047706,654386,42344,139,,,67815646.00,
07/05/2017,1543.0000,1543.0000,1.85,1542.0000,1515.0000,1548.0000,1525.0000,67856579,1047027,508068,33061,98,,,67815646.00,
04/05/2017,1515.0000,1515.0000,1.88,1487.0000,1487.0000,1548.0000,1487.0000,67856523,1028026,3050783,200714,302,,,67732368.00,
03/05/2017,1487.0000,1487.0000,3.19,1445.0000,1441.0000,1517.0000,1445.0000,67848447,1008906,2310302,154726,349,,,67732368.00,
30/04/2017,1441.0000,1441.0000,-1.30,1460.0000,1460.0000,1480.0000,1423.0000,67847853,977688,2184291,149867,310,,,67732368.00,
27/04/2017,1460.0000,1460.0000,3.03,1421.0000,1417.0000,1468.0000,1370.0000,67842916,990507,3747807,264374,409,,,67732368.00,
26/04/2017,1417.0000,1417.0000,0.21,1417.0000,1414.0000,1470.0000,1391.0000,67842916,961334,2042854,143183,375,,,67732368.00,
25/04/2017,1414.0000,1414.0000,1.29,1381.0000,1396.0000,1416.0000,1372.0000,67840813,959269,1288553,92703,258,,,67732368.00,
24/04/2017,1396.0000,1396.0000,-0.36,1401.0000,1401.0000,1424.0000,1389.0000,67840813,947058,1255838,89557,232,,,67732368.00,
23/04/2017,1401.0000,1401.0000,-2.71,1440.0000,1440.0000,1436.0000,1400.0000,67839929,950437,1758062,124361,265,,,67732368.00,
20/04/2017,1440.0000,1440.0000,-0.89,1447.0000,1453.0000,1466.0000,1420.0000,67835124,976826,1002414,69391,186,,,67732368.00,
19/04/2017,1453.0000,1453.0000,-2.94,1493.0000,1497.0000,1493.0000,1428.0000,67821471,985446,1533194,105481,207,,,67732368.00,
18/04/2017,1497.0000,1497.0000,-0.93,1511.0000,1511.0000,1516.0000,1480.0000,67815646,1015200,505320,33725,112,,,67732368.00,
13/04/2017,1511.0000,1511.0000,0.40,1500.0000,1505.0000,1520.0000,1500.0000,67814540,1024678,453192,30056,118,,,67732368.00,
12/04/2017,1505.0000,1505.0000,-5.94,1580.0000,1600.0000,1580.0000,1500.0000,67802995,1020435,2956146,193442,604,,,67732368.00,
09/04/2017,1600.0000,1600.0000,0.00,1600.0000,1600.0000,1600.0000,1567.0000,67802995,1084848,570535,35828,93,,,67732368.00,
06/04/2017,1600.0000,1600.0000,-0.62,1610.0000,1610.0000,1620.0000,1600.0000,67802995,1084848,1320663,82175,191,,,67720889.00,
05/04/2017,1610.0000,1610.0000,3.74,1557.0000,1552.0000,1613.0000,1536.0000,67801277,1091601,3776129,241393,251,,,67720889.00,
04/04/2017,1552.0000,1552.0000,1.90,1523.0000,1523.0000,1560.0000,1510.0000,67801277,1052276,722075,47282,118,,,67720889.00,
03/04/2017,1523.0000,1523.0000,-0.78,1540.0000,1535.0000,1570.0000,1504.0000,67799632,1032588,1465611,95247,250,,,67720889.00,
02/04/2017,1535.0000,1535.0000,-0.13,1537.0000,1537.0000,1543.0000,1521.0000,67789888,1040575,689479,45074,102,,,67720889.00,
30/03/2017,1537.0000,1537.0000,0.20,1529.0000,1534.0000,1544.0000,1511.0000,67789888,1041931,1092895,71487,151,,,67720889.00,
29/03/2017,1534.0000,1534.0000,-0.90,1604.0000,1548.0000,1604.0000,1521.0000,67789717,1039894,543606,35252,167,,,67720889.00,
28/03/2017,1548.0000,1548.0000,0.52,1562.0000,1540.0000,1562.0000,1515.0000,67789717,1049385,655854,42655,156,,,67720889.00,
27/03/2017,1540.0000,1540.0000,-2.16,1560.0000,1574.0000,1560.0000,1516.0000,67787071,1043921,1209036,78751,264,,,67720889.00,
26/03/2017,1574.0000,1574.0000,-0.69,1585.0000,1585.0000,1606.0000,1561.0000,67786002,1066952,603154,38072,137,EX D,0.98631,67720889.00,
23/03/2017,1585.0002,1607.0000,-0.31,1617.0000,1612.0000,1638.0000,1580.0000,67784486,1089297,1162631,72382,207,,,67720889.00,
22/03/2017,1589.9317,1612.0000,-1.10,1603.0000,1630.0000,1646.0000,1601.0000,67784486,1092686,1300433,80636,197,,,67720889.00,
21/03/2017,1607.6853,1630.0000,-0.49,1631.0000,1638.0000,1643.0000,1615.0000,67777250,1104769,1709447,104843,270,,,67720889.00,
20/03/2017,1615.5758,1638.0000,1.11,1680.0000,1620.0000,1680.0000,1614.0000,67756757,1109856,5436158,329854,1038,,,67720889.00,
19/03/2017,1597.8222,1620.0000,-12.62,1662.0000,1854.0000,1727.0000,1595.0000,67732368,1097264,10265540,626321,1265,,,67720889.00,
16/03/2017,1828.6187,1854.0000,-0.96,1866.0000,1872.0000,1878.0000,1836.0000,67732368,1255758,1037324,56048,143,,,67720889.00,
15/03/2017,1846.3723,1872.0000,0.27,1867.0000,1867.0000,1875.0000,1834.0000,67732368,1267950,1432301,77426,151,,,67720889.00,
14/03/2017,1841.4408,1867.0000,-0.95,1885.0000,1885.0000,1891.0000,1855.0000,67731366,1264545,1439681,76834,134,,,67720889.00,
13/03/2017,1859.1944,1885.0000,1.89,1850.0000,1850.0000,1900.0000,1850.0000,67731366,1276736,1590041,84347,202,,,67720889.00,
09/03/2017,1824.6735,1850.0000,-1.23,1873.0000,1873.0000,1873.0000,1820.0000,67731366,1253030,527571,28564,112,,,67720889.00,
08/03/2017,1847.3586,1873.0000,0.11,1852.0000,1871.0000,1875.0000,1852.0000,67731366,1268608,560576,29988,75,,,67720889.00,
07/03/2017,1845.3860,1871.0000,0.92,1854.0000,1854.0000,1881.0000,1856.0000,67729665,1267222,1021028,54805,152,,,67720889.00,
06/03/2017,1828.6187,1854.0000,0.98,1836.0000,1836.0000,1857.0000,1808.0000,67729665,1255708,969095,52458,162,,,67720889.00,
05/03/2017,1810.8652,1836.0000,0.33,1830.0000,1830.0000,1840.0000,1817.0000,67729665,1243517,414478,22632,77,,,67720889.00,
02/03/2017,1804.9473,1830.0000,1.78,1798.0000,1798.0000,1830.0000,1774.0000,67729665,1239453,1562643,85808,182,,,67574219.00,
01/03/2017,1773.3854,1798.0000,-1.96,1828.0000,1834.0000,1844.0000,1786.0000,67729665,1217779,1349273,74570,173,,,67574219.00,
28/02/2017,1808.8925,1834.0000,0.44,1826.0000,1826.0000,1840.0000,1810.0000,67729665,1242162,489469,26839,95,,,67574219.00,
27/02/2017,1801.0021,1826.0000,-0.44,1838.0000,1834.0000,1844.0000,1808.0000,67729665,1236744,645865,35468,115,,,67574219.00,
26/02/2017,1808.8925,1834.0000,0.00,1834.0000,1834.0000,1845.0000,1820.0000,67729665,1242162,741222,40403,97,,,67574219.00,
23/02/2017,1808.8925,1834.0000,-0.22,1829.0000,1838.0000,1838.0000,1825.0000,67729665,1242162,296209,16168,56,,,67574219.00,
22/02/2017,1812.8378,1838.0000,-0.05,1830.0000,1839.0000,1844.0000,1826.0000,67729665,1244871,446673,24356,92,,,67574219.00,
21/02/2017,1813.8241,1839.0000,0.77,1820.0000,1825.0000,1840.0000,1813.0000,67729665,1245549,849556,46401,123,,,67574219.00,
20/02/2017,1800.0158,1825.0000,0.33,1819.0000,1819.0000,1840.0000,1795.0000,67729584,1236065,902675,49576,146,,,67574219.00,
19/02/2017,1794.0979,1819.0000,2.13,1781.0000,1781.0000,1830.0000,1774.0000,67728022,1231973,1322074,72920,139,,,67574219.00,
16/02/2017,1756.6181,1781.0000,-0.78,1795.0000,1795.0000,1790.0000,1763.0000,67728022,1206236,503182,28332,117,,,67574219.00,
15/02/2017,1770.4265,1795.0000,-0.83,1788.0000,1810.0000,1814.0000,1775.0000,67723896,1215644,562507,31432,150,,,67574219.00,
14/02/2017,1785.2211,1810.0000,1.23,1788.0000,1788.0000,1814.0000,1776.0000,67722851,1225784,476769,26502,99,,,67574219.00,
13/02/2017,1763.5223,1788.0000,-0.28,1779.0000,1793.0000,1800.0000,1778.0000,67720889,1210850,528892,29604,124,,,67574219.00,
12/02/2017,1768.4538,1793.0000,-0.39,1800.0000,1800.0000,1806.0000,1776.0000,67720889,1214236,517470,28850,110,,,67574219.00,
09/02/2017,1775.3580,1800.0000,-0.28,1805.0000,1805.0000,1805.0000,1772.0000,67720889,1218976,10477516,582369,234,,,67275977.00,
08/02/2017,1780.2896,1805.0000,-0.17,1793.0000,1808.0000,1817.0000,1788.0000,67717032,1222292,721049,40067,156,,,67275977.00,
07/02/2017,1783.2485,1808.0000,0.00,1803.0000,1808.0000,1822.0000,1788.0000,67717032,1224324,1165133,64719,233,,,67275977.00,
06/02/2017,1783.2485,1808.0000,-0.28,1808.0000,1813.0000,1808.0000,1787.0000,67712972,1224251,1244744,69107,180,,,67275977.00,
05/02/2017,1788.1800,1813.0000,0.83,1800.0000,1798.0000,1825.0000,1780.0000,67710604,1227593,1192678,66314,185,,,67275977.00,
02/02/2017,1773.3854,1798.0000,-0.55,1803.0000,1808.0000,1805.0000,1781.0000,67708801,1217404,1096587,61136,197,,,67275977.00,
01/02/2017,1783.2485,1808.0000,0.78,1794.0000,1794.0000,1812.0000,1761.0000,67702512,1224061,1275219,71006,233,,,67275977.00,
31/01/2017,1769.4401,1794.0000,0.45,1763.0000,1786.0000,1800.0000,1763.0000,67689103,1214343,915220,51112,181,,,67275977.00,
30/01/2017,1761.5497,1786.0000,0.79,1787.0000,1772.0000,1789.0000,1757.0000,67689103,1208927,1506151,84933,269,,,67275977.00,
29/01/2017,1747.7413,1772.0000,2.90,1711.0000,1722.0000,1776.0000,1711.0000,67679797,1199286,3112311,180608,163,,,67275977.00,
26/01/2017,1698.4258,1722.0000,-0.35,1728.0000,1728.0000,1743.0000,1708.0000,67679797,1165446,1406934,81642,207,,,67275977.00,
25/01/2017,1704.3437,1728.0000,-0.69,1745.0000,1740.0000,1760.0000,1695.0000,67679112,1169495,2166751,125297,230,,,67275977.00,
24/01/2017,1716.1794,1740.0000,0.12,1730.0000,1738.0000,1757.0000,1729.0000,67670523,1177467,874203,50320,146,,,67275977.00,
23/01/2017,1714.2068,1738.0000,-1.47,1751.0000,1764.0000,1768.0000,1730.0000,67663991,1176000,1550653,88697,227,,,67275977.00,
22/01/2017,1739.8508,1764.0000,-0.23,1759.0000,1768.0000,1767.0000,1758.0000,67659879,1193520,771823,43831,110,,,67275977.00,
19/01/2017,1743.7961,1768.0000,-0.23,1770.0000,1772.0000,1772.0000,1758.0000,67655680,1196152,890245,50461,144,,,67275977.00,
18/01/2017,1747.7413,1772.0000,-0.67,1771.0000,1784.0000,1785.0000,1770.0000,67580880,1197533,930348,52475,131,,,67275977.00,
17/01/2017,1759.5770,1784.0000,0.00,1779.0000,1784.0000,1797.0000,1771.0000,67578076,1205593,1044478,58599,170,,,67275977.00,
16/01/2017,1759.5770,1784.0000,0.17,1794.0000,1781.0000,1794.0000,1766.0000,67575779,1205552,706849,39802,123,,,67275977.00,
15/01/2017,1756.6181,1781.0000,-0.34,1782.0000,1787.0000,1792.0000,1768.0000,67574219,1203497,840587,47342,154,,,67275977.00,
12/01/2017,1762.5360,1787.0000,0.06,1786.0000,1786.0000,1788.0000,1771.0000,67572378,1207518,778158,43772,130,,,67275977.00,
11/01/2017,1761.5497,1786.0000,-0.61,1781.0000,1797.0000,1790.0000,1758.0000,67571794,1206832,1409845,79369,212,,,67275977.00,
10/01/2017,1772.3991,1797.0000,0.28,1780.0000,1792.0000,1800.0000,1770.0000,67569676,1214227,888311,49773,145,,,67275977.00,
09/01/2017,1767.4675,1792.0000,0.56,1787.0000,1782.0000,1797.0000,1760.0000,67569045,1210837,896071,50440,159,,,67275977.00,
08/01/2017,1757.6044,1782.0000,-1.38,1791.0000,1807.0000,1820.0000,1761.0000,67568559,1204072,1306846,73150,159,,,67275977.00,
05/01/2017,1782.2622,1807.0000,-0.50,1794.0000,1816.0000,1807.0000,1785.0000,67568559,1220964,1904749,105969,205,,,67275977.00,
04/01/2017,1791.1390,1816.0000,-0.49,1825.0000,1825.0000,1848.0000,1767.0000,67563503,1226953,4225573,233707,409,,,67275977.00,
03/01/2017,1800.0158,1825.0000,-1.24,1847.0000,1848.0000,1847.0000,1790.0000,67544015,1232678,1781920,98025,238,,,67275977.00,
