Historical Prices - MELISRON - 00323014
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,18380.0000,18380.0000,-0.92,18550.0000,18550.0000,18700.0000,18370.0000,44461776,8172074,82512216,448759,561,,,44461776.00,
28/05/2017,18550.0000,18550.0000,-2.11,18950.0000,18950.0000,18950.0000,18520.0000,44461776,8247659,4958218,26468,339,,,44461776.00,
25/05/2017,18950.0000,18950.0000,-1.81,19300.0000,19300.0000,19400.0000,18780.0000,44461776,8425507,14890417,77749,623,EX D,0.99331,44461776.00,
24/05/2017,19300.0133,19430.0000,-1.37,19590.0000,19700.0000,19650.0000,19350.0000,44461776,8638923,10435808,53572,565,,,44461776.00,
23/05/2017,19568.2070,19700.0000,-1.20,20080.0000,19940.0000,20080.0000,19670.0000,44461776,8758970,7172648,36168,359,,,44461776.00,
22/05/2017,19806.6014,19940.0000,0.25,19880.0000,19890.0000,20180.0000,19730.0000,44461776,8865678,9653504,48493,470,,,44461776.00,
21/05/2017,19756.9359,19890.0000,1.02,19870.0000,19690.0000,19970.0000,19820.0000,44461776,8843447,3202532,16087,271,,,44461776.00,
18/05/2017,19558.2739,19690.0000,0.61,19750.0000,19570.0000,19750.0000,19400.0000,44461776,8754524,21685902,110712,864,,,44461776.00,
17/05/2017,19439.0767,19570.0000,-2.64,20100.0000,20100.0000,20170.0000,19460.0000,44461776,8701170,18528360,94055,878,,,44461776.00,
16/05/2017,19965.5310,20100.0000,-0.84,20270.0000,20270.0000,20570.0000,20050.0000,44461776,8936817,6559965,32355,463,,,44461776.00,
15/05/2017,20134.3937,20270.0000,-0.73,20420.0000,20420.0000,20420.0000,20200.0000,44461776,9012402,4278944,21082,397,,,44461776.00,
14/05/2017,20283.3902,20420.0000,0.54,20280.0000,20310.0000,20500.0000,20280.0000,44461776,9079095,2939959,14394,235,,,44461776.00,
11/05/2017,20174.1261,20310.0000,-1.93,20630.0000,20710.0000,20630.0000,20310.0000,44461776,9030187,7631179,37280,651,,,44461776.00,
10/05/2017,20571.4501,20710.0000,-0.81,20780.0000,20880.0000,20850.0000,20570.0000,44461776,9208034,21317624,103062,447,,,44461776.00,
09/05/2017,20740.3128,20880.0000,0.68,20750.0000,20740.0000,21030.0000,20640.0000,44461776,9283619,7487421,35822,504,,,44461776.00,
08/05/2017,20601.2494,20740.0000,1.02,20480.0000,20530.0000,20850.0000,20330.0000,44461776,9221372,11044665,53538,547,,,44461776.00,
07/05/2017,20392.6543,20530.0000,2.14,20000.0000,20100.0000,20530.0000,20000.0000,44461776,9128003,6316909,31020,326,,,44461776.00,
04/05/2017,19965.5310,20100.0000,1.06,19930.0000,19890.0000,20300.0000,19900.0000,44461776,8936817,13565236,67402,638,,,44461776.00,
03/05/2017,19756.9359,19890.0000,2.58,19260.0000,19390.0000,19890.0000,19260.0000,44461776,8843447,6366476,32312,666,,,44461776.00,
30/04/2017,19260.2809,19390.0000,-1.82,19500.0000,19750.0000,19710.0000,19370.0000,44461776,8621138,9047014,46242,247,,,44461776.00,
27/04/2017,19617.8725,19750.0000,-1.20,19890.0000,19990.0000,20020.0000,19660.0000,44461776,8781201,10810013,54558,533,,,44461776.00,
26/04/2017,19856.2669,19990.0000,-0.10,20010.0000,20010.0000,20010.0000,19810.0000,44461776,8887909,5049674,25364,563,,,44461776.00,
25/04/2017,19876.1331,20010.0000,0.15,19980.0000,19980.0000,20180.0000,19810.0000,44461776,8896801,3295853,16471,322,,,44461776.00,
24/04/2017,19846.3338,19980.0000,2.57,19600.0000,19480.0000,19990.0000,19590.0000,44461776,8883463,7290679,36762,524,,,44461776.00,
23/04/2017,19349.6788,19480.0000,-0.36,19490.0000,19550.0000,19500.0000,19350.0000,44461776,8661154,9706745,49916,312,,,44461776.00,
20/04/2017,19419.2105,19550.0000,-0.26,19480.0000,19600.0000,19560.0000,19300.0000,44461776,8692277,12604334,64847,705,,,44461776.00,
19/04/2017,19468.8760,19600.0000,0.05,19530.0000,19590.0000,19750.0000,19360.0000,44461776,8714508,13550188,69442,609,,,44461776.00,
18/04/2017,19458.9429,19590.0000,-1.66,20050.0000,19920.0000,20080.0000,19530.0000,44461776,8710062,7539757,38173,593,,,44461776.00,
13/04/2017,19786.7352,19920.0000,-1.29,20200.0000,20180.0000,20360.0000,19900.0000,44461776,8856786,3868050,19270,328,,,44461776.00,
12/04/2017,20044.9958,20180.0000,0.90,20100.0000,20000.0000,20370.0000,19920.0000,44461776,8972386,5495217,27265,392,,,44461776.00,
09/04/2017,19866.2000,20000.0000,-1.77,20350.0000,20360.0000,20350.0000,19870.0000,44461776,8892355,7203979,36002,494,,,44461776.00,
06/04/2017,20223.7916,20360.0000,-2.49,20720.0000,20880.0000,20870.0000,20230.0000,44461776,9052418,25239930,123584,851,,,44461776.00,
05/04/2017,20740.3128,20880.0000,0.82,20570.0000,20710.0000,20880.0000,20520.0000,44461776,9283619,4886010,23644,449,,,44461776.00,
04/04/2017,20571.4501,20710.0000,0.49,20570.0000,20610.0000,20780.0000,20480.0000,44461776,9208034,5149470,24920,436,,,44461776.00,
03/04/2017,20472.1191,20610.0000,0.44,20520.0000,20520.0000,20780.0000,20430.0000,44461776,9163572,4291861,20809,348,,,44461776.00,
02/04/2017,20382.7212,20520.0000,1.84,20210.0000,20150.0000,20550.0000,20210.0000,44461776,9123556,3324540,16294,225,,,44461776.00,
