Historical Prices - MENDELSON    IF - 01129444
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,903.0000,903.0000,0.57,897.9000,897.9000,906.4000,901.5000,33560981,303056,272289,30137,39,,,33432831.00,
28/05/2017,897.9000,897.9000,-0.51,904.9000,902.5000,906.9000,897.5000,33554171,301283,329391,36626,52,,,33432831.00,
25/05/2017,902.5000,902.5000,1.05,893.1000,893.1000,910.0000,897.0000,33545651,302750,755705,83812,117,,,33432831.00,
24/05/2017,893.1000,893.1000,-1.86,910.0000,910.0000,950.0000,888.2000,33539080,299538,1105072,122049,188,,,33432831.00,
23/05/2017,910.0000,910.0000,14.58,855.0000,794.2000,915.3000,855.0000,33448299,304380,3516637,396429,366,,,33432831.00,
22/05/2017,794.2000,794.2000,-0.56,798.7000,798.7000,803.5000,789.5000,33442070,265597,220039,27652,43,,,33432831.00,
21/05/2017,798.7000,798.7000,1.93,800.0000,783.6000,822.0000,796.1000,33432831,267028,443252,54816,100,,,33432831.00,
18/05/2017,783.6000,783.6000,-1.51,795.6000,795.6000,793.0000,777.8000,33432831,261980,43591,5565,13,,,33432831.00,
17/05/2017,795.6000,795.6000,2.20,778.5000,778.5000,818.0000,779.0000,33432831,265992,746630,94221,77,,,33432831.00,
16/05/2017,778.5000,778.5000,0.80,772.3000,772.3000,780.0000,776.9000,33432831,260275,22289,2863,7,,,33432831.00,
15/05/2017,772.3000,772.3000,1.65,759.8000,759.8000,780.0000,764.9000,33432831,258202,824693,107299,115,,,33432831.00,
14/05/2017,759.8000,759.8000,-0.41,762.9000,762.9000,761.2000,758.1000,33432831,254023,32944,4336,12,,,33432831.00,
11/05/2017,762.9000,762.9000,-0.14,764.0000,764.0000,766.0000,762.0000,33432831,255059,41800,5477,8,,,33432831.00,
10/05/2017,764.0000,764.0000,1.14,755.4000,755.4000,765.8000,756.5000,33432831,255427,98397,12879,12,,,33432831.00,
09/05/2017,755.4000,755.4000,-0.04,755.7000,755.7000,757.1000,750.0000,33432831,252552,271214,35903,50,,,33432831.00,
08/05/2017,755.7000,755.7000,-0.04,756.0000,756.0000,760.0000,753.6000,33432831,252652,21915,2900,9,,,33432831.00,
07/05/2017,756.0000,756.0000,0.57,751.7000,751.7000,761.3000,744.1000,33432831,252752,26421,3495,8,,,33432831.00,
04/05/2017,751.7000,751.7000,-0.04,752.0000,752.0000,757.1000,750.0000,33432831,251315,154900,20605,22,,,33432831.00,
03/05/2017,752.0000,752.0000,0.78,746.2000,746.2000,755.6000,751.4000,33432831,251415,56385,7498,15,,,33432831.00,
30/04/2017,746.2000,746.2000,0.78,763.6000,740.4000,763.6000,744.3000,33432831,249476,90641,12157,25,,,33432831.00,
