Historical Prices - MGURIT - 01139195
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,86.6000,86.6000,-0.46,87.0000,87.0000,87.0000,86.2000,231507551,200486,16511,19064,12,,,233037247.00,
28/05/2017,87.0000,87.0000,0.12,86.9000,86.9000,87.0000,86.0000,231622051,201511,125852,144952,19,,,233037247.00,
25/05/2017,86.9000,86.9000,-0.11,87.0000,87.0000,87.0000,86.5000,231722051,201366,118927,136812,19,,,233037247.00,
24/05/2017,87.0000,87.0000,0.12,86.9000,86.9000,87.0000,87.0000,231832051,201694,110355,126845,10,,,233037247.00,
23/05/2017,86.9000,86.9000,0.58,86.4000,86.4000,87.2000,86.7000,231932051,201549,121900,140190,22,,,233037247.00,
22/05/2017,86.4000,86.4000,0.35,86.1000,86.1000,87.0000,86.0000,232085908,200522,123966,142820,15,,,233037247.00,
21/05/2017,86.1000,86.1000,0.12,85.2000,86.0000,86.6000,85.2000,232085908,199826,69421,80620,10,,,233037247.00,
18/05/2017,86.0000,86.0000,-1.60,87.4000,87.4000,87.4000,85.6000,232195908,199688,260953,301757,25,,,233037247.00,
17/05/2017,87.4000,87.4000,0.23,87.2000,87.2000,87.6000,87.4000,232272450,203006,66927,76575,10,,,233037247.00,
16/05/2017,87.2000,87.2000,-0.46,86.4000,87.6000,87.3000,86.4000,232312236,202576,47702,54711,6,,,233037247.00,
15/05/2017,87.6000,87.6000,0.69,87.0000,87.0000,87.6000,87.6000,232426236,203605,127923,146031,18,,,233037247.00,
14/05/2017,87.0000,87.0000,-0.68,87.6000,87.6000,87.6000,87.0000,232539636,202309,201729,231404,24,,,233037247.00,
11/05/2017,87.6000,87.6000,0.00,87.6000,87.6000,87.6000,86.4000,232629636,203784,96066,109814,9,,,233037247.00,
10/05/2017,87.6000,87.6000,0.00,87.1000,87.6000,87.6000,87.1000,232695636,203841,83211,95092,12,,,233037247.00,
09/05/2017,87.6000,87.6000,-0.11,87.7000,87.7000,87.7000,87.1000,232795636,203929,338551,386275,19,,,233037247.00,
08/05/2017,87.7000,87.7000,0.11,88.3000,87.6000,88.3000,87.7000,232887192,204242,232176,263613,22,,,233037247.00,
07/05/2017,87.6000,87.6000,1.04,86.7000,86.7000,87.7000,86.7000,232905851,204026,87720,100353,14,,,233037247.00,
04/05/2017,86.7000,86.7000,0.35,86.4000,86.4000,87.6000,85.9000,232905851,201929,156083,179735,17,,,237735263.00,
03/05/2017,86.4000,86.4000,-0.92,87.2000,87.2000,87.1000,85.9000,232982247,201297,89966,104221,8,,,237735263.00,
30/04/2017,87.2000,87.2000,0.58,86.0000,86.7000,87.5000,86.0000,233037247,203208,97767,112704,15,,,237735263.00,
27/04/2017,86.7000,86.7000,0.12,86.6000,86.6000,87.8000,86.1000,233037247,202043,38427,44310,11,,,237735263.00,
26/04/2017,86.6000,86.6000,-1.59,88.0000,88.0000,88.3000,86.0000,233037247,201810,56930,65540,16,,,237735263.00,
25/04/2017,88.0000,88.0000,0.00,88.0000,88.0000,88.0000,88.0000,233037247,205073,6040,6864,3,,,237735263.00,
24/04/2017,88.0000,88.0000,-0.11,88.1000,88.1000,88.0000,88.0000,233037247,205073,22967,26099,4,,,237735263.00,
23/04/2017,88.1000,88.1000,0.57,87.6000,87.6000,88.1000,88.1000,233037247,205306,2163,2455,2,,,237735263.00,
20/04/2017,87.6000,87.6000,0.11,87.5000,87.5000,88.0000,87.1000,233037247,204141,13132,14997,7,,,237735263.00,
19/04/2017,87.5000,87.5000,-0.23,87.7000,87.7000,87.9000,87.4000,233037247,203908,11242,12847,7,,,237735263.00,
18/04/2017,87.7000,87.7000,0.69,87.1000,87.1000,87.9000,87.6000,233037247,204374,8248,9408,6,,,237735263.00,
13/04/2017,87.1000,87.1000,-1.02,88.0000,88.0000,87.8000,86.7000,233037247,202975,28733,33000,6,,,237735263.00,
12/04/2017,88.0000,88.0000,1.38,86.8000,86.8000,88.0000,88.0000,233037247,205073,10303,11708,5,,,237735263.00,
09/04/2017,86.8000,86.8000,-0.12,86.9000,86.9000,87.6000,86.0000,233037247,202276,48349,55834,18,,,237735263.00,
06/04/2017,86.9000,86.9000,-1.25,87.9000,88.0000,88.1000,86.5000,233145204,202603,199359,228511,21,,,240622100.00,
05/04/2017,88.0000,88.0000,0.00,88.0000,88.0000,88.5000,87.9000,233421173,205411,415108,470390,30,,,240622100.00,
04/04/2017,88.0000,88.0000,0.00,88.0000,88.0000,88.2000,87.0000,233698327,205655,307749,349858,35,,,240622100.00,
03/04/2017,88.0000,88.0000,0.80,87.3000,87.3000,88.3000,87.3000,235709155,207424,1825424,2074517,35,,,240622100.00,
02/04/2017,87.3000,87.3000,0.46,86.9000,86.9000,87.5000,87.0000,235802455,205856,169941,194728,23,,,240622100.00,
