Historical Prices - MINRAV - 00155036
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,50950.0000,50950.0000,-3.01,52530.0000,52530.0000,52170.0000,50780.0000,942576,480242,548393,1071,107,,,942576.00,
28/05/2017,52530.0000,52530.0000,-0.89,53000.0000,53000.0000,53210.0000,52330.0000,942576,495135,247001,470,41,,,942576.00,
25/05/2017,53000.0000,53000.0000,-2.73,54490.0000,54490.0000,54670.0000,52900.0000,942576,499565,591147,1097,117,,,942576.00,
24/05/2017,54490.0000,54490.0000,1.55,53660.0000,53660.0000,54510.0000,53800.0000,942576,513610,696263,1280,107,,,942576.00,
23/05/2017,53660.0000,53660.0000,1.42,52910.0000,52910.0000,53860.0000,53030.0000,942576,505786,212990,398,47,,,942576.00,
22/05/2017,52910.0000,52910.0000,1.57,52090.0000,52090.0000,53490.0000,52780.0000,942576,498717,565329,1065,74,,,942576.00,
21/05/2017,52090.0000,52090.0000,2.00,51070.0000,51070.0000,52840.0000,51150.0000,942576,490988,217629,418,54,,,942576.00,
18/05/2017,51070.0000,51070.0000,-1.68,51500.0000,51940.0000,51760.0000,50750.0000,942576,481374,212082,414,53,,,942576.00,
17/05/2017,51940.0000,51940.0000,-3.21,53660.0000,53660.0000,53520.0000,51800.0000,942576,489574,376775,715,78,,,942576.00,
16/05/2017,53660.0000,53660.0000,1.05,53100.0000,53100.0000,53680.0000,52780.0000,942576,505786,438851,822,75,,,942576.00,
15/05/2017,53100.0000,53100.0000,1.20,52470.0000,52470.0000,53520.0000,52470.0000,942576,500508,770627,1453,147,,,942576.00,
14/05/2017,52470.0000,52470.0000,3.63,51890.0000,50630.0000,52520.0000,51880.0000,942576,494570,694493,1331,121,,,942576.00,
