Historical Prices - MY SIZE - 01094168
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,394.6000,394.6000,0.95,402.5000,390.9000,402.5000,387.0000,17605359,69471,27031,6850,18,,,17405359.00,
28/05/2017,390.9000,390.9000,-4.19,408.0000,408.0000,402.0000,390.0000,17605359,68819,74326,18873,26,,,17405359.00,
25/05/2017,408.0000,408.0000,-3.55,423.0000,423.0000,433.3000,399.9000,17605359,71830,167803,41000,68,,,17405359.00,
24/05/2017,423.0000,423.0000,-0.77,426.3000,426.3000,453.9000,412.1000,17605359,74471,325339,75538,125,,,17405359.00,
23/05/2017,426.3000,426.3000,-4.22,445.1000,445.1000,450.0000,421.3000,17605359,75052,183101,42414,88,,,17405359.00,
22/05/2017,445.1000,445.1000,3.56,429.8000,429.8000,480.0000,421.0000,17605359,78361,379204,84549,150,,,17405359.00,
21/05/2017,429.8000,429.8000,-0.44,431.7000,431.7000,440.0000,417.4000,17605359,75668,81430,19107,37,,,17405359.00,
18/05/2017,431.7000,431.7000,-5.35,445.1000,456.1000,445.1000,420.0000,17605359,76002,164833,38353,63,,,17405359.00,
17/05/2017,456.1000,456.1000,-9.14,505.0000,502.0000,506.3000,453.0000,17605359,80298,319920,67187,110,,,17405359.00,
16/05/2017,502.0000,502.0000,12.03,449.9000,448.1000,535.0000,426.0000,17605359,88379,974355,198487,245,,,17405359.00,
15/05/2017,448.1000,448.1000,-0.44,450.1000,450.1000,454.0000,445.4000,17605359,78890,53110,11857,22,,,17405359.00,
14/05/2017,450.1000,450.1000,-0.90,454.2000,454.2000,469.8000,445.0000,17605359,79242,56274,12423,22,,,17405359.00,
11/05/2017,454.2000,454.2000,-4.16,473.9000,473.9000,473.9000,438.0000,17605359,79964,259413,57032,97,,,17405359.00,
10/05/2017,473.9000,473.9000,4.18,443.9000,454.9000,495.1000,433.0000,17605359,83432,420925,90048,194,,,17405359.00,
09/05/2017,454.9000,454.9000,-3.68,472.3000,472.3000,472.3000,444.0000,17605359,80087,200670,44169,100,,,17405359.00,
08/05/2017,472.3000,472.3000,-7.39,510.0000,510.0000,519.5000,454.9000,17605359,83150,238695,48946,97,,,17405359.00,
07/05/2017,510.0000,510.0000,-16.23,505.0000,608.8000,515.0000,505.0000,17605359,89787,293589,57444,118,,,17405359.00,
04/05/2017,608.8000,608.8000,-5.58,629.2000,644.8000,629.2000,604.0000,17605359,107181,291437,47821,67,,,17405359.00,
03/05/2017,644.8000,644.8000,-0.51,632.4000,648.1000,692.0000,600.0000,17605359,113519,571770,89192,162,,,17405359.00,
30/04/2017,648.1000,648.1000,0.57,628.8000,644.4000,659.0000,620.0000,17605359,114100,78763,12276,46,,,17405359.00,
27/04/2017,644.4000,644.4000,-4.51,651.0000,674.8000,696.9000,622.0000,17605359,113449,158030,24423,69,,,17405359.00,
26/04/2017,674.8000,674.8000,-1.32,683.8000,683.8000,698.9000,667.5000,17605359,118801,20547,3045,7,,,17405359.00,
25/04/2017,683.8000,683.8000,-3.47,696.0000,708.4000,700.0000,675.0000,17605359,120385,126590,18460,56,,,17405359.00,
24/04/2017,708.4000,708.4000,0.64,703.0000,703.9000,716.2000,703.0000,17605359,124716,107394,15153,48,,,17405359.00,
23/04/2017,703.9000,703.9000,-6.77,706.0000,755.0000,715.0000,700.0000,17605359,123924,344295,48853,91,,,17405359.00,
20/04/2017,755.0000,755.0000,-11.30,808.0000,851.2000,808.5000,750.0000,17405359,131410,1073785,138480,360,,,17405359.00,
19/04/2017,851.2000,851.2000,3.43,843.0000,823.0000,880.6000,834.2000,17405359,148154,594390,69246,200,,,17405359.00,
18/04/2017,823.0000,823.0000,2.22,805.1000,805.1000,845.0000,797.0000,17405359,143246,196342,24073,70,,,17405359.00,
13/04/2017,805.1000,805.1000,-2.39,810.0000,824.8000,844.8000,799.0000,17405359,140131,171640,21218,54,,,17405359.00,
12/04/2017,824.8000,824.8000,-0.81,831.5000,831.5000,850.9000,815.0000,17405359,143559,21932,2659,12,,,17405359.00,
09/04/2017,831.5000,831.5000,-1.60,840.0000,845.0000,855.0000,830.0000,17405359,144726,91873,10957,35,,,17405359.00,
06/04/2017,845.0000,845.0000,-2.95,880.0000,870.7000,950.0000,845.0000,17405359,147075,624392,71679,151,,,17405359.00,
05/04/2017,870.7000,870.7000,-3.43,880.0000,901.6000,900.0000,870.0000,17405359,151548,127924,14565,66,,,17405359.00,
04/04/2017,901.6000,901.6000,-3.98,905.0000,939.0000,919.7000,890.0000,17405359,156927,242980,26934,74,,,17405359.00,
03/04/2017,939.0000,939.0000,-4.88,987.2000,987.2000,1005.0000,917.0000,17405359,163436,214084,22284,75,,,17405359.00,
02/04/2017,987.2000,987.2000,-7.91,987.0000,1072.0000,1009.0000,960.0000,17405359,171826,329056,33745,98,,,17405359.00,
30/03/2017,1072.0000,1072.0000,14.92,960.0000,932.8000,1211.0000,950.0000,17405359,186585,2717522,253726,618,,,17405359.00,
29/03/2017,932.8000,932.8000,14.71,813.2000,813.2000,970.0000,814.0000,17405359,162357,801306,88726,292,,,17405359.00,
28/03/2017,813.2000,813.2000,7.20,760.0000,758.6000,819.1000,760.0000,17405359,141540,194179,24018,73,,,17405359.00,
27/03/2017,758.6000,758.6000,-4.82,797.0000,797.0000,815.0000,742.0000,17405359,132037,138641,17854,47,,,17405359.00,
26/03/2017,797.0000,797.0000,-0.99,805.0000,805.0000,815.4000,780.1000,17405359,138721,99250,12425,28,,,17405359.00,
23/03/2017,805.0000,805.0000,-3.67,835.7000,835.7000,830.0000,805.0000,17405359,140113,298939,36623,88,,,17405359.00,
22/03/2017,835.7000,835.7000,-3.07,862.2000,862.2000,860.0000,833.0000,17405359,145457,234989,28013,67,,,17405359.00,
21/03/2017,862.2000,862.2000,0.50,878.8000,857.9000,890.0000,830.0000,17405359,150069,251659,29290,84,,,17405359.00,
20/03/2017,857.9000,857.9000,0.70,851.9000,851.9000,965.0000,838.0000,17405359,149321,1384729,152804,398,,,17405359.00,
19/03/2017,851.9000,851.9000,-0.29,875.2000,854.4000,877.8000,848.0000,17405359,148276,133237,15534,40,,,17405359.00,
16/03/2017,854.4000,854.4000,-2.19,860.0000,873.5000,894.6000,852.5000,17405359,148711,345108,39974,118,,,17405359.00,
15/03/2017,873.5000,873.5000,-2.22,893.3000,893.3000,900.0000,872.0000,17405359,152036,147069,16762,45,,,17405359.00,
14/03/2017,893.3000,893.3000,-1.55,890.0000,907.4000,912.0000,882.5000,17405359,155482,289865,32504,96,,,17405359.00,
13/03/2017,907.4000,907.4000,-3.60,941.3000,941.3000,1000.0000,903.0000,17405359,157936,539469,57233,146,,,17405359.00,
09/03/2017,941.3000,941.3000,-3.96,1000.0000,980.1000,1048.0000,927.7000,17405359,163837,594269,59856,205,,,17405359.00,
08/03/2017,980.1000,980.1000,-17.36,990.0000,1186.0000,1088.0000,970.0000,17405359,170590,1237150,123393,362,,,17405359.00,
07/03/2017,1186.0000,1186.0000,36.40,890.7000,869.5000,1304.0000,846.0000,17405359,206428,2481069,225553,599,,,17405359.00,
06/03/2017,869.5000,869.5000,2.16,876.8000,851.1000,924.0000,858.0000,17405359,151340,380154,43185,114,,,17405359.00,
05/03/2017,851.1000,851.1000,-10.75,880.0000,953.6000,880.0000,845.0000,17405359,148137,268565,31391,89,,,17405359.00,
02/03/2017,953.6000,953.6000,-2.01,970.9000,973.2000,996.9000,933.4000,17405359,165978,405308,42297,101,,,17405359.00,
01/03/2017,973.2000,973.2000,-3.93,1013.0000,1013.0000,990.2000,950.0000,17405359,169389,182236,18704,74,,,17405359.00,
28/02/2017,1013.0000,1013.0000,-4.97,1012.0000,1066.0000,1120.0000,1000.0000,17405359,176316,574501,54251,182,,,17405359.00,
27/02/2017,1066.0000,1066.0000,6.63,1000.0000,999.7000,1138.0000,1000.0000,17405359,185541,806955,76099,206,,,17405359.00,
26/02/2017,999.7000,999.7000,-16.62,1025.0000,1199.0000,1030.0000,990.8000,17405359,174001,584186,58004,175,,,17405359.00,
23/02/2017,1199.0000,1199.0000,-7.05,1301.0000,1290.0000,1301.0000,1194.0000,17405359,208690,534772,43621,100,,,17405359.00,
22/02/2017,1290.0000,1290.0000,-5.08,1344.0000,1359.0000,1344.0000,1246.0000,17405359,224529,1117395,87151,220,,,17405359.00,
21/02/2017,1359.0000,1359.0000,8.03,1289.0000,1258.0000,1450.0000,1231.0000,17405359,236539,1383218,104074,327,,,17405359.00,
20/02/2017,1258.0000,1258.0000,-1.87,1319.0000,1282.0000,1319.0000,1240.0000,17405359,218959,384218,30227,105,,,17405359.00,
19/02/2017,1282.0000,1282.0000,-10.04,1300.0000,1425.0000,1309.0000,1210.0000,17405359,223137,2584997,202689,372,,,17405359.00,
16/02/2017,1425.0000,1425.0000,54.15,1247.0000,924.4000,1495.0000,1023.0000,17405359,248026,21781401,1766290,3151,,,17405359.00,
15/02/2017,924.4000,924.4000,-24.66,1100.0000,1227.0000,1147.0000,770.0000,17405359,160895,10388720,1145297,1888,,,17405359.00,
14/02/2017,1227.0000,1227.0000,54.81,1070.0000,792.6000,2500.0000,1070.0000,17405359,213564,15977902,1074969,2442,,,17405359.00,
13/02/2017,792.6000,792.6000,3.51,765.7000,765.7000,826.0000,766.8000,17405359,137955,435527,56002,57,,,17405359.00,
12/02/2017,765.7000,765.7000,-1.83,760.0000,780.0000,799.9000,759.9000,17405359,133273,130126,16981,43,,,17405359.00,
09/02/2017,780.0000,780.0000,-11.78,884.2000,884.2000,885.3000,780.0000,17405359,135762,2399941,307194,59,,,17405359.00,
08/02/2017,884.2000,884.2000,5.00,842.1000,842.1000,918.0000,856.5000,17405359,153898,680974,76326,65,,,17405359.00,
07/02/2017,842.1000,842.1000,-5.48,890.9000,890.9000,878.7000,840.0000,17405359,146571,139409,16472,23,,,17405359.00,
06/02/2017,890.9000,890.9000,-1.46,904.1000,904.1000,926.1000,870.0000,17405359,155064,79844,8870,20,,,17405359.00,
05/02/2017,904.1000,904.1000,-0.96,912.9000,912.9000,948.0000,851.1000,17405359,157362,49229,5483,20,,,17405359.00,
02/02/2017,912.9000,912.9000,2.48,905.0000,890.8000,950.0000,835.0000,17405359,158894,368838,41379,107,,,17405359.00,
01/02/2017,890.8000,890.8000,7.35,829.8000,829.8000,903.0000,840.2000,17405359,155047,342822,39203,102,,,17405359.00,
31/01/2017,829.8000,829.8000,3.73,800.0000,800.0000,890.0000,799.1000,17405359,144430,310737,37089,98,,,17405359.00,
30/01/2017,800.0000,800.0000,0.34,797.3000,797.3000,800.0000,797.3000,17405359,139243,10095,1262,6,,,17405359.00,
29/01/2017,797.3000,797.3000,0.68,791.9000,791.9000,822.4000,795.0000,17405359,138773,141604,17656,25,,,17405359.00,
26/01/2017,791.9000,791.9000,-0.86,818.2000,798.8000,818.2000,790.0000,17405359,137833,13922,1758,7,,,17405359.00,
25/01/2017,798.8000,798.8000,8.30,732.0000,737.6000,848.0000,732.0000,17405359,139034,381608,47954,97,,,17405359.00,
24/01/2017,737.6000,737.6000,-1.15,746.2000,746.2000,764.3000,730.0000,17405359,128382,85885,11549,25,,,17405359.00,
23/01/2017,746.2000,746.2000,-0.73,751.7000,751.7000,766.3000,733.0000,17405359,129879,72024,9710,21,,,17405359.00,
22/01/2017,751.7000,751.7000,-4.42,786.5000,786.5000,786.5000,740.0000,17405359,130836,47879,6352,23,,,17405359.00,
19/01/2017,786.5000,786.5000,-1.12,795.4000,795.4000,798.0000,777.1000,17405359,136893,12678,1612,9,,,17405359.00,
18/01/2017,795.4000,795.4000,-0.26,797.5000,797.5000,797.5000,790.0000,17405359,138442,10802,1358,5,,,17405359.00,
17/01/2017,797.5000,797.5000,-0.57,802.1000,802.1000,815.0000,783.2000,17405359,138808,29093,3648,13,,,17405359.00,
16/01/2017,802.1000,802.1000,-0.41,805.4000,805.4000,823.0000,785.8000,17405359,139608,35123,4379,10,,,17405359.00,
15/01/2017,805.4000,805.4000,4.94,767.5000,767.5000,825.0000,778.0000,17405359,140183,33152,4116,15,,,17405359.00,
12/01/2017,767.5000,767.5000,-4.01,799.6000,799.6000,799.6000,762.2000,17405359,133586,106590,13737,24,,,17405359.00,
11/01/2017,799.6000,799.6000,-1.81,814.3000,814.3000,815.0000,793.0000,17405359,139173,61699,7716,19,,,17405359.00,
10/01/2017,814.3000,814.3000,1.33,823.2000,803.6000,850.0000,796.0000,17405359,141732,164335,19899,50,,,17405359.00,
09/01/2017,803.6000,803.6000,0.00,823.0000,803.6000,823.0000,791.0000,17405359,139869,137807,17291,19,,,17405359.00,
