Historical Prices - MYLAN - 01136704
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,14320.0000,14320.0000,1.42,14120.0000,14120.0000,14360.0000,14120.0000,491738923,70417014,16154558,112877,491,,,491738923.00,
28/05/2017,14120.0000,14120.0000,1.07,14100.0000,13970.0000,14260.0000,14100.0000,491738923,69433536,3840024,27066,318,,,491738923.00,
25/05/2017,13970.0000,13970.0000,-1.55,14180.0000,14190.0000,14180.0000,13970.0000,491738923,68695928,53032151,374944,577,,,491738923.00,
24/05/2017,14190.0000,14190.0000,0.57,14120.0000,14110.0000,14380.0000,14090.0000,491738923,69777753,24066233,168667,972,,,491738923.00,
23/05/2017,14110.0000,14110.0000,2.69,13870.0000,13740.0000,14110.0000,13820.0000,491738923,69384362,24942015,178713,789,,,491738923.00,
22/05/2017,13740.0000,13740.0000,0.29,13690.0000,13700.0000,13880.0000,13660.0000,491738923,67564928,23963059,173998,982,,,491738923.00,
21/05/2017,13700.0000,13700.0000,-0.87,13680.0000,13820.0000,13740.0000,13590.0000,491738923,67368232,8799321,64279,420,,,491738923.00,
18/05/2017,13820.0000,13820.0000,-1.57,14050.0000,14040.0000,14090.0000,13800.0000,491738923,67958319,32167829,229997,996,,,491738923.00,
17/05/2017,14040.0000,14040.0000,-0.21,14000.0000,14070.0000,14230.0000,13950.0000,491738923,69040145,23502586,167460,916,,,491738923.00,
16/05/2017,14070.0000,14070.0000,0.43,13930.0000,14010.0000,14100.0000,13930.0000,491738923,69187666,23985002,171369,842,,,491738923.00,
15/05/2017,14010.0000,14010.0000,-0.99,14120.0000,14150.0000,14190.0000,13920.0000,491738923,68892623,19712981,139958,708,,,491738923.00,
14/05/2017,14150.0000,14150.0000,1.43,13960.0000,13950.0000,14310.0000,13960.0000,491738923,69581058,13148579,92721,490,,,491738923.00,
