Historical Prices - NANO DIMENSION - 00751032
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,471.7000,471.7000,0.13,471.1000,471.1000,481.4000,466.3000,53266596,251259,953017,201311,226,,,49787791.00,
28/05/2017,471.1000,471.1000,0.83,480.0000,467.2000,483.0000,470.4000,49831187,234755,935723,196561,208,,,49787791.00,
25/05/2017,467.2000,467.2000,-2.12,477.3000,477.3000,477.3000,465.5000,49831187,232811,822177,174661,151,,,49787791.00,
24/05/2017,477.3000,477.3000,-1.71,478.0000,485.6000,492.0000,471.0000,49831187,237844,1492073,309317,348,,,49787791.00,
23/05/2017,485.6000,485.6000,3.25,471.4000,470.3000,491.0000,471.4000,49831187,241980,1927943,400109,362,,,49787791.00,
22/05/2017,470.3000,470.3000,1.05,465.4000,465.4000,477.0000,461.0000,49831187,234356,818017,174631,176,,,49787791.00,
21/05/2017,465.4000,465.4000,2.44,457.0000,454.3000,476.6000,457.0000,49831187,231914,959991,205382,195,,,49787791.00,
18/05/2017,454.3000,454.3000,-1.39,460.0000,460.7000,466.0000,447.0000,49831187,226383,1557808,342357,322,,,49787791.00,
17/05/2017,460.7000,460.7000,2.13,463.9000,451.1000,490.7000,460.0000,49787791,229372,3356491,711548,642,,,49787791.00,
16/05/2017,451.1000,451.1000,0.74,451.0000,447.8000,471.0000,446.5000,49787791,224593,1758219,386336,329,,,49787791.00,
15/05/2017,447.8000,447.8000,-0.82,448.1000,451.5000,451.5000,447.7000,49787791,222950,531020,118414,118,,,49787791.00,
14/05/2017,451.5000,451.5000,-0.88,455.2000,455.5000,455.2000,448.0000,49787791,224792,596143,131970,127,,,49787791.00,
11/05/2017,455.5000,455.5000,0.66,454.0000,452.5000,457.5000,449.2000,49787791,226783,1369656,301845,198,,,49787791.00,
10/05/2017,452.5000,452.5000,-1.16,457.8000,457.8000,456.0000,451.2000,49787791,225290,791402,174658,114,,,49787791.00,
09/05/2017,457.8000,457.8000,-0.09,459.0000,458.2000,464.9000,451.7000,49787791,227929,764863,166622,134,,,49787791.00,
08/05/2017,458.2000,458.2000,0.79,454.6000,454.6000,460.0000,454.0000,49787791,228128,213923,46880,56,,,49787791.00,
07/05/2017,454.6000,454.6000,-2.36,465.6000,465.6000,466.1000,450.3000,49787791,226335,477727,104581,133,,,49787791.00,
04/05/2017,465.6000,465.6000,0.71,469.4000,462.3000,469.4000,460.0000,49787791,231812,828186,178163,108,,,49690772.00,
03/05/2017,462.3000,462.3000,0.81,458.6000,458.6000,473.8000,454.0000,49787791,230169,1527094,327258,277,,,49690772.00,
30/04/2017,458.6000,458.6000,-0.89,455.0000,462.7000,462.7000,455.0000,49787791,228327,260922,56856,75,,,49690772.00,
27/04/2017,462.7000,462.7000,0.94,458.4000,458.4000,469.8000,449.0000,49787791,230368,449611,98678,131,,,49690772.00,
26/04/2017,458.4000,458.4000,1.19,450.0000,453.0000,466.0000,450.0000,49787791,228227,633554,137950,144,,,49690772.00,
25/04/2017,453.0000,453.0000,-1.59,460.9000,460.3000,460.9000,448.0000,49787791,225539,802646,177446,147,,,49690772.00,
24/04/2017,460.3000,460.3000,1.68,452.7000,452.7000,467.6000,452.7000,49787791,229173,404989,88151,115,,,49690772.00,
23/04/2017,452.7000,452.7000,-2.03,460.0000,462.1000,462.1000,451.4000,49787791,225389,543897,119651,103,,,49690772.00,
20/04/2017,462.1000,462.1000,-1.35,468.1000,468.4000,472.0000,457.0000,49787791,230069,741002,160453,165,,,49690772.00,
19/04/2017,468.4000,468.4000,0.60,465.3000,465.6000,477.4000,463.3000,49787791,233206,827563,175785,154,,,49690772.00,
18/04/2017,465.6000,465.6000,-0.19,474.7000,466.5000,477.1000,463.0000,49787791,231812,692730,147916,138,,,49690772.00,
13/04/2017,466.5000,466.5000,-2.61,474.0000,479.0000,475.0000,463.1000,49787791,232260,814249,173793,188,,,49690772.00,
12/04/2017,479.0000,479.0000,-0.06,483.0000,479.3000,484.1000,477.3000,49787791,238484,341524,71018,94,,,49690772.00,
09/04/2017,479.3000,479.3000,-5.07,500.0000,504.9000,500.0000,477.2000,49787791,238633,1302026,268335,214,,,49690772.00,
06/04/2017,504.9000,504.9000,-0.20,505.0000,505.9000,505.0000,495.0000,49787791,251379,1165133,232812,209,,,49690772.00,
05/04/2017,505.9000,505.9000,0.84,503.9000,501.7000,514.9000,498.1000,49787791,251876,1568647,309018,368,,,49690772.00,
04/04/2017,501.7000,501.7000,0.24,500.0000,500.5000,504.2000,496.4000,49787014,249781,626202,125324,127,,,49690772.00,
03/04/2017,500.5000,500.5000,1.93,499.0000,491.0000,510.0000,490.0000,49787014,249184,1398220,277932,315,,,49690772.00,
02/04/2017,491.0000,491.0000,1.64,483.1000,483.1000,504.0000,483.1000,49787014,244454,403351,81772,121,,,49690772.00,
30/03/2017,483.1000,483.1000,-0.72,490.0000,486.6000,493.7000,481.0000,49787014,240521,673189,138471,149,,,49690772.00,
29/03/2017,486.6000,486.6000,-1.72,495.0000,495.1000,500.1000,484.1000,49787014,242264,908049,185198,166,,,49690772.00,
28/03/2017,495.1000,495.1000,2.15,489.0000,484.7000,504.8000,487.1000,49787014,246496,2099428,422606,404,,,49690772.00,
27/03/2017,484.7000,484.7000,-2.06,499.0000,494.9000,499.0000,479.9000,49745473,241116,803581,166235,152,,,49690772.00,
26/03/2017,494.9000,494.9000,0.65,502.0000,491.7000,502.0000,492.1000,49745473,246190,722370,145340,126,,,49690772.00,
23/03/2017,491.7000,491.7000,1.82,489.3000,482.9000,501.6000,487.8000,49745473,244598,2039941,412681,396,,,49690772.00,
22/03/2017,482.9000,482.9000,-2.42,482.1000,494.9000,495.6000,477.1000,49690772,239957,2152061,444373,510,,,49690772.00,
21/03/2017,494.9000,494.9000,-2.21,503.1000,506.1000,517.2000,489.5000,49690772,245920,1648442,327149,418,,,49690772.00,
20/03/2017,506.1000,506.1000,-5.05,534.9000,533.0000,534.9000,506.1000,49690772,251485,2973493,571900,501,,,49690772.00,
19/03/2017,533.0000,533.0000,5.59,517.0000,504.8000,537.2000,517.0000,49690772,264852,3691944,698802,626,,,49690772.00,
16/03/2017,504.8000,504.8000,8.79,473.8000,464.0000,506.0000,470.0000,49690772,250839,4260318,857739,861,,,49690772.00,
15/03/2017,464.0000,464.0000,4.27,451.0000,445.0000,476.0000,451.0000,49690772,230565,1746893,374744,447,,,49690772.00,
14/03/2017,445.0000,445.0000,2.91,432.4000,432.4000,458.0000,438.9000,49690772,221124,862825,193563,210,,,49690772.00,
13/03/2017,432.4000,432.4000,-2.52,443.6000,443.6000,447.0000,432.0000,49690772,214863,652208,149110,166,,,49690772.00,
09/03/2017,443.6000,443.6000,-1.29,446.0000,449.4000,448.9000,442.4000,49690772,220428,750054,168265,149,,,49690772.00,
08/03/2017,449.4000,449.4000,0.20,448.5000,448.5000,460.6000,446.0000,49690772,223310,605738,134119,153,,,49690772.00,
07/03/2017,448.5000,448.5000,-1.97,460.0000,457.5000,475.0000,446.2000,49690772,222863,1230050,270125,200,,,49690772.00,
06/03/2017,457.5000,457.5000,-1.21,468.0000,463.1000,474.9000,457.0000,49690772,227335,447506,96598,122,,,49690772.00,
05/03/2017,463.1000,463.1000,-1.57,467.0000,470.5000,470.0000,457.0000,49690772,230118,446812,96235,123,,,49690772.00,
02/03/2017,470.5000,470.5000,-1.51,477.7000,477.7000,483.0000,467.0000,49690772,233795,797360,169053,106,,,49615772.00,
01/03/2017,477.7000,477.7000,-0.21,478.0000,478.7000,484.1000,470.1000,49690772,237373,503032,105952,122,,,49615772.00,
28/02/2017,478.7000,478.7000,-2.58,495.0000,491.4000,498.7000,476.0000,49690772,237870,1015138,208466,188,,,49615772.00,
27/02/2017,491.4000,491.4000,-1.94,509.6000,501.1000,509.6000,479.9000,49690772,244180,979096,198262,206,,,49615772.00,
26/02/2017,501.1000,501.1000,-0.30,505.0000,502.6000,505.9000,493.4000,49690772,249000,980071,195733,188,,,49615772.00,
23/02/2017,502.6000,502.6000,3.82,489.9000,484.1000,511.8000,489.9000,49690772,249746,2548214,508439,366,,,49615772.00,
22/02/2017,484.1000,484.1000,2.65,478.9000,471.6000,487.7000,472.1000,49690772,240553,996892,206402,193,,,49615772.00,
21/02/2017,471.6000,471.6000,1.97,463.8000,462.5000,479.7000,463.8000,49690772,234342,1040897,219538,186,,,49615772.00,
20/02/2017,462.5000,462.5000,-1.09,474.9000,467.6000,475.4000,461.0000,49690772,229820,359321,77101,107,,,49615772.00,
19/02/2017,467.6000,467.6000,0.21,466.6000,466.6000,475.6000,466.6000,49690772,232354,252731,53877,76,,,49615772.00,
16/02/2017,466.6000,466.6000,-3.22,488.0000,482.1000,494.8000,466.6000,49690772,231857,635438,132953,169,,,49615772.00,
15/02/2017,482.1000,482.1000,-2.65,495.2000,495.2000,495.3000,480.0000,49690772,239559,533304,109353,137,,,49615772.00,
14/02/2017,495.2000,495.2000,0.49,492.8000,492.8000,506.4000,492.8000,49690772,246069,1192546,238086,207,,,49615772.00,
13/02/2017,492.8000,492.8000,0.28,492.0000,491.4000,498.2000,491.4000,49690772,244876,892376,180442,173,,,49615772.00,
12/02/2017,491.4000,491.4000,-5.50,509.9000,520.0000,509.9000,487.1000,49690772,244180,2050502,412560,376,,,49615772.00,
09/02/2017,520.0000,520.0000,8.76,484.7000,478.1000,520.0000,459.0000,49690772,258392,15228993,2967662,481,,,49587756.00,
08/02/2017,478.1000,478.1000,1.70,470.1000,470.1000,490.0000,467.5000,49690772,237572,1364475,283629,296,,,49587756.00,
07/02/2017,470.1000,470.1000,1.05,470.0000,465.2000,472.9000,462.0000,49690772,233596,773154,165154,177,,,49587756.00,
06/02/2017,465.2000,465.2000,3.35,460.0000,450.1000,472.9000,460.0000,49690772,231161,1878325,401682,401,,,49587756.00,
05/02/2017,450.1000,450.1000,-1.36,456.0000,456.3000,458.9000,447.2000,49690772,223658,428079,94790,100,,,49587756.00,
02/02/2017,456.3000,456.3000,1.81,450.0000,448.2000,459.3000,449.0000,49690772,226739,715112,156957,147,,,49587756.00,
01/02/2017,448.2000,448.2000,3.03,437.0000,435.0000,450.0000,437.0000,49690772,222714,463451,104579,140,,,49587756.00,
31/01/2017,435.0000,435.0000,-1.34,441.0000,440.9000,441.0000,433.2000,49690772,216155,386569,88448,118,,,49587756.00,
30/01/2017,440.9000,440.9000,0.64,438.1000,438.1000,458.8000,439.0000,49690772,219087,855872,191573,210,,,49587756.00,
29/01/2017,438.1000,438.1000,0.00,437.0000,438.1000,440.4000,430.4000,49690772,217695,397452,91235,108,,,49587756.00,
26/01/2017,438.1000,438.1000,3.08,430.0000,425.0000,439.0000,420.2000,49690772,217695,752933,173971,179,,,49587756.00,
25/01/2017,425.0000,425.0000,-3.76,441.0000,441.6000,441.0000,401.8000,49690772,211186,1958578,457622,332,,,49587756.00,
24/01/2017,441.6000,441.6000,-2.13,445.0000,451.2000,445.1000,434.0000,49690772,219434,1682857,383379,279,,,49587756.00,
23/01/2017,451.2000,451.2000,0.04,451.0000,451.0000,457.0000,449.0000,49690772,224205,609083,134613,101,,,49587756.00,
22/01/2017,451.0000,451.0000,-0.53,453.4000,453.4000,460.0000,450.0000,49690772,224105,426380,94265,69,,,49587756.00,
