Historical Prices - NAPHTHA - 00643015
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,3000.0000,3000.0000,-1.86,3055.0000,3057.0000,3056.0000,3000.0000,97796075,2933882,2049145,67495,257,,,97547214.00,
28/05/2017,3057.0000,3057.0000,0.10,3054.0000,3054.0000,3057.0000,3017.0000,97761713,2988576,1900577,62567,289,,,97547214.00,
25/05/2017,3054.0000,3054.0000,1.13,2955.0000,3020.0000,3054.0000,2955.0000,97724661,2984511,1586078,52503,283,,,97547214.00,
24/05/2017,3020.0000,3020.0000,-0.98,3041.0000,3050.0000,3052.0000,3004.0000,97651625,2949079,2255471,74492,369,,,97547214.00,
23/05/2017,3050.0000,3050.0000,2.83,2975.0000,2966.0000,3050.0000,2969.0000,97649433,2978308,1695471,56489,317,,,97547214.00,
22/05/2017,2966.0000,2966.0000,3.38,2870.0000,2869.0000,2977.0000,2870.0000,97638145,2895947,1474565,50061,305,,,97547214.00,
21/05/2017,2869.0000,2869.0000,-0.62,2888.0000,2887.0000,2920.0000,2810.0000,97638145,2801238,1615861,56394,247,,,97547214.00,
18/05/2017,2887.0000,2887.0000,-1.13,2860.0000,2920.0000,2990.0000,2833.0000,97638145,2818813,1293162,44895,287,,,97547214.00,
17/05/2017,2920.0000,2920.0000,-4.01,3050.0000,3042.0000,3050.0000,2920.0000,97638145,2851034,2183341,73047,375,,,97547214.00,
16/05/2017,3042.0000,3042.0000,1.06,3020.0000,3010.0000,3042.0000,3019.0000,97575508,2968247,2562300,84447,471,,,97547214.00,
15/05/2017,3010.0000,3010.0000,0.00,3010.0000,3010.0000,3019.0000,2977.0000,97574364,2936988,1794707,59777,286,,,97547214.00,
14/05/2017,3010.0000,3010.0000,0.00,2983.0000,3010.0000,3012.0000,2971.0000,97574364,2936988,819519,27376,121,,,97547214.00,
11/05/2017,3010.0000,3010.0000,-0.40,3022.0000,3022.0000,3022.0000,2976.0000,97551498,2936300,1389452,46338,192,,,97547214.00,
10/05/2017,3022.0000,3022.0000,0.77,2999.0000,2999.0000,3028.0000,2979.0000,97549214,2947937,1527108,50921,164,,,97547214.00,
09/05/2017,2999.0000,2999.0000,0.57,2982.0000,2982.0000,2999.0000,2923.0000,97547214,2925441,2495974,84047,333,,,97547214.00,
08/05/2017,2982.0000,2982.0000,1.53,2938.0000,2937.0000,2982.0000,2922.0000,97547214,2908858,2217164,75314,322,,,97547214.00,
07/05/2017,2937.0000,2937.0000,1.49,2939.0000,2894.0000,2939.0000,2895.0000,97547214,2864962,748675,25560,133,,,97547214.00,
04/05/2017,2894.0000,2894.0000,-2.30,2964.0000,2962.0000,2969.0000,2894.0000,97547214,2823016,2355564,81001,253,,,97547214.00,
03/05/2017,2962.0000,2962.0000,0.95,2943.0000,2934.0000,2979.0000,2936.0000,97547214,2889348,1735155,58799,221,,,97547214.00,
30/04/2017,2934.0000,2934.0000,0.55,2918.0000,2918.0000,2968.0000,2905.0000,97547214,2862035,1366128,46620,165,,,97547214.00,
27/04/2017,2918.0000,2918.0000,0.24,2950.0000,2911.0000,2950.0000,2889.0000,97547214,2846428,2134806,73060,248,,,97547214.00,
26/04/2017,2911.0000,2911.0000,0.66,2901.0000,2892.0000,2912.0000,2872.0000,97547214,2839599,1366785,47128,287,,,97547214.00,
25/04/2017,2892.0000,2892.0000,1.40,2869.0000,2852.0000,2915.0000,2865.0000,97547214,2821065,2894345,100364,388,,,97547214.00,
24/04/2017,2852.0000,2852.0000,2.30,2788.0000,2788.0000,2865.0000,2784.0000,97547214,2782047,1269845,44763,241,,,97547214.00,
23/04/2017,2788.0000,2788.0000,-2.65,2833.0000,2864.0000,2833.0000,2775.0000,97547214,2719616,910675,32525,140,,,97547214.00,
20/04/2017,2864.0000,2864.0000,-0.35,2900.0000,2874.0000,2900.0000,2846.0000,97547214,2793752,1655117,57717,308,,,97547214.00,
19/04/2017,2874.0000,2874.0000,0.03,2882.0000,2873.0000,2892.0000,2863.0000,97547214,2803507,1785923,62104,230,,,97547214.00,
18/04/2017,2873.0000,2873.0000,1.23,2847.0000,2838.0000,2903.0000,2847.0000,97547214,2802531,1206939,42203,190,,,97547214.00,
13/04/2017,2838.0000,2838.0000,-1.46,2898.0000,2880.0000,2898.0000,2834.0000,97547214,2768390,1112155,38950,191,,,97547214.00,
12/04/2017,2880.0000,2880.0000,0.91,2900.0000,2854.0000,2985.0000,2872.0000,97547214,2809360,4628754,160502,267,,,97547214.00,
09/04/2017,2854.0000,2854.0000,0.78,2840.0000,2832.0000,2900.0000,2832.0000,97547214,2783997,1586782,55564,210,,,97547214.00,
06/04/2017,2832.0000,2832.0000,0.32,2830.0000,2823.0000,2845.0000,2799.0000,97547214,2762537,2263551,79967,228,,,97547214.00,
05/04/2017,2823.0000,2823.0000,7.22,2641.0000,2633.0000,2823.0000,2641.0000,97547214,2753758,3467670,126390,368,,,97547214.00,
04/04/2017,2633.0000,2633.0000,1.35,2598.0000,2598.0000,2633.0000,2591.0000,97547214,2568418,708520,27106,85,,,97547214.00,
03/04/2017,2598.0000,2598.0000,0.74,2579.0000,2579.0000,2626.0000,2542.0000,97547214,2534277,1289607,49998,211,,,97547214.00,
02/04/2017,2579.0000,2579.0000,1.10,2551.0000,2551.0000,2600.0000,2553.0000,97547214,2515743,435209,16923,77,,,97547214.00,
30/03/2017,2551.0000,2551.0000,1.27,2522.0000,2519.0000,2589.0000,2519.0000,97547214,2488429,843757,33336,133,,,97547214.00,
29/03/2017,2519.0000,2519.0000,-1.25,2543.0000,2551.0000,2604.0000,2507.0000,97547214,2457214,1021819,40376,193,,,97547214.00,
28/03/2017,2551.0000,2551.0000,2.49,2496.0000,2489.0000,2560.0000,2496.0000,97547214,2488429,1173897,46328,181,,,97547214.00,
27/03/2017,2489.0000,2489.0000,-3.26,2750.0000,2573.0000,2750.0000,2485.0000,97547214,2427950,1367004,54483,251,,,97547214.00,
26/03/2017,2573.0000,2573.0000,0.27,2566.0000,2566.0000,2642.0000,2544.0000,97547214,2509890,2096553,81054,90,,,97547214.00,
23/03/2017,2566.0000,2566.0000,-0.54,2580.0000,2580.0000,2667.0000,2534.0000,97547214,2503062,844426,32976,199,,,97547214.00,
22/03/2017,2580.0000,2580.0000,-2.12,2628.0000,2636.0000,2628.0000,2570.0000,97547214,2516718,752894,29102,176,,,97547214.00,
21/03/2017,2636.0000,2636.0000,1.62,2600.0000,2594.0000,2651.0000,2576.0000,97547214,2571345,852639,32689,162,,,97547214.00,
20/03/2017,2594.0000,2594.0000,0.39,2592.0000,2584.0000,2613.0000,2559.0000,97547214,2530375,953787,36985,205,,,97547214.00,
19/03/2017,2584.0000,2584.0000,-2.49,2650.0000,2650.0000,2650.0000,2569.0000,97547214,2520620,735651,28331,134,,,97547214.00,
16/03/2017,2650.0000,2650.0000,-2.75,2725.0000,2725.0000,2725.0000,2598.0000,97547214,2585001,4929983,185450,408,,,97547214.00,
15/03/2017,2725.0000,2725.0000,-0.91,2760.0000,2750.0000,2762.0000,2678.0000,97547214,2658162,1124068,41287,177,,,97547214.00,
14/03/2017,2750.0000,2750.0000,-0.29,2758.0000,2758.0000,2766.0000,2735.0000,97547214,2682548,1092532,39698,170,,,97547214.00,
13/03/2017,2758.0000,2758.0000,0.99,2733.0000,2731.0000,2758.0000,2689.0000,97547214,2690352,706880,25816,124,,,97547214.00,
09/03/2017,2731.0000,2731.0000,-0.26,2738.0000,2738.0000,2752.0000,2708.0000,97547214,2664014,1178857,42993,162,,,97547214.00,
08/03/2017,2738.0000,2738.0000,0.66,2728.0000,2720.0000,2750.0000,2688.0000,97547214,2670843,2013491,73598,195,,,97547214.00,
07/03/2017,2720.0000,2720.0000,1.64,2676.0000,2676.0000,2723.0000,2668.0000,97547214,2653284,1340812,49627,147,,,97547214.00,
06/03/2017,2676.0000,2676.0000,0.07,2700.0000,2674.0000,2700.0000,2601.0000,97547214,2610363,1745990,66007,281,,,97547214.00,
05/03/2017,2674.0000,2674.0000,-0.74,2690.0000,2694.0000,2699.0000,2652.0000,97547214,2608413,562658,20986,92,,,97547214.00,
02/03/2017,2694.0000,2694.0000,1.93,2643.0000,2643.0000,2694.0000,2643.0000,97547214,2627922,5668524,210761,219,,,97547214.00,
01/03/2017,2643.0000,2643.0000,2.24,2585.0000,2585.0000,2658.0000,2575.0000,97547214,2578173,2905694,110334,180,,,97547214.00,
