Historical Prices - NICE - 00273011
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,27550.0000,27550.0000,-0.83,27780.0000,27780.0000,27870.0000,27550.0000,60316977,16617327,30199660,109222,891,,,60046606.00,
28/05/2017,27780.0000,27780.0000,-1.03,27880.0000,28070.0000,28070.0000,27730.0000,60316977,16756056,7924031,28459,633,,,60046606.00,
25/05/2017,28070.0000,28070.0000,2.78,27640.0000,27310.0000,28120.0000,27640.0000,60316977,16930975,79083695,284279,1340,,,60046606.00,
24/05/2017,27310.0000,27310.0000,1.94,26850.0000,26790.0000,27320.0000,26850.0000,60046606,16398728,14573255,53729,755,,,60046606.00,
23/05/2017,26790.0000,26790.0000,-0.70,27000.0000,26980.0000,27160.0000,26770.0000,60046606,16086486,11771408,43615,713,,,60046606.00,
22/05/2017,26980.0000,26980.0000,0.78,26800.0000,26770.0000,27080.0000,26770.0000,60046606,16200574,17043847,63304,1058,,,60046606.00,
21/05/2017,26770.0000,26770.0000,-0.52,26600.0000,26910.0000,26790.0000,26600.0000,60046606,16074476,9359192,35059,551,,,60046606.00,
18/05/2017,26910.0000,26910.0000,-0.77,27250.0000,27120.0000,27250.0000,26640.0000,60046606,16158542,30897054,114503,1368,,,60046606.00,
17/05/2017,27120.0000,27120.0000,-0.04,27410.0000,27130.0000,27410.0000,26980.0000,60046606,16284640,12095340,44519,750,,,60046606.00,
16/05/2017,27130.0000,27130.0000,-0.29,27210.0000,27210.0000,27390.0000,27130.0000,60046606,16290644,23374227,85635,1321,,,60046606.00,
15/05/2017,27210.0000,27210.0000,0.41,27200.0000,27100.0000,27300.0000,27020.0000,60046606,16338681,23685693,87188,1254,,,60046606.00,
14/05/2017,27100.0000,27100.0000,-0.07,27120.0000,27120.0000,27220.0000,26940.0000,60046606,16272630,12907318,47565,686,,,60046606.00,
11/05/2017,27120.0000,27120.0000,0.56,27000.0000,26970.0000,27430.0000,26750.0000,60046606,16284640,50159699,185004,1926,,,60046606.00,
10/05/2017,26970.0000,26970.0000,2.78,26230.0000,26240.0000,27180.0000,26210.0000,60046606,16194570,34313383,128381,1346,,,60046606.00,
09/05/2017,26240.0000,26240.0000,0.69,26180.0000,26060.0000,26570.0000,26160.0000,60046606,15756229,20505177,77827,1038,,,60046606.00,
08/05/2017,26060.0000,26060.0000,-0.91,26090.0000,26300.0000,26240.0000,25930.0000,60046606,15648146,18718021,71672,943,,,60046606.00,
07/05/2017,26300.0000,26300.0000,2.33,25740.0000,25700.0000,26320.0000,25740.0000,60046606,15792257,23704408,90698,863,,,60046606.00,
04/05/2017,25700.0000,25700.0000,4.73,24540.0000,24540.0000,25990.0000,24440.0000,60046606,15431978,68566522,272333,1618,,,60046606.00,
03/05/2017,24540.0000,24540.0000,0.57,24280.0000,24400.0000,24540.0000,24090.0000,60046606,14735437,25525949,105043,1411,,,60046606.00,
30/04/2017,24400.0000,24400.0000,-1.61,24510.0000,24800.0000,24510.0000,24300.0000,60046606,14651372,7687869,31495,354,,,60046606.00,
27/04/2017,24800.0000,24800.0000,-0.04,24830.0000,24810.0000,24890.0000,24700.0000,60046606,14891558,38274321,154312,1109,,,60046606.00,
26/04/2017,24810.0000,24810.0000,0.57,24620.0000,24670.0000,24810.0000,24470.0000,60046606,14897563,28209028,114497,1565,,,60046606.00,
25/04/2017,24670.0000,24670.0000,-0.72,24870.0000,24850.0000,25000.0000,24520.0000,60046606,14813498,24537534,99541,1315,,,60046606.00,
24/04/2017,24850.0000,24850.0000,0.73,24740.0000,24670.0000,25100.0000,24740.0000,60046606,14921582,20770690,83408,1103,,,60046606.00,
23/04/2017,24670.0000,24670.0000,-0.56,24810.0000,24810.0000,24810.0000,24640.0000,60046606,14813498,5734067,23164,365,,,60046606.00,
20/04/2017,24810.0000,24810.0000,0.08,24710.0000,24790.0000,24810.0000,24580.0000,60046606,14897563,17028851,68951,751,,,60046606.00,
19/04/2017,24790.0000,24790.0000,0.28,24860.0000,24720.0000,24980.0000,24670.0000,60046606,14885554,9902979,39884,550,,,60046606.00,
18/04/2017,24720.0000,24720.0000,1.31,24700.0000,24400.0000,24810.0000,24430.0000,60046606,14843521,13648987,55353,780,,,60046606.00,
13/04/2017,24400.0000,24400.0000,-0.41,24520.0000,24500.0000,24630.0000,24350.0000,60046606,14651372,14144460,57861,709,,,60046606.00,
12/04/2017,24500.0000,24500.0000,-0.04,24670.0000,24510.0000,24880.0000,24470.0000,60046606,14711418,19482190,78999,921,,,60046606.00,
09/04/2017,24510.0000,24510.0000,-0.69,24750.0000,24680.0000,24780.0000,24400.0000,60046606,14717423,16670095,67947,641,,,60046606.00,
06/04/2017,24680.0000,24680.0000,-1.52,24900.0000,25060.0000,24930.0000,24550.0000,60046606,14819502,53739298,217522,1227,,,60046606.00,
05/04/2017,25060.0000,25060.0000,0.76,24850.0000,24870.0000,25070.0000,24580.0000,60046606,15047679,18292782,73677,863,,,60046606.00,
04/04/2017,24870.0000,24870.0000,0.00,24590.0000,24870.0000,24870.0000,24400.0000,60046606,14933591,18046742,73181,886,,,60046606.00,
03/04/2017,24870.0000,24870.0000,0.08,24820.0000,24850.0000,25060.0000,24770.0000,60046606,14933591,29137511,117102,911,,,60046606.00,
02/04/2017,24850.0000,24850.0000,2.10,24690.0000,24340.0000,24880.0000,24610.0000,60046606,14921582,7324058,29601,345,,,60046606.00,
30/03/2017,24340.0000,24340.0000,0.33,24110.0000,24260.0000,24350.0000,24090.0000,60046606,14615344,43202533,178940,704,,,60046606.00,
29/03/2017,24260.0000,24260.0000,0.92,24110.0000,24040.0000,24320.0000,23930.0000,60046606,14567307,21579398,89364,957,,,60046606.00,
28/03/2017,24040.0000,24040.0000,-1.19,24550.0000,24330.0000,24550.0000,24040.0000,60046606,14435204,18497441,76341,929,,,60046606.00,
27/03/2017,24330.0000,24330.0000,0.54,24000.0000,24200.0000,24380.0000,23970.0000,60046606,14609339,21119292,87097,982,,,60046606.00,
26/03/2017,24200.0000,24200.0000,-0.66,24190.0000,24360.0000,24480.0000,24190.0000,60046606,14531279,4312882,17739,326,,,60046606.00,
23/03/2017,24360.0000,24360.0000,0.08,24180.0000,24340.0000,24420.0000,24130.0000,60046606,14627353,21449854,88481,1127,,,60046606.00,
22/03/2017,24340.0000,24340.0000,-0.25,24130.0000,24400.0000,24470.0000,24090.0000,60046606,14615344,18445340,76029,1180,,,60046606.00,
21/03/2017,24400.0000,24400.0000,0.08,24400.0000,24380.0000,24520.0000,24280.0000,60046606,14651372,21611997,88417,1079,,,60046606.00,
20/03/2017,24380.0000,24380.0000,-0.25,24470.0000,24440.0000,24590.0000,24290.0000,60046606,14639363,11946052,48840,696,,,60046606.00,
19/03/2017,24440.0000,24440.0000,1.37,24400.0000,24110.0000,24580.0000,24340.0000,60046606,14675391,9354987,38249,660,,,60046606.00,
16/03/2017,24110.0000,24110.0000,0.00,24360.0000,24110.0000,24360.0000,24110.0000,60046606,14477237,34223854,141293,1290,,,60046606.00,
