Historical Prices - NOVA - 01084557
From 31/05/2012 To 31/05/2017, Frequency: Daily

Date,Adjusted Closing Price,Closing Price (0.01 NIS),Change(%),Opening  Price,Base Price,High,Low,Capital Listed for Trading,Market Cap (NIS thousands),Turnover (NIS),Volume,Trans.,* Ex Type,Ex Coefficient,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float Rate
29/05/2017,8604.0000,8604.0000,-0.98,8690.0000,8689.0000,8691.0000,8570.0000,27351431,2353317,7603769,88307,742,,,27351431.00,
28/05/2017,8689.0000,8689.0000,-1.44,8769.0000,8816.0000,8835.0000,8673.0000,27351431,2376566,5141739,58826,499,,,27351431.00,
25/05/2017,8816.0000,8816.0000,-0.94,8906.0000,8900.0000,8913.0000,8622.0000,27351431,2411302,11989328,137278,1273,,,27351431.00,
24/05/2017,8900.0000,8900.0000,-1.49,9035.0000,9035.0000,9085.0000,8865.0000,27351431,2434277,12931493,143864,1165,,,27351431.00,
23/05/2017,9035.0000,9035.0000,-0.77,9329.0000,9105.0000,9400.0000,8979.0000,27351431,2471202,12270387,132711,1281,,,27351431.00,
22/05/2017,9105.0000,9105.0000,4.40,8727.0000,8721.0000,9105.0000,8650.0000,27351431,2490348,7175991,81473,715,,,27351431.00,
21/05/2017,8721.0000,8721.0000,2.00,8750.0000,8550.0000,8861.0000,8651.0000,27351431,2385318,8194804,93750,695,,,27351431.00,
18/05/2017,8550.0000,8550.0000,-3.28,8601.0000,8840.0000,8679.0000,8401.0000,27351431,2338547,18948599,223205,1694,,,27351431.00,
17/05/2017,8840.0000,8840.0000,-1.78,9140.0000,9000.0000,9140.0000,8758.0000,27351431,2417867,10445301,116474,1060,,,27351431.00,
16/05/2017,9000.0000,9000.0000,-2.07,9190.0000,9190.0000,9225.0000,9000.0000,27351431,2461629,14988805,164186,1130,,,27351431.00,
15/05/2017,9190.0000,9190.0000,4.92,8841.0000,8759.0000,9334.0000,8810.0000,27351431,2513597,11201607,124456,1147,,,27351431.00,
14/05/2017,8759.0000,8759.0000,5.00,8648.0000,8342.0000,8904.0000,8648.0000,27351431,2395712,10231157,116132,954,,,27351431.00,
11/05/2017,8342.0000,8342.0000,-0.69,8400.0000,8400.0000,8421.0000,8064.0000,27351431,2281656,10019960,121660,1079,,,27351431.00,
10/05/2017,8400.0000,8400.0000,6.26,7905.0000,7905.0000,8400.0000,7832.0000,27351431,2297520,10939219,135676,1032,,,27351431.00,
09/05/2017,7905.0000,7905.0000,13.24,7324.0000,6981.0000,8120.0000,7260.0000,27351431,2162131,25625963,334113,2306,,,27351431.00,
08/05/2017,6981.0000,6981.0000,0.90,6919.0000,6919.0000,7000.0000,6864.0000,27351431,1909403,2940562,42537,347,,,27351431.00,
07/05/2017,6919.0000,6919.0000,-0.23,6935.0000,6935.0000,6935.0000,6848.0000,27351431,1892446,1618996,23518,235,,,27351431.00,
04/05/2017,6935.0000,6935.0000,-2.19,6900.0000,7090.0000,6935.0000,6841.0000,27351431,1896822,10515277,152205,564,,,27351431.00,
03/05/2017,7090.0000,7090.0000,-1.25,7180.0000,7180.0000,7180.0000,7073.0000,27351431,1939216,4064784,57148,511,,,27351431.00,
30/04/2017,7180.0000,7180.0000,-0.28,7220.0000,7200.0000,7265.0000,7103.0000,27351431,1963833,3849316,53628,366,,,27351431.00,
27/04/2017,7200.0000,7200.0000,3.23,7087.0000,6975.0000,7200.0000,6934.0000,27351431,1969303,7559917,107568,581,,,27351431.00,
26/04/2017,6975.0000,6975.0000,1.90,6900.0000,6845.0000,6996.0000,6870.0000,27351431,1907762,3497153,50491,385,,,27351431.00,
25/04/2017,6845.0000,6845.0000,0.47,6801.0000,6813.0000,6878.0000,6801.0000,27351431,1872205,2954385,43202,407,,,27351431.00,
24/04/2017,6813.0000,6813.0000,0.86,6768.0000,6755.0000,6891.0000,6768.0000,27351431,1863453,2564633,37559,318,,,27351431.00,
23/04/2017,6755.0000,6755.0000,0.58,6662.0000,6716.0000,6760.0000,6656.0000,27351431,1847589,1790597,26658,198,,,27351431.00,
20/04/2017,6716.0000,6716.0000,0.99,6640.0000,6650.0000,6795.0000,6640.0000,27351431,1836922,3454223,51208,419,,,27351431.00,
19/04/2017,6650.0000,6650.0000,3.39,6437.0000,6432.0000,6681.0000,6373.0000,27351431,1818870,14681521,222634,606,,,27351431.00,
18/04/2017,6432.0000,6432.0000,-1.65,6545.0000,6540.0000,6720.0000,6367.0000,27351431,1759244,4573359,70514,537,,,27351431.00,
13/04/2017,6540.0000,6540.0000,-2.27,6770.0000,6692.0000,6770.0000,6515.0000,27351431,1788784,1815935,27376,221,,,27351431.00,
12/04/2017,6692.0000,6692.0000,0.80,6639.0000,6639.0000,6797.0000,6639.0000,27351431,1830358,3356030,49975,397,,,27351431.00,
09/04/2017,6639.0000,6639.0000,-0.54,6670.0000,6675.0000,6670.0000,6610.0000,27351431,1815862,1139946,17192,143,,,27351431.00,
06/04/2017,6675.0000,6675.0000,-2.67,6700.0000,6858.0000,6700.0000,6610.0000,27351431,1825708,5837105,87504,474,,,27228316.00,
05/04/2017,6858.0000,6858.0000,-0.26,6839.0000,6876.0000,6870.0000,6826.0000,27351431,1875761,2560665,37394,330,,,27228316.00,
04/04/2017,6876.0000,6876.0000,-0.39,6876.0000,6903.0000,6900.0000,6785.0000,27351431,1880684,3228242,47205,402,,,27228316.00,
03/04/2017,6903.0000,6903.0000,2.13,6740.0000,6759.0000,6925.0000,6740.0000,27351431,1888069,4354332,63608,582,,,27228316.00,
02/04/2017,6759.0000,6759.0000,3.86,6704.0000,6508.0000,6775.0000,6704.0000,27351431,1848683,1842281,27318,262,,,27228316.00,
30/03/2017,6508.0000,6508.0000,0.05,6505.0000,6505.0000,6664.0000,6501.0000,27351431,1780031,3089576,47077,500,,,27228316.00,
29/03/2017,6505.0000,6505.0000,-0.88,6553.0000,6563.0000,6606.0000,6500.0000,27351431,1779211,2580586,39468,377,,,27228316.00,
28/03/2017,6563.0000,6563.0000,3.66,6750.0000,6331.0000,6777.0000,6547.0000,27351431,1795074,7882486,118247,800,,,27228316.00,
27/03/2017,6331.0000,6331.0000,0.49,6250.0000,6300.0000,6399.0000,6181.0000,27351431,1731619,10999172,174886,1054,,,27228316.00,
26/03/2017,6300.0000,6300.0000,3.52,6086.0000,6086.0000,6349.0000,6086.0000,27351431,1723140,2991109,47670,337,,,27228316.00,
23/03/2017,6086.0000,6086.0000,1.86,5980.0000,5975.0000,6260.0000,5980.0000,27351431,1664608,4146389,67961,591,,,27228316.00,
22/03/2017,5975.0000,5975.0000,-1.84,5951.0000,6087.0000,5980.0000,5801.0000,27351431,1634248,3178316,53483,492,,,27228316.00,
21/03/2017,6087.0000,6087.0000,-1.74,6148.0000,6195.0000,6198.0000,6044.0000,27351431,1664882,2115670,34452,344,,,27228316.00,
20/03/2017,6195.0000,6195.0000,1.08,6129.0000,6129.0000,6206.0000,6129.0000,27351431,1694421,2375235,38512,317,,,27228316.00,
19/03/2017,6129.0000,6129.0000,-1.13,6180.0000,6199.0000,6195.0000,6106.0000,27351431,1676369,1214809,19740,182,,,27228316.00,
16/03/2017,6199.0000,6199.0000,-0.02,6200.0000,6200.0000,6275.0000,6150.0000,27351431,1695515,4442142,71519,381,,,27228316.00,
15/03/2017,6200.0000,6200.0000,-0.35,6281.0000,6222.0000,6281.0000,6161.0000,27351431,1695789,3052588,49240,371,,,27228316.00,
14/03/2017,6222.0000,6222.0000,0.13,6201.0000,6214.0000,6294.0000,6201.0000,27351431,1701806,2350940,37554,316,,,27228316.00,
13/03/2017,6214.0000,6214.0000,-0.81,6200.0000,6265.0000,6222.0000,6157.0000,27351431,1699618,3103683,50123,374,,,27228316.00,
09/03/2017,6265.0000,6265.0000,-0.22,6280.0000,6279.0000,6293.0000,6251.0000,27351431,1713567,1838163,29320,258,,,27228316.00,
08/03/2017,6279.0000,6279.0000,1.39,6197.0000,6193.0000,6300.0000,6197.0000,27351431,1717396,2958045,47154,398,,,27228316.00,
07/03/2017,6193.0000,6193.0000,-0.26,6193.0000,6209.0000,6251.0000,6185.0000,27351431,1693874,3548388,56996,309,,,27228316.00,
06/03/2017,6209.0000,6209.0000,-1.73,6340.0000,6318.0000,6350.0000,6190.0000,27228316,1690606,5497931,87799,626,,,27228316.00,
